num.genes,GO,
75, plasma membrane [GO:0005886],
56, nucleus [GO:0005634],
44, integral component of membrane [GO:0016021],
41, cytosol [GO:0005829],
38, cytoplasm [GO:0005737],
32,cytoplasm [GO:0005737],
32, extracellular space [GO:0005615],
29, identical protein binding [GO:0042802],
26, protein homodimerization activity [GO:0042803],
26, integral component of plasma membrane [GO:0005887],
24, membrane [GO:0016020],
22, nucleoplasm [GO:0005654],
21, calcium ion binding [GO:0005509],
19, perinuclear region of cytoplasm [GO:0048471],
19, metal ion binding [GO:0046872],
18, cell surface [GO:0009986],
17, protein-containing complex [GO:0032991],
17, positive regulation of cell population proliferation [GO:0008284],
17, ATP binding [GO:0005524],
16, positive regulation of transcription by RNA polymerase II [GO:0045944],
16, positive regulation of apoptotic process [GO:0043065],
15,integral component of membrane [GO:0016021],
15, mitochondrion [GO:0005739],
14, zinc ion binding [GO:0008270],
14, intracellular membrane-bounded organelle [GO:0043231],
14, external side of plasma membrane [GO:0009897],
13, negative regulation of apoptotic process [GO:0043066],
13, enzyme binding [GO:0019899],
13, endoplasmic reticulum [GO:0005783],
12,cell surface [GO:0009986],
12, positive regulation of gene expression [GO:0010628],
12, DNA binding [GO:0003677],
11,apical plasma membrane [GO:0016324],
11, sequence-specific DNA binding [GO:0043565],
11, response to drug [GO:0042493],
11, negative regulation of transcription by RNA polymerase II [GO:0000122],
11, negative regulation of cell population proliferation [GO:0008285],
11, angiogenesis [GO:0001525],
10,nucleus [GO:0005634],
10,cell [GO:0005623],
10, regulation of transcription DNA-templated [GO:0006355],
10, receptor complex [GO:0043235],
10, protein-containing complex binding [GO:0044877],
10, positive regulation of transcription DNA-templated [GO:0045893],
10, neuronal cell body [GO:0043025],
10, negative regulation of transcription DNA-templated [GO:0045892],
10, dendrite [GO:0030425],
10, carbohydrate binding [GO:0030246],
10, Golgi apparatus [GO:0005794],
10, DNA-binding transcription activator activity RNA polymerase II-specific [GO:0001228],
9,cytosol [GO:0005829],
9, synapse [GO:0045202],
9, signal transduction [GO:0007165],
9, positive regulation of ERK1 and ERK2 cascade [GO:0070374],
9, membrane raft [GO:0045121],
9, extracellular region [GO:0005576],
9, cell junction [GO:0030054],
9, RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978],
8,collagen-containing extracellular matrix [GO:0062023],
8, protein kinase binding [GO:0019901],
8, protease binding [GO:0002020],
8, positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731],
8, intracellular signal transduction [GO:0035556],
8, integrin binding [GO:0005178],
8, inflammatory response [GO:0006954],
8, cell adhesion [GO:0007155],
8, cell [GO:0005623],
8, DNA-binding transcription factor activity [GO:0003700],
7,axon [GO:0030424],
7, signaling receptor binding [GO:0005102],
7, signaling receptor activity [GO:0038023],
7, proteolysis [GO:0006508],
7, protein homooligomerization [GO:0051260],
7, positive regulation of smooth muscle cell proliferation [GO:0048661],
7, positive regulation of cell migration [GO:0030335],
7, lysosome [GO:0005764],
7, lysosomal membrane [GO:0005765],
7, immune response [GO:0006955],
7, collagen-containing extracellular matrix [GO:0062023],
7, chromatin binding [GO:0003682],
7, cell-cell junction [GO:0005911],
7, cell migration [GO:0016477],
7, calcium-dependent protein binding [GO:0048306],
7, apoptotic process [GO:0006915],
7, aging [GO:0007568],
7, GTP binding [GO:0005525],
6,integral component of plasma membrane [GO:0005887],
6,extracellular space [GO:0005615],
6, response to hypoxia [GO:0001666],
6, protein localization to plasma membrane [GO:0072659],
6, neuron projection [GO:0043005],
6, negative regulation of gene expression [GO:0010629],
6, melanosome [GO:0042470],
6, glutathione metabolic process [GO:0006749],
6, extracellular matrix [GO:0031012],
6, endocytosis [GO:0006897],
6, cytoplasmic vesicle [GO:0031410],
6, cellular response to lipopolysaccharide [GO:0071222],
5,external side of plasma membrane [GO:0009897],
5,apical part of cell [GO:0045177],
5, ubiquitin protein ligase binding [GO:0031625],
5, transcription factor binding [GO:0008134],
5, response to oxidative stress [GO:0006979],
5, response to lipopolysaccharide [GO:0032496],
5, protein transport [GO:0015031],
5, protein stabilization [GO:0050821],
5, positive regulation of protein phosphorylation [GO:0001934],
5, positive regulation of neuron differentiation [GO:0045666],
5, positive regulation of inflammatory response [GO:0050729],
5, positive regulation of cell growth [GO:0030307],
5, positive regulation of angiogenesis [GO:0045766],
5, neuron differentiation [GO:0030182],
5, negative regulation of neuron apoptotic process [GO:0043524],
5, lipid droplet [GO:0005811],
5, ion channel binding [GO:0044325],
5, integrin-mediated signaling pathway [GO:0007229],
5, in utero embryonic development [GO:0001701],
5, glutathione transferase activity [GO:0004364],
5, extracellular exosome [GO:0070062],
5, endoplasmic reticulum membrane [GO:0005789],
5, cytokine receptor activity [GO:0004896],
5, cell surface receptor signaling pathway [GO:0007166],
5, cell morphogenesis [GO:0000902],
5, calcium-dependent phospholipid binding [GO:0005544],
4,endoplasmic reticulum [GO:0005783],
4,basolateral plasma membrane [GO:0016323],
4,anchored component of membrane [GO:0031225],
4, transcription factor complex [GO:0005667],
4, steroid hormone receptor activity [GO:0003707],
4, spermatogenesis [GO:0007283],
4, ruffle [GO:0001726],
4, response to mechanical stimulus [GO:0009612],
4, response to cytokine [GO:0034097],
4, regulation of inflammatory response [GO:0050727],
4, receptor internalization [GO:0031623],
4, protein domain specific binding [GO:0019904],
4, postsynaptic density [GO:0014069],
4, positive regulation of smooth muscle cell migration [GO:0014911],
4, positive regulation of neuron apoptotic process [GO:0043525],
4, positive regulation of fibroblast proliferation [GO:0048146],
4, positive regulation of fat cell differentiation [GO:0045600],
4, positive regulation of endothelial cell proliferation [GO:0001938],
4, positive regulation of cell adhesion [GO:0045785],
4, neuron projection morphogenesis [GO:0048812],
4, neuron projection development [GO:0031175],
4, negative regulation of tumor necrosis factor production [GO:0032720],
4, negative regulation of protein phosphorylation [GO:0001933],
4, negative regulation of canonical Wnt signaling pathway [GO:0090090],
4, myelin sheath [GO:0043209],
4, microtubule binding [GO:0008017],
4, male gonad development [GO:0008584],
4, magnesium ion binding [GO:0000287],
4, lateral plasma membrane [GO:0016328],
4, late endosome membrane [GO:0031902],
4, late endosome [GO:0005770],
4, intracellular protein transport [GO:0006886],
4, intercellular bridge [GO:0045171],
4, innate immune response [GO:0045087],
4, heparin binding [GO:0008201],
4, hemopoiesis [GO:0030097],
4, heart development [GO:0007507],
4, glutathione binding [GO:0043295],
4, glutamatergic synapse [GO:0098978],
4, embryo implantation [GO:0007566],
4, cytokine binding [GO:0019955],
4, collagen catabolic process [GO:0030574],
4, cellular response to hypoxia [GO:0071456],
4, cellular response to hormone stimulus [GO:0032870],
4, cellular response to DNA damage stimulus [GO:0006974],
4, cell-cell adhesion [GO:0098609],
4, cell differentiation [GO:0030154],
4, blood coagulation [GO:0007596],
4, axon guidance [GO:0007411],
4, anterior/posterior pattern specification [GO:0009952],
4, adaptive immune response [GO:0002250],
4, activation of protein kinase activity [GO:0032147],
4, activation of MAPK activity [GO:0000187],
4, actin cytoskeleton organization [GO:0030036],
4, actin binding [GO:0003779],
4, RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977],
4, GTPase activity [GO:0003924],
4, GTPase activator activity [GO:0005096],
4, G protein-coupled receptor signaling pathway [GO:0007186],
4, DNA-binding transcription factor activity RNA polymerase II-specific [GO:0000981],
4, ATPase activity [GO:0016887],
3,cell junction [GO:0030054],
3,bicellular tight junction [GO:0005923],
3, xenobiotic catabolic process [GO:0042178],
3, visual perception [GO:0007601],
3, very-low-density lipoprotein particle [GO:0034361],
3, transmembrane signaling receptor activity [GO:0004888],
3, transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],
3, transcription corepressor activity [GO:0003714],
3, transcription coactivator activity [GO:0003713],
3, substrate adhesion-dependent cell spreading [GO:0034446],
3, somitogenesis [GO:0001756],
3, skeletal muscle cell differentiation [GO:0035914],
3, serine-type endopeptidase activity [GO:0004252],
3, ruffle membrane [GO:0032587],
3, response to organic cyclic compound [GO:0014070],
3, response to ethanol [GO:0045471],
3, response to estradiol [GO:0032355],
3, response to cold [GO:0009409],
3, response to amyloid-beta [GO:1904645],
3, regulation of transcription by RNA polymerase II [GO:0006357],
3, regulation of protein localization [GO:0032880],
3, regulation of potassium ion transmembrane transport [GO:1901379],
3, regulation of peptidyl-tyrosine phosphorylation [GO:0050730],
3, regulation of ossification [GO:0030278],
3, regulation of cell shape [GO:0008360],
3, regulation of cell population proliferation [GO:0042127],
3, regulation of cell growth [GO:0001558],
3, regulation of cell cycle [GO:0051726],
3, regulation of apoptotic process [GO:0042981],
3, protein ubiquitination [GO:0016567],
3, protein serine/threonine kinase activity [GO:0004674],
3, protein kinase C binding [GO:0005080],
3, protein autophosphorylation [GO:0046777],
3, positive regulation of vasculogenesis [GO:2001214],
3, positive regulation of vascular smooth muscle cell proliferation [GO:1904707],
3, positive regulation of smoothened signaling pathway [GO:0045880],
3, positive regulation of receptor internalization [GO:0002092],
3, positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068],
3, positive regulation of phagocytosis [GO:0050766],
3, positive regulation of neuron projection development [GO:0010976],
3, positive regulation of neuron death [GO:1901216],
3, positive regulation of insulin secretion [GO:0032024],
3, positive regulation of cytosolic calcium ion concentration [GO:0007204],
3, positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280],
3, positive regulation of cold-induced thermogenesis [GO:0120162],
3, positive regulation of cell death [GO:0010942],
3, positive regulation of bone resorption [GO:0045780],
3, positive regulation of amyloid-beta formation [GO:1902004],
3, positive regulation of GTPase activity [GO:0043547],
3, positive regulation of B cell proliferation [GO:0030890],
3, platelet-derived growth factor receptor signaling pathway [GO:0048008],
3, plasma membrane phospholipid scrambling [GO:0017121],
3, phospholipid scramblase activity [GO:0017128],
3, phosphatidylserine binding [GO:0001786],
3, phosphatidylethanolamine flippase activity [GO:0090555],
3, peptidyl-tyrosine phosphorylation [GO:0018108],
3, peptidase activity [GO:0008233],
3, oxidation-reduction process [GO:0055114],
