gene,keyword
Exoc6b,membrane
Casp12,membrane
Tgm2,membrane
Gm10419,membrane
Cpne8,membrane
Plek,membrane
Abca4,membrane
Abcb1a,membrane
Abcb1b,membrane
Acpp,membrane
Acsl4,membrane
Adgrg2,membrane
Alcam,membrane
Amotl2,membrane
Antxr2,membrane
Anxa2,membrane
Anxa6,membrane
Art4,membrane
B3galt1,membrane
Bmpr1a,membrane
Cavin2,membrane
Cd200r4,membrane
Cd34,membrane
Cd37,membrane
Cd38,membrane
Cd63,membrane
Cd86,membrane
Cd9,membrane
Chrna7,membrane
Clca3a1,membrane
Cldn12,membrane
Clec1a,membrane
Clec1b,membrane
Clu,membrane
Cntn1,membrane
Col4a2,membrane
Csf2rb,membrane
Ctss,membrane
Cxcl16,membrane
Cyb561,membrane
Cyp26b1,membrane
Cysltr2,membrane
Cyyr1,membrane
Ddr1,membrane
Dennd5b,membrane
Dhrs3,membrane
Dnm3,membrane
Dsg2,membrane
Ebi3,membrane
Efna1,membrane
Ehd3,membrane
Enpp5,membrane
Evc,membrane
Fap,membrane
Fhl1,membrane
Flt3,membrane
Fyb1,membrane
Gabra4,membrane
Gem,membrane
Ghr,membrane
Gpr183,membrane
Gstm2,membrane
Hpgds,membrane
Id2,membrane
Il12rb2,membrane
Il1rapl2,membrane
Itgb3,membrane
Jam2,membrane
Jun,membrane
Kcnip3,membrane
Kdr,membrane
Klrb1b,membrane
Lamp2,membrane
Ldhd,membrane
Lgals1,membrane
Lpar6,membrane
Lpl,membrane
Lrrn1,membrane
Lsp1,membrane
Lsr,membrane
Mgst1,membrane
Mlec,membrane
Mmp14,membrane
Mmp2,membrane
Muc13,membrane
Myo1e,membrane
Nckap1,membrane
Ndrg1,membrane
Npdc1,membrane
Nrg4,membrane
Ntf3,membrane
Ocln,membrane
Pdgfd,membrane
Perp,membrane
Pgr,membrane
Phf11,membrane
Pla2g4a,membrane
Plcl1,membrane
Plscr1,membrane
Plscr2,membrane
Plscr4,membrane
Plxdc2,membrane
Ppp1r16b,membrane
Prcp,membrane
Prnp,membrane
Procr,membrane
Ptger4,membrane
Ptprk,membrane
Ramp2,membrane
Rdh10,membrane
Rgn,membrane
Rhoj,membrane
S100a6,membrane
Sell,membrane
Selp,membrane
Sema7a,membrane
Sfrp1,membrane
Slamf1,membrane
Slc14a1,membrane
Slc28a2,membrane
Slc6a15,membrane
Stom,membrane
Stxbp4,membrane
Syk,membrane
Tacstd2,membrane
Thbd,membrane
Tm4sf1,membrane
Tm6sf1,membrane
Tmem176a,membrane
Tmem215,membrane
Tmem47,membrane
Tnfsf10,membrane
Trpc6,membrane
Vldlr,membrane
Vmp1,membrane
Zg16,membrane
Muc1,membrane
Ly6e,membrane
Neo1,membrane
Rab34,membrane
Arhgef28,membrane
Arhgap30,membrane
Prtn3,membrane
Lst1,membrane
Trpc1,membrane
Tlcd4,membrane
Osmr,membrane
Klrb1c,membrane
Mamdc2,membrane
Btg2,cell.cycle
Rassf4,cell.cycle
Gadd45g,cell.cycle
Abcb1a,cell.cycle
Fap,cell.cycle
Fhl1,cell.cycle
Gem,cell.cycle
Id2,cell.cycle
Jun,cell.cycle
Mcm5,cell.cycle
Mcm7,cell.cycle
Nupr1,cell.cycle
Ptprk,cell.cycle
Sfrp1,cell.cycle
Stxbp4,cell.cycle
Bcl6,histone
Dnmt3b,histone
Egr1,histone
Mllt3,histone
Pla2g4a,histone
Casp12,inflammation
Tgm2,inflammation
Bcl6,inflammation
C4b,inflammation
Camk1d,inflammation
Cd200r4,inflammation
Chrna7,inflammation
Ctss,inflammation
Cyp26b1,inflammation
Il15,inflammation
Lpl,inflammation
Nupr1,inflammation
Pla2g4a,inflammation
Ptger4,inflammation
Selp,inflammation
Sema7a,inflammation
Slamf1,inflammation
Zfp36,inflammation
