x	y	gene	pval
35	0.7126838271565165	Mmp14	0.09633557084265318
60	2.0083150426350103	S100a6	0.600609053135022
47	1.5911307937313826	Ramp2	0.0023471773020762258
122	4.244698200743272	Vwf	0.0695766182878671
42	0.6138041589984432	Rab34	0.49515756567603764
38	0.9479474307252824	Tbc1d8	0.210437775086959
12	0.3099912033227702	Gstm7	0.2332893061559826
57	1.553839140341104	Ndrg1	0.0010363044527933296
17	0.4983732975028859	Mcm5	0.026522031839257363
139	5.030598917684465	Mef2c	0.09719906593455838
27	0.7922781034705139	Ampd3	0.9711154373937743
53	1.3070343899664574	Runx1t1	0.06041346341490203
55	1.8193019830101889	Npdc1	0.31064342794584027
46	1.4235522671500889	Slamf1	0.441449846842501
41	0.6501414177202277	Lpl	0.18799529375833618
38	1.1992359932151189	Cd34	0.13205977925415824
90	3.2474671217364417	Lamp2	0.7387994433957302
35	0.6116012761535821	Matn4	0.4620647331794079
130	4.87687511549407	Vmp1	0.0003730611359026763
22	0.7182666198024964	Gpx3	0.30392403725058625
51	1.7238398396354657	Anxa6	0.06888351696368436
18	0.5073005593805053	Dhx40	0.008251645083995472
66	2.4370434587308196	Lsp1	0.011501495856556588
7	0.23687142961088625	Cxcl16	0.6726601505479731
11	0.3277997445493205	Perp	0.5315199608195247
16	0.4683066749996737	Ptprk	0.012953017073521292
31	0.9549132185781258	Slc6a15	0.53096413266126
52	1.691255597913111	Socs2	0.012580018237519109
25	0.6864922652371759	Plek	0.07317547100414526
70	2.5288729465956834	Btg2	8.935428643207673e-06
88	2.460258091413291	Stxbp4	0.03281873908870998
36	1.08278630195826	Id2	0.9934691689932849
76	2.461923787486312	Itgb3	0.000158216059992447
111	4.49893889319513	Trim47	0.047584235655802255
15	0.4106016565522948	Tc2n	0.36110286815740267
74	1.4233911341049863	Gadd45g	0.0018570121370656409
31	0.6787263466172071	Syk	0.023558509264993352
12	0.28084838993046685	Ocln	0.31302804396344375
18	0.5297740380250963	Arhgef28	0.05395232836378031
129	5.4315605102048865	Tsc22d1	0.02175945212239215
70	2.735315461049629	Clu	0.025575972759241363
57	1.522458644882707	Fyb	0.004187380186133431
81	2.623731308785641	Oxr1	0.05201235737011347
160	8.161689589166386	Ly6e	0.02689782788145721
85	2.9499379755222606	Alcam	0.035044645560506064
100	3.501915045525268	Muc13	0.00454631599652964
11	0.2961155866456168	Pros1	0.863349862187061
62	1.9434597775056153	Fhl1	0.18017801555571442
43	1.3444084335306274	Rfc2	0.05053440190420128
120	4.923249337711836	Tmem176a	0.7262550009338201
8	0.24369977792004635	Satb1	0.8170189865927094
38	1.0912967986393352	Enpp5	0.10966694680618612
57	2.0594066314782067	Ehd3	0.0018510630895006272
32	1.145958967718122	Vldlr	0.0023762228287163567
139	5.596529363571591	Cd63	0.6007737583967344
39	1.1000877150936492	Klhl4	0.0419773795154305
6	0.1765403193947538	Tmem47	0.3369864966953108
55	1.6987387084705283	Casp12	0.7986666335702491
37	1.1129698682360554	Rdh10	0.8886150309409819
84	2.6532428924908342	Selp	1.578177894408385e-06
45	1.270787121865598	Plxdc2	0.482986735556866
57	1.7470224375438868	Cytip	0.5361816412690543
9	0.27521625370362796	Stom	0.5721631803612581
