	GSM2336308_4m	 GSM2336309_4m	 GSM2336312_4m	 GSM2336316_4m	 GSM2336317_4m	 GSM2336319_4m	 GSM2336320_4m	 GSM2336321_4m	 GSM2336326_4m	 GSM2336331_4m	 GSM2336332_4m	 GSM2336335_4m	 GSM2336342_4m	 GSM2336345_4m	 GSM2336346_4m	 GSM2336347_4m	 GSM2336349_4m	 GSM2336354_4m	 GSM2336359_4m	 GSM2336367_4m	 GSM2336369_4m	 GSM2336370_4m	 GSM2336371_4m	 GSM2336375_4m	 GSM2336383_4m	 GSM2336384_4m	 GSM2336389_4m	 GSM2336390_4m	 GSM2336391_4m	 GSM2336392_4m	 GSM2336398_4m	 GSM2336399_4m	 GSM2336400_4m	 GSM2336401_4m	 GSM2336402_4m	 GSM2336404_4m	 GSM2336405_4m	 GSM2336406_4m	 GSM2336409_4m	 GSM2336413_4m	 GSM2336415_4m	 GSM2336417_4m	 GSM2336418_4m	 GSM2336420_4m	 GSM2336421_4m	 GSM2336424_4m	 GSM2336425_4m	 GSM2336428_4m	 GSM2336429_4m	 GSM2336432_4m	 GSM2336435_4m	 GSM2336437_4m	 GSM2336438_4m	 GSM2336441_4m	 GSM2336442_4m	 GSM2336444_4m	 GSM2336446_4m	 GSM2336453_4m	 GSM2336454_4m	 GSM2336455_4m	 GSM2336464_4m	 GSM2336466_4m	 GSM2336467_4m	 GSM2336468_4m	 GSM2336469_4m	 GSM2336470_4m	 GSM2336471_4m	 GSM2336476_4m	 GSM2336477_4m	 GSM2336478_4m	 GSM2336480_4m	 GSM2336481_4m	 GSM2336483_4m	 GSM2336485_4m	 GSM2336486_4m	 GSM2336487_4m	 GSM2336489_4m	 GSM2336493_4m	 GSM2336494_4m	 GSM2336495_4m	GSM2336112_18m	 GSM2336115_18m	 GSM2336116_18m	 GSM2336118_18m	 GSM2336119_18m	 GSM2336122_18m	 GSM2336126_18m	 GSM2336128_18m	 GSM2336129_18m	 GSM2336130_18m	 GSM2336131_18m	 GSM2336132_18m	 GSM2336133_18m	 GSM2336146_18m	 GSM2336149_18m	 GSM2336150_18m	 GSM2336156_18m	 GSM2336158_18m	 GSM2336159_18m	 GSM2336160_18m	 GSM2336162_18m	 GSM2336169_18m	 GSM2336170_18m	 GSM2336172_18m	 GSM2336173_18m	 GSM2336177_18m	 GSM2336183_18m	 GSM2336184_18m	 GSM2336186_18m	 GSM2336188_18m	 GSM2336192_18m	 GSM2336194_18m	 GSM2336195_18m	 GSM2336197_18m	 GSM2336199_18m	 GSM2336200_18m	 GSM2336201_18m	 GSM2336204_18m	 GSM2336207_18m	 GSM2336690_18m	 GSM2336691_18m	 GSM2336692_18m	 GSM2336693_18m	 GSM2336696_18m	 GSM2336698_18m	 GSM2336700_18m	 GSM2336701_18m	 GSM2336703_18m	 GSM2336707_18m	 GSM2336709_18m	 GSM2336711_18m	 GSM2336723_18m	 GSM2336726_18m	 GSM2336727_18m	 GSM2336729_18m	 GSM2336730_18m	 GSM2336731_18m	 GSM2336732_18m	 GSM2336733_18m	 GSM2336735_18m	 GSM2336737_18m	 GSM2336738_18m	 GSM2336739_18m	 GSM2336744_18m	 GSM2336745_18m	 GSM2336746_18m	 GSM2336747_18m	 GSM2336748_18m	 GSM2336749_18m	 GSM2336752_18m	 GSM2336753_18m	 GSM2336754_18m	 GSM2336756_18m	 GSM2336758_18m	 GSM2336761_18m	 GSM2336762_18m	 GSM2336764_18m	 GSM2336765_18m	 GSM2336766_18m	 GSM2336770_18m	 GSM2336771_18m	 GSM2336772_18m	 GSM2336774_18m	 GSM2336775_18m	 GSM2336776_18m	 GSM2336780_18m
Gnai3	0	0	171	0	0	0	0	0	0	67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	166	0	1	0	113	585	15	0	0	114	378	0	8	29	0	0	0	5	0	0	1145	39	0	1	0	2	0	19	0	66	0	21	19	0	0	128	0	1089	13	0	0	0	0	25	90	2	1	0	283	236	0	648	1	53	0	0	0	0	0	1	0	0	4	0	0	192	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	23	93	2	0	39	1	1	1	0	0	58	0	0	0	0	48	180	0	0	53	0	1	272	0	455	0	0	0	0	1	2	0	2	2	0	0	3	189	19	0	32	1	129	0	130	1343	0
Scml2	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Narf	0	156	0	0	0	0	0	0	0	0	0	0	0	17	166	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	55	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Cav2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	49	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	5	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf6	0	179	16	303	2	0	9	181	0	0	0	32	0	1	0	280	154	0	0	0	0	0	14	0	0	771	7	243	89	4	0	1	366	1	145	0	4	1	0	7	0	136	27	0	62	1	27	144	4	0	8	170	0	0	41	0	0	6	0	2	0	48	1	7	91	5	12	0	6	38	0	1	0	1	0	0	0	139	2	1	180	241	553	0	825	0	701	12	695	487	8	16	3	43	5	0	29	69	75	57	2	9	4	535	718	14	1	79	665	148	33	1	587	5	910	697	72	31	7	208	69	53	0	337	72	0	103	34	604	18	42	1274	45	37	25	460	7	11	66	31	31	1027	208	9	824	1397	91	1	14	8	12	78	16	0	10	119	0	2	160	163	27	0	0	31	667	1
Scmh1	0	87	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	2	0	0	127	30	42	63	0	0	23	0	15	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	30	200	0	0	166	0	0	0	0	224	0	45	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	178	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	30	0	0	0	0	0	0	0	0	0	0	18	34	0	0	40	0
Cox5a	53	9	0	3	0	0	0	0	0	8	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	137	8	2	0	0	139	0	2	181	0	27	0	0	2	0	24	0	6	28	0	71	0	0	0	13	0	25	2	0	0	8	1	0	11	1	31	40	0	50	21	0	45	26	0	24	0	0	35	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	54	0	0	0	0	2	0	9	0	0	44	0	0	54	17	0	0	40	0	36	7	6	0	24	0	13	0	0	68	0	0	0	1	29	30	0	0	0	70	0	0	12	42	77	0	0	0	0	0	0	0	0	46	0	21	0	16	31	42	0	0	48	5	0	0	9
Fer	265	0	0	9	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	179	0	0	223	0	10	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
Xpo6	0	0	0	0	9	29	0	0	0	0	14	0	0	131	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24	94	0	0	0	0	211	41	0	0	0	0	0	0	1	0	56	0	0	0	0	0	96	764	0	0	0	0	4	0	0	0	0	111	2	15	0	0	1	1	0	1	0	0	0	504	3	0	267	503	0	0	0	0	0	1	0	0	0	216	0	220	0	0	0	0	0	0	0	0	0	0	0	223	0	214	168	0	0	0	0	0	0	0	0	0	2	0	43	0	259	0	61	0	0	76	0	0	0	27	0	0	0	39	0	0	0	1	1	0	0	0	124	0	0	0	0	0	0	35	0	0	2	0	0	0	119	0	0	0	0	0
Tfe3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	1	106	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	63	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	91	197	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0
