Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Abat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998810061,0,0,0,0,0,0.996888018,0,0,0,0,0,0,0,0,0,0,0,10.56204688,0,0,0,0,1.034251327,0,0,0,0,0,0,0,7.593683504,0,0,6.889142414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abca4,0,0,0,0,0,0,1.94841177,0,0,0,0,2.670560195,0,2.521061462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.713539767,0,1.14847603,0,0,0,0,9.195296748,0,0,0,0,0,0,0,4.261545948,0,0,0,1.025178788,0,0,0,0,0,4.975904668,0,3.391724095,0,0,0,0,0,0,0,0,4.746857603,0,0,0,0,0,0,0,0,0,0,0,6.377982983,0,0,0,0,0,0,0,0,0,0,7.107827167,0,0,0,0,0,0,0,0,0
Abcb1a,0,0,4.263558314,0,0,0,0,0,0,4.335893375,2.791317446,0.842467943,5.150966293,8.291977098,0,0,6.776391808,0,5.719246735,0,5.128013416,0,0,0,0,0,0,0,0,0,0,5.149662153,0,0,0,0,0.884784109,0,5.477814279,0,0,0,0,0,0,5.378922624,5.256956769,0,0,0,0,0,3.396554404,0,0,0,1.835635933,5.151065229,3.187458266,1.476588447,0,0,0,1.390369894,0,0.997286634,6.557592259,0,5.912522408,0,0,0,5.171256633,0,0,2.959289005,3.881515622,5.884809038,0,0,0,0,0,4.734462301,0,0,0,0,0.969682729,3.119017463,0,0.927811959,12.23570787,0,3.59372942,5.32642442,0,0.988099603,9.829819163,0.950397505,6.490074262,0,0.949561634,0,5.970920162,7.730265478,7.718215223,0,0,0,0,0,0,1.418848834,0,4.337054011,0
Abcb1b,0,0,6.859371355,0,0,4.103321636,0,0,0,4.277828295,3.67188006,1.684935885,7.547676224,2.846656721,0,0,5.01287104,0,2.539724469,0.912299628,5.521977924,0,0,0,3.139089759,0,5.506373736,7.502198799,0,4.397732785,0,8.916181632,3.366175041,0,5.712960297,0,0,0,8.986609677,2.892082077,0,0,0,0,5.248043502,8.061765696,0,0,5.803798199,2.996430183,1.14847603,0,2.537979279,3.164846981,2.837699703,0.996888018,4.829429193,8.554893765,0,1.86324717,0,6.552008186,4.063249794,0,0,0,9.848135558,0,0,0.93543081,4.713681641,0,9.527407689,0.934981567,0,3.563339026,7.184785193,5.932611733,0,7.499035781,0,4.622934433,0.941036721,8.529257505,0,0,5.911806929,6.454675668,0,0,0,0.927811959,6.837709159,0,0,3.68579061,0,0,8.891950621,0,9.055963669,5.839957209,4.103937102,0.913114023,8.730791383,0,11.86884358,5.318570257,0,4.876245318,0,0.949569484,0,1.418848834,0,7.409274235,0
Acpp,6.615390631,0,0,0,1.19834932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.941219292,0.93012875,0.979439057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981824409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.869963134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42265564,0,0,0,0,0,0
Acsl4,0,1.00440706,7.369026525,2.164761637,11.09922506,6.428416665,1.94841177,0,0,0,0,7.808942084,7.567952982,0,11.45402847,8.40504742,0.888199641,0,7.671386777,4.476554467,0,9.884020783,9.039970551,1.722276991,7.024601412,0,0,0,4.523785616,6.252527387,0.958069127,10.60529152,3.217467197,4.372014117,2.274187065,7.616792768,5.785743804,1.80222268,0,0,8.717896054,1.005029767,0,4.995088879,0,10.30802253,0,0.900995535,1.171491365,0,8.745311729,0,8.406618607,5.571315694,0,0,0,0,3.187458266,3.807976786,8.773697797,6.645741922,8.130831757,4.462853329,9.50036766,0,8.350567137,0,9.23739143,8.418877293,6.882350665,0.932930931,8.220609354,4.229447045,5.090025077,3.081781923,4.811607539,6.562689779,2.608031266,5.859773774,7.248135004,7.082990041,1.882073441,8.373267368,0,0,0,0,9.058848463,9.804582064,0,9.312956107,1.571834526,5.441623618,0.898432355,6.650299255,6.606480425,0,0.956677078,0,7.942146136,7.985413455,0,8.354762401,2.401800315,0,6.636074794,5.219239862,7.952993791,3.714155938,7.186412364,7.479300136,8.024755058,1.418848834,0,4.931263947,0
Alcam,1.019029626,7.450543437,5.170613519,2.617330937,3.097688055,4.792440075,8.967357222,9.144258747,6.450390822,1.891353909,0.880562614,11.16643924,0,4.902679939,1.748882394,0,4.591925528,1.016361629,0.904668109,0,2.856936143,6.962411739,1.348197473,0.861138495,0,0.949731807,0,0,4.456546379,5.109153664,0,9.142666765,1.305274548,2.159692075,0.979439057,6.118003052,2.287133744,10.52846944,1.961629744,0.964027359,4.525181159,6.407104396,11.63595071,1.487624113,9.941347495,0,0,2.52941425,9.61730373,9.35953686,1.14847603,12.69892903,3.261550088,10.49589496,6.897530148,10.02399058,1.158157327,7.398004099,0.92138207,7.297305077,2.626235026,2.526131309,1.948835911,10.24669752,1.537889488,9.928636587,8.375246156,7.221763425,9.101779186,0.93543081,9.062881545,1.865861862,6.697535892,4.795785072,5.935563177,7.600051125,0.898098149,7.379226232,5.786569332,0,0,2.64174831,10.66175439,8.835327147,11.66385855,0,8.77641619,6.918063351,7.108663488,7.193351753,0,10.73024002,12.1450085,1.865841326,7.275534036,9.462631315,8.145874369,10.70631701,6.56087322,10.88271269,0,9.719060299,5.608956683,8.391357673,9.189471744,11.8387511,1.733889722,2.546075356,1.94216463,3.013546317,1.096394072,8.654131449,2.180078894,1.418848834,7.203603972,0.89276883,12.23485883
Aldh1a1,0,0,0,0,0,1.352846009,1.229310958,0.886585606,0,10.39107429,3.156783951,0,6.572788271,0,0,0,9.551003252,0,0,0,0,0,4.557229633,0,0,0,0,0,4.618283434,3.621037455,0,0,0,7.522381699,0,0.823833145,0,0,0,9.107246692,0,0,0,0,0,0,0,0,9.076941019,2.581886553,7.015493915,1.901839639,10.46010274,2.160344154,1.222130741,11.3084394,10.34319888,7.78647156,8.214931398,8.90663155,4.690063575,1.087945537,7.17787663,9.611215125,1.537889488,1.994573268,11.52224819,7.821454573,8.622413398,10.6532057,0.991333999,9.008777436,8.902142796,1.481910722,6.108428965,6.387218392,0.898098149,8.666605173,0,8.664226961,4.189252492,9.722722784,9.044327258,1.5781541,1.925723568,0,6.600099145,0,6.021199688,1.647841906,9.815790406,5.003056594,11.51073012,10.11871305,2.322413947,7.367071953,8.090420505,1.566100817,1.516297294,1.506344406,4.240784671,7.945022151,0.949561634,9.695796703,10.54407945,11.06889282,11.19388596,11.23431135,5.236384085,10.90188584,7.827761783,6.036937379,7.593390634,1.418848834,8.893607212,8.486492262,2.048017517
Amotl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905259364,0,0,0,0,0,0,0,0,0.980814872,8.035544349,0,0,0,0,0,0,0,0,0,3.696036421,0,0,7.274720876,0,0,0,0,7.329022464,0,0,0,0,0,0,0,2.577948552,0,0,0,0,0,0,1.639249569,0.934981567,0.897327822,0,0,0,0,0.91184755,9.807899974,0,0,0,0,0,0,6.341884458,0,0,0,2.154312655,0,0,7.835317683,0,0,1.566100817,1.913354156,6.229464889,0,0,0,0,6.71660769,7.662055738,0,0,0,0,0,0,0,0,0,0.89276883,0
Ampd3,0,1.591947526,2.106116965,1.864624182,0,1.707101599,0,2.488960464,1.70252759,1.498862511,0.880562614,2.365106526,3.267820962,2.694060635,3.95572627,0,2.062335699,2.032723257,2.100574299,1.824599257,2.47751925,0.920680844,2.942654457,1.722276991,1.751253888,1.505289299,1.779169566,2.052296709,2.419978512,2.715778092,1.518503639,2.69842073,1.912192649,1.860257499,3.253626122,0.823833145,0,1.80222268,7.042161614,2.706366951,9.338943143,2.333606853,3.576757815,0.938586315,3.236678103,0.830627555,2.649305189,8.764812893,3.713539767,5.899861756,1.14847603,2.786144712,1.963648818,7.441343992,7.612430802,0,0,1.123469435,2.139382915,0.931623585,8.845683722,3.763673191,0.974417955,0.877225735,0.970300236,5.343015006,2.363245574,5.418482241,2.939943008,1.482622756,2.562561212,4.097728782,2.673500896,1.481910722,0,1.411939683,3.508771213,3.379265735,2.786998444,0,2.935654765,9.470356989,3.924052549,3.156308201,4.203196604,1.44630416,3.004322832,4.169038346,7.233282012,3.958402163,11.94662569,2.604697471,0.99171717,5.792927349,3.108065296,6.054441116,7.980749883,2.294296228,2.221335385,4.751987524,9.596926323,4.577634564,2.454581215,1.447251485,5.21686944,9.741292836,4.561742059,4.317687921,2.254783309,2.457441176,0,2.665778566,2.63585045,0,2.49630898,1.785537661,2.377674705
