Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Mmp14,0,0,0,0,0,0,0,0,0,7.674512893,0,0,0,0,0,0,0,0,0,0,7.693849499,0.934420911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.696540288,1.358931475,0,0,0,0,1.072733474,0,0,1.052275231,0,0,0,0.993008724,0,0.823755532,0,0,0.977504851,0.953647808,0,0,0,0,0,0,0,0,0,7.387970496,0,0,0,0,0,0,0,0,0,0,0,0,0,1.456229236,1.412648613,0,3.185521039,8.600603153,0,0.940408371,0,0,0,0,1.497208817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.270885578,0,4.551806702,5.660592944,0,1.827954911,0,0,0,0,0,1.079848598,0,5.413504969,1.562615041,0,0,0,0,0,0,0,4.573295273,0,0,0,5.589159808,0,0,0,0,0,0,0,1.971584521,7.358648914,0,0,0,0,0.916776393,0,0,0,0,1.05026709,0,0,6.05897959,0,0,6.006724236,7.538578029,0,1.162522298,0,0
S100a6,5.43722646,6.837291845,0,2.645565141,7.547143585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.224713933,0,0,0.872494404,0,0,0,6.01321496,0,6.183208799,6.488556363,0,0,0,5.173934441,0,4.209742761,7.582829372,0.980274548,1.072733474,0,0,0,0,0,0,0,6.278843106,6.124316134,0,0,7.71722266,6.479479799,0,2.219800644,6.15250109,5.355364156,6.402652311,0,3.410114327,0,1.751321773,6.718227038,0,0,6.827739871,0,6.440374447,0,0,3.910026011,7.712113646,0,0,5.566655663,0,6.218461246,0,0,0,0,0,0,0,0,7.021082136,0,0,0,0,0,0,0,0,0,7.198158699,7.124537253,0,0,0,0,0,0,5.237080509,0,0,0,0,0,7.069350218,8.496782706,0,6.323178469,0,5.369053117,0,0,0,5.592445974,7.624832176,1.048485955,0,5.07806918,0,5.706454843,5.870385052,0,0,5.856940659,0,0,3.35710229,0,5.445792609,0,0,0,0,0,7.717309477,6.929116365,0,0,0,0.916776393,0,8.015608944,5.943709184,0,0,5.937326421,7.275014516,6.435392213,5.591310681,5.403259238,0,0,5.594819568,0,7.646778223,0
Ramp2,0,0,0,0,0,0,0,0,0,0,0,7.244422989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.855997798,0,0,5.666642334,0,8.147396152,0,0,0,6.435059693,6.985167602,2.104550461,0,0,0,0,0,0,0,0,0,0,0,0,0,3.963440446,0,0,0,0,0,0,3.18162488,6.963095095,0,0,0,0,3.928307743,0,0,7.000302151,0,7.243886388,0,0,0,0,6.261526204,0,0,5.68419883,0,0,0,6.072997879,0,2.422178019,5.231467408,0,7.69288067,0,0.915341027,0,0,0,4.339448475,7.374702383,0,4.666072191,0,0,0,6.835053721,0,0,0,0,7.322081103,0,0,0,6.955075476,0,4.41384102,0,6.416187897,0.985900323,1.000364778,0,6.531811746,8.511052321,0,0,0,0,1.151570308,9.375245489,6.021904441,0,0,0,6.672245516,0,0,0,7.335363507,0,0,5.617935324,7.015931662,6.875394596,0,0,0,0,9.65144778,8.027008276,4.683594268,1.094182958,0,0,0,0,3.15016939,0,8.702062316,0,0,1.401580725
Vwf,3.411580534,0,0,2.376364077,8.492731857,6.950615103,1.540049866,6.366559242,0,6.292182503,9.183883382,6.595029182,1.013298754,6.63483822,0,5.659026405,0,0,6.972002441,0,0,1.868841822,6.146512492,0,0,0,0,1.65598417,4.148612739,0,0,7.551963599,8.116957228,5.180012632,1.455582465,5.027947704,8.556167281,11.95626599,2.008660936,7.079290147,9.019685445,0,8.472300119,6.850829721,0,2.77142936,1.089833289,4.387908793,0,0,0,0.993008724,8.260931036,4.649157761,1.393100305,0,4.973019605,0,1.587895858,0,0,6.192257317,2.922183168,5.28433891,6.159280206,7.184715984,8.756608865,6.302196212,0.859796436,4.640521644,8.328494328,4.195969551,6.584643708,5.087021036,1.799781337,8.455725251,1.469554148,8.372123691,6.091137917,6.113544722,7.371723761,9.092535986,6.008548456,0.788457774,7.018049561,6.133930969,9.293676774,7.575255036,4.256783453,0,8.326544962,8.088075084,0.94463359,8.770253425,1.335331659,4.178611166,4.653992762,0,5.384624528,7.679943676,1.934223658,0,8.512286092,6.925498426,6.276215543,9.525285639,8.280265241,0,0,9.101488252,8.112843572,4.195961668,8.01666568,7.482687328,8.482415254,1.544195482,3.638334529,3.842039502,7.566419483,1.568251502,7.158701454,7.694231375,1.924057393,0,7.057856047,2.434508995,7.355285004,0,0,7.644682815,3.113053237,0,2.303140617,8.571415782,7.506607945,0,0,0,9.129984735,0,0,6.995680593,8.807036173,0,6.015430208,7.404459036,7.711634688,5.134968596,6.998346875,3.667105572,9.087244133,0,8.492629979,0,4.750948251,0,8.624776558,8.552207273,9.205418873,0,6.726003635,2.830954893,5.594819568,0,2.730706332,0
Rab34,0,0,0,0,0,0,0,0.91247009,0,0,0,0,1.606040528,1.649553684,1.007590961,0,0,6.396219561,0,0,0,0,0,0,0,0.994535316,0,1.65598417,0,0.95544375,0,0,0,0,3.379757819,0,0,8.211861186,0,0,0,0,0.923670436,0,0,0,0,0,0,0,0,0,3.436782742,0,0,0.971786452,3.098617066,0,3.175791716,0,0,1.697610273,0,0,0,3.156314923,0,0,0,2.783157264,0,0,0.927671731,0,4.070852528,0,0,0.934388603,2.623310313,0,0,0,0.891282041,0,0,0,0,0,0,2.237320056,0,0,0,0,2.365197854,0,0,1.138108107,0,0,0,0.982975787,1.520452947,0,0,0,7.483295995,0,0,0,1.860509414,0,4.239066547,0,0,0,0,0,0.924439184,0,0,0,0,0,0,0,0,0,0.926599359,0,0,0,0,0,2.218102067,0,0,0,0,0,3.517234105,0,0,0,2.4203483,0,0,1.539851147,0,0,1.823952884,2.376092039,0,0,2.438644663,0,5.424838986,0,0,0,0.993767798,0,0,0,0,0
Tbc1d8,0,1.131179025,0,0,1.943090758,0,0,0,0,0,0,2.923248924,0,1.649553684,1.007590961,0,0,6.173039845,0,0,0,0,0,0,0,0,1.952815063,0,0,0,0,0,0,0,0,0,0,0,0.865083178,0,0,0,5.186141492,0,0,0,4.786893742,0,0,0,0,1.986017448,0,1.305621629,0,0,0,0,0,5.949385064,2.559620078,0,0,0,0,0,4.066443228,6.227155498,0,0,0,0,0,0,0,0,0,0,8.315696947,0,0,2.133337271,4.775089886,0,7.390263727,0,0,0,0,0,0,0,0,0,0,0,7.704474645,0,6.242789613,0,9.330171166,0,0,0,0,0,0,0,7.306969636,0,0,0,3.898741016,0,0,2.735146595,0,0,0,0,0,0,1.213945057,0,0,6.193291825,1.03319931,0,0,5.560450075,0,0,0,0,0,0,0,4.721460945,4.453080977,4.363495228,0,0,0,0,0,7.701010549,0,0,0,0,0,0,0,0,0,0,0,0.998827976,0,0,2.307457371,5.471880537,0,0,3.795613535,0
Gstm7,0,0,0,0,0,0,0,0,0,5.97458869,0,0,0,0,0,0,0.996431715,0,0,0,0,0,0,1.689709073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.268366207,0,0,0,0,0,7.971780691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9165818,0,0,0,0,6.672000468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.010549636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.569681162,1.195823963,0,0,0,0,2.571091202,0,0,0,0,0,0,0,0,0,1.621935144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndrg1,6.209632339,0,7.226802729,3.399808379,0,0,0,0,0,0,0,0,7.446457086,6.598214735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895985181,0,0,0,0,6.035927491,5.173934441,0.826064513,0,0,0,0,0,5.800014398,0,0,0,0,0,0,0,0,0,0,0,1.001850742,0,0,0,0,2.712432171,4.706678129,0,0,3.271142009,0,0,0,0,0,3.98235206,0,0,0,5.006035535,0,0.934913021,0,4.551808326,0,6.140432317,3.932743315,6.964034027,0,4.568485996,8.538703362,0,0,0,5.750421879,0,4.956129561,0,0,0,0,0,7.089816432,0,0,4.530514608,0,0,0,0,0,0,4.208064803,4.487275941,2.801498919,0,4.688049041,0,0,0,4.490907987,5.720404144,4.319394394,3.13718772,0,5.246890625,6.572252147,1.048485955,0,6.803196921,5.058705836,6.530445643,0,0,1.825195756,3.874871896,0.955284564,0,6.406689072,2.962591922,0,7.167101499,0,0,0,0,8.212384518,2.266671913,0,0,1.008042096,0,0.911976442,0,0,0,0,6.93695583,0,0.998827976,5.285295911,1.02229859,0,7.279856311,0,0,7.459158144,0
Mcm5,0,0,0,0,0,0,0,0,0,0,0,0,6.033379705,5.500795568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3111238,0,0,0,0,0,2.153855429,0,5.675067309,0,0,0,7.324059443,4.257859426,0,0,0,0,0,0,0,0,0,0,0,0,1.400538273,7.108818574,0,0,0,0,5.437403388,0,0,0,0,0,0,8.143174004,0,0,0,0,0,2.623310313,0,0,0,0,0,0,0.959578595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.329167766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39941918,0,0,0,6.489311724,0,1.583104887,0,0,0,0,0,0,0,0
Mef2c,2.790798099,0,3.127286035,8.956717898,5.022816746,0.920052069,5.914964124,4.82277144,6.969953961,5.204877842,8.125591673,8.664299048,7.607638958,7.451653987,0,6.107644312,6.262974114,8.052400752,6.495227577,0,3.869578666,2.803262732,4.138070131,3.923382968,7.005210947,0,3.905630127,0,6.10746083,4.543027545,7.635357695,3.417509737,9.774309966,0,5.541919061,0,0,4.229206084,7.058967429,8.329275612,4.81834345,8.059775088,7.929676059,7.8366612,0,8.995856135,5.497548633,4.692549435,5.84112968,1.398879424,9.158827347,8.862416677,7.499076187,9.207461183,4.416023485,1.540245084,0,3.02299203,3.465834135,6.05302571,3.839430117,4.704491858,8.892784812,5.991930716,8.466882779,6.670185888,7.922212545,0.88398738,4.088235326,0,8.088410949,0,2.604303799,3.360834843,4.323387039,0,0,1.868777207,0,7.166422363,9.639061123,7.809474404,5.030267665,6.271547918,7.0570478,4.753940733,7.555979065,8.721155016,8.320055861,5.668287191,4.804476213,6.102990561,0,8.986673029,6.249544265,0,6.540563024,6.903865288,7.888761834,6.375449606,7.313534104,0,7.742945798,9.077806023,0,10.74687907,0,7.2983186,2.255083189,5.519788341,7.404829266,3.189717751,4.383155266,5.147039607,7.597787612,0,8.027938123,6.982868883,7.229279859,7.190169424,1.079848598,5.895790875,0,5.535544246,1.000364778,5.617318028,9.096422096,8.72954646,6.873377383,7.450797318,8.167992113,5.941631901,2.303140617,8.514684731,7.818885069,7.852794824,3.35710229,5.215271059,6.550477765,0,1.900981706,6.95118235,8.179609108,8.576626278,7.190163816,5.879050261,6.949705362,5.134968596,1.008042096,0.916776393,6.924141956,0,7.093768571,8.715634028,7.901749521,1.734238958,0,5.279207602,8.116090041,4.418300999,3.301225169,4.68289467,0,8.226955933,5.262398526,0
