Genes,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,
Abca4,4.237280339,0,0.96692698,0,0,0,4.653367937,0,0,5.277704482,0,0,0,5.633568705,0,0,0,6.234588669,0,0,5.477787159,0,0,0,0,0,0,0,0,0,0,0,0,0,1.102163973,0,0,0,0,0,0,0,0,0,0,0,6.134473778,3.656451317,0,0,0,0,0,0,0,0,0,7.300962648,0,0,0,0,5.838028715,0,0,0,0,0,0,0,0,0,0.931405076,0,0,0,4.569164216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62000659,0,0,0,0,0,0,0,0,0,0,2.230877776,0,0,0,0,4.95686245,0,0,6.692248463,0,0,0,0,0,0,0,5.270741191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.322534262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57340443,0
Abcb1b,6.359060778,0,0,0,0,6.571358672,6.127837578,4.506002847,0,0,0,0,1.57434109,0,6.313376449,0,3.481824922,0,0,0,0,5.681480791,2.739679672,0,2.094094818,1.565438493,0,0,0,2.452386595,0,6.409035405,5.969482048,0,0,1.852396452,5.558035745,0,0,0,0,0,0,0,4.60090776,0,1.448101782,0,0,2.651161422,0,0,6.613256864,0,2.423828758,0,1.590458888,0,0,0,0,0,0,6.91945213,0,0,0,1.002815844,6.633731554,0,0,0,3.807083639,5.589014783,6.129294277,0,0,0,5.075916229,3.266576556,5.375658432,0,5.742709512,6.03047796,0,0,0,2.116676894,0,0,1.603069136,3.742356542,2.473516751,2.571287896,7.019759392,0,0,7.577384374,0,7.319226871,0,0,2.8139387,1.558169963,4.484930258,0,0,0,0,0,0,0,0,3.051545305,6.818895655,2.72079473,0,0,0,0,3.688785797,0,0,1.115438888,0,0,5.408015293,0,4.95686245,0,0,5.483876232,0,0,0,0,2.7293759,0,5.515264805,1.521149053,0,0,0,0,0,0,0,1.604528356,0,5.252903313,0,0,0.986345472,0,0,0,5.55853744,2.622422271,0,0,0,0,0,0.996582698,0,0,4.592391853,0.977143426,2.218301427,0,0,0,0,0,0,0,0,0,0,3.295579096,0,0,0,2.376798965,7.198134347,0,0,3.317146088,5.046021793,0,0,4.831371276,4.412633491,0,0,0,0.974780985,0,0,0,0,0,4.187881752,0,0,0,0,0,0,0,6.494677739,5.38135107,0,0,6.409070812,0,0
Acpp,0,0,5.965866951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.483171842,0,0,0,7.031247984,0,0,0,0,5.984954479,0,5.649485756,0,0,0,0,0,0,0,6.926664866,0,0,0,0,0,0,0,0,0,7.907283462,0,0,0,6.269697245,0,2.006935668,0,0,0,0,0,3.366043521,0,0,0,6.504847795,0,0,0,7.760587027,0,4.922850457,0,0,0,0,0,0,0,0,0,2.804123598,3.429029556,0,0,0,0,0,5.538610905,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966191581,5.188575746,0,0,0,0,0,0,3.543101539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.979809271,0,0,0,0,6.480147333,0,0,0,0,0,0,0,0,3.753955034,0,0,0,0,0,0,0,0,5.72056895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86036824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acsl4,4.845804758,0,7.610067993,1.018543491,4.197155965,3.994589744,6.837722675,0,6.59668131,6.077812994,2.75744478,0,0,6.042595928,4.080751617,7.433220015,3.60816838,4.070246166,0,3.102523668,5.928815237,5.076320174,0,0,3.753625698,0,0,0,0,0,0,1.683330169,0,0,0,0,3.695136647,4.824070842,4.387968404,0,0,0,5.752790917,1.845777292,3.955096623,0,6.002551865,4.270551848,0,0,4.898407597,0,0,6.19408132,0,0,4.18438561,6.574781734,0,0,5.122632699,3.911796724,2.919014357,5.699378848,0,6.077633823,5.346939564,5.539115443,6.000906891,5.517536642,6.385237083,0,0.931405076,5.118644707,0,5.842115943,0,5.929013866,0,6.388549553,0,3.571231998,6.21200416,2.39536744,5.274722941,7.911142812,7.03825338,7.174649027,0,4.767842197,7.947750687,4.751537147,0,0,6.246220698,5.589139577,4.363575106,2.336110812,3.387991902,2.254896025,4.108773258,0,0,6.025672333,0,3.151383463,3.002084928,6.756224913,1.053456277,0,0,6.467677933,2.677036771,0,0,0,0,5.121363315,0,1.498117906,6.326383158,6.156211612,5.01323557,2.589968893,6.578517281,4.241164902,4.12201981,0,5.343595133,0,3.78928423,5.625567537,0,5.59821516,0,0,0,4.279948188,5.734881874,5.523185357,0,0,5.497111724,0,4.845569435,2.56016467,5.17503175,0,0,0,6.528387465,0,4.262914208,0,0,0,0,0,0,0,6.87172646,3.753955034,5.703973835,5.070077446,2.992396245,0,0,5.012045178,4.436602854,0,0,0,4.56101871,0,0,0,6.153099848,2.375586429,0,0,0,1.623398434,4.824420714,0,0,5.301550026,5.304680724,0,2.808824516,5.474070118,0,0,3.47543275,1.817594058,0,0,6.280458806,0,6.768476012,6.780420621,0,0,0,7.157806562,0,0,0,0,6.90893625,0,0,6.014527569,0,9.630670704,5.317697575,3.635842849,7.293768182
Alcam,0,0,0,0,3.326167407,6.68185718,0,4.804544268,4.337986843,4.778231294,6.136849663,0,4.060071264,4.538755835,3.310990226,6.005619455,5.621114612,0,0,0,0,0,0,0,1.65953088,0,6.556295768,1.819481916,0,0,0,0,1.883161919,0,0,0,0,6.655717702,0.983974815,0,0,0,3.03157082,0,0,2.753044519,6.95718346,0,0,0,0,3.304073141,0,2.431519988,0,4.688469531,3.820558197,3.123536635,0,1.004902202,0.998703461,7.427984514,3.48818567,0,6.302521538,4.683762785,2.687709559,0,0,7.161557845,0,5.64666615,0,0,5.163111277,4.336979762,0,7.225105722,3.080426417,6.612848246,0,0,7.396996411,0,4.580922502,0,5.714180827,6.987744131,0,6.339152193,0,0,2.473516751,0,4.148680978,0,0,0,0,4.50979205,0,0,0,3.265773526,5.322734692,3.151383463,0,3.209736366,5.219029198,0,0.976700072,0,0,4.577317958,0.978912837,6.36728487,6.4583905,0.983090347,0,0,1.888348653,0,0,0,0,0,0,0,0,1.004789352,4.18559946,2.202451832,0,3.912708921,0,0,0,0,0,0,6.142124798,0,0,0,0,0,5.061965943,3.955119911,0,0,0,0,7.213028993,0,0,0,0,0,0,0,0.988140995,0,0,0,0,0,0,0,0,0,0.980743497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.674778256,0,0,0,0,6.300573451,3.808362662,0,5.112053871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.698382458,0,0
Aldh1a1,0,6.130003774,0,7.022671757,7.554536932,7.442890689,3.549061483,6.653731308,0,6.196631673,7.405124997,6.453221322,8.344582082,6.545473497,6.092460174,6.813730526,0,5.970507943,7.583843217,7.903403629,5.773509407,6.362091177,6.661600965,4.30327349,6.581114107,6.03327796,7.403041813,7.437064721,4.96318202,6.703688122,8.149879111,0,7.697354367,8.728040949,6.987554266,6.640771818,0,7.892942082,1.559563184,5.802077272,6.655316015,7.332303434,8.08089755,7.539931022,6.857946223,7.641010354,0,0,4.88456824,0,0,0,0,0,0,7.181337587,0,6.298772887,0,6.827723465,7.498060489,6.709907069,5.770635813,2.871611155,0,5.242321452,6.733668795,7.528935416,3.073195473,7.216680871,7.098800101,8.489718587,5.801553347,7.663706756,5.721793901,5.328931478,3.21973504,7.309470979,7.220178252,7.623296477,5.54672305,5.48451293,8.293183367,6.615898236,7.827907794,7.807333338,5.485506009,8.17323692,5.885082181,3.594729734,5.228986302,6.838958411,3.538802431,8.026307243,3.588019538,3.810202499,6.356408317,7.130754227,6.669204289,8.117256275,3.941340199,3.654124108,0,0,7.569738459,3.151383463,4.758192035,0,7.466332215,5.476137265,4.838763893,7.325738315,5.548383666,5.19094329,8.198433609,4.971129975,7.483432482,7.675335257,0,3.941442974,7.073615352,7.336215503,5.822735408,0,5.495314357,0,0,0,0,0,6.983925846,0,0,7.511871841,0,7.295486125,0,4.201357697,6.546625379,5.175213003,0,0,6.028134426,3.45808265,5.769742932,5.942441337,7.237950072,0,6.30013585,7.003937322,5.924960412,0,0.986345472,0,0,0,6.160537613,7.428033209,4.506774941,0,0,0,0,0,7.617268947,6.074878372,6.559996467,5.269067519,0,5.697482595,0,0,5.634678164,0,8.487459413,0,0,5.887879421,0,2.960235474,0,0,7.477538792,0,0,4.330469079,7.634550273,4.185772327,0,0,0,0,0,0,0,0,7.604168887,0,4.9386941,0,7.340622064,8.011718151,0,4.829732046,2.504679687,0,0,0,0,0,0,7.3882749,0,0,7.068660822,4.504924926,0
Amotl2,1.99498712,0,0,0,4.288929761,0,6.311197647,0,0,4.446987854,0,0,0,4.770858365,0,0,5.392232062,0,0,0,0,0,0,0,5.281719792,4.268689387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.449632518,4.754114586,0,0,0,3.948731767,0,5.505534778,0,0,0,0,0,0,0,7.922195682,0,0,0,0,0,0,0,2.457520808,4.516379562,0,0,0,0,0,0,0,0,5.830077464,3.524621277,0,0,0,0,0,6.811043947,0,0,2.701300813,0,0,0,0,0,4.217562287,4.893515336,0,0,0,0,5.288857301,6.984920522,4.849448842,0,5.88962341,0,0,0,3.720169897,0,0,0,0,7.117206839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.252432881,0,0,0,0,0,0,4.030151809,0,0,0,0,4.463701669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.156821387,0,0,0,0,0,0,0,0,2.555569702,0,0,0,0,0,0,0,0,0,0,0,6.797566628,0,0,0,0,1.674778256,0,0,0,0,0,0,7.08602795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ampd3,0,5.779960671,0,0,4.099457292,0,0,6.683789312,0,2.659761244,5.729190847,2.413081314,0,6.149870242,0,0,0,0,0,0,0,2.402101739,0,0,0,0,0,0,0,0,0,0,0,0,0,5.330166596,0,0,0,0,6.260715199,2.123673254,0,0,5.568524293,0,0,0,6.76938135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.313517771,0,0,4.757159273,0,4.865751927,0,0,0,0,0,0,0,0,0.911188487,0,0.914085488,2.483393197,0,0,0,0,6.339467048,0,1.002724501,0,0,5.007311124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267827337,0,0,0,0,0,5.016293677,0,0,0,0,4.712848839,0,0,0,0,0,0,0,0,0,0,6.354066379,4.636283887,0,2.199821675,0,0,0,0,0,0,0,0,0,0,0,0,6.209877777,0.97414579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.555569702,0,0,0,0,0,0,0,6.235086093,0,0,0,0,0,0,2.523010897,0,0,0,0,0,0,0,0,0,0,3.457240858,0,0,1.511192133,5.773585404,0,0,0,0,0,0,0,0,0,0,5.678734973,0,4.515249912
Antxr2,0,0,0,0,0,0,1.569090154,3.495559537,0,0,0,0,0,0,0,0,2.012946233,0,0,6.001099952,1.847079796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940640333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.092165209,6.253682358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.773291198,7.281921509,5.97529898,0,0,0,0,7.496735889,7.488406215,0,0,0,0,0,0,0,0,0,1.012559087,1.053456277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.885727211,2.061009905,0,0,0,1.024009177,0,5.069575429,0,0,0,5.339307607,0,0,5.036636492,0,0,5.092334252,6.062947759,0,0,0,0,0,0,7.051141057,5.889667211,0,0,0,0,0,0,6.385605578,6.959496688,0,0,0,0,0,0,0,5.862860554,6.811106133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.848161843,0,1.104936053,0,0,0,0,0,0,5.82653881,0,0,0,6.825142035,0,0,0,0,0,0,0,0,0,0,0,0,5.873296642,0,0,6.721349992
Anxa2,0,0,5.844487754,0,0,4.585597651,0,0,0,0,5.80187582,0,0,0,0,0,0,0,0,4.569663488,0,0,0,0,5.878867394,0,0,0,0,0,0,0,0,0,6.22045496,0,0,0,0,0,0,0,0,0,0,0,0,6.210685479,0,0,0,0,0,0,0,0,0,0,0,0,0,4.868819914,0,4.696893924,0,0,0,2.005631687,0,0,5.178194926,0,0,5.560714755,0,0,0,2.516338079,7.488082681,0,0,3.382518247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.437458331,0,0,6.531510885,0,5.975531709,0,0,6.274109902,0,0,0,0,5.588817101,4.804020987,0,0,0,0,0,0,5.501955578,0,0,0.987520472,0,0,4.967220592,0,0,0,0,0,0,0,0,0,0,0,0,0,6.547413757,0,0,0,0,0,0,0,0,0,0,0,5.486376811,0,0,6.252278465,0,6.883978699,0,0,0,5.089151819,5.993355342,0,0,0,0,0,0,6.278046497,0,0,0,6.44434897,0,0,0,0,0,0,0,3.607118273,0,5.868110891,3.968746873,6.051473328,0,0,0,6.620676631,0,0,0,5.481372197,8.681062165,0,0,0,0,0,0,7.183036838
