Beerman_Combined Old to Young 				
Feature	Gene	FC	Feature P	FDR (BH)
1424054_at	Btbd2	3.09	3E-04	2E-02
1417818_at	Wwtr1	10.25	4E-04	2E-02
1434064_at	Orai3	7.26	5E-05	8E-03
1443832_s_at	Sdpr	6.37	2E-07	2E-03
1452365_at	Csgalnact1	7.67	3E-07	2E-03
1450534_x_at	H2-K1	4.8	2E-05	6E-03
AFFX-b-ActinMur/M12481_5_at	Actb	8.21	3E-05	7E-03
1416013_at	Pld3	6.57	5E-06	4E-03
1419103_a_at	Abhd6	2.49	7E-07	2E-03
1423974_at	Numa1	3.18	1E-04	1E-02
1416660_at	Eif3a	9.59	5E-04	2E-02
1421814_at	Msn	3.6	1E-04	1E-02
1427548_a_at	Clns1a	3.24	4E-04	2E-02
1416138_at	Anxa7	3.3	2E-06	4E-03
1460700_at	Stat3	6.54	7E-04	2E-02
1417604_at	Camk1	5.15	4E-05	8E-03
1428245_at	G6pc3	4.55	4E-06	4E-03
1452428_a_at	B2m	2.37	2E-04	1E-02
1416066_at	Cd9	8.11	9E-05	1E-02
1431146_a_at	Cpne8	5.62	2E-05	6E-03
1427986_a_at	Col16a1	6.72	6E-06	4E-03
1417308_at	Pkm2	4.54	2E-05	6E-03
1416226_at	Arpc1b	2.7	5E-04	2E-02
1423815_at	Ddx56	3.32	4E-06	4E-03
1447883_x_at	Map1lc3a	4.25	1E-05	4E-03
1422801_at	G3bp1	3.06	2E-05	5E-03
1451249_at	Trmt1	2.56	5E-05	8E-03
1423642_at	Tubb2c	3.62	3E-05	6E-03
1453063_at	Cltb	5.12	2E-04	1E-02
1423165_a_at	Mta2	3.31	1E-03	2E-02
1448324_at	Rnps1	2.88	6E-04	2E-02
1451207_at	Cbara1	4.24	7E-06	4E-03
1433541_a_at	Ubap2l	2.92	1E-04	1E-02
1424480_s_at	Akt2	3.43	9E-06	4E-03
1451784_x_at	H2-D1	2.13	3E-04	1E-02
1450409_a_at	Slc48a1	3.79	8E-04	2E-02
1438164_x_at	Flot2	2.89	1E-05	5E-03
1426674_at	Eif3b	2.24	1E-05	5E-03
1436907_at	Nav1	2.98	3E-04	1E-02
1423493_a_at	Nfix	3.49	2E-05	5E-03
1424064_at	Rab1b	2.88	3E-04	1E-02
1452481_at	Plcb2	2.78	2E-04	1E-02
1425523_at	Rbm25	2.14	7E-04	2E-02
1452927_x_at	Tpi1	2.65	1E-04	1E-02
1437859_x_at	Eif5a	2.26	1E-04	1E-02
1429040_at	6820431F20Rik	2.61	2E-05	6E-03
1423884_at	Cirh1a	2.84	2E-05	6E-03
1448577_x_at	Syngr2	2.31	2E-04	1E-02
1424562_a_at	Slc25a4	2.33	3E-04	1E-02
1452174_at	Srebf2	2.93	7E-05	1E-02
1415985_at	Sf3b3	3.63	4E-04	2E-02
1448668_a_at	Irak1	2.33	3E-05	6E-03
1456312_x_at	Gsn	2.37	5E-05	8E-03
1448592_at	Crtap	3.16	4E-05	7E-03
1425228_a_at	Dguok	5.42	8E-04	2E-02
1422456_at	Nsf	2.5	7E-05	1E-02
1416683_at	Plxnb2	3.7	4E-05	7E-03
1430527_a_at	Rnf167	3.51	1E-04	1E-02
1448169_at	Krt18	2.48	1E-04	1E-02
1416443_a_at	Sae1	2.63	8E-05	1E-02
1455884_at	Dpp9	2.29	2E-04	1E-02
1416894_at	Hspbp1	3.64	5E-04	2E-02
1426300_at	Alcam	4.17	5E-04	2E-02
1419687_at	Macrod1	2.74	6E-04	2E-02
1460039_at	Clec1a	3.32	3E-04	2E-02
1433429_at	Pigs	2.65	2E-04	1E-02
1417177_at	Galk1	2.48	7E-05	1E-02
1415922_s_at	Marcksl1	2.11	1E-04	1E-02
1438739_at	Cnbp1///---	2.81	9E-05	1E-02
1427730_a_at	Zfp148	2.54	1E-04	1E-02
1422962_a_at	Psmb8	3.14	1E-04	1E-02
1429039_s_at	Dda1	2.26	8E-05	1E-02
1429117_at	Tradd	2.35	1E-04	1E-02
1426875_s_at	Srxn1	2.61	1E-04	1E-02
1455892_x_at	---	2.24	1E-04	1E-02
1459903_at	Sema7a	4.55	4E-04	2E-02
1451104_a_at	Snrnp70	2.21	1E-03	2E-02
1451328_at	Pcnxl3	2.78	1E-04	1E-02
1433485_x_at	Gpr56	2.59	1E-04	1E-02
1423074_at	Lman2	2.12	1E-04	1E-02
1449116_a_at	Dtymk	2.27	4E-04	2E-02
1423716_s_at	Atp5d	3.29	7E-04	2E-02
AFFX-GapdhMur/M32599_M_at	Gapdh	3.15	9E-04	2E-02
1428127_at	4921506J03Rik	2.5	6E-04	2E-02
1416230_at	Rfk	2.46	8E-04	2E-02
1437405_a_at	Igfbp4	2.68	2E-04	1E-02
1426631_at	LOC100047009 /// Pus7	2.51	1E-04	1E-02
1418980_a_at	Cnp	3.45	8E-04	2E-02
1423449_a_at	Actn4	2.35	6E-04	2E-02
1418112_at	Mrpl10	2.91	4E-04	2E-02
1423416_at	Smarcc1	2.03	2E-04	1E-02
1449508_at	Il27ra	3.21	6E-04	2E-02
1460387_a_at	Siae	2.73	8E-04	2E-02
1450081_x_at	Gpi1	2.65	6E-04	2E-02
1415687_a_at	Psap	3.38	3E-04	2E-02
1449042_at	Ctcf	2.96	1E-03	2E-02
1420920_a_at	Arf1	2.99	7E-04	2E-02
1437122_at	Bcl2	2.7	9E-04	2E-02
1452988_at	2610306M01Rik	2.72	9E-04	2E-02
1417605_s_at	Camk1	3.4	3E-04	2E-02
1451643_a_at	Rab4b	2.1	4E-04	2E-02
1455606_at	N4bp1	2.7	4E-04	2E-02
1426138_a_at	Ube2j2	2.37	5E-04	2E-02
1417962_s_at	Ghr	2.65	3E-04	2E-02
1433646_at	Mrps27	2.95	9E-04	2E-02
1423206_s_at	2310003F16Rik	2.1	8E-04	2E-02
1456212_x_at	Socs3	4.25	6E-04	2E-02
1448286_at	Hsd17b10	2.55	7E-04	2E-02
1418258_s_at	Dynll2	3.04	3E-04	2E-02
1428563_at	Ddx10	3.22	5E-04	2E-02
1418345_at	Tnfsf12 /// Tnfsf12-Tnfsf13 /// Tnfsf13	2.39	5E-04	2E-02
1451019_at	Ctsf	3.13	4E-04	2E-02
1451099_at	Esyt1	2.31	9E-04	2E-02
1415742_at	Aup1	2.27	9E-04	2E-02
1422632_at	Ctsw	4.06	5E-04	2E-02
1454773_at	Rxra	2.02	5E-04	2E-02
1417816_s_at	Serinc3	2.02	6E-04	2E-02
1454860_x_at	Dad1	2.07	5E-04	2E-02
1415756_a_at	Snapin	2.04	1E-03	2E-02
1424034_at	Rora	2.41	5E-04	2E-02
1424093_x_at	Cd151	2.12	7E-04	2E-02
1451049_at	Bcap31	2.14	6E-04	2E-02
1452162_at	Wdr48	2.88	7E-04	2E-02
1452390_at	AA881470	2.25	7E-04	2E-02
1416881_at	Mcl1	2.03	1E-03	2E-02
1439764_s_at	Igf2bp2	-10.42	5E-07	2E-03
1444103_at	Epsti1	-3.74	5E-05	8E-03
1458679_a_at	Tatdn1	-2.4	1E-06	2E-03
1448921_a_at	Mrps9	-2.46	2E-04	1E-02
1434003_a_at	Dhps	-4.28	5E-06	4E-03
1423350_at	Socs5	-2.55	8E-05	1E-02
1439622_at	Rassf4	-4.84	1E-04	1E-02
1437791_s_at	Eml5	-4.12	1E-04	1E-02
1434974_at	Pdk1	-4.35	1E-04	1E-02
1416474_at	Igdcc4	-5.88	2E-06	4E-03
1449749_s_at	Tfb1m	-3.43	7E-06	4E-03
1435735_x_at	H47	-3.22	3E-06	4E-03
1429599_a_at	Mthfd2l	-4.69	5E-05	8E-03
1424873_at	Rnf2	-2.04	4E-05	7E-03
1417478_a_at	Ppp2r3c	-3.15	1E-05	5E-03
1420907_at	Cd2ap	-2.35	2E-05	5E-03
1429260_at	1810014B01Rik	-2.77	6E-06	4E-03
1440587_at	---	-5.05	2E-04	1E-02
1456360_at	Tes3-ps	-10.08	1E-04	1E-02
1439766_x_at	Vegfc	-5.64	6E-06	4E-03
1429205_at	Mllt3	-2.2	5E-06	4E-03
1419668_at	Sgcb	-3.07	9E-06	4E-03
1448892_at	Dock7	-2.25	5E-06	4E-03
1451219_at	Ormdl1	-2.58	5E-06	4E-03
1446827_at	Ncoa2	-2.66	3E-04	1E-02
1436697_at	---	-4.57	3E-04	1E-02
1423674_at	Usp1	-6	8E-06	4E-03
1438118_x_at	Vim	-3.51	2E-05	6E-03
1429870_at	Tnik	-3.22	4E-04	2E-02
1448765_at	Fyn	-2.96	2E-05	5E-03
1456430_at	Ttc14	-4.01	1E-04	1E-02
1448704_s_at	H47	-2.68	1E-05	5E-03
1455310_at	Rbm16	-3.26	2E-04	1E-02
1453424_at	Fyco1	-2.69	4E-04	2E-02
1452859_at	1200016B10Rik	-2.84	1E-05	5E-03
1436766_at	Luc7l2	-4.58	1E-05	5E-03
1423298_at	Add3	-4.38	3E-05	6E-03
1450079_at	Nrk	-3.16	4E-04	2E-02
1423829_at	Fam49b	-2.93	5E-04	2E-02
1438294_at	Atxn1	-2.71	9E-05	1E-02
1452172_at	Fastkd2	-2.41	1E-03	2E-02
