gene list from pdf appendix
ID	Gene	pseudo_fold
0	Tdrd9	1
1	Gpr183	1
2	Zg16	1
3	Trpc1	1
4	Gpatch8	1
5	Tmem47	1
6	Zbtb20	1
7	Clec1a	1
8	Fyb	1
9	Gm106	1
10	Klhl4	1
11	Itgb3	1
12	Csprs	1
13	Fhdc1	1
14	Chd7	1
15	Chd7	1
16	Fap	1
17	Igsf10	1
18	Gm5589	1
19	Rgnef	1
20	Ccl19	1
21	Sytl5	1
22	Tc2n	1
23	Ptprk	1
24	Mir674	1
25	Gm7609	1
26	9930021J03Rik	1
27	Osmr	1
28	Plscr2	1
29	Clec1b	1
30	Clec9a	1
31	Alcam	1
32	Slamf7	1
33	Krtap4-13	1
34	Tnfrsf26	1
35	Gm4871	1
36	F630111L10Rik	1
37	Olfr653	1
38	Fetub	1
39	Mab21l2	1
40	Tmem215	1
41	Selp	1
42	9530091C08Rik	1
43	Acp1	1
44	Szt2	1
45	Runx1t1	1
46	Epha4	1
47	Dntt	1
48	Tspan32	1
49	Tmem144	1
50	Bhlhe41	1
51	Snora43	1
52	Mgl2	1
53	Gm2a	1
54	Gda	1
55	St3gal1	1
56	Adra1a	1
57	Krtap20-2	1
58	Pcdh18	1
59	Clca1	1
60	Olfr65	1
61	Il11ra1	1
62	Nefh	1
63	Krtap5-2	1
64	C87414	1
65	Lonrf3	1
66	Olfr901	1
67	Abca4	1
68	Hpgds	1
69	Sytl5	1
70	Mir383	1
71	Dennd4a	1
72	Dennd4a	1
73	Slc16a4	1
74	Mir455	1
75	Fcer1a	1
76	Mir370	1
77	2210012G02Rik	1
78	Slc12a3	1
79	Ecscr	1
80	Agmat	1
81	Rorb	1
82	Ccdc55	1
83	Mir23b	1
84	Acox2	1
85	Fmn1	1
86	Dnm3os	1
87	Gm9733	1
88	Gm826	1
89	Dnm3	1
90	Coq3	1
91	Apol9b	1
92	Klrb1c	1
93	Gm4763	1
94	Cphx	1
95	St3gal4	1
96	9430053O09Rik	1
97	Clec12b	1
98	Dok5	1
99	Hnrnpa3	1
100	Snord95	1
101	Ccdc136	1
102	Olfr920	1
103	Olfr464	1
104	Dennd4a	1
105	Gpatch8	1
106	Olfr1352	1
107	Tub	1
108	G930009F23Rik	1
109	5830417I10Rik	1
110	Nrxn2	1
111	St6galnac1	1
112	Mef2c	1
113	Kcnb2	1
114	Wipf1	1
115	Olfr652	1
116	Sdpr	1
117	Hdhd1a	1
118	Mir211	1
119	Actg1	1
120	Sema7a	1
121	1700034I23Rik	1
122	4930505H01Rik	1
123	Socs2	-1
124	Ebi3	-1
125	Itm2a	-1
126	Mamdc2	-1
127	Myl10	-1
128	Lhcgr	-1
129	Erdr1	-1
130	Akt2	-1
131	6330403K07Rik	-1
132	Rras2	-1
133	Ldhb	-1
134	Plxdc2	-1
135	Tap1	-1
136	Il15	-1
137	Cd86	-1
138	Sgce	-1
139	Ccrl2	-1
140	Rnase6	-1
141	4833420G17Rik	-1
142	9030619P08Rik	-1
143	Adrb2	-1
144	Ldhb	-1
145	Tspan8	-1
146	Lrp12	-1
147	Tspan6	-1
148	Sept6	-1
149	Hey1	-1
150	Vegfc	-1
151	Capsl	-1
152	Akr1c12	-1
153	Emcn	-1
154	Cep57l1	-1
155	Ube2j1	-1
156	Lamtor3	-1
157	Mkrn1	-1
158	Usp21	-1
159	Higd1a	-1
160	Stard3nl	-1
161	Snord14a	-1
162	Eepd1	-1
163	Pgrmc1	-1
164	Gimap1	-1
165	Ipp	-1
166	BC005685	-1
167	Aim1	-1
168	Zfp667	-1
169	Scrn1	-1
170	Zfp637	-1
171	Gm4924	-1
172	Ltb	-1
173	Cux1	-1
174	Cd36	-1
175	Chchd5	-1
176	Pygo2	-1
177	Zcwpw1	-1
178	Tbc1d17	-1
179	Prdx4	-1
180	Etv5	-1
181	Rbp1	-1
182	Hmox2	-1
183	Spire1	-1
184	Nrk	-1
185	Tmem106c	-1
186	Akr1c13	-1
187	Rsad2	-1
188	Hspb11	-1
189	Hbb-b1	-1
190	Zfpl1	-1
191	BC005685	-1
192	Serf2	-1
193	Cyp51	-1
194	Gimap7	-1
195	Serpini1	-1
196	Fam18b	-1
197	Acbd6	-1
198	Lix1l	-1
199	Arxes2	-1
200	Stard10	-1
201	Arhgap4	-1
202	Golph3l	-1
203	2810408M09Rik	-1
204	Synj2bp	-1
205	Bcs1l	-1
206	Gypc	-1
207	Aldoc	-1
208	D10Wsu102e	-1
209	Golga5	-1
210	Icam4	-1
211	Igf2bp2	-1
212	Lyplal1	-1
213	Pfkm	-1
214	Rhoh	-1
215	Anpep	-1
216	Hyi	-1
217	Spaca1	-1
218	Sema4b	-1
219	P2rx1	-1
220	Ccng2	-1
221	Tsen15	-1
222	Rai14	-1
223	Idi1	-1
224	Zfp622	-1
225	Rbm43	-1
226	Lat	-1
227	Gsta4	-1
