Gene expression levels and frequencies in young and old HSCs.				
ID	Gene	LogFC	(log2 CPM_Young)	(log2 CPM_Old)	Author's FC	AdjP-value
1	Sdpr	5.362823021	0.95676569	6.319588711	41.15007118	9.05E-26
2	Nupr1	5.158768845	0.704019486	5.862788331	35.72269068	2.82E-21
3	Btg2	5.06026451	1.611685349	6.671949859	33.36502107	3.65E-16
4	Ddx3y	4.962824118	0.025114224	4.987938342	31.18594603	5.02E-22
5	Mt1	4.910165133	0.761336142	5.671501275	30.06816943	7.11E-34
6	Eif2s3y	4.900147419	0	4.900147419	29.86010677	8.75E-28
7	Sult1a1	4.77870034	1.154376567	5.933076907	27.44935492	3.95E-19
8	Egr1	4.625041925	6.492307015	11.11734894	24.67609023	1.56E-09
9	Selp	4.422477499	0.5624167	4.984894199	21.44363381	1.47E-16
10	Aldh1a1	4.343514043	1.273989822	5.617503865	20.30149468	2.68E-17
11	Clca1	4.047024557	1.156855838	5.203880395	16.53011157	2.00E-16
12	Tmem181b-ps	3.865316519	1.72682626	5.592142779	14.57391442	1.13E-11
13	H2-Ab1	3.843050241	0.763673032	4.606723273	14.3507103	5.06E-16
14	Gstm1	3.792824587	3.969957902	7.762782489	13.85970444	5.42E-07
15	Gda	3.759959492	1.730065566	5.490025058	13.54754461	0.000162375
16	H2-Aa	3.715386946	0.859260464	4.57464741	13.13538832	1.47E-12
17	Clec1a	3.551613683	1.363684951	4.915298634	11.72579377	1.88E-10
18	Plek	3.504038382	1.305230962	4.809269344	11.34542212	0.000119244
19	Plscr2	3.453236243	0.009544802	3.462781045	10.9528639	4.91E-18
20	Uty	3.39684886	0.076107814	3.472956674	10.53303186	5.24E-17
21	Tmem181c-ps	3.372784692	1.678017248	5.05080194	10.35879793	7.16E-16
22	Nr4a1	3.323580738	3.167505287	6.491086025	10.01146181	2.24E-07
23	Id2	3.314474713	0.890266062	4.204740775	9.94847032	7.09E-09
24	Iigp1	3.30046965	1.931693522	5.232163172	9.852362085	6.06E-07
25	Ier2	3.274870747	3.343646413	6.61851716	9.679085513	3.65E-07
26	Dhrs3	3.264958136	1.83609563	5.101053766	9.612809451	1.21E-10
27	Klhl4	3.235089235	0.323504407	3.558593642	9.415836274	2.29E-13
28	Cd74	3.234612571	0.702458479	3.93707105	9.412725814	8.66E-11
29	Oxr1	3.205633697	2.84497335	6.050607047	9.225542161	6.53E-07
30	Ube2h	3.002043683	2.221162547	5.22320623	8.011340615	4.28E-05
31	Nfkbiz	2.996307004	1.832596714	4.828903718	7.979547872	3.31E-06
32	Itgb3	2.963108623	1.076909934	4.040018557	7.798024149	5.42E-07
33	Casp12	2.92018092	1.546311337	4.466492257	7.569410351	5.22E-05
34	5430417L22Rik	2.869866309	3.293401093	6.163267402	7.309974173	0.000239434
35	Ier3	2.855634026	1.094338104	3.94997213	7.238215322	1.28E-08
36	Enpp5	2.848531971	0.747206254	3.595738225	7.20267082	2.77E-11
37	Sat1	2.776497523	5.473564234	8.250061757	6.851868782	0.00220952
38	Egr3	2.71506631	0.296815237	3.011881547	6.566234668	1.13E-08
39	Itga6	2.668097789	3.192162364	5.860260153	6.355906002	0.00073309
40	Clu	2.570191876	0.243903631	2.814095507	5.938884089	1.29E-08
41	Prtn3	2.54949208	4.522897267	7.072389347	5.854281343	6.77E-06
42	Exoc6b	2.51907384	1.021865229	3.540939069	5.732139978	7.55E-07
43	Fhl1	2.492331858	0.883189177	3.375521035	5.626866976	2.10E-07
44	H2-Eb1	2.482005332	0.169475262	2.651480594	5.586734779	1.65E-10
45	Prune2	2.459394139	1.416966802	3.876360941	5.499857117	0.000517641
46	Gata2	2.431760089	7.056994664	9.488754753	5.395512823	0.000912951
47	M6pr	2.426095966	4.25483308	6.680929046	5.374371186	0.01591385
48	Ccnt1	2.416602195	2.310263204	4.726865399	5.339120816	1.13E-05
49	Ndrg1	2.401827198	0.972798313	3.374625511	5.284720597	2.24E-05
50	Tgm2	2.356355858	1.97241201	4.328767868	5.120752594	1.62E-06
51	Vmp1	2.344978609	6.599033833	8.944012442	5.080528599	0.000162375
52	Rnf167	2.327566941	2.86266425	5.190231191	5.019580995	0.000226448
53	Tsc22d1	2.322564031	5.818876584	8.141440615	5.002204474	0.002747729
54	Gstm2	2.319471596	0.78918736	3.108658956	4.991493669	1.56E-08
55	Gpr183	2.317138066	0.076972365	2.394110431	4.983426555	3.01E-10
56	Cers2	2.303696178	4.227707119	6.531403297	4.937210574	0.074218403
57	Muc13	2.286220521	4.700662967	6.986883488	4.877765904	0.002676085
58	Il2rg	2.28587886	3.195421369	5.481300229	4.87661088	0.001943721
59	Art4	2.277881556	0.785799155	3.063680711	4.849653105	6.77E-06
60	Gstm3	2.252046647	1.32009438	3.572141027	4.763581417	8.68E-11
