"Table 4. Age-regulated genes in LT-HSC, Age-up-regulated genes are in red, and age-down-regulated genes are in green."					
Probe set	Gene symbol	FC	Fold change	Representative public ID	
1415904_at	Lpl	1.7	1.7	1514	
1415965_at	Scd1	1.8	1.8	267377	
1416101_a_at	Hist1h1c	2.3	2.3	193539	
1416194_at	Cyp4b1	2.1	2.1	1840	
1416201_at	Crk	3.8	3.8	280125	
1416250_at	Btg2	4.4	4.4	239605	
1416317_a_at	Stambp	1.6	1.6	32801	
1416361_a_at	Dncic1	2.7	2.7	20893	
1416442_at	Ier2	2.3	2.3	399	
1416610_a_at	Clcn3	1.9	1.9	259751	
1416627_at	Spint1	2.8	2.8	104955	
1416683_at	Plxnb2	1.7	1.7	267514	
1416779_at	Sdpr	3.2	3.2	255909	
1417060_at	Ppp1r11	2.0	2.0	46176	
1417116_at	Slc6a8	2.8	2.8	274553	
1417129_a_at	Mrg1	2.2	2.2	247566	
1417135_at	Srpk2	2.9	2.9	8709	
1417136_s_at	Srpk2	3.5	3.5	8709	
1417152_at	Btbd14a	1.8	1.8	131074	
1417158_at	BC003332	2.1	2.1	100116	
1417181_a_at	Kifap3	3.0	3.0	4651	
1417236_at	Ehd3	4.6	4.6	18526	
1417376_a_at	Igsf4a	3.1	3.1	307293	
1417377_at	Igsf4a	4.3	4.3	307293	
1417385_at	Npepps	2.1	2.1	29824	
1417552_at	Fap	3.8	3.8	41816	
1417624_at	Nab1	1.3	1.3	25903	
1417697_at	Soat1	3.3	3.3	28099	
1417797_a_at	1810019J16Rik	2.9	2.9	299081	
1417831_at	Smc1l1	5.7	5.7	26412	
1417839_at	Cldn5	4.0	4.0	22768	
1417852_x_at	Clca1	2.0	2.0	275745	
1417853_at	Clca1/2	2.8	2.8	275745	
1417872_at	Fhl1	1.8	1.8	3126	
1417876_at	Fcgr1	5.3	5.3	150	
1417900_a_at	Vldlr	2.4	2.4	NM_013703	
1417975_at	Kpna4	4.6	4.6	30601	
1417978_at	1300018P11Rik	1.7	1.7	32889	
1418018_at	Cpd	8.5	8.5	276736	
1418069_at	Apoc2	1.4	1.4	28394	
1418133_at	Bcl3	2.9	2.9	1068	
1418259_a_at	Entpd2	2.0	2.0	298775	
