Old_to_young					
p_val	Gene	avg_logFC	pct.1	pct.2	p_val_adj
1.70113715814344e-15	Fosb	1.9352031566	0.581	0	1.74026331278074e-11
6.93829250464816e-13	Fos	1.6434288697	0.953	0.4	7.09787323225507e-09
2.90586526316704e-12	Erdr1	0.9862695793	0.872	0.462	2.97270016421988e-08
1.98462437417979e-10	Mt1	0.5880963502	0.86	0.438	2.03027073478593e-06
9.42819646331311e-10	Nfkbid	0.6264613455	0.384	0	9.64504498196932e-06
5.32686633543796e-09	Ebi3	-0.2659413177	0	0.338	5.44938426115303e-05
5.33653868063543e-09	Nupr1	0.9233877022	0.674	0.212	5.45927907029005e-05
3.05940071587394e-08	Clca3a1	0.720137035	0.663	0.275	0.0003129767
3.42598605864429e-08	Btg2	1.7871709108	0.628	0.2	0.0003504784
5.02201291563623e-08	Itgb2	-0.3763585237	0	0.3	0.0005137519
5.4184254790364e-08	Jun	0.54125292	0.884	0.438	0.0005543049
5.6593405371012e-08	Gpr183	0.6606287499	0.314	0	0.0005789505
2.15457982835617e-07	Ttc5	-0.6580579818	0	0.275	0.0022041352
3.9765796098003e-07	Soat2	0.2670111221	0.279	0	0.0040680409
5.98649602467707e-07	Lst1	-0.6216542142	0.326	0.7	0.0061241854
7.51388769216988e-07	Gstz1	0.5875984327	0.267	0	0.0076867071
7.71169568517232e-07	Hes1	1.6580319857	0.488	0.162	0.0078890647
7.7937693122479e-07	Klf2	0.4296190633	0.64	0.212	0.007973026
8.97085107724583e-07	Rbbp9	-0.8790927267	0	0.25	0.0091771807
8.98510741964446e-07	Zfp36	1.3800753961	0.756	0.488	0.0091917649
1.39991976230447e-06	Lrrc8d	0.5840092253	0.709	0.375	0.0143211792
1.47806310041182e-06	Selp	0.6174698018	0.663	0.338	0.0151205855
1.81088027970335e-06	Pgghg	-0.3296756707	0	0.238	0.0185253053
1.81088027970335e-06	Fam53b	-0.3356839338	0	0.238	0.0185253053
2.35728823194219e-06	Klf6	0.7917529774	0.895	0.6	0.0241150586
3.63030817515315e-06	Gimap4	-0.3940276942	0	0.225	0.0371380526
3.63030817515315e-06	Akip1	-0.5920949204	0	0.225	0.0371380526
4.87719099571624e-06	Pus10	0.4765310649	0.233	0	0.0498936639
4.87719099571624e-06	Cysltr2	0.3948793534	0.233	0	0.0498936639
4.87719099571624e-06	Abca4	0.3360827114	0.233	0	0.0498936639
