Old_to_young					
p_val	Gene	avg_logFC	pct.1	pct.2	p_val_adj
6.69813178041709e-42	uc012hdk.1	1.8912032329	1	1	4.58755045640766e-38
1.35715378550249e-34	Clca1	0.6064010206	0.674	0	9.29514627690655e-31
2.712133566696e-32	Mt1	1.3098157647	0.64	0	1.85754027983009e-28
4.74416757384355e-30	Nupr1	2.1960100405	0.851	0.314	3.24928037132545e-26
9.94215066606822e-29	Selp	0.9934946774	0.806	0.203	6.80937899119012e-25
2.77875500485219e-28	Clu	1.3624890122	0.577	0	1.90316930282327e-24
1.64894169257743e-27	mt-Co1	0.6335094424	1	1	1.12936016524628e-23
7.29097500034011e-26	Plscr2	0.7703929911	0.537	0	4.99358877773294e-22
1.28083218605696e-25	Sult1a1	1.7159414442	0.771	0.203	8.77241964230411e-22
1.58687622391123e-24	Ehd3	0.7457582681	0.514	0	1.0868515257568e-20
4.99818092050673e-23	mt-Rnr1	1.0469538681	0.977	0.922	3.42325411245506e-19
1.12364304560412e-22	Fos	1.2442994041	0.846	0.359	7.69583121934264e-19
2.64708315347392e-22	Pole	-0.4380521674	0	0.438	1.81298725181429e-18
3.9843453873204e-22	Clec1a	0.6881832721	0.771	0.242	2.72887815577574e-18
6.28061922456738e-22	Dtl	-0.3040399999	0	0.431	4.3015961069062e-18
5.24744532219645e-21	Gm10419	0.3214593924	0.451	0	3.59397530117235e-17
1.89247520433341e-20	Cdk5rap1	-0.4648513731	0	0.405	1.29615626744795e-16
2.16573043636002e-20	Phactr1	0.2938717902	0.44	0	1.48330877586298e-16
8.79106767804557e-20	Atf7	0.3039418545	0.429	0	6.02100225269341e-16
1.00833627768492e-19	Slfn10-ps	-0.2782948335	0	0.392	6.90609516586401e-16
1.00833627768492e-19	Mtr	-0.3847466719	0	0.392	6.90609516586401e-16
1.00833627768492e-19	Mamdc2	-0.5133674617	0	0.392	6.90609516586401e-16
2.31052382729984e-19	D6Wsu163e	-0.2852926657	0	0.386	1.58247776931766e-15
2.31052382729984e-19	Cd37	-0.4908951667	0	0.386	1.58247776931766e-15
3.51037756692893e-19	Cd38	0.2652300023	0.417	0	2.40425759558962e-15
5.05005149920415e-19	Prtn3	1.2350468192	0.874	0.549	3.45878027180492e-15
5.26882427377706e-19	Gnb4	-0.3102738897	0	0.379	3.60861774510991e-15
2.70068971922189e-18	Fignl1	-0.2873612317	0	0.366	1.84970238869507e-14
2.71749121049034e-18	Fhl1	0.451518039	0.4	0	1.86120973006484e-14
3.60453792862593e-18	Ubb	0.4171301181	1	1	2.4687480273159e-14
6.07103050193305e-18	Cdc16	-0.3394770224	0	0.359	4.15804879077395e-14
6.49865967970206e-18	Dhrs3	1.1080244724	0.629	0.163	4.45093201462794e-14
5.0297584423954e-17	Rpl13	0.4319282305	1	1	3.44488155719661e-13
6.70556839950763e-17	Lig1	-0.4786098631	0	0.34	4.59264379682278e-13
1.13772674455729e-16	Ebi3	-0.8563538073	0.143	0.582	7.79229047347286e-13
1.21182340969204e-16	Speer7-ps1	-0.4385635799	0.371	0.739	8.2997785329808e-13
1.47961023066252e-16	Slc43a3	-0.2686411034	0	0.333	1.01338504698076e-12
2.00550128323092e-16	Sdpr	0.4650856756	0.686	0.229	1.37356782888486e-12
3.2291998841855e-16	uc007hxv.1	-0.6827771795	0.577	0.876	2.21167900067865e-12
3.24996177334895e-16	uc007pyi.1,uc007pyj.1,uc011yxv.1	-0.2990878413	0	0.327	2.2258988185667e-12
9.79501366406801e-16	Zfp36	1.0001537665	0.886	0.66	6.70860485852018e-12
1.25941819717608e-15	Serinc3	-0.4958714983	0.994	1	8.62575523245894e-12
1.54689084907571e-15	Xrcc5	-0.3004978871	0	0.314	1.05946554253195e-11
1.54689084907571e-15	Il15	-0.5430560961	0	0.314	1.05946554253195e-11
1.54689084907571e-15	Plac8	-0.6385565491	0	0.314	1.05946554253195e-11
1.6996382326074e-15	Enpp5	0.8920841637	0.737	0.314	1.16408222551281e-11
1.93500907022534e-15	Klrb1b	0.6828865088	0.343	0	1.32528771219734e-11
1.93500907022534e-15	Tacstd2	0.3735777066	0.343	0	1.32528771219734e-11
2.0194587379116e-15	uc007thb.2	0.4315794402	1	1	1.38312728959566e-11
3.35228896730952e-15	Arntl	-0.3359828797	0	0.307	2.29598271371029e-11
3.35228896730952e-15	uc007wgt.1	-0.4337244285	0	0.307	2.29598271371029e-11
7.23277624872644e-15	Pramef8	-0.2934176462	0	0.301	4.95372845275274e-11
7.23277624872644e-15	Usp18	-0.4347705406	0	0.301	4.95372845275274e-11
9.51571979251681e-15	Plk2	1.1614403105	0.6	0.183	6.51731648589476e-11
1.19989282439944e-14	Actb	-0.5883294108	1	1	8.21806595431179e-11
1.29001744765723e-14	Kcnip3	0.2788029121	0.326	0	8.83532949900439e-11
1.30284366909581e-14	H2-D1	0.4396406319	1	1	8.92317628963719e-11
1.55369740204341e-14	Dars2	-0.2912130551	0	0.294	1.06412735065953e-10
1.55369740204341e-14	Rnf123	-0.3513833082	0	0.294	1.06412735065953e-10
3.32308832911987e-14	Ncbp1	-0.2503034441	0	0.288	2.2759831966142e-10
7.07697702518242e-14	Abcd3	-0.264551064	0	0.281	4.84702156454744e-10
7.07697702518242e-14	Ttll1	-0.3594643792	0	0.281	4.84702156454744e-10
8.32489426526813e-14	Btg2	0.5115632364	0.309	0	5.70172008228214e-10
8.32489426526813e-14	Plek	0.3557995898	0.309	0	5.70172008228214e-10
1.50072388708646e-13	Ormdl1	-0.4267886992	0	0.275	1.02784579026552e-09
1.50072388708646e-13	Prim1	-0.5200704167	0	0.275	1.02784579026552e-09
1.53894292342018e-13	Trim47	0.4278308161	0.303	0	1.05402200825048e-09
2.82312837389971e-13	Arpc3	0.6726101474	0.566	0.19	1.93356062328391e-09
2.83494439471481e-13	Erg	0.2820271937	0.297	0	1.94165341594018e-09
3.16896784050209e-13	Slc28a2	-0.2982741165	0	0.268	2.17042607395988e-09
3.16896784050209e-13	Ezr	-0.3094693883	0	0.268	2.17042607395988e-09
3.16896784050209e-13	Cpxm1	-0.4521019253	0	0.268	2.17042607395988e-09
3.16896784050209e-13	Dhrs7	-0.4710710806	0	0.268	2.17042607395988e-09
3.60611485198066e-13	Coro1a	-0.7355717648	0.823	0.961	2.46982806212155e-09
6.66371031819206e-13	Got1	-0.2860877182	0	0.261	4.56397519692974e-09
6.66371031819206e-13	Mrpl49	-0.4126761145	0	0.261	4.56397519692974e-09
1.39544644370457e-12	Stard3	-0.3645986661	0	0.255	9.55741269293262e-09
1.7358138694865e-12	Camkk1	0.2922232008	0.28	0	1.1888589192113e-08
