version_soft_cutoff(row.mean>5);upperquartile_norm;estimateGLMRobustDisp						
ensembl_gene_id	external_gene_name	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000000001	Gnai3	0.3339701567	9.2327498556	10.8270112254	0.0010002998	0.0170981472
ENSMUSG00000000094	Tbx4	2.8529418443	1.0795689414	17.6751997757	2.62020672020387e-05	0.000997626
ENSMUSG00000000131	Xpo6	-0.5577269579	7.3397789836	9.7401084639	0.0018029026	0.0263195754
ENSMUSG00000000184	Ccnd2	-0.4389139393	8.8016980932	10.9893058881	0.0009163912	0.0161839436
ENSMUSG00000000266	Mid2	1.3286214788	2.7696805131	14.101219356	0.0001732314	0.0045192556
ENSMUSG00000000278	Scpep1	-0.6397697691	5.34447876	9.6205158557	0.0019241568	0.0276127933
ENSMUSG00000000392	Fap	3.3005684339	3.7776825176	37.6970694901	8.26286001365815e-10	1.06628739336558e-07
ENSMUSG00000000628	Hk2	1.0277989051	5.3217408506	24.4332079346	7.69311236619607e-07	4.72916598365617e-05
ENSMUSG00000000682	Cd52	-1.5657804624	3.9904531401	13.5690727816	0.0002299429	0.0056254492
ENSMUSG00000000693	Loxl3	1.468933607	3.3530855403	22.7725615374	1.82350695507884e-06	9.94399518567995e-05
ENSMUSG00000000751	Rpa1	0.4358006972	7.8817417878	12.9544131733	0.0003191682	0.0072353391
ENSMUSG00000000823	Zfp512b	-0.8239012597	4.3743041658	9.9763960742	0.0015855973	0.0239754221
ENSMUSG00000001025	S100a6	1.0970567388	6.3563877845	31.4261284929	2.07174099361499e-08	1.94571008317008e-06
ENSMUSG00000001039	B9d1	1.3232331433	2.184556236	12.3266525623	0.0004465364	0.0094006209
ENSMUSG00000001052	Sec24b	-0.6483874927	6.1734420996	8.5639936616	0.0034287645	0.0421551007
ENSMUSG00000001089	Luzp1	1.0572483924	5.076151739	16.9348098009	3.86856320177951e-05	0.0013568062
ENSMUSG00000001128	Cfp	-0.9402448949	4.6204578005	9.1660337285	0.0024654833	0.0332700185
ENSMUSG00000001240	Ramp2	1.8860884016	3.0859789681	21.3597294124	3.80683892601004e-06	0.0001872366
ENSMUSG00000001247	Lsr	0.9580779332	4.0384512927	12.5301416804	0.0004004394	0.0086898958
ENSMUSG00000001435	Col18a1	2.0859599906	5.2333737384	62.6602354488	2.45625127948528e-15	6.1063129234851e-13
ENSMUSG00000001663	Gstt1	1.0125526093	5.0467146097	23.0787251784	1.55501821151441e-06	8.7044976376328e-05
ENSMUSG00000001665	Gstt3	0.5744787225	5.2773945897	8.2856981598	0.0039958538	0.0473038579
ENSMUSG00000001672	Marveld3	7.1168091706	-1.1228661918	12.3723792078	0.000435732	0.009253831
ENSMUSG00000001739	Cldn15	-3.670286989	0.8142041294	13.7932247643	0.0002040708	0.0051489812
ENSMUSG00000001761	Smo	-0.7031601665	6.5077427108	9.0621073703	0.0026096104	0.0346082256
ENSMUSG00000001847	Rac1	-1.2891137635	6.4158433537	14.1202006015	0.0001714922	0.0044882142
ENSMUSG00000001930	Vwf	1.8176362948	8.1626982198	118.9350764159	1.08214039887244e-27	8.31526520133575e-25
ENSMUSG00000001946	Esam	0.4712701342	8.1141347191	15.1184710073	0.0001009705	0.0029531254
ENSMUSG00000002014	Ssr4	0.4369566157	6.8664358107	9.1000097909	0.0025560813	0.0341111024
ENSMUSG00000002059	Rab34	1.8426288558	2.9925299755	23.7676860292	1.08692003229755e-06	6.40222409267948e-05
ENSMUSG00000002111	Spi1	-0.4251092406	6.6578910953	8.4409240937	0.0036686977	0.0444963515
ENSMUSG00000002428	Hltf	0.4513505594	6.9353696318	10.8049716933	0.0010122787	0.0172797697
ENSMUSG00000002602	Axl	-1.0820106664	6.1153956166	25.345289705	4.79321397882383e-07	3.12854371861069e-05
ENSMUSG00000002763	Pex6	-0.9110002631	3.8182455861	9.690569986	0.0018521608	0.0268071728
ENSMUSG00000002985	Apoe	0.4622552298	9.5977829328	18.430193221	1.76243167596811e-05	0.0007144822
ENSMUSG00000003134	Tbc1d8	0.6595112704	5.8781445692	10.1219148095	0.001465167	0.0227653023
ENSMUSG00000003135	Cnot11	-0.9346012114	5.676910318	10.4549969979	0.0012231811	0.0198634744
ENSMUSG00000003153	Slc2a3	0.5128890114	8.4580387283	16.6912397807	4.3983634367726e-05	0.0015079263
ENSMUSG00000003154	Foxj2	-0.9427645214	5.1322099833	9.266264519	0.0023341327	0.0319540336
ENSMUSG00000003227	Edar	0.9443129829	3.7223494503	10.5296016095	0.0011747753	0.0192065543
ENSMUSG00000003283	Hck	-2.2270882027	2.1589724782	13.5177676631	0.0002363154	0.0057480735
ENSMUSG00000003534	Ddr1	2.4858400318	1.6397203746	25.0040270588	5.72106975239455e-07	3.63589038211391e-05
ENSMUSG00000003623	Crot	0.3513754528	7.9103837351	8.5975893817	0.0033660826	0.0416325223
ENSMUSG00000003934	Efnb3	-5.9623645018	-1.65671965	9.889493306	0.0016622513	0.0248642704
ENSMUSG00000004035	Gstm7	1.0301489234	4.9232631773	26.3074435615	2.91164324829821e-07	2.00903384132576e-05
ENSMUSG00000004040	Stat3	0.3540674208	8.7946339846	11.9131479597	0.0005573913	0.0112174993
ENSMUSG00000004113	Cacna1b	5.8725118109	0.0927855102	18.335893856	1.85185028357953e-05	0.0007487174
ENSMUSG00000004455	Ppp1cc	-0.9095624444	6.4938855228	11.9093099891	0.0005585409	0.0112272518
ENSMUSG00000004473	Clec11a	1.2748154548	3.5648654532	15.8827399203	6.73905131402637e-05	0.002094185
ENSMUSG00000004535	Tax1bp1	0.3461890967	8.9931331145	8.6623492546	0.0032485221	0.0406787158
ENSMUSG00000004591	Pkn2	-0.8238753222	6.337695599	11.3982688079	0.0007351258	0.0137015455
ENSMUSG00000004655	Aqp1	0.6973724805	5.8738940415	10.6710126432	0.0010882752	0.018269407
ENSMUSG00000004661	Arid3b	-0.9915736469	3.3444855891	10.0761538509	0.0015020053	0.0230621254
ENSMUSG00000004668	Abca13	-7.6088295546	-0.8545950671	10.1786357089	0.0014207727	0.022239039
ENSMUSG00000004771	Rab11a	0.5219235897	8.4744434345	16.2544639606	5.53789633523487e-05	0.0018107957
ENSMUSG00000005057	Sh2b2	-1.1371299337	3.189965906	10.6618195195	0.0010936975	0.0183422187
ENSMUSG00000005339	Fcer1a	4.4918820657	1.6960686808	14.0972911983	0.0001735936	0.0045217253
ENSMUSG00000005465	Il27ra	0.5847864946	6.6830014493	16.9254398346	3.88770525718564e-05	0.0013606968
ENSMUSG00000005483	Dnajb1	0.4810598926	7.6955905514	13.265032429	0.0002704028	0.0063488319
ENSMUSG00000005506	Celf1	-0.4187157741	7.199348565	10.8977416219	0.0009628158	0.016693744
ENSMUSG00000005533	Igf1r	-0.8550267339	5.1799962472	18.1350694555	2.05776504713397e-05	0.0008204367
ENSMUSG00000005566	Trim28	-0.6606056491	6.4629913661	9.2029634371	0.0024162366	0.0327820858
ENSMUSG00000005583	Mef2c	0.4193222998	8.4081431531	13.9658772122	0.0001861588	0.0047826964
ENSMUSG00000005621	Zfp592	-0.8759327873	5.9560924993	16.9155983901	3.90791303357665e-05	0.0013649436
ENSMUSG00000005686	Ampd3	0.9965104839	5.5163686382	25.0429038543	5.60687195357808e-07	3.59030948391051e-05
