reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1437356_at	Gpr183	4.1941053746	8.55270184565824e-09	0.0002300656
1418989_at	Ctse	3.7157136189	1.02022387009164e-08	0.0002300656
1442542_at	Eya4	4.9064664281	1.77734232090969e-08	0.0002671997
1443933_at	Tc2n	2.5896349523	3.19382452242485e-08	0.0003568728
1417818_at	Wwtr1	3.5966094884	5.53405708626626e-08	0.0003568728
1417853_at	Clca3a1	3.22677464	5.85560839865175e-08	0.0003568728
1439862_at	Rorb	2.5594536961	6.16763325914125e-08	0.0003568728
1427345_a_at	Sult1a1	2.8481873983	7.57224168114679e-08	0.0003568728
1460039_at	Clec1a	3.0840936321	7.81427218880385e-08	0.0003568728
1448961_at	Plscr2	4.1789856596	7.91274696534846e-08	0.0003568728
1458324_x_at		3.0901109215	1.29951128800327e-07	0.0005328114
1448710_at	Cxcr4	3.4404977084	1.43953652933587e-07	0.0005410378
1419666_x_at	Nupr1	3.023908834	1.63897476092396e-07	0.0005686108
1443832_s_at	Sdpr	2.0870139036	1.7728359465779e-07	0.0005711191
1435748_at	Gda	2.4684781827	2.99395668794383e-07	0.0008706475
1421096_at	Trpc1	3.3960657234	3.08870302547184e-07	0.0008706475
1417852_x_at	Clca3a1	3.4075187627	3.49646972562743e-07	0.0009166008
1425492_at	Bmpr1a	2.5383620661	3.65819255628755e-07	0.0009166008
1416778_at	Sdpr	2.42923234	4.78178110288519e-07	0.001135069
1457429_s_at	Sbspon	5.4550013419	5.29660026634266e-07	0.0011373773
1435792_at	LOC100503923///Gm15433///LOC100041903///Gm2666///Gm7609///Csprs	3.5875818557	5.41443354981067e-07	0.0011373773
1441975_at	Acpp	2.2847965395	5.62061116282754e-07	0.0011373773
1445723_at	Plcl1	2.3246340173	5.8002434960763e-07	0.0011373773
1449570_at	Klrb1b///Klrb1c	2.9099046511	6.70601573772616e-07	0.0012266116
1457691_at	Gpr183	3.3031247104	6.7992485878881e-07	0.0012266116
1453055_at	Sema6d	2.7115097847	7.1277382240296e-07	0.0012364159
1419665_a_at	Nupr1	3.243521579	7.52558270349387e-07	0.0012570789
1424486_a_at	Txnrd1	-1.5645289758	9.58232242975284e-07	0.001501603
1438068_at		2.4851348281	9.65532597753519e-07	0.001501603
1428136_at	Sfrp1	1.769828223	1.17539379092649e-06	0.0017670478
1460259_s_at	Clca3a2///Clca3a1	3.9028122689	1.29369139649244e-06	0.0018015567
1437385_at	Ccbe1	3.2257338141	1.3035315562594e-06	0.0018015567
1435828_at	LOC102641248///Maf	1.6746469698	1.32755603627192e-06	0.0018015567
1437458_x_at	Clu	2.8493256665	1.36852183103804e-06	0.0018015567
1454849_x_at	Clu	2.9023430091	1.45289621319516e-06	0.0018015567
1428359_s_at	Zg16	4.3340372357	1.53072124748156e-06	0.0018015567
1448785_at	Runx1t1	2.1382138016	1.56154703507373e-06	0.0018015567
1418187_at	Ramp2	3.3213416222	1.57950712741809e-06	0.0018015567
1437466_at	Alcam	1.9245801773	1.59500687982796e-06	0.0018015567
1453357_at	Tdrd9	4.3910289081	1.6116560911966e-06	0.0018015567
1416468_at	Aldh1a1	1.7211111933	1.63774248467738e-06	0.0018015567
1456335_at	Sbspon	4.4774778096	1.75998670179013e-06	0.0018899324
1420558_at	Selp	2.9986229122	1.83780858407657e-06	0.0019019739
1417235_at	Ehd3	2.2604275388	1.85554314302336e-06	0.0019019739
1450958_at	Tm4sf1	3.3329366197	1.93224477150845e-06	0.001920659
1426394_at	Eif3j2///Eif3j1	-2.0616498317	1.9628813032775e-06	0.001920659
1452052_s_at	Eif3j2///Eif3j1	-2.300545617	2.00152924926601e-06	0.001920659
1439795_at	Adgrg2	2.6828425645	2.06570126485043e-06	0.0019409415
1423513_at	Uhrf1bp1l	1.7279505023	2.14366525422778e-06	0.0019713716
1418934_at	Mab21l2	2.7492861443	2.185507692507e-06	0.0019713716
1435858_at	Tmem215	3.3054022058	2.53949605606199e-06	0.0021781459
