version_soft_cutoff(row.mean>5);upperquartile_norm;estimateGLMRobustDisp						
ensembl_gene_id	external_gene_name	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000000001	Gnai3	0.6453576965	8.1083846199	9.5643988819	0.0019838715	0.018692058
ENSMUSG00000000204	Slfn4	-1.1583224401	-0.9606421889	9.4263997025	0.0021388378	0.0198225402
ENSMUSG00000000223	Drp2	-1.2145424679	-0.5857322367	7.6536073453	0.0056658912	0.0408387374
ENSMUSG00000000266	Mid2	0.8444040198	4.0862831898	23.6689050483	1.14416368330286e-06	3.40369130740137e-05
ENSMUSG00000000296	Tpd52l1	1.1673572302	-0.3861330959	10.0382278037	0.0015332464	0.0152772674
ENSMUSG00000000303	Cdh1	2.6822862802	-0.6299736193	45.6096797485	1.44326583904629e-11	1.1581276360111e-09
ENSMUSG00000000320	Alox12	0.9772471331	2.5575900335	19.9647789597	7.8881870951925e-06	0.0001878823
ENSMUSG00000000384	Tbrg4	-0.4363532557	6.2526752507	8.6625559671	0.0032481536	0.0269225151
ENSMUSG00000000392	Fap	2.0120861374	3.9111908254	116.0603872352	4.61042100923035e-27	1.69929178418175e-24
ENSMUSG00000000416	Cttnbp2	-1.215234905	-0.8962910019	8.0805101729	0.0044743847	0.034296782
ENSMUSG00000000544	Gpa33	2.9950153342	-0.7382681994	50.7147539817	1.06813592682458e-12	1.03695017253247e-10
ENSMUSG00000000617	Grm6	2.5271886087	-3.504689964	14.9716229978	0.0001091401	0.0018089647
ENSMUSG00000000627	Sema4f	1.5008366131	2.0477463881	37.6421400255	8.49884455898335e-10	5.10541087789094e-08
ENSMUSG00000000628	Hk2	0.5925489321	6.4133371996	19.2781808997	1.12990218539074e-05	0.0002567487
ENSMUSG00000000690	Hoxb6	0.8266351867	3.472344657	14.5245726826	0.0001383432	0.0021959208
ENSMUSG00000000693	Loxl3	0.6463149779	4.0812078983	11.941602666	0.0005489424	0.0067838087
ENSMUSG00000000739	Sult5a1	1.2617759603	-1.0694276567	11.0114782161	0.000905494	0.0102025251
ENSMUSG00000001020	S100a4	1.2605179482	-0.9674868507	8.5891461695	0.0033817253	0.0278097227
ENSMUSG00000001025	S100a6	1.60676905	5.0455787097	62.0793000809	3.2990106292418e-15	4.19533831248492e-13
ENSMUSG00000001039	B9d1	0.6574932888	1.9884726135	7.3808893092	0.0065920566	0.0459605802
ENSMUSG00000001062	Vps9d1	-0.5027369869	4.9193196325	7.3966542406	0.0065345303	0.0456423753
ENSMUSG00000001089	Luzp1	0.5133440861	6.047523064	10.5705692678	0.0011490234	0.0121530458
ENSMUSG00000001119	Col6a1	-1.8804695241	0.7858137496	33.3419733118	7.72961929050184e-09	3.78577254710029e-07
ENSMUSG00000001151	Pcnt	-0.63849529	7.4474155996	7.3801558586	0.0065947455	0.0459605802
ENSMUSG00000001228	Uhrf1	-0.7265230614	7.5349040198	21.4160317873	3.69667245991774e-06	9.62728614531392e-05
ENSMUSG00000001240	Ramp2	3.3689378746	3.3913028784	223.2846587676	1.73755798183219e-50	1.88924679364614e-47
ENSMUSG00000001247	Lsr	1.4482904443	2.7788748891	41.0754237173	1.46466499074975e-10	9.80018611964433e-09
ENSMUSG00000001249	Hpn	-1.1387578972	2.6900300485	24.0178064483	9.54488804614896e-07	2.91112391937665e-05
ENSMUSG00000001403	Ube2c	-0.5789424627	5.1642034575	15.2410810942	9.4622538974336e-05	0.0016088051
ENSMUSG00000001415	Smg5	-0.4832236496	6.6481402503	8.8581475786	0.0029178353	0.024980806
ENSMUSG00000001435	Col18a1	1.5850005696	4.5535048894	96.6698012829	8.19090928002417e-23	2.00134284498208e-20
ENSMUSG00000001506	Col1a1	-3.7842773519	3.5407958313	308.7636623515	4.0602636508593e-69	1.20137972534941e-65
ENSMUSG00000001507	Itga3	0.8646163415	3.7781328283	24.7828953843	6.41643340949549e-07	2.07328025145452e-05
ENSMUSG00000001517	Foxm1	-0.7905308354	5.9202501164	17.796640536	2.4581688864938e-05	0.0005090985
ENSMUSG00000001520	Nrip2	-0.9912579625	0.0216774658	8.224690519	0.0041324252	0.0324205114
ENSMUSG00000001555	Fkbp10	0.896988919	2.8531467861	17.1215219021	3.50627247822288e-05	0.0006925286
ENSMUSG00000001604	Tcea3	2.2952084097	-3.6464302737	11.3359310017	0.0007602171	0.0088832249
ENSMUSG00000001632	Brpf1	-0.5053719689	6.2850039985	7.3589488202	0.0066729793	0.0462901935
ENSMUSG00000001663	Gstt1	0.6269187129	4.3656307933	14.8713084133	0.0001151004	0.0018847692
ENSMUSG00000001672	Marveld3	2.1712444494	-2.0898789345	20.5702815439	5.74815504825141e-06	0.0001426537
ENSMUSG00000001763	Tspan33	-0.4387841787	4.463531876	8.1187694444	0.0043809286	0.0337708871
ENSMUSG00000001901	Kcnh6	-1.6546153575	-1.8713661052	14.9926238908	0.0001079322	0.0017944146
ENSMUSG00000001930	Vwf	1.771409558	9.1636271206	84.1136321577	4.67138519743883e-20	9.40592060217637e-18
ENSMUSG00000001942	Siae	0.4070718007	6.5794992552	7.406053826	0.0065004754	0.0454709138
ENSMUSG00000001986	Gria3	-0.4622363321	4.5167036747	9.3680930601	0.002207951	0.020284792
ENSMUSG00000002020	Ltbp2	-1.0918248615	0.3983075827	11.3241537282	0.0007650539	0.0089156471
ENSMUSG00000002055	Spag5	-0.8242415231	5.9471677248	12.3444686007	0.000442295	0.0056677358
ENSMUSG00000002059	Rab34	0.7309904047	2.3140767003	9.8380093665	0.0017094239	0.0166675595
ENSMUSG00000002068	Ccne1	-0.9029357995	3.6567362907	24.6650395977	6.82103612672047e-07	2.18453978809519e-05
ENSMUSG00000002111	Spi1	-0.4424589735	5.5741337377	9.8102813996	0.0017353895	0.0168547478
ENSMUSG00000002221	Paxip1	-0.4884275313	6.3151348959	8.4238641832	0.0037032791	0.0297933803
ENSMUSG00000002384	Bmp8b	1.197717469	-2.5887727084	7.2224391224	0.007199781	0.0490935247
ENSMUSG00000002458	Rgs19	-0.3736923312	6.0332135032	7.5036772075	0.0061573147	0.0435862516
ENSMUSG00000002688	Prkd1	1.5635411505	1.5865147076	33.7400732267	6.29896501117713e-09	3.17812745088302e-07
ENSMUSG00000002814	Top3a	-0.4129745308	5.2568438702	7.7794034525	0.0052845245	0.0388050447
ENSMUSG00000002870	Mcm2	-0.519059326	7.9749225564	10.625787565	0.0011152146	0.0119113248
ENSMUSG00000002881	Nab1	0.4082495148	6.8695564873	8.6164780583	0.0033313536	0.0274615674
ENSMUSG00000002980	Bcam	0.6644810396	4.2020453311	16.2956074255	5.41894220035308e-05	0.0010003423
ENSMUSG00000002983	Relb	-0.535824917	3.585154944	8.6491503055	0.0032721392	0.027049807
ENSMUSG00000002997	Prkar2b	0.503727472	7.6883436287	8.4617903506	0.0036268468	0.0293194836
ENSMUSG00000003032	Klf4	1.2843468197	1.2880914222	15.4097996455	8.65383483051119e-05	0.0014920371
ENSMUSG00000003134	Tbc1d8	0.786795026	6.1032161623	30.0974830333	4.10864126701428e-08	1.72483615815623e-06
ENSMUSG00000003436	Dll3	1.7912139867	-2.5360591494	14.6685264447	0.0001281687	0.0020615056
ENSMUSG00000003469	Phyhip	-2.0368231134	-0.0100641848	31.7104789762	1.78954012733309e-08	8.12428801857732e-07
ENSMUSG00000003484	Cyp4f18	1.6710198816	0.3096656079	16.1890334595	5.73250199984366e-05	0.0010475545
ENSMUSG00000003500	Impdh1	-0.5834726583	6.2651097064	18.2893776127	1.89762354859437e-05	0.0004049629
ENSMUSG00000003518	Dusp3	0.5152454064	5.2235686283	13.0001448582	0.0003114669	0.0042705919
ENSMUSG00000003534	Ddr1	1.5397960135	2.6304447635	49.2952090249	2.20199627099216e-12	2.02900893682185e-10
ENSMUSG00000003573	Homer3	-0.4785835694	5.4628648958	9.0105586486	0.0026842436	0.0234235801
ENSMUSG00000003617	Cp	-0.9538057924	1.5569701019	9.1427546665	0.0024970488	0.0222818311
ENSMUSG00000003623	Crot	0.4308899507	6.5950499215	8.0207970178	0.0046243215	0.0350629344
ENSMUSG00000003746	Man1a	0.6013687267	7.440954238	11.0304077078	0.0008962943	0.0101461825
ENSMUSG00000003808	Farsa	-0.4067082251	6.445698471	8.7092289995	0.0031660308	0.0264395185
ENSMUSG00000004031	Brinp2	1.3229723112	-3.0120582493	7.3745202688	0.0066154436	0.0459908686
ENSMUSG00000004035	Gstm7	0.931635042	3.7153227083	23.8166415459	1.05962372982805e-06	3.18267646807193e-05
ENSMUSG00000004098	Col5a3	-1.1740526582	-0.0883505321	9.9671981133	0.0015935381	0.0157729086
