reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1457429_s_at	Sbspon	6.7243328502	2.08980807604666e-11	9.42524340377803e-07
1418674_at	Osmr	4.5586009437	1.10277758921611e-08	0.0001410253
1443933_at	Tc2n	3.7102869621	1.2055077723249e-08	0.0001410253
1417818_at	Wwtr1	3.8678705781	1.3733913140972e-08	0.0001410253
1439527_at	Pgr	2.8980446611	1.78011459311452e-08	0.0001410253
1419665_a_at	Nupr1	3.401097695	2.31733178273833e-08	0.0001410253
1420558_at	Selp	3.3337831694	2.44628924240896e-08	0.0001410253
1437356_at	Gpr183	3.9158452287	2.79128817863733e-08	0.0001410253
1433741_at	Cd38	2.6790982474	2.81418911932416e-08	0.0001410253
1448961_at	Plscr2	4.1244473904	3.19634549784533e-08	0.0001441584
1440173_x_at	Selp	3.2006305398	4.0192901216236e-08	0.0001558626
1453357_at	Tdrd9	3.559316578	4.704330476627e-08	0.0001558626
1460259_s_at	Clca3a2///Clca3a1	2.9381755134	4.82418130831236e-08	0.0001558626
1458324_x_at		3.2039847615	4.83819859856341e-08	0.0001558626
1439794_at	Ntn4	2.4270596734	5.92997872259538e-08	0.0001782986
1417852_x_at	Clca3a1	3.0360838923	8.13572949763451e-08	0.0002164155
1430886_at	1700112E06Rik	3.1195739829	8.31798420283501e-08	0.0002164155
1428942_at	Mt2	3.3282775454	8.63723570642305e-08	0.0002164155
1449906_at	Selp	2.8886779012	1.12698296044846e-07	0.0002675161
1425493_at	Bmpr1a	2.3592088902	1.31074613655682e-07	0.0002955798
1419666_x_at	Nupr1	2.9811021485	1.70385748198009e-07	0.0003659318
1449740_s_at	Dsg2	1.9330681919	1.8111259246785e-07	0.0003677349
1418488_s_at	Ripk4	2.9280818248	1.87532490720928e-07	0.0003677349
1439699_at		3.1320141356	2.00524685595536e-07	0.0003768277
1453851_a_at	Gadd45g	2.2606221485	2.36213956113504e-07	0.0004261394
1428359_s_at	Zg16	3.5699097882	2.56257051474881e-07	0.0004445173
1422557_s_at	Mt1	2.713056669	2.75843381937765e-07	0.0004607708
1441845_at	Caps2	4.2341540774	4.10807985671558e-07	0.000661709
1457691_at	Gpr183	2.54273594	4.44980076702769e-07	0.000680918
1416411_at	Gstm2	2.9698361658	4.52928745037734e-07	0.000680918
1436876_at	Rgs7bp	-2.8154765489	5.64426537367701e-07	0.0008211678
1437689_x_at	Clu	3.5359716692	6.39911524126872e-07	0.0009018953
1434553_at	Tmem56	2.8775672138	6.89524696946623e-07	0.0009423713
1439364_a_at	Mmp2	-1.7826795991	8.34233355666428e-07	0.0011066105
1436624_at	Dnm3	1.824222656	8.68062182154284e-07	0.0011185849
1418626_a_at	Clu	3.0980178908	9.75014162062126e-07	0.0012215032
1416468_at	Aldh1a1	1.9664474668	1.12035846624182e-06	0.0012899569
1460039_at	Clec1a	2.1808453043	1.12852215472585e-06	0.0012899569
1416778_at	Sdpr	2.1199708574	1.14131201666157e-06	0.0012899569
1437466_at	Alcam	1.6631814685	1.14792294866406e-06	0.0012899569
1421642_a_at	Cysltr2	2.1482207028	1.18469579071777e-06	0.0012899569
1450723_at	Isl1	2.2716567036	1.22550386609419e-06	0.0012899569
1418187_at	Ramp2	2.3595337011	1.29822518856312e-06	0.0012899569
1423278_at	Ptprk	2.4688682087	1.3007603588797e-06	0.0012899569
1437458_x_at	Clu	2.8864252615	1.3165407771019e-06	0.0012899569
