PC1,PC2,ages.actual,ages.predicted,mismatches,study
-0.245692499,-0.435736316,0,0,0,Mann
0.09312705,-0.629204334,0,0,0,Mann
-0.049245666,-0.18122159,0,0,0,Mann
0.704297956,-0.564839576,0,0,0,Mann
0.608155761,-0.547731565,0,0,0,Mann
0.516673366,-0.256789204,0,0,0,Mann
0.556428769,-0.370021504,0,0,0,Mann
0.090014058,-0.739713375,0,0,0,Mann
0.197027865,-0.397864684,0,0,0,Mann
-0.610649236,0.709071492,0,1,2,Mann
0.700741537,-0.402377853,0,0,0,Mann
0.67841432,-0.268561504,0,0,0,Mann
-0.196356147,-0.654866996,0,0,0,Mann
0.516329968,-0.409097703,0,0,0,Mann
0.275002133,0.196309341,0,0,0,Mann
0.734733864,-0.22707406,0,0,0,Mann
0.05793645,0.852404798,0,1,2,Mann
0.81572707,0.112847322,0,0,0,Mann
0.415334575,-0.54139735,0,0,0,Mann
0.28658997,-0.14650853,0,0,0,Mann
0.153372241,-0.527869739,0,0,0,Mann
-0.097853555,-0.516076141,0,0,0,Mann
0.704240534,-0.121314877,0,0,0,Mann
0.060391771,0.618587055,0,1,2,Mann
0.388367739,-0.365073215,0,0,0,Mann
-0.144125673,-0.083288975,0,1,2,Mann
0.804881137,-0.316879172,0,0,0,Mann
0.258805789,0.021110418,0,0,0,Mann
0.475777167,0.065891948,0,0,0,Mann
-0.001937771,-0.529447742,0,0,0,Mann
0.198871067,-0.127293466,0,0,0,Mann
-0.396869933,-0.541506673,0,0,0,Mann
-0.104619163,-0.248143022,0,0,0,Mann
-0.059021609,0.018235117,0,1,2,Mann
0.491412524,-0.750627748,0,0,0,Mann
-0.055530618,-0.344888897,0,0,0,Mann
0.421634156,-0.106097549,0,0,0,Mann
0.611107882,-0.041235009,0,0,0,Mann
1.034930648,0.38961449,0,0,0,Mann
0.274603932,-0.450755078,0,0,0,Mann
0.141282996,-0.46196343,0,0,0,Mann
0.137199666,-0.378412467,0,0,0,Mann
0.128771863,-0.161055822,0,0,0,Mann
0.401670552,-0.268229207,0,0,0,Mann
0.651027076,-0.747835317,0,0,0,Mann
0.332958591,-0.304856444,0,0,0,Mann
0.320270182,-0.65484334,0,0,0,Mann
0.518473876,-0.311164396,0,0,0,Mann
0.232687865,-0.304906688,0,0,0,Mann
-0.242526077,-0.319724499,0,0,0,Mann
0.206944384,-0.355542887,0,0,0,Mann
0.213787034,-0.76910404,0,0,0,Mann
0.025379627,-0.406720285,0,0,0,Mann
0.035655883,-0.229714239,0,0,0,Mann
0.197253848,-0.206822686,0,0,0,Mann
0.354065959,-0.617656364,0,0,0,Mann
0.379112446,-0.83091458,0,0,0,Mann
-0.052456486,0.661126624,0,1,2,Mann
0.070608602,-0.015569397,0,0,0,Mann
0.065026212,-0.06336278,0,0,0,Mann
0.310989468,0.031497474,0,0,0,Mann
0.031251497,-0.285088293,0,0,0,Mann
0.457201307,-0.015442733,0,0,0,Mann
0.449021555,-0.153939927,0,0,0,Mann
-0.017798278,-0.148779933,0,0,0,Mann
0.024301176,-0.127235241,0,0,0,Mann
0.664961573,-0.189466642,0,0,0,Mann
0.173842809,-0.664527572,0,0,0,Mann
0.306729968,-0.340317781,0,0,0,Mann
-0.163585046,0.319980817,0,1,2,Mann
0.365271539,-0.073782958,0,0,0,Mann
0.128016506,0.279011777,0,1,2,Mann
0.42632278,-0.477174214,0,0,0,Mann
0.160961915,-0.244116111,0,0,0,Mann
-0.000786574,-0.447099433,0,0,0,Mann
0.241794908,-0.931982621,0,0,0,Mann
0.302048742,0.328013403,0,0,0,Mann
0.344313711,-0.52717674,0,0,0,Mann
0.037403003,-0.596511754,0,0,0,Mann
0.741755851,0.201123193,0,0,0,Mann
0.183091604,-0.041440795,0,0,0,Mann
0.064507645,0.099376957,0,0,0,Mann
0.277523718,-0.087219715,0,0,0,Mann
0.416242041,0.14280593,0,0,0,Mann
0.749278546,-0.152458271,0,0,0,Mann
0.509771066,-0.095598799,0,0,0,Mann
0.002648228,-0.337862558,0,0,0,Mann
0.580598161,0.053784547,0,0,0,Mann
-0.251720733,-0.913309801,0,0,0,Mann
0.199804745,0.077827989,0,0,0,Mann
0.62588095,0.20200408,0,0,0,Mann
0.627110484,-0.451016703,0,0,0,Mann
0.599300598,-0.116812708,0,0,0,Mann
-0.143100187,-0.870714289,0,0,0,Mann
0.256450337,-0.545023893,0,0,0,Mann
0.245584115,-0.646898214,0,0,0,Mann
-0.384298437,-0.225190817,1,1,1,Mann
-0.577881676,0.659831744,1,1,1,Mann
-0.477648805,-0.308503045,1,1,1,Mann
0.085121655,0.202515644,1,1,1,Mann
-0.630005775,-0.620438714,1,1,1,Mann
-0.718548389,-0.122350847,1,1,1,Mann
-0.937088441,0.131949486,1,1,1,Mann
0.898899022,0.109227347,1,0,2,Mann
-0.64251127,-0.080009884,1,1,1,Mann
-0.886777503,-0.076042883,1,1,1,Mann
-0.86613403,-0.245006043,1,1,1,Mann
-0.219016596,0.814453704,1,1,1,Mann
-0.677977712,0.182705471,1,1,1,Mann
0.977201857,0.240189169,1,0,2,Mann
0.346188835,0.773084939,1,1,1,Mann
0.253948482,0.749270768,1,1,1,Mann
-0.829695469,-0.340864182,1,1,1,Mann
-0.505752127,-0.564751892,1,1,1,Mann
0.540878585,0.619188404,1,0,2,Mann
-0.17698908,-0.690320182,1,0,2,Mann
0.077087416,-0.841480959,1,0,2,Mann
-0.499221284,0.751398702,1,1,1,Mann
-0.677689536,-0.56186604,1,1,1,Mann
-0.571925307,0.261060921,1,1,1,Mann
-0.613375372,0.588026572,1,1,1,Mann
0.453022006,0.09308019,1,0,2,Mann
-0.475613496,0.149081066,1,1,1,Mann
-0.288529801,0.081666658,1,1,1,Mann
-0.310994246,-0.523181767,1,0,2,Mann
0.427504261,0.724710329,1,1,1,Mann
-0.636693944,0.144059622,1,1,1,Mann
0.674174636,0.407854284,1,0,2,Mann
-0.332637761,0.312582278,1,1,1,Mann
0.318414924,0.24271311,1,0,2,Mann
-0.366458494,-0.733509279,1,0,2,Mann
0.346119536,0.552440259,1,1,1,Mann
-0.084169814,-0.620939161,1,0,2,Mann
-0.764860979,-0.034265463,1,1,1,Mann
-0.249845185,0.664634004,1,1,1,Mann
0.539646752,0.3520028,1,0,2,Mann
-0.270812396,-0.753354035,1,0,2,Mann
-0.405363699,0.126403247,1,1,1,Mann
-0.676717295,0.394898609,1,1,1,Mann
0.648792564,0.088304088,1,0,2,Mann
0.51251778,0.641046611,1,0,2,Mann
-0.925392776,0.289758622,1,1,1,Mann
0.486414049,0.239599522,1,0,2,Mann
-0.745705058,0.100088307,1,1,1,Mann
0.133195398,0.632372809,1,1,1,Mann
-0.102812439,0.260314614,1,1,1,Mann
-0.581919456,-0.225333249,1,1,1,Mann
-0.205383612,0.183839471,1,1,1,Mann
-0.333396101,-0.034357832,1,1,1,Mann
-0.40009572,-0.024761596,1,1,1,Mann
-0.45779487,-0.366008049,1,1,1,Mann
-0.284246628,0.564425601,1,1,1,Mann
-0.243643238,0.776914134,1,1,1,Mann
-0.756233417,-0.427009475,1,1,1,Mann
0.125606294,0.036011565,1,0,2,Mann
-0.445626317,0.264810445,1,1,1,Mann
0.240747204,0.40702922,1,1,1,Mann
-0.393932612,0.817251005,1,1,1,Mann
-0.781917155,-0.147767073,1,1,1,Mann
0.408969482,0.444782493,1,0,2,Mann
-0.584647585,0.344945022,1,1,1,Mann
-0.812777034,-0.426469385,1,1,1,Mann
-0.424197036,0.471921532,1,1,1,Mann
-0.816507804,0.284340945,1,1,1,Mann
0.26098531,0.854921948,1,1,1,Mann
-0.676127018,0.064938352,1,1,1,Mann
-0.795670077,0.366323614,1,1,1,Mann
-0.309899965,-0.119324907,1,1,1,Mann
0.584178973,0.498154169,1,0,2,Mann
0.368230732,-0.233527563,1,0,2,Mann
-0.13752185,0.466000824,1,1,1,Mann
0.099395306,0.951099817,1,1,1,Mann
