PC1,PC2,ages.actual,ages.predicted,mismatches,study
0.134725099,-0.016859623,0,0,0,Mann
0.103982721,-0.05579495,0,0,0,Mann
0.117421693,-0.004151401,0,0,0,Mann
0.089173273,-0.097052934,0,0,0,Mann
0.185521532,-0.046241208,0,0,0,Mann
0.140753417,-0.141912483,0,0,0,Mann
0.127187465,0.119923981,0,0,0,Mann
0.172403563,0.00957045,0,0,0,Mann
0.194425025,0.01599337,0,0,0,Mann
-0.106266889,0.049412955,0,1,2,Mann
0.146437644,-0.087845836,0,0,0,Mann
0.161307699,0.023751572,0,0,0,Mann
0.143193258,0.171817013,0,0,0,Mann
0.145173618,0.048716888,0,0,0,Mann
-0.004791171,0.001297774,0,1,2,Mann
0.146411431,-0.163757994,0,0,0,Mann
-0.227887874,0.116997737,0,1,2,Mann
0.065108956,0.11774417,0,0,0,Mann
0.227803496,-0.041021019,0,0,0,Mann
0.173475871,-0.134220811,0,0,0,Mann
0.206396902,-0.019208755,0,0,0,Mann
0.194230958,0.098574175,0,0,0,Mann
0.076848539,-0.065194365,0,0,0,Mann
-0.136505374,-0.045273951,0,1,2,Mann
0.233311846,-0.012744862,0,0,0,Mann
0.057439701,-0.18221639,0,0,0,Mann
0.192989116,-0.170743423,0,0,0,Mann
0.167356089,-0.096585938,0,0,0,Mann
0.109347475,-0.010262324,0,0,0,Mann
0.094672728,0.070332345,0,0,0,Mann
0.203310323,0.070588207,0,0,0,Mann
0.12664351,-0.144138547,0,0,0,Mann
0.071574516,-0.020914172,0,0,0,Mann
0.049316052,-0.052505787,0,0,0,Mann
0.027216233,0.195051779,0,1,2,Mann
0.16925082,-0.050809032,0,0,0,Mann
0.168611466,-0.137319347,0,0,0,Mann
0.11821396,-0.067388686,0,0,0,Mann
-0.018393184,0.177911634,0,1,2,Mann
0.15849776,-0.042401633,0,0,0,Mann
0.181265728,0.076803608,0,0,0,Mann
0.209827319,0.026008062,0,0,0,Mann
0.160716631,0.034057342,0,0,0,Mann
0.176356831,0.125316406,0,0,0,Mann
0.100014419,0.130939897,0,0,0,Mann
0.155655181,0.000409171,0,0,0,Mann
0.154714494,0.064096351,0,0,0,Mann
0.180265055,0.050648174,0,0,0,Mann
0.135708404,-0.032781098,0,0,0,Mann
0.026450604,-0.139185773,0,0,0,Mann
0.221087747,0.037259261,0,0,0,Mann
0.13026876,0.028407512,0,0,0,Mann
0.237581023,-0.012084544,0,0,0,Mann
0.192281129,-0.100245804,0,0,0,Mann
0.172037969,-0.107723091,0,0,0,Mann
0.217311109,0.001733086,0,0,0,Mann
0.206003601,0.051197172,0,0,0,Mann
