PC1,PC2,ages.actual,ages.predicted,mismatches,study
-0.064676431,-0.099034732,0,0,0,Mann
-0.112226449,-0.02195503,0,0,0,Mann
-0.072197145,0.023330448,0,0,0,Mann
-0.095232945,-0.004979043,0,0,0,Mann
-0.096223699,-0.039474373,0,0,0,Mann
-0.081616344,0.000166855,0,0,0,Mann
-0.098820986,-0.014122333,0,0,0,Mann
-0.055204819,-0.122549371,0,0,0,Mann
-0.104162329,-0.022237929,0,0,0,Mann
0.102497121,0.01780625,0,1,2,Mann
-0.112226449,-0.021955031,0,0,0,Mann
-0.104457135,0.010677949,0,0,0,Mann
-0.072096188,-0.080907206,0,0,0,Mann
-0.112226449,-0.02195503,0,0,0,Mann
0.012484679,0.0570873,0,1,2,Mann
0.000565408,-0.116831959,0,0,0,Mann
0.054862315,0.085288076,0,1,2,Mann
-0.065868912,0.042636512,0,0,0,Mann
-0.068722498,-0.056701095,0,0,0,Mann
-0.099667526,-0.015078382,0,0,0,Mann
-0.063970365,-0.100858944,0,0,0,Mann
-0.052960788,-0.083014053,0,0,0,Mann
-0.098277024,-0.013383546,0,0,0,Mann
-0.005012608,0.093126815,0,1,2,Mann
-0.021755574,-0.075371758,0,0,0,Mann
-0.010079904,0.07162866,0,1,2,Mann
-0.112226449,-0.021955029,0,0,0,Mann
-0.078652706,-0.067117569,0,0,0,Mann
-0.061093837,-0.108319651,0,0,0,Mann
-0.046961074,0.053467725,0,0,0,Mann
-0.048348078,-0.059941735,0,0,0,Mann
-0.038572747,0.00169295,0,0,0,Mann
-0.056032731,0.007638392,0,0,0,Mann
-0.060643998,0.080527379,0,0,0,Mann
-0.023571467,-0.099943477,0,0,0,Mann
-0.07078766,-0.083944332,0,0,0,Mann
-0.112226449,-0.02195503,0,0,0,Mann
-0.093077269,0.015977464,0,0,0,Mann
-0.056505287,0.056937327,0,0,0,Mann
-0.0654944,-0.096938753,0,0,0,Mann
-0.039280897,-0.10676952,0,0,0,Mann
-0.076086791,-0.0722348,0,0,0,Mann
-0.056318507,0.041357615,0,0,0,Mann
-0.103798775,-0.018264004,0,0,0,Mann
0.040461284,-0.085244895,0,0,0,Mann
-0.112226449,-0.02195503,0,0,0,Mann
-0.068136263,-0.090327697,0,0,0,Mann
-0.06201358,-0.105943754,0,0,0,Mann
-0.069739863,-0.086434357,0,0,0,Mann
-0.037018432,-0.040286173,0,0,0,Mann
-0.069107976,-0.087957437,0,0,0,Mann
-0.051037543,-0.082367272,0,0,0,Mann
-0.057916558,-0.116250231,0,0,0,Mann
-0.112226449,-0.02195503,0,0,0,Mann
-0.112226449,-0.021955031,0,0,0,Mann
-0.112226449,-0.02195503,0,0,0,Mann
-0.007454903,-0.093750663,0,0,0,Mann
-0.04165864,-0.12185062,0,0,0,Mann
-0.094680321,0.043385385,0,0,0,Mann
-0.092961107,0.016879528,0,0,0,Mann
-0.11222645,-0.021955029,0,0,0,Mann
-0.082492053,-0.059981746,0,0,0,Mann
-0.017710212,-0.002025146,0,0,0,Mann
-0.101815071,0.007100309,0,0,0,Mann
-0.07243338,-0.006875377,0,0,0,Mann
-0.014941335,-0.119580398,0,0,0,Mann
-0.042527177,0.108019232,0,1,2,Mann
-0.063546033,-0.032307758,0,0,0,Mann
-0.106383689,-0.015068718,0,0,0,Mann
-0.114430777,0.053697976,0,0,0,Mann
-0.107794999,-0.017175954,0,0,0,Mann
-0.09355617,0.03718724,0,0,0,Mann
-0.053444383,-0.12637484,0,0,0,Mann
-0.089735251,-0.048206344,0,0,0,Mann
-0.112226449,-0.021955031,0,0,0,Mann
-0.038055917,-0.099983664,0,0,0,Mann
-0.047782686,0.076356271,0,0,0,Mann
0.009371594,0.113679852,0,1,2,Mann
-0.112226449,-0.021955031,0,0,0,Mann
-0.048154388,0.013021797,0,0,0,Mann
-0.09252657,0.021916618,0,0,0,Mann
-0.092931534,0.032693415,0,0,0,Mann
-0.085487573,-0.054829151,0,0,0,Mann
-0.035705435,0.024437164,0,0,0,Mann
-0.074703065,0.021078169,0,0,0,Mann
-0.076083056,0.022069601,0,0,0,Mann
-0.088570065,0.00299863,0,0,0,Mann
-0.093198682,-0.014003417,0,0,0,Mann
-0.093082963,0.033937217,0,0,0,Mann
-0.079092581,0.003588241,0,0,0,Mann
-0.101557282,0.006793228,0,0,0,Mann
-0.10264838,0.071053121,0,0,0,Mann
-0.11222645,-0.021955029,0,0,0,Mann
-0.019367291,-0.05647081,0,0,0,Mann
-0.022085315,-0.080154752,0,0,0,Mann
-0.002734185,-0.084149366,0,0,0,Mann
0.02988106,-0.026118277,1,1,1,Mann
0.141554364,0.018119947,1,1,1,Mann
0.033848812,-0.104012892,1,0,2,Mann
0.137503403,0.04065508,1,1,1,Mann
0.057680843,0.074493819,1,1,1,Mann
0.099063624,-0.005445796,1,1,1,Mann
0.076921816,0.09509707,1,1,1,Mann
0.060855313,-0.10147991,1,1,1,Mann
0.090753006,0.113941601,1,1,1,Mann
0.12439505,0.021526632,1,1,1,Mann
0.03419517,0.090408505,1,1,1,Mann
-0.001270125,0.07524018,1,1,1,Mann
0.087917699,-0.008989559,1,1,1,Mann
-0.006575589,0.081580703,1,1,1,Mann
0.044925541,0.00993804,1,1,1,Mann
0.071247865,0.031703043,1,1,1,Mann
0.118611581,-0.030311518,1,1,1,Mann
-0.036404191,0.004474463,1,0,2,Mann
0.046294877,-0.033607,1,1,1,Mann
0.015194714,0.102673586,1,1,1,Mann
0.002799259,-0.109459145,1,0,2,Mann
0.018254416,0.058883482,1,1,1,Mann
0.092914062,0.020800736,1,1,1,Mann
0.097245655,0.0931219,1,1,1,Mann
0.081631788,0.089923504,1,1,1,Mann
0.053299723,-0.12364392,1,0,2,Mann
0.039745851,0.106170038,1,1,1,Mann
0.051809718,0.010247393,1,1,1,Mann
0.013909683,-0.082954122,1,0,2,Mann
-0.069519017,0.07468832,1,0,2,Mann
-0.070352616,0.079313644,1,0,2,Mann
0.075642628,-0.004425174,1,1,1,Mann
0.091641569,-0.026694281,1,1,1,Mann
0.051808113,-0.049098725,1,1,1,Mann
0.071890743,0.103630475,1,1,1,Mann
0.050513703,-0.049994389,1,1,1,Mann
-0.030357562,-0.095149027,1,0,2,Mann
0.019227084,0.10264044,1,1,1,Mann
0.044722995,0.067011807,1,1,1,Mann
-0.06136449,0.065760403,1,0,2,Mann
-0.008025763,0.057128197,1,1,1,Mann
0.091080128,-0.070106177,1,1,1,Mann
-0.032283048,0.075264812,1,1,1,Mann
0.044633944,0.079818922,1,1,1,Mann
0.112010314,0.050899497,1,1,1,Mann
-0.005087648,0.058461204,1,1,1,Mann
-0.024978135,0.118540038,1,1,1,Mann
0.10060085,-0.090556467,1,1,1,Mann
0.121825939,-0.013418921,1,1,1,Mann
-0.12795546,-0.054943655,1,0,2,Mann
0.012075792,0.113124626,1,1,1,Mann
0.08158128,0.085093744,1,1,1,Mann
-0.050997825,0.086287614,1,0,2,Mann
0.063744071,-0.052547134,1,1,1,Mann
-0.094624468,0.043100508,1,0,2,Mann
0.044307658,0.024832225,1,1,1,Mann
0.107290828,0.011398066,1,1,1,Mann
0.088591926,0.016537619,1,1,1,Mann
-0.093866481,0.010932456,1,0,2,Mann
0.102183945,0.059729725,1,1,1,Mann
0.079287676,-0.054961218,1,1,1,Mann
0.118840776,0.039625035,1,1,1,Mann
0.073728792,-0.067975649,1,1,1,Mann
0.019522567,0.127699598,1,1,1,Mann
0.108009265,-0.051897403,1,1,1,Mann
0.133291459,0.030675389,1,1,1,Mann
0.117519427,-0.022299662,1,1,1,Mann
0.034768746,0.136154959,1,1,1,Mann
0.103308821,0.10091311,1,1,1,Mann
0.069914435,0.081660941,1,1,1,Mann
0.09149566,-0.082398101,1,1,1,Mann
0.011319784,-0.064496471,1,0,2,Mann
0.083718304,0.05044813,1,1,1,Mann
-0.033080055,-0.114256279,1,0,2,Mann
0.068228345,0.080365037,1,1,1,Mann
0.122089027,-0.002022301,1,1,1,Mann
0.118307106,-0.062913537,1,1,1,Mann
0.124502919,0.098608957,1,1,1,Mann
-0.020870592,0.124658133,1,1,1,Mann
0.032145453,-0.079975674,1,0,2,Mann
-0.040303645,-0.052222509,1,0,2,Mann
0.081914685,0.00105458,1,1,1,Mann
-0.025874344,0.067154445,1,1,1,Mann
0.077697281,0.058694211,1,1,1,Mann
0.01164261,0.061039682,1,1,1,Mann
0.131969485,0.002532763,1,1,1,Mann
0.019253546,-0.043710373,1,0,2,Mann
0.141495543,-0.002203444,1,1,1,Mann
-0.005500935,0.096252334,1,1,1,Mann
0.072997355,-0.076474164,1,1,1,Mann
0.002954098,-0.032393443,1,0,2,Mann
0.037746874,-0.041784827,1,1,1,Mann
0.131028147,-0.052755785,1,1,1,Mann
0.019819514,-0.015488267,1,1,1,Mann
0.106033927,0.100267771,1,1,1,Mann
0.137012873,-0.027897217,1,1,1,Mann
0.087899231,-0.05981481,1,1,1,Mann
0.073526755,0.016358496,1,1,1,Mann
-0.00269986,0.006521878,1,0,2,Mann
0.13463468,-0.012614554,1,1,1,Mann
0.083460043,0.086221978,1,1,1,Mann
0.141953457,0.010110817,1,1,1,Mann
0.045329562,0.051956633,1,1,1,Mann
-0.039379068,0.061846823,1,0,2,Mann
0.123945247,-0.027926193,1,1,1,Mann
0.02157889,0.064905032,1,1,1,Mann
0.017069506,0.057286792,1,1,1,Mann
-0.019824725,0.086512276,1,1,1,Mann
0.113339202,0.104037798,1,1,1,Mann
-0.015447437,0.102372869,1,1,1,Mann
0.09752754,0.0059739,1,1,1,Mann
0.107507157,-0.040174262,1,1,1,Mann
0.132456675,0.006184024,1,1,1,Mann
0.154978977,-0.00304715,1,1,1,Mann
0.07499672,0.071197573,1,1,1,Mann
0.094174484,-0.074026847,1,1,1,Mann
0.042784469,0.100376651,1,1,1,Mann
