	Ma	Ki	Ko	Gr	sum
Nupr1	0.04	0.04	0.08	0.08	0.24
Sult1a1	0.04	0.02	0.06	0.1	0.22
Selp	0.04	0.04	0.1	0.0	0.18
Mt1	0.02	0.04	0.0	0.1	0.16
Jun	0.02	0.06	0.06	0.0	0.14
Fyb	0.04	0.04	0.02	0.02	0.12000000000000001
Clec1a	0.06	0.0	0.04	0.0	0.1
Enpp5	0.0	0.0	0.06	0.04	0.1
S100a6	0.02	0.04	0.0	0.02	0.08
Lst1	0.0	0.08	0.0	0.0	0.08
Socs2	0.0	0.06	0.0	0.02	0.08
Btg2	0.0	0.06	0.0	0.02	0.08
Egr1	0.0	0.04	0.02	0.02	0.08
Aldh1a1	0.02	0.0	0.04	0.02	0.08
Prtn3	0.02	0.02	0.04	0.0	0.08
Pla2g4a	0.04	0.02	0.0	0.02	0.08
Mef2c	0.02	0.0	0.04	0.0	0.06
Mllt3	0.02	0.04	0.0	0.0	0.06
Plscr2	0.04	0.0	0.0	0.02	0.06
Tmem176a	0.04	0.0	0.02	0.0	0.06
Cd34	0.02	0.0	0.04	0.0	0.06
Gadd45g	0.0	0.02	0.0	0.02	0.04
Myo1e	0.0	0.0	0.0	0.04	0.04
Nt5c3	0.0	0.02	0.02	0.0	0.04
Sdpr	0.0	0.0	0.0	0.04	0.04
Oxr1	0.0	0.0	0.02	0.02	0.04
Plek	0.0	0.02	0.0	0.02	0.04
Id2	0.0	0.0	0.0	0.04	0.04
Camk1d	0.0	0.0	0.0	0.04	0.04
Tsc22d1	0.0	0.0	0.04	0.0	0.04
Zfp36	0.0	0.04	0.0	0.0	0.04
Ebi3	0.0	0.0	0.04	0.0	0.04
Lpar6	0.0	0.0	0.02	0.02	0.04
Bmpr1a	0.0	0.0	0.0	0.04	0.04
Anxa6	0.0	0.0	0.04	0.0	0.04
Vwf	0.0	0.04	0.0	0.0	0.04
Tgm2	0.02	0.0	0.02	0.0	0.04
Gda	0.04	0.0	0.0	0.0	0.04
Muc13	0.02	0.0	0.0	0.02	0.04
Fhl1	0.04	0.0	0.0	0.0	0.04
Mmrn1	0.02	0.02	0.0	0.0	0.04
Mcm5	0.02	0.02	0.0	0.0	0.04
Tox	0.02	0.0	0.02	0.0	0.04
Slamf1	0.04	0.0	0.0	0.0	0.04
Lpl	0.02	0.0	0.02	0.0	0.04
Itgb3	0.02	0.02	0.0	0.0	0.04
Dennd5b	0.02	0.02	0.0	0.0	0.04
Tacstd2	0.02	0.0	0.0	0.02	0.04
Cd63	0.0	0.0	0.02	0.0	0.02
Vmp1	0.02	0.0	0.0	0.0	0.02
Dhrs3	0.0	0.0	0.02	0.0	0.02
Dnmt3b	0.0	0.0	0.02	0.0	0.02
Cntn1	0.0	0.0	0.02	0.0	0.02
Casp12	0.02	0.0	0.0	0.0	0.02
Sfrp1	0.0	0.0	0.0	0.02	0.02
Lamp2	0.0	0.0	0.02	0.0	0.02
Ndn	0.0	0.0	0.0	0.02	0.02
Mlec	0.0	0.0	0.0	0.02	0.02
Gstm2	0.0	0.0	0.0	0.02	0.02
Gstm1	0.0	0.0	0.0	0.02	0.02
Efna1	0.0	0.0	0.0	0.02	0.02
Cysltr2	0.0	0.0	0.0	0.02	0.02
Arhgap30	0.0	0.0	0.0	0.02	0.02
Ndrg1	0.0	0.0	0.0	0.02	0.02
Stxbp4	0.0	0.0	0.02	0.0	0.02
Lsp1	0.0	0.0	0.02	0.0	0.02
Mcm7	0.0	0.02	0.0	0.0	0.02
Cpne8	0.02	0.0	0.0	0.0	0.02
Csf2rb	0.02	0.0	0.0	0.0	0.02
Gpx3	0.02	0.0	0.0	0.0	0.02
Syk	0.0	0.02	0.0	0.0	0.02
Rhoj	0.0	0.02	0.0	0.0	0.02
Ptger4	0.0	0.02	0.0	0.0	0.02
Plscr4	0.0	0.02	0.0	0.0	0.02
Ly6e	0.0	0.02	0.0	0.0	0.02
Acpp	0.02	0.0	0.0	0.0	0.02
Jam2	0.0	0.02	0.0	0.0	0.02
Gpr183	0.0	0.02	0.0	0.0	0.02
Cyyr1	0.0	0.02	0.0	0.0	0.02
Plac8	0.02	0.0	0.0	0.0	0.02
Plxdc2	0.02	0.0	0.0	0.0	0.02
Prcp	0.02	0.0	0.0	0.0	0.02
Sbspon	0.02	0.0	0.0	0.0	0.02
Alcam	0.0	0.0	0.0	0.02	0.02
