	young_A10	young_A11	young_A3	young_A5	young_A7	young_A9	young_B11	young_B1	young_B2	young_B3	young_B5	young_B7	young_C11	young_C12	young_C1	young_C5	young_C7	young_C8	young_D1	young_D3	young_D6	young_D7	young_D8	young_D9	young_E11	young_E1	young_E2	young_E3	young_E6	young_F1	young_F2	young_F3	young_F5	young_F6	young_F8	young_F9	young_G12	young_G1	young_G2	young_G3	young_G6	young_G7	young_G8	young_H11	young_H12	young_H4	young_H5	young_H8	old_A10	old_A11	old_A12	old_A1	old_A5	old_A6	old_A7	old_A8	old_B10	old_B11	old_B2	old_B3	old_B4	old_B5	old_B6	old_B7	old_C10	old_C11	old_C12	old_C1	old_C4	old_C5	old_C6	old_C7	old_C8	old_C9	old_D11	old_D12	old_D1	old_D4	old_D6	old_D7	old_D8	old_D9	old_E10	old_E11	old_E12	old_E1	old_E3	old_E5	old_E7	old_E8	old_E9	old_F10	old_F12	old_F1	old_F3	old_F4	old_F5	old_F7	old_F8	old_F9	old_G10	old_G12	old_G1	old_G2	old_G3	old_G5	old_G6	old_G9	old_H11	old_H12	old_H2	old_H4	old_H5	old_H6	old_H7	old_H8	old_H9
Abat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4057205503013237	0.0	0.0	0.0	0.0	0.0	1.0429157224968033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.577318794736976	0.0	0.0	0.0	0.0	1.251776027279544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.225750231911925	0.0	0.0	3.065502754290098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca4	0.0	0.0	0.0	0.0	0.0	0.0	1.9283677293098629	0.0	0.0	0.0	0.0	1.7993565709400483	0.0	1.949440061951797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4819296461868605	0.0	1.6360851225720914	0.0	0.0	0.0	0.0	3.4755018076414683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5112954719432072	0.0	0.0	0.0	1.2709520361183917	0.0	0.0	0.0	0.0	0.0	2.697482361994734	0.0	2.2382638279698073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6406315646543614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.005058421202645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.145777998920709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcb1a	0.0	0.0	2.5271603129799245	0.0	0.0	0.0	0.0	0.0	0.0	2.4805637921039785	1.832033219863786	0.6953203465174044	2.729767830528113	3.317267110966903	0.0	0.0	3.0825961747032973	0.0	2.861293696297001	0.0	2.708560520047472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7361499678501104	0.0	0.0	0.0	0.0	0.740358098374625	0.0	2.8087713190936947	0.0	0.0	0.0	0.0	0.0	0.0	2.770805090652747	2.745909967730987	0.0	0.0	0.0	0.0	0.0	2.2815061204083125	0.0	0.0	0.0	1.9858409731373565	2.750681634077396	2.186971021751963	1.4634801348492374	0.0	0.0	0.0	1.3743338208600424	0.0	1.159605574966809	3.01315745738659	0.0	2.9024206114815048	0.0	0.0	0.0	2.7486125112303523	0.0	0.0	2.0857527755910854	2.3131297771437667	2.887103222536396	0.0	0.0	0.0	0.0	0.0	2.6531955578268938	0.0	0.0	0.0	0.0	1.0939851747737508	2.1959154658394486	0.0	0.9312828976657683	3.9328922096367607	0.0	2.283611323013465	2.773848004028606	0.0	0.9520448749789026	3.559058090706945	0.9599759855184216	3.031986583901403	0.0	1.0513812065971941	0.0	2.906229899814298	3.2698161500196514	3.196680527463116	0.0	0.0	0.0	0.0	0.0	0.0	1.8478698969092584	0.0	2.554681675969079	0.0
Abcb1b	0.0	0.0	3.0709263112745195	0.0	0.0	2.4693560694539043	0.0	0.0	0.0	2.462656697499106	2.205407913408279	1.2666389052617157	3.2182262069748706	2.0745366770785667	0.0	0.0	2.6922799685544656	0.0	1.88600039301499	1.0599535159634517	2.8131949418323785	0.0	0.0	0.0	2.1894138322463075	0.0	2.8140070495117526	3.218718853737979	0.0	2.5317613413612707	0.0	3.410783522259319	2.157968466162186	0.0	2.8594084920086527	0.0	0.0	0.0	3.428163519960243	2.1146891050515153	0.0	0.0	0.0	0.0	2.7535351077619503	3.356626471202321	0.0	0.0	2.8570310988416816	2.248602932630639	1.6360851225720914	0.0	1.9839174133058857	2.410498933502631	2.280338820876474	1.0429157224968033	2.6948826395515986	3.2463669517713543	0.0	1.671266132148675	0.0	3.0065063693345992	2.5060550804779487	0.0	0.0	0.0	3.4941195830183163	0.0	0.0	0.8579031321444712	2.6412479482093887	0.0	3.4614635018381117	1.1070720971423975	0.0	2.29457988622531	3.180528472958874	2.8964388186246226	0.0	3.2347269035434474	0.0	2.624963471880409	0.9906869685207236	3.3140928518714623	0.0	0.0	2.903091024799973	3.0291963954735555	0.0	0.0	0.0	0.9312828976657683	3.101575823040422	0.0	0.0	2.3408178735864564	0.0	0.0	3.4269062287794796	0.0	3.49241483582378	2.880617000743218	2.4642332124289004	1.0582003420479273	3.357464582362976	0.0	3.7116189746654142	2.768823135949738	0.0	2.667805889839859	0.0	0.9260298115851472	0.0	1.8478698969092584	0.0	3.148404093370854	0.0
Acpp	3.0038510083626906	0.0	0.0	0.0	1.6259470820088515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6637587490579184	1.004131027988428	1.0353553137184126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1578624508440627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6804809627625565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9720583579868265	0.0	0.0	0.0	0.0	0.0	0.0
Acsl4	0.0	0.9601906719967449	3.156931890480501	1.831304202726274	3.5194806013611353	3.001675501732297	1.9283677293098629	0.0	0.0	0.0	0.0	3.310097600444223	3.2217291339590344	0.0	3.86042055595216	3.3611232940055387	0.9169676679022196	0.0	3.2440782789693166	2.5718857732128977	0.0	3.661674254185054	3.486465350414415	1.486381315524468	3.1041934308726353	0.0	0.0	0.0	2.569305703630827	2.9757107775423153	1.11780468067442	3.6339698956014868	2.1006299156764223	2.531399558783415	1.7916345883216283	3.2528491801014607	2.8705453411821917	1.4903283128605962	0.0	0.0	3.4004233874282743	0.9532849382762115	0.0	2.6931920687512974	0.0	3.713380169519961	0.0	1.0386581585755037	1.65969163217992	0.0	3.2493124138529565	0.0	3.324004546951927	2.8164087309012547	0.0	0.0	0.0	0.0	2.186971021751963	2.3955347425772135	3.4428751510289093	3.0221346434283203	3.2356007176886994	2.564820277868497	3.5015219390572816	0.0	3.295033695597497	0.0	3.4745763952421003	3.391364091328196	3.077031806381187	1.1074299238180314	3.282526500444591	2.5134147450015267	2.671572432165353	2.130617527205987	2.6104073731168635	3.0140858173687004	1.9962593317279127	2.888059121130397	3.165016480256348	3.1052804692781297	1.5877305778502464	3.292229769640085	0.0	0.0	0.0	0.0	3.433938331886114	3.5149473755609066	0.0	3.5112804117861254	1.261334751477718	2.798587826672197	0.9358027099683501	3.0475601755586696	3.0523973434343112	0.0	1.0278953567025992	0.0	3.3101534344070935	3.2440607499606067	0.0	3.3280735247766176	1.9522601801582218	0.0	3.0249314682375332	2.7447389411785856	3.2513371723796345	2.349779792065416	3.0893208933624083	3.2179269531979338	3.279651613885627	1.8478698969092584	0.0	2.6909909161239844	0.0
Alcam	1.3745769404480956	3.2126012967065494	2.741891181919428	2.0151216231691413	2.3260407817278748	2.6488252600830275	3.3174649546057835	3.4929334622580783	3.0109454733840697	1.4796917984676488	0.7028147293454269	3.8312700922401377	0.0	2.6771250821055	1.308908031027609	0.0	2.5814073503980213	0.7557063906652118	0.9428215956226509	0.0	1.914988851464602	3.1392934916646316	1.183232817705786	0.9095487396019861	0.0	1.1097516183307015	0.0	0.0	2.5509782546482382	2.7183403616763626	0.0	3.442793519038296	1.1199084990641672	1.7438152097084492	1.0353553137184126	2.9542973656189493	1.6154409182076406	3.6835625690634437	1.6832914844365325	1.1454881721316337	2.5738778605988752	3.0093622281389294	3.801102998345214	1.385780428406448	3.580220523959289	0.0	0.0	1.9446589876942675	3.3434042698415185	3.372810943867166	1.6360851225720914	3.6854208508310573	2.238928820075696	3.3622750788285756	3.018731519397755	3.590260304647776	1.6861872115363836	3.097388320066555	1.0501385041765665	3.15401724106285	1.871357651879361	2.0586154652635544	1.850836574032692	3.595803750259951	1.453890035503497	3.5361069352325862	3.298549114686243	3.122894668771176	3.4551821208082263	0.8579031321444712	3.4115879177798774	1.679948529731527	3.041006974176502	2.6552335881402818	2.8966298180679138	3.2207628004682447	0.7759303490599619	3.153415216730746	2.8732883001015814	0.0	0.0	2.0545900775419805	3.6768361315474216	3.3560437499068474	3.766850685791198	0.0	3.4130845132572754	3.1289656546660685	3.1275559256675405	3.1330635613403914	0.0	3.704671451569661	3.9222217231057837	1.5896522515882943	3.174404220853971	3.4984811782580363	3.3365854593386945	3.711602494372474	3.0339839095360186	3.7195008199877124	0.0	3.4823034387371705	2.83704526990825	3.3336107705879474	3.4203898605551912	3.8674276596042945	1.7103676131703158	1.8826769283442777	1.7402193567193693	2.116864318827929	1.464933543166241	3.4166978574616778	1.79619956203083	1.8478698969092584	3.1475553016337376	1.176005187553538	3.8968362433247874
Aldh1a1	0.0	0.0	0.0	0.0	0.0	1.359665249646923	1.5807297829185762	0.8785210943592644	0.0	3.688111365094201	1.9961026118981304	0.0	3.038930014481943	0.0	0.0	0.0	3.5405419970458816	0.0	0.0	0.0	0.0	0.0	2.560524744012622	0.0	0.0	0.0	0.0	0.0	2.5946796345861576	2.296719650366666	0.0	0.0	0.0	3.209832606334875	0.0	0.7968685111726077	0.0	0.0	0.0	3.4228677377061394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2841022056593308	2.123379244533494	3.0322133228167485	1.9339386745063656	3.598550247588548	2.1629842090679565	1.688515604845158	3.75185155125117	3.4003593432127057	3.149214513046166	3.3107587257096127	3.4023824392749833	2.5956435270946048	1.3647090774119641	3.095925581762352	3.5125624150233654	1.453890035503497	1.74572450305563	3.6882226432861946	3.2158563913273985	3.384458249364533	3.72279485925686	1.1834306443570415	3.41364233672427	3.378628320117527	1.4733094716142099	2.938833534844533	2.99926302986724	0.7759303490599619	3.348825968276193	0.0	3.43921419455934	2.474934546834391	3.485965741869934	3.456874370939077	1.6209552220899173	1.6700325856892022	0.0	3.043044734636395	0.0	2.923258670594193	1.583752233478739	3.5700241594773656	2.686310816185196	3.845313277964175	3.6022858159170768	1.7875196615027216	3.1765498082634815	3.3272574339944385	1.3397902938015185	1.4060912272614792	1.3399512231974355	2.4599253858349535	3.2380095499983232	1.0513812065971941	3.5182521346629425	3.5916185627622634	3.7726511557073534	3.639483673587148	3.7601630458176456	2.7586701648805283	3.6845053339347396	3.180650556229664	2.929720997670111	3.209974623167692	1.8478698969092584	3.4164853888374886	3.3089831471475497	1.6065112850667673
Amotl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9517170483837661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0877892640919085	3.2674680785317616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4324893583269303	0.0	0.0	3.146745130450587	0.0	0.0	0.0	0.0	3.0879780665705803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.994079425129043	0.0	0.0	0.0	0.0	0.0	0.0	1.6227695942289548	1.1070720971423975	0.7235470977733777	0.0	0.0	0.0	0.0	0.8165952796644235	3.563980176348921	0.0	0.0	0.0	0.0	0.0	0.0	3.0038588395379375	0.0	0.0	0.0	1.6849226950113636	0.0	0.0	3.272340612419677	0.0	0.0	1.3397902938015185	1.6251396768098432	2.971199138262559	0.0	0.0	0.0	0.0	3.0428825703198927	3.257488241974031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.176005187553538	0.0
Ampd3	0.0	1.350866196107467	1.8140233943972892	1.6928571683599662	0.0	1.564381328930645	0.0	1.8285001997905377	1.5256496202959402	1.2492624571391808	0.7028147293454269	1.6480314139183914	2.1824088199010077	2.0173366813756997	2.3055465970315407	0.0	1.6540697338358534	1.3817672790062818	1.6832674469159241	1.634078625141504	1.7371725194384817	0.7271961535572226	2.0082815877347793	1.486381315524468	1.6206606803129397	1.4791958448564766	1.5673676654838018	1.642842534062862	1.8479621700675843	1.965534428995227	1.4883935849494292	2.01935879937876	1.4912438411410256	1.5950846671448782	2.182548039367141	0.7968685111726077	0.0	1.4903283128605962	3.118156229713233	2.047717714724247	3.4907452355943014	1.7391009329146072	2.280206097164122	1.0105007766234988	2.174133917469413	0.6934224118947598	1.8984676771377849	3.3919695633200098	2.4819296461868605	2.87853485736926	1.6360851225720914	2.229768246948017	1.7382760938228483	3.0517354443133624	3.112323503101204	0.0	0.0	1.5694401102543765	1.7735997660873208	1.0969315004772533	3.454156926876383	2.431998255724508	1.3207792262513485	1.013353724397895	1.0762889267127138	2.7817712284073486	1.962380611166402	2.799435616475955	2.0781466803471846	1.2344825007342883	2.0044110547154452	2.478657561851721	2.0678892408018696	1.4733094716142099	0.0	1.3506208854974684	2.1769205658377437	2.282280916387206	2.0637578458545516	0.0	2.0595269660176934	3.453644421676795	2.3957334961982837	2.2429267547704095	2.498944504256593	0.9807158312735694	2.092862335063093	2.408735881705065	3.1492122344052156	2.448204936790176	3.8356260591922453	1.8928778199311929	0.873898422255744	2.877154096526429	2.1127450916225383	2.9307654862440176	3.3086308561764493	1.730250391138959	1.7749100705528913	2.621751121255716	3.573287922944682	2.6124273958277704	1.8982849537379927	1.4240400224902054	2.7531106184476077	3.5930177519467783	2.620388728995677	2.5058925713552846	1.87924322439856	1.9000838966064222	0.0	1.9027183770521834	1.9881918909037115	0.0	1.9205620711078693	1.714865169390438	1.768020162686008
