	young_A10	young_A11	young_A3	young_A5	young_A7	young_A9	young_B11	young_B1	young_B2	young_B3	young_B5	young_B7	young_C11	young_C12	young_C1	young_C5	young_C7	young_C8	young_D1	young_D3	young_D6	young_D7	young_D8	young_D9	young_E11	young_E1	young_E2	young_E3	young_E6	young_F1	young_F2	young_F3	young_F5	young_F6	young_F8	young_F9	young_G12	young_G1	young_G2	young_G3	young_G6	young_G7	young_G8	young_H11	young_H12	young_H4	young_H5	young_H8	old_A10	old_A11	old_A12	old_A1	old_A5	old_A6	old_A7	old_A8	old_B10	old_B11	old_B2	old_B3	old_B4	old_B5	old_B6	old_B7	old_C10	old_C11	old_C12	old_C1	old_C4	old_C5	old_C6	old_C7	old_C8	old_C9	old_D11	old_D12	old_D1	old_D4	old_D6	old_D7	old_D8	old_D9	old_E10	old_E11	old_E12	old_E1	old_E3	old_E5	old_E7	old_E8	old_E9	old_F10	old_F12	old_F1	old_F3	old_F4	old_F5	old_F7	old_F8	old_F9	old_G10	old_G12	old_G1	old_G2	old_G3	old_G5	old_G6	old_G9	old_H11	old_H12	old_H2	old_H4	old_H5	old_H6	old_H7	old_H8	old_H9
Abat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1985720731928373	0.0	0.0	0.0	0.0	0.0	1.19626562176576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.674456261576756	0.0	0.0	0.0	0.0	1.2411015919647104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.112420204794683	0.0	0.0	8.266970896265658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca4	0.0	0.0	0.0	0.0	0.0	0.0	2.3380941243626925	0.0	0.0	0.0	0.0	3.204672233416404	0.0	3.0252737541415033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.456247720738369	0.0	1.378171235625707	0.0	0.0	0.0	0.0	11.034356097953005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.113855137421067	0.0	0.0	0.0	1.2302145455484188	0.0	0.0	0.0	0.0	0.0	5.971085602029043	0.0	4.070068913508072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.696229124140285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.653579579777497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.529392600132699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcb1a	0.0	0.0	5.116269976882877	0.0	0.0	0.0	0.0	0.0	0.0	5.2030720495379645	3.3495809348671717	1.010961531253352	6.181159552001125	9.950372517683567	0.0	0.0	8.13167016983137	0.0	6.863096082274621	0.0	6.153616098747495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.179594583864062	0.0	0.0	0.0	0.0	1.061740931106614	0.0	6.573377134994288	0.0	0.0	0.0	0.0	0.0	0.0	6.4547071486850385	6.30834812232963	0.0	0.0	0.0	0.0	0.0	4.075865284852625	0.0	0.0	0.0	2.2027631196951925	6.1812782752962	3.8249499190934437	1.771906136653747	0.0	0.0	0.0	1.668443873095016	0.0	1.1967439609573174	7.869110710943797	0.0	7.09502689013492	0.0	0.0	0.0	6.205507959823551	0.0	0.0	3.551146806298608	4.657818746953534	7.061770846146305	0.0	0.0	0.0	0.0	0.0	5.681354761231947	0.0	0.0	0.0	0.0	1.1636192753227748	3.7428209554536265	0.0	1.1133743513420313	14.68284944154253	0.0	4.312475304252255	6.391709304094871	0.0	1.1857195234105582	11.795782995126373	1.1404770056553564	7.788089114100266	0.0	1.1394739602154724	0.0	7.165104194625373	9.276318574061191	9.2618582673805	0.0	0.0	0.0	0.0	0.0	0.0	1.7026186012594666	0.0	5.2044648130385145	0.0
Abcb1b	0.0	0.0	8.2312456265801	0.0	0.0	4.923985963228651	0.0	0.0	0.0	5.1333939534318	4.40625607176887	2.021923062506704	9.057211468480787	3.4159880655316797	0.0	0.0	6.015445247430362	0.0	3.0476693625651237	1.094759554126184	6.626373509158419	0.0	0.0	0.0	3.766907710508148	0.0	6.6076484834638896	9.002638559083648	0.0	5.277279342293128	0.0	10.699417958924359	4.039410048994176	0.0	6.85555235698811	0.0	0.0	0.0	10.78393161181363	3.470498492109129	0.0	0.0	0.0	0.0	6.297652202396675	9.674118834731237	0.0	0.0	6.9645578384999265	3.5957162195785117	1.378171235625707	0.0	3.0455751351100275	3.7978163777400127	3.4052396440999697	1.19626562176576	5.795315031675968	10.2658725179781	0.0	2.2358966043014035	0.0	7.862409822713549	4.875899752473094	0.0	0.0	0.0	11.817762669440237	0.0	0.0	1.1225169724665043	5.656417968629672	0.0	11.432889227362125	1.1219778801155373	0.0	4.276006830808923	8.621742231137096	7.119134079726411	0.0	8.998842936612341	0.0	5.54752132003416	1.12924406481023	10.235109005752534	0.0	0.0	7.094168315318726	7.745610802001031	0.0	0.0	0.0	1.1133743513420313	8.205250990760042	0.0	0.0	4.422948732449039	0.0	0.0	10.67034074468645	0.0	10.867156402676269	7.0079486510907385	4.924724522047816	1.0957368275494095	10.476949659383289	0.0	14.242612290720425	6.382284308626571	0.0	5.851494381270156	0.0	1.1394833812426381	0.0	1.7026186012594666	0.0	8.891129082453201	0.0
Acpp	7.938468757790924	0.0	0.0	0.0	1.4380191840126844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.929463149945411	1.1161544994288222	1.1753268689003065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1781892906610323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2439557602310747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.707186767604292	0.0	0.0	0.0	0.0	0.0	0.0
Acsl4	0.0	1.2052884720928154	8.84283183035991	2.5977139646277747	13.319070071787316	7.714099998139987	2.3380941243626925	0.0	0.0	0.0	0.0	9.370730500934194	9.081543578580693	0.0	13.74483415921435	10.086056903808297	1.0658395687559978	0.0	9.205664132066447	5.371865360594348	0.0	11.860824939320445	10.847964661093073	2.066732388808063	8.429521693839273	0.0	0.0	0.0	5.428542739239816	7.503032864114021	1.149682952178809	12.726349826004608	3.860960636254832	5.246416940697125	2.7290244775756176	9.140151321136317	6.94289256475986	2.162667216121204	0.0	0.0	10.46147526495264	1.2060357206386008	0.0	5.994106655312027	0.0	12.369627039845373	0.0	1.0811946418229463	1.4057896381494142	0.0	10.494374074795491	0.0	10.087942328260823	6.685578832559546	0.0	0.0	0.0	0.0	3.8249499190934437	4.569572143479901	10.528437356293097	7.97489030599528	9.756998108574217	5.355423994713183	11.400441191919784	0.0	10.020680564948364	0.0	11.084869716466729	10.102652752198539	8.25882079809571	1.1195171169870768	9.86473122463988	5.0753364540281405	6.108030091997231	3.6981383080023633	5.773929046716118	7.875227734655804	3.129637519643473	7.031728529200542	8.697762004393637	8.499588049679474	2.25848812962046	10.047920841943863	0.0	0.0	0.0	0.0	10.870618155188408	11.765498476594958	0.0	11.175547328932822	1.8862014306699142	6.529948341460098	1.0781188260630636	7.980359105762393	7.927776509469316	0.0	1.1480124937812957	0.0	9.530575363761427	9.58249614594238	0.0	10.025714881605408	2.882160378361979	0.0	7.96328975245591	6.263087834244944	9.543592548988174	4.4569871252798805	8.623694837309106	8.975160162686826	9.6297060692969	1.7026186012594666	0.0	5.917516736226345	0.0
Alcam	1.222835550958343	8.940652123876673	6.204736223378266	3.1407971249210145	3.717225665990425	5.750928090034152	10.760828666089866	10.973110496951128	7.740468986573379	2.2696246910283726	1.0566751369016982	13.399727086275108	0.0	5.883215926359733	2.0986588730872735	0.0	5.510310634038126	1.2196339544352337	1.0856017308746218	0.0	3.428323372037489	8.354894086772036	1.6178369680007605	1.0333661944040315	0.0	1.1396781680898105	0.0	0.0	5.347855654846548	6.130984396819201	0.0	10.971200117443487	1.5663294570119037	2.5916304904587224	1.1753268689003065	7.341603662361009	2.7445604923913614	12.634163323815446	2.3539556923239875	1.156832830703043	5.430217390487283	7.688525274683984	13.963140851335803	1.7851489356121693	11.929616993626489	0.0	0.0	3.0352970994239565	11.54076447627201	11.23144423241894	1.378171235625707	15.23871483386627	3.913860105742296	12.595073956747399	8.27703617753598	12.028788694735153	1.3897887922855827	8.877604918894251	1.1056584840373653	8.756766092268661	3.15148203080517	3.031357570253854	2.3386030927590284	12.296037018680318	1.8454673859007085	11.914363904239854	10.050295387118815	8.666116110210515	10.922135022916068	1.1225169724665043	10.87545785395208	2.2390342339741536	8.037043070311492	5.754942085864541	7.12267581183249	9.120061350351088	1.077717778892137	8.855071478667922	6.943883198973882	0.0	0.0	3.1700979722490823	12.794105270444405	10.602392576948851	13.996630256895497	0.0	10.531699428027673	8.301676021121136	8.530396185163228	8.63202210412969	0.0	12.876288024698791	14.574010204869245	2.239009590649781	8.73064084270243	11.35515757827057	9.775049243238204	12.847580412464032	7.873047864521135	13.059255226233928	0.0	11.662872359244957	6.73074801953757	10.06962920788284	11.027366092470075	14.206501319226014	2.08066766638939	3.0552904270067236	2.3305975556314698	3.6162555806942516	1.315672886957949	10.384957739143337	2.6160946730705006	1.7026186012594666	8.64432476589259	1.0713225964157655	14.681830591589462
Aldh1a1	0.0	0.0	0.0	0.0	0.0	1.6234152111353592	1.475173149711026	1.0639027269366805	0.0	12.469289142366645	3.788140741236982	0.0	7.887345925029924	0.0	0.0	0.0	11.461203902684671	0.0	0.0	0.0	0.0	0.0	5.46867555990375	0.0	0.0	0.0	0.0	0.0	5.541940120221874	4.345244946479701	0.0	0.0	0.0	9.026858039224972	0.0	0.9885997745653379	0.0	0.0	0.0	10.92869603046335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.892329222336244	3.0982638636150974	8.41859269844782	2.2822075666861754	12.552123290950806	2.5924129849656588	1.4665568893360408	13.570127282985839	12.411838658591284	9.343765871525314	9.857917677863568	10.687957860003408	5.628076290552702	1.3055346446466538	8.6134519562474	11.533458149684993	1.8454673859007085	2.3934879219146348	13.826697830434382	9.385745487198058	10.346896077033865	12.783846845097248	1.1896007983482277	10.810532923339068	10.682571354960752	1.7782928666217435	7.330114757646509	7.66466207063875	1.077717778892137	10.399926208008452	0.0	10.397072352801521	5.027102990520423	11.667267340259302	10.853192709103272	1.893784920410649	2.310868281652474	0.0	7.9201189744828735	0.0	7.225439625463724	1.9774102871024422	11.778948487417486	6.003667912816637	13.812876147221461	12.142455655163475	2.786896736694534	8.840486343914844	9.708504606518035	1.879320980978696	1.819556753002733	1.8076132868984895	5.088941604910027	9.534026581115679	1.1394739602154724	11.63495604394149	12.652895336318986	13.282671389488238	13.432663146525142	13.481173624457622	6.283660902358584	13.082263002695429	9.39331413939505	7.244324854648126	9.112068760543158	1.7026186012594666	10.672328654362326	10.183790714984124	2.457621019923285
Amotl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0863112366199252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1769778461619937	9.642653219035413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.435243704697488	0.0	0.0	8.729665051278362	0.0	0.0	0.0	0.0	8.794826956639572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0935382620391687	0.0	0.0	0.0	0.0	0.0	0.0	1.967099482849395	1.1219778801155373	1.0767933862086474	0.0	0.0	0.0	0.0	1.0942170603935086	11.769479968922903	0.0	0.0	0.0	0.0	0.0	0.0	7.610261349399198	0.0	0.0	0.0	2.5851751865080557	0.0	0.0	9.402381219308529	0.0	0.0	1.879320980978696	2.2960249875625913	7.475357866863294	0.0	0.0	0.0	0.0	8.059929227715019	9.194466885766897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0713225964157655	0.0
Ampd3	0.0	1.91033703081861	2.527340358074236	2.2375490182901556	0.0	2.0485219182115757	0.0	2.9867525570561977	2.043033108522088	1.7986350129954054	1.0566751369016982	2.83812783077499	3.9213851546740557	3.2328727625834137	4.746871524342286	0.0	2.4748028393371824	2.4392679088704674	2.5206891587761335	2.189519108252368	2.973023100298717	1.1048170130082293	3.5311853487736102	2.066732388808063	2.101504665530193	1.8063471593129319	2.1350034788900296	2.46275605043859	2.9039742144999416	3.258933709859776	1.8222043669218064	3.2381048763273688	2.294631179242928	2.2323089988576443	3.904351346475924	0.9885997745653379	0.0	2.162667216121204	8.450593936404697	3.247640341272019	11.206731771434358	2.8003282231884934	4.29210937819554	1.1263035780341355	3.8840137234645633	0.9967530655013046	3.179166227296475	10.51777547155357	4.456247720738369	7.079834107301775	1.378171235625707	3.34337365397734	2.3563785813220646	8.929612790364297	9.134916962971829	0.0	0.0	1.3481633217990254	2.567259497436929	1.1179483021507017	10.614820466784812	4.516407828917043	1.1693015463795142	1.0526708816996464	1.1643602830104958	6.411618007041461	2.835894689017844	6.502178688718225	3.52793161001552	1.7791473077824518	3.075073454558118	4.917274538041386	3.208201074814106	1.7782928666217435	0.0	1.6943276199149138	4.210525455073791	4.0551188825617634	3.3443981326197867	0.0	3.522785718263136	11.364428386766333	4.708863058582521	3.787569840821298	5.0438359244570234	1.7355649925904482	3.6051873978873497	5.00284601570741	8.679938414398524	4.750082595708903	14.335950822993079	3.1256369653327436	1.1900606038386996	6.951512819167891	3.729678355530688	7.265329338780948	9.576899859850865	2.753155474063429	2.665602462592494	5.702385028276781	11.51631158717707	5.49316147696801	2.945497457705227	1.7367017823249782	6.260243328169444	11.689551403603776	5.474090470797937	5.181225505541529	2.7057399711482613	2.948929411536542	0.0	3.198934278934362	3.1630205402073073	0.0	2.9955707762047425	2.142645192831531	2.8532096463728043
