	GSM2336308_4m	 GSM2336309_4m	 GSM2336312_4m	 GSM2336316_4m	 GSM2336317_4m	 GSM2336319_4m	 GSM2336320_4m	 GSM2336321_4m	 GSM2336326_4m	 GSM2336331_4m	 GSM2336332_4m	 GSM2336335_4m	 GSM2336342_4m	 GSM2336345_4m	 GSM2336346_4m	 GSM2336347_4m	 GSM2336349_4m	 GSM2336354_4m	 GSM2336359_4m	 GSM2336367_4m	 GSM2336369_4m	 GSM2336370_4m	 GSM2336371_4m	 GSM2336375_4m	 GSM2336383_4m	 GSM2336384_4m	 GSM2336389_4m	 GSM2336390_4m	 GSM2336391_4m	 GSM2336392_4m	 GSM2336398_4m	 GSM2336399_4m	 GSM2336400_4m	 GSM2336401_4m	 GSM2336402_4m	 GSM2336404_4m	 GSM2336405_4m	 GSM2336406_4m	 GSM2336409_4m	 GSM2336413_4m	 GSM2336415_4m	 GSM2336417_4m	 GSM2336418_4m	 GSM2336420_4m	 GSM2336421_4m	 GSM2336424_4m	 GSM2336425_4m	 GSM2336428_4m	 GSM2336429_4m	 GSM2336432_4m	 GSM2336435_4m	 GSM2336437_4m	 GSM2336438_4m	 GSM2336441_4m	 GSM2336442_4m	 GSM2336444_4m	 GSM2336446_4m	 GSM2336453_4m	 GSM2336454_4m	 GSM2336455_4m	 GSM2336464_4m	 GSM2336466_4m	 GSM2336467_4m	 GSM2336468_4m	 GSM2336469_4m	 GSM2336470_4m	 GSM2336471_4m	 GSM2336476_4m	 GSM2336477_4m	 GSM2336478_4m	 GSM2336480_4m	 GSM2336481_4m	 GSM2336483_4m	 GSM2336485_4m	 GSM2336486_4m	 GSM2336487_4m	 GSM2336489_4m	 GSM2336493_4m	 GSM2336494_4m	 GSM2336495_4m	GSM2336112_18m	 GSM2336115_18m	 GSM2336116_18m	 GSM2336118_18m	 GSM2336119_18m	 GSM2336122_18m	 GSM2336126_18m	 GSM2336128_18m	 GSM2336129_18m	 GSM2336130_18m	 GSM2336131_18m	 GSM2336132_18m	 GSM2336133_18m	 GSM2336146_18m	 GSM2336149_18m	 GSM2336150_18m	 GSM2336156_18m	 GSM2336158_18m	 GSM2336159_18m	 GSM2336160_18m	 GSM2336162_18m	 GSM2336169_18m	 GSM2336170_18m	 GSM2336172_18m	 GSM2336173_18m	 GSM2336177_18m	 GSM2336183_18m	 GSM2336184_18m	 GSM2336186_18m	 GSM2336188_18m	 GSM2336192_18m	 GSM2336194_18m	 GSM2336195_18m	 GSM2336197_18m	 GSM2336199_18m	 GSM2336200_18m	 GSM2336201_18m	 GSM2336204_18m	 GSM2336207_18m	 GSM2336690_18m	 GSM2336691_18m	 GSM2336692_18m	 GSM2336693_18m	 GSM2336696_18m	 GSM2336698_18m	 GSM2336700_18m	 GSM2336701_18m	 GSM2336703_18m	 GSM2336707_18m	 GSM2336709_18m	 GSM2336711_18m	 GSM2336723_18m	 GSM2336726_18m	 GSM2336727_18m	 GSM2336729_18m	 GSM2336730_18m	 GSM2336731_18m	 GSM2336732_18m	 GSM2336733_18m	 GSM2336735_18m	 GSM2336737_18m	 GSM2336738_18m	 GSM2336739_18m	 GSM2336744_18m	 GSM2336745_18m	 GSM2336746_18m	 GSM2336747_18m	 GSM2336748_18m	 GSM2336749_18m	 GSM2336752_18m	 GSM2336753_18m	 GSM2336754_18m	 GSM2336756_18m	 GSM2336758_18m	 GSM2336761_18m	 GSM2336762_18m	 GSM2336764_18m	 GSM2336765_18m	 GSM2336766_18m	 GSM2336770_18m	 GSM2336771_18m	 GSM2336772_18m	 GSM2336774_18m	 GSM2336775_18m	 GSM2336776_18m	 GSM2336780_18m
Mmp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.011003220222088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.77871692101995	0.8959464655624372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.324353943380736	2.2754400817834908	0.0	0.0	0.0	0.0	1.103858080282072	0.0	0.0	1.0145253674892531	0.0	0.0	0.0	0.8841070406692657	0.0	0.3816245702978602	0.0	0.0	0.9238944055573425	0.8279462488609861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.648450383425867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5214813172446373	1.2680324829572365	0.0	3.0256530921952387	8.637039636124547	0.0	0.820257936783682	0.0	0.0	0.0	0.0	1.1573289236927562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4769590930929315	0.0	4.283121787346409	5.963652125121703	0.0	1.9554053569819423	0.0	0.0	0.0	0.0	0.0	1.3116240976718236	0.0	5.8956428735150395	1.5749569585044914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.248276300881144	0.0	0.0	0.0	5.617411736558261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38783006736473	7.285237944758956	0.0	0.0	0.0	0.0	0.45777254423555286	0.0	0.0	0.0	0.0	0.973061117723568	0.0	0.0	6.1708503255474625	0.0	0.0	6.005442246701975	7.600815993180558	0.0	1.2711827366823607	0.0	0.0
S100a6	5.771970673067576	6.936260965126521	0.0	2.054065985484202	7.473891899949772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.006974103457259	0.0	0.0	0.6721956541693028	0.0	0.0	0.0	5.643517159440608	0.0	6.268882538099216	6.178498989025572	0.0	0.0	0.0	5.670695579987046	0.0	3.931198139140006	7.656555891241218	0.8580464577673482	1.103858080282072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0538790347103495	5.730177714802339	0.0	0.0	7.739061301157585	6.430740541805078	0.0	2.9293609815411714	6.456932336804041	5.732646700757464	6.686048336573937	0.0	3.8945571510054457	0.0	3.1797756035269256	6.892744373248921	0.0	0.0	6.377011481309098	0.0	6.312064592238592	0.0	0.0	3.189486955679278	7.457111499821871	0.0	0.0	5.188051960925948	0.0	6.672796739260528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7988890813648135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.990694525677147	6.929790455730613	0.0	0.0	0.0	0.0	0.0	0.0	5.289220678072713	0.0	0.0	0.0	0.0	0.0	7.675224904321706	8.140537921766953	0.0	6.584353742385092	0.0	5.446432653717885	0.0	0.0	0.0	5.657687190127143	7.4773039290984125	1.114216076387577	0.0	4.880373535905501	0.0	5.86711174796138	5.748112675865364	0.0	0.0	5.8570566903329215	0.0	0.0	3.916759788708562	0.0	5.596005404363878	0.0	0.0	0.0	0.0	0.0	7.699900209797666	6.710523118589397	0.0	0.0	0.0	0.45777254423555286	0.0	7.50939808392002	5.922106736574377	0.0	0.0	5.936664275205689	7.250329265285806	6.54805654881083	5.784811144624059	5.191862250984717	0.0	0.0	5.8816171947284275	0.0	7.647556445533231	0.0
Ramp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.457405527906623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32534646985771	0.0	0.0	6.051039246786041	0.0	7.668311888945537	0.0	0.0	0.0	6.524991907814154	6.9445334496670705	2.0217335751001158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.405744152840307	0.0	0.0	0.0	0.0	0.0	0.0	2.821518378970952	6.858490382148521	0.0	0.0	0.0	0.0	3.638793236486549	0.0	0.0	7.094971712414303	0.0	6.970206572208555	0.0	0.0	0.0	0.0	6.626604386927749	0.0	0.0	5.665958559176581	0.0	0.0	0.0	5.70102656303232	0.0	1.9007707263634148	5.400417597679561	0.0	8.062267068588014	0.0	0.9207088142081193	0.0	0.0	0.0	4.456684956043014	7.541914146370915	0.0	5.572053339458286	0.0	0.0	0.0	7.178591883758075	0.0	0.0	0.0	0.0	7.9516925758914	0.0	0.0	0.0	6.83022445455176	0.0	4.627334283518094	0.0	6.74037089707134	0.9925023563135473	0.9290716496370754	0.0	6.5962911147930985	8.5770157339161	0.0	0.0	0.0	0.0	1.4704040865155186	9.315748065400104	6.271494496929635	0.0	0.0	0.0	6.790462046390648	0.0	0.0	0.0	7.261915905553654	0.0	0.0	5.37239390493024	6.829986909796683	6.902618874872221	0.0	0.0	0.0	0.0	9.39350873645296	7.867749346696934	4.407558534651133	1.2836553861859201	0.0	0.0	0.0	0.0	3.1348150191998427	0.0	8.201696038300435	0.0	0.0	1.89904523111222
Vwf	3.174444362305885	0.0	0.0	1.8164758533884913	8.446436225408553	7.400021931168002	1.445492849069906	6.397426086160954	0.0	6.561325794562728	8.70442910823946	6.790884478751926	1.2168644159661444	6.883095279342546	0.0	5.681719756991618	0.0	0.0	7.168747491288912	0.0	0.0	1.840962996172134	6.612882263061325	0.0	0.0	0.0	0.0	1.7065021175875577	4.038339896312225	0.0	0.0	7.903193743760373	7.7143591403142455	4.893402823851129	2.386381009768942	4.872933387175672	8.064612898095291	10.482820850688665	1.4032347744951508	7.121971772261457	9.068604287597763	0.0	8.618417292383333	6.6918881346029195	0.0	3.630685510687912	1.2953889304043904	4.19724016666948	0.0	0.0	0.0	0.8841070406692657	8.40021042636014	3.9852814432454235	1.932555910830543	0.0	4.935864312981625	0.0	1.456464411999361	0.0	0.0	6.521735295795691	3.7398182758342684	5.668760592371434	6.616272294419736	7.19592499170402	7.971034826556027	6.4239373332682215	0.5904870463521756	4.247163827329869	8.004999514363439	4.5807539510092035	6.466919739501751	4.823978919540682	1.718632086350189	8.27638346242592	2.51654121565448	8.56148991573559	5.231938531221388	5.767479688577989	7.51381339818186	9.80013595393681	6.241104852434268	0.5189957057756772	7.527739683245269	6.070083395042374	9.002449525200394	7.671832855659934	3.9838765461398924	0.0	8.17837867298972	7.583602756491013	0.6917310830845202	9.032524649009241	1.0906952626343633	3.5819120956754325	4.750720428624376	0.0	5.722373618785597	7.491297014624267	1.6726703229663424	0.0	8.803605237514683	7.105554118552302	6.210130407710046	9.142218598993633	8.300121844249382	0.0	0.0	9.497097323760624	8.28817799518083	3.932784555422319	8.328891163361037	7.3702340391454335	9.221097682849928	1.2239373137067522	3.6481735834514697	3.78096532371832	7.489748130792019	1.5987583845807005	7.192355929196759	7.683977597514894	2.716918570085811	0.0	6.910908308840707	2.500571090015135	7.3946459063157235	0.0	0.0	7.805574729085466	2.764765471018763	0.0	2.658322295399354	8.525801155131612	7.825418662799141	0.0	0.0	0.0	9.17841141651674	0.0	0.0	6.858468757679382	8.746174665549027	0.0	5.737656051189406	7.196516889371064	7.528881971470708	5.114602636257354	6.735933165864806	2.722749123092674	8.93986064713765	0.0	8.309844614395265	0.0	4.471579516108047	0.0	8.485860273415149	8.668262666232046	9.299114645591498	0.0	6.728992806749491	2.9158059745432268	5.8816171947284275	0.0	2.36294670008215	0.0
Rab34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7367207256617438	0.0	0.0	0.0	0.0	1.8674297912711917	1.9465664983374702	0.961510355811464	0.0	0.0	6.508267484257846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8778547119141878	0.0	1.7065021175875577	0.0	0.6430536074258706	0.0	0.0	0.0	0.0	4.162996807047147	0.0	0.0	6.8698692771253	0.0	0.0	0.0	0.0	0.7489511424446602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7967363519304103	0.0	0.0	0.7589545288065475	3.0317195011404907	0.0	2.9959185156341355	0.0	0.0	2.126331570107278	0.0	0.0	0.0	4.029300994477143	0.0	0.0	0.0	2.2592293507969012	0.0	0.0	0.7163966563400798	0.0	3.765728935873283	0.0	0.0	0.8140620204913169	3.342738975522845	0.0	0.0	0.0	0.7690645973894803	0.0	0.0	0.0	0.0	0.0	0.0	1.7393616958122888	0.0	0.0	0.0	0.0	2.13399070796307	0.0	0.0	1.6995402356942964	0.0	0.0	0.0	0.8486334744322765	1.5386806126943133	0.0	0.0	0.0	7.579807537385141	0.0	0.0	0.0	1.6872550230010928	0.0	4.530243812887956	0.0	0.0	0.0	0.0	0.0	0.69272750973017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7463242590356984	0.0	0.0	0.0	0.0	0.0	2.2958237519642646	0.0	0.0	0.0	0.0	0.0	3.001768037426257	0.0	0.0	0.0	1.8127961719306556	0.0	0.0	1.470315119975555	0.0	0.0	1.306398650655527	2.067980655672174	0.0	0.0	2.2785810796229504	0.0	5.549494207815991	0.0	0.0	0.0	0.98035587652942	0.0	0.0	0.0	0.0	0.0
Tbc1d8	0.0	1.5204164081417695	0.0	0.0	1.784028791652671	0.0	0.0	0.0	0.0	0.0	0.0	3.0200649102731876	0.0	1.9465664983374702	0.961510355811464	0.0	0.0	6.288514080503935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6726388780994732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4969581431738425	0.0	0.0	0.0	5.073279906591939	0.0	0.0	0.0	4.911146557911602	0.0	0.0	0.0	0.0	1.822471458441197	0.0	0.6831270386437471	0.0	0.0	0.0	0.0	0.0	5.9202828607077524	3.4127466563810627	0.0	0.0	0.0	0.0	0.0	5.055136904512046	6.339445010847735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2126153201967265	0.0	0.0	2.2454084627887956	4.866244310896113	0.0	7.971677537372352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.074930773323736	0.0	6.6585122160525705	0.0	9.192803288731428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.418452207616581	0.0	0.0	0.0	4.185403210894095	0.0	0.0	2.3240904812910532	0.0	0.0	0.0	0.0	0.0	0.0	1.9211831122390917	0.0	0.0	6.12353451391663	1.1454240150983104	0.0	0.0	5.720932507341573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.251702617492852	4.6255282252246115	4.358797993183637	0.0	0.0	0.0	0.0	0.0	7.499854431501733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0541243393132986	0.0	0.0	2.290367811524527	5.549220558796498	0.0	0.0	3.467864451817439	0.0
Gstm7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.228305300103768	0.0	0.0	0.0	0.0	0.0	0.0	1.2879216181205455	0.0	0.0	0.0	0.0	0.0	0.0	3.417752017204683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.400884498934823	0.0	0.0	0.0	0.0	0.0	7.786999438011092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6255618382687	0.0	0.0	0.0	0.0	6.7456708019364795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9688444370297398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.706355258258169	1.744373811135237	0.0	0.0	0.0	0.0	2.439512926114095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3765664696529303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ndrg1	6.787588724868432	0.0	7.338364699609289	2.7387558686517868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.751908072460127	6.8477768971904815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6152913701542878	0.0	0.0	0.0	0.0	5.711615007182599	5.670695579987046	0.35272363432994586	0.0	0.0	0.0	0.0	0.0	5.851070135125923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9047152409720045	0.0	0.0	0.0	0.0	3.3316169870197125	5.1879049731905535	0.0	0.0	3.0576515724738256	0.0	0.0	0.0	0.0	0.0	3.667949198999896	0.0	0.0	0.0	4.969297321426602	0.0	0.6610494912660742	0.0	4.861104301579723	0.0	6.588723999623073	3.881424272977073	6.933190681419218	0.0	4.488014035684156	8.379451353822528	0.0	0.0	0.0	5.399846823212336	0.0	5.077380950272482	0.0	0.0	0.0	0.0	0.0	6.878915797733889	0.0	0.0	4.77038351246474	0.0	0.0	0.0	0.0	0.0	0.0	4.111296866547593	4.219531921260183	3.0650421347151284	0.0	5.071254384984038	0.0	0.0	0.0	4.1904109890149845	5.801631648201293	4.5381111385574355	3.7855510089297066	0.0	5.307271416032944	6.425941545252783	1.114216076387577	0.0	6.733459624385609	4.913275980076811	6.691575260370436	0.0	0.0	2.1833245039543923	3.9041970164260986	0.9837402203872437	0.0	6.570155640153092	3.740552177439154	0.0	7.093176364615892	0.0	0.0	0.0	0.0	8.272811677348152	2.0182302295011874	0.0	0.0	0.8995583074149903	0.0	0.5763556771060625	0.0	0.0	0.0	0.0	6.855043297287417	0.0	1.0541243393132986	5.486100670890624	0.9527571062638482	0.0	7.344119328534281	0.0	0.0	7.441884615473274	0.0
Mcm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3538348349850695	5.787554074415546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.253442797355412	0.0	0.0	0.0	0.0	0.0	3.118177957346959	0.0	5.320604389346328	0.0	0.0	0.0	7.18217368520253	4.416977631598349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1073077455770197	7.218807509749571	0.0	0.0	0.0	0.0	5.869897385053693	0.0	0.0	0.0	0.0	0.0	0.0	8.142954615129264	0.0	0.0	0.0	0.0	0.0	3.342738975522845	0.0	0.0	0.0	0.0	0.0	0.0	0.8459265092391239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.361573420943522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0328477083756114	0.0	0.0	0.0	6.444153954393101	0.0	1.6566862709852384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mef2c	2.427348343475514	0.0	2.874210669723844	8.088185298140909	4.883218249650996	0.9243725973233978	5.876251941311061	4.718229252965865	7.211264495875361	5.421335185692638	7.728078437167619	8.914644535077777	7.911201210498771	7.6701167354344895	0.0	6.159093728172506	6.807555181991661	8.137567345828723	6.635611889230268	0.0	4.095338567880614	2.8126649413206226	5.137155352948935	5.312774872588363	7.136259654170566	0.0	3.5777139084674867	0.0	6.255010208640228	3.9636966411470684	7.6650087230208275	4.172131988652898	9.348124560785596	0.0	5.80657517581162	0.0	0.0	3.1049946316621746	6.885109978798117	8.055609203129983	4.045291856116846	7.585077314330133	8.031541514270703	7.696243494783003	0.0	8.404275816795042	5.571124908866925	4.487036147406227	5.4374724467585205	2.270653940321816	8.473663579346749	8.683439010178693	7.496457561425491	9.45532866032283	4.556948684799852	1.2537035482691252	0.0	2.8482478102803013	3.281215929068743	5.997030998827711	4.555574831027637	5.115224236957508	8.686363310938958	6.286747488144283	8.870471203256454	6.809028970056602	7.478620416877278	0.6875207297374457	3.8226924144709287	0.0	7.744159092839987	0.0	2.2804927149716594	3.027935781900371	3.9903261671829524	0.0	0.0	1.7112588167292593	0.0	6.887634445466187	9.823028868964792	8.403820019733832	5.149912112505303	6.754092119220381	7.574238649366318	4.639380403322959	7.28768052535239	8.889400476461825	8.15403205589661	5.125720296720639	4.47058798156982	5.729051831306096	0.0	9.283120157045031	6.600361226507102	0.0	6.804236544820791	7.222710937438766	8.45563009535559	6.091094077973119	7.109749760176382	0.0	8.001737162877122	9.194725941442961	0.0	10.016728269463279	0.0	7.885668126806713	2.2379922382520006	5.831586936381897	7.5279137241314675	2.947866822489269	4.675989754140119	4.994859028571922	8.253303652685092	0.0	8.229234853082197	7.336307001883233	7.125937187783145	7.287298100405258	1.3116240976718236	6.182374974424669	0.0	5.599983785027666	0.9290716496370754	5.57261503173904	9.081088369680621	8.813112084766388	6.860184045392767	7.611777907930564	8.291974681244351	5.697927845299996	2.658322295399354	8.47004707356213	8.1522841052962	8.005324051482866	3.916759788708562	5.657242310445032	6.672006293074529	0.0	1.4607176788823877	6.813775506934938	8.113314668255862	8.795781666311887	7.0905920555946285	5.6384750136964765	6.7634764309902256	5.114602636257354	0.8995583074149903	0.45777254423555286	6.574206977478727	0.0	7.000574392359986	8.429180372732516	7.469472796601247	1.9519983386270898	0.0	5.389063734349145	8.241225767220019	4.230802081478872	3.2863737855520636	4.764790086430739	0.0	7.573052822905477	5.043061937459958	0.0
