	GSM2336308_4m	 GSM2336309_4m	 GSM2336312_4m	 GSM2336316_4m	 GSM2336317_4m	 GSM2336319_4m	 GSM2336320_4m	 GSM2336321_4m	 GSM2336326_4m	 GSM2336331_4m	 GSM2336332_4m	 GSM2336335_4m	 GSM2336342_4m	 GSM2336345_4m	 GSM2336346_4m	 GSM2336347_4m	 GSM2336349_4m	 GSM2336354_4m	 GSM2336359_4m	 GSM2336367_4m	 GSM2336369_4m	 GSM2336370_4m	 GSM2336371_4m	 GSM2336375_4m	 GSM2336383_4m	 GSM2336384_4m	 GSM2336389_4m	 GSM2336390_4m	 GSM2336391_4m	 GSM2336392_4m	 GSM2336398_4m	 GSM2336399_4m	 GSM2336400_4m	 GSM2336401_4m	 GSM2336402_4m	 GSM2336404_4m	 GSM2336405_4m	 GSM2336406_4m	 GSM2336409_4m	 GSM2336413_4m	 GSM2336415_4m	 GSM2336417_4m	 GSM2336418_4m	 GSM2336420_4m	 GSM2336421_4m	 GSM2336424_4m	 GSM2336425_4m	 GSM2336428_4m	 GSM2336429_4m	 GSM2336432_4m	 GSM2336435_4m	 GSM2336437_4m	 GSM2336438_4m	 GSM2336441_4m	 GSM2336442_4m	 GSM2336444_4m	 GSM2336446_4m	 GSM2336453_4m	 GSM2336454_4m	 GSM2336455_4m	 GSM2336464_4m	 GSM2336466_4m	 GSM2336467_4m	 GSM2336468_4m	 GSM2336469_4m	 GSM2336470_4m	 GSM2336471_4m	 GSM2336476_4m	 GSM2336477_4m	 GSM2336478_4m	 GSM2336480_4m	 GSM2336481_4m	 GSM2336483_4m	 GSM2336485_4m	 GSM2336486_4m	 GSM2336487_4m	 GSM2336489_4m	 GSM2336493_4m	 GSM2336494_4m	 GSM2336495_4m	GSM2336112_18m	 GSM2336115_18m	 GSM2336116_18m	 GSM2336118_18m	 GSM2336119_18m	 GSM2336122_18m	 GSM2336126_18m	 GSM2336128_18m	 GSM2336129_18m	 GSM2336130_18m	 GSM2336131_18m	 GSM2336132_18m	 GSM2336133_18m	 GSM2336146_18m	 GSM2336149_18m	 GSM2336150_18m	 GSM2336156_18m	 GSM2336158_18m	 GSM2336159_18m	 GSM2336160_18m	 GSM2336162_18m	 GSM2336169_18m	 GSM2336170_18m	 GSM2336172_18m	 GSM2336173_18m	 GSM2336177_18m	 GSM2336183_18m	 GSM2336184_18m	 GSM2336186_18m	 GSM2336188_18m	 GSM2336192_18m	 GSM2336194_18m	 GSM2336195_18m	 GSM2336197_18m	 GSM2336199_18m	 GSM2336200_18m	 GSM2336201_18m	 GSM2336204_18m	 GSM2336207_18m	 GSM2336690_18m	 GSM2336691_18m	 GSM2336692_18m	 GSM2336693_18m	 GSM2336696_18m	 GSM2336698_18m	 GSM2336700_18m	 GSM2336701_18m	 GSM2336703_18m	 GSM2336707_18m	 GSM2336709_18m	 GSM2336711_18m	 GSM2336723_18m	 GSM2336726_18m	 GSM2336727_18m	 GSM2336729_18m	 GSM2336730_18m	 GSM2336731_18m	 GSM2336732_18m	 GSM2336733_18m	 GSM2336735_18m	 GSM2336737_18m	 GSM2336738_18m	 GSM2336739_18m	 GSM2336744_18m	 GSM2336745_18m	 GSM2336746_18m	 GSM2336747_18m	 GSM2336748_18m	 GSM2336749_18m	 GSM2336752_18m	 GSM2336753_18m	 GSM2336754_18m	 GSM2336756_18m	 GSM2336758_18m	 GSM2336761_18m	 GSM2336762_18m	 GSM2336764_18m	 GSM2336765_18m	 GSM2336766_18m	 GSM2336770_18m	 GSM2336771_18m	 GSM2336772_18m	 GSM2336774_18m	 GSM2336775_18m	 GSM2336776_18m	 GSM2336780_18m
Mmp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.209415471289292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.23261939860799	1.1213050929918595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8358483457893024	1.6307177702814755	0.0	0.0	0.0	0.0	1.2872801691136981	0.0	0.0	1.2627302768412623	0.0	0.0	0.0	1.1916104688794122	0.0	0.9885066389759462	0.0	0.0	1.1730058209360865	1.144377369899935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8655645948044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.747475082930784	1.695178335265932	0.0	3.82262524713431	10.32072378344643	0.0	1.1284900456808566	0.0	0.0	0.0	0.0	1.796650580743931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7250626936105204	0.0	5.462168042988783	6.79271153278304	0.0	2.1935458934373666	0.0	0.0	0.0	0.0	0.0	1.2958183180811795	0.0	6.496205963226267	1.8751380488804834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4879543276204155	0.0	0.0	0.0	6.706991769922194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.365901424607271	8.830378697370637	0.0	0.0	0.0	0.0	1.1001316716769205	0.0	0.0	0.0	0.0	1.260320507795712	0.0	0.0	7.27077550792667	0.0	0.0	7.208069083503897	9.046293634477404	0.0	1.3950267580564346	0.0	0.0
S100a6	6.524671752074323	8.204750213980633	0.0	3.1746781694980637	9.056572301916857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.069656719897057	0.0	0.0	1.046993285154531	0.0	0.0	0.0	7.215857951803515	0.0	7.419850559096697	7.7862676359569045	0.0	0.0	0.0	6.208721329167978	0.0	5.051691313400429	9.099395246951227	1.1763294573770684	1.2872801691136981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.534611727266026	7.349179361336873	0.0	0.0	9.260667191589832	7.775375759140123	0.0	2.6637607723702943	7.38300130788868	6.426436987625037	7.683182773445792	0.0	4.0921371918963905	0.0	2.1015861276512817	8.06187244543176	0.0	0.0	8.19328784496386	0.0	7.728449336664709	0.0	0.0	4.692031212727684	9.254536374615407	0.0	0.0	6.679986795590785	0.0	7.462153495018976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.425298563691172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.637790438722138	8.549444704147373	0.0	0.0	0.0	0.0	0.0	0.0	6.2844966107196	0.0	0.0	0.0	0.0	0.0	8.483220262188441	10.196139247244176	0.0	7.587814163184174	0.0	6.442863739962492	0.0	0.0	0.0	6.710935169333662	9.149798610812047	1.2581831455385613	0.0	6.093683016110545	0.0	6.847745812089097	7.044462062953888	0.0	0.0	7.0283287906002565	0.0	0.0	4.028522747605927	0.0	6.534951130343046	0.0	0.0	0.0	0.0	0.0	9.260771372140276	8.314939638151678	0.0	0.0	0.0	1.1001316716769205	0.0	9.618730732350164	7.1324510202159255	0.0	0.0	7.124791705157124	8.73001741930095	7.722470655766477	6.70957281732406	6.483911085843843	0.0	0.0	6.713783481136521	0.0	9.176133867971034	0.0
Ramp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.693307587178492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.627197358125704	0.0	0.0	6.799970800592985	0.0	9.77687538204472	0.0	0.0	0.0	7.722071631554205	8.382201122856284	2.5254605536825245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.756128535027735	0.0	0.0	0.0	0.0	0.0	0.0	3.817949856018918	8.355714113978296	0.0	0.0	0.0	0.0	4.713969292113634	0.0	0.0	8.40036258087355	0.0	8.692663665566236	0.0	0.0	0.0	0.0	7.513831444853041	0.0	0.0	6.821038595867923	0.0	0.0	0.0	7.2875974549233415	0.0	2.906613622429447	6.277760889692556	0.0	9.231456804562841	0.0	1.0984092319615781	0.0	0.0	0.0	5.207338170236907	8.849642859729792	0.0	5.599286629125021	0.0	0.0	0.0	8.202064464986721	0.0	0.0	0.0	0.0	8.786497323763593	0.0	0.0	0.0	8.346090570819186	0.0	5.296609224168334	0.0	7.699425475822031	1.1830803870926268	1.2004377335058098	0.0	7.838174094792904	10.21326278552108	0.0	0.0	0.0	0.0	1.3818843701996089	11.250294587341894	7.226285328717351	0.0	0.0	0.0	8.006694618901443	0.0	0.0	0.0	8.80243620798845	0.0	0.0	6.741522388961118	8.419117994581189	8.250473515104098	0.0	0.0	0.0	0.0	11.58173733650445	9.632409931530226	5.620313122081213	1.313019549770987	0.0	0.0	0.0	0.0	3.7802032674777926	0.0	10.442474778807929	0.0	0.0	1.681896869855873
Vwf	4.0938966405074195	0.0	0.0	2.851636892963307	10.191278228897414	8.340738123107668	1.848059838625827	7.639871090472832	0.0	7.550619004148545	11.020660058077361	7.914035018360136	1.2159585053449862	7.961805864567021	0.0	6.7908316856418685	0.0	0.0	8.366402928699609	0.0	0.0	2.242610185983719	7.375814990040009	0.0	0.0	0.0	0.0	1.987181004557054	4.978335286430351	0.0	0.0	9.062356318750226	9.740348674114848	6.216015158270758	1.7466989574597966	6.033537245324977	10.26740073754125	14.347519182523529	2.410393122928067	8.49514817678377	10.823622534311196	0.0	10.166760143204614	8.220995665370127	0.0	3.3257152314739558	1.3077999464185277	5.2654905514785515	0.0	0.0	0.0	1.1916104688794122	9.913117243514327	5.578989313017803	1.671720365672321	0.0	5.967623526582689	0.0	1.9054750294856517	0.0	0.0	7.430708780352032	3.506619801754449	6.341206692329242	7.391136246797919	8.621659180211653	10.507930638256408	7.56263545431039	1.0317557227866037	5.568625972395509	9.994193194151043	5.035163460935096	7.901572449145438	6.104425243649488	2.159737604668782	10.146870301670251	1.7634649775379168	10.04654842892922	7.309365500403434	7.336253666388533	8.846068513376556	10.911043182639693	7.210258146838183	0.9461493289502263	8.421659473509463	7.360717162993489	11.152412128347148	9.090306043610939	5.108140143309524	0.0	9.991853954574356	9.705690100690422	1.1335603081627843	10.524304109773247	1.602397991058711	5.0143333997985025	5.584791314909565	0.0	6.461549433753656	9.2159324113691	2.321068390090515	0.0	10.214743310124101	8.3105981107767	7.531458651176167	11.430342766800074	9.936318288937684	0.0	0.0	10.921785902904746	9.735412286277214	5.035154001602688	9.619998815410094	8.979224793426289	10.178898305376766	1.8530345784782758	4.366001434572703	4.610447401811244	9.079703380096628	1.8819018029387018	8.590441745391894	9.233077650274343	2.308868871459698	0.0	8.469427256116399	2.9214107941397405	8.826342005329748	0.0	0.0	9.173619378414754	3.735663884397793	0.0	2.7637687403992177	10.285698938535223	9.007929534168946	0.0	0.0	0.0	10.955981682103232	0.0	0.0	8.394816711072522	10.568443407742617	0.0	7.218516249730925	8.885350842882511	9.253961625531897	6.161962315588395	8.398016249497251	4.400526686707682	10.90469295971028	0.0	10.191155975122486	0.0	5.70113790150314	0.0	10.349731869988462	10.262648727434767	11.046502647130835	0.0	8.071204362176555	3.3971458714580627	6.713783481136521	0.0	3.276847598243336	0.0
Rab34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0949641083972088	0.0	0.0	0.0	0.0	1.9272486334047485	1.9794644204568193	1.2091091532566827	0.0	0.0	7.675463472885148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1934423795728417	0.0	1.987181004557054	0.0	1.146532499789137	0.0	0.0	0.0	0.0	4.055709382636368	0.0	0.0	9.854233423185686	0.0	0.0	0.0	0.0	1.1084045236249536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.124139290954732	0.0	0.0	1.1661437418163925	3.7183404786226646	0.0	3.8109500589713035	0.0	0.0	2.0371323277266224	0.0	0.0	0.0	3.78757790724701	0.0	0.0	0.0	3.339788716662207	0.0	0.0	1.1132060769510868	0.0	4.885023034054151	0.0	0.0	1.1212663239471368	3.1479723754141555	0.0	0.0	0.0	1.0695384493290079	0.0	0.0	0.0	0.0	0.0	0.0	2.6847840675772616	0.0	0.0	0.0	0.0	2.838237425331563	0.0	0.0	1.365729728956943	0.0	0.0	0.0	1.1795709446996692	1.8245435363935125	0.0	0.0	0.0	8.97995519442597	0.0	0.0	0.0	2.232611297182228	0.0	5.086879856750281	0.0	0.0	0.0	0.0	0.0	1.1093270208401722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1119192303686753	0.0	0.0	0.0	0.0	0.0	2.6617224800011043	0.0	0.0	0.0	0.0	0.0	4.220680925930763	0.0	0.0	0.0	2.9044179602686326	0.0	0.0	1.8478213760554385	0.0	0.0	2.1887434611871512	2.851310446618332	0.0	0.0	2.926373595613571	0.0	6.5098067828256845	0.0	0.0	0.0	1.192521357999891	0.0	0.0	0.0	0.0	0.0
Tbc1d8	0.0	1.3574148296688964	0.0	0.0	2.3317089099007515	0.0	0.0	0.0	0.0	0.0	0.0	3.5078987089883853	0.0	1.9794644204568193	1.2091091532566827	0.0	0.0	7.407647813674862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3433780760603327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.038099813786437	0.0	0.0	0.0	6.223369790058855	0.0	0.0	0.0	5.74427249016323	0.0	0.0	0.0	0.0	2.3832209377588245	0.0	1.5667459544907805	0.0	0.0	0.0	0.0	0.0	7.139262076569626	3.0715440934112137	0.0	0.0	0.0	0.0	0.0	4.87973187361905	7.472586597358126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.978836336675075	0.0	0.0	2.5600047246079627	5.730107863218742	0.0	8.868316472859636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.245369573680843	0.0	7.4913475359469786	0.0	11.196205399178448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.768363563622342	0.0	0.0	0.0	4.678489218667789	0.0	0.0	3.282175914109618	0.0	0.0	0.0	0.0	0.0	0.0	1.4567340680988765	0.0	0.0	7.431950189934871	1.2398391720291395	0.0	0.0	6.6725400894785665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.665753133462267	5.343697171835172	5.236194273052369	0.0	0.0	0.0	0.0	0.0	9.241212658496005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1985935715162124	0.0	0.0	2.7689488448931767	6.56625664394578	0.0	0.0	4.554736241943694	0.0
Gstm7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.169506428426199	0.0	0.0	0.0	0.0	0.0	0.0	1.1957180583791005	0.0	0.0	0.0	0.0	0.0	0.0	2.027650887135119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.522039448887465	0.0	0.0	0.0	0.0	0.0	9.566136828692485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.899898159589807	0.0	0.0	0.0	0.0	8.006400561867334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.812659563087453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.083617394110547	1.434988756125388	0.0	0.0	0.0	0.0	3.0853094423307494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9463221732642744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ndrg1	7.451558807273135	0.0	8.672163274855953	4.079770054899849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.93574850260544	7.917857681827277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.075182217728	0.0	0.0	0.0	0.0	7.243112989321108	6.208721329167978	0.9912774158908532	0.0	0.0	0.0	0.0	0.0	6.96001727733695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.202220890789948	0.0	0.0	0.0	0.0	3.254918605611656	5.6480137548815605	0.0	0.0	3.925370411363514	0.0	0.0	0.0	0.0	0.0	4.778822471533061	0.0	0.0	0.0	6.007242641573732	0.0	1.1218956257686357	0.0	5.462169991031088	0.0	7.3685187804979515	4.71929197750983	8.356840832379447	0.0	5.482183195108247	10.246444034195745	0.0	0.0	0.0	6.900506254257233	0.0	5.9473554737881384	0.0	0.0	0.0	0.0	0.0	8.507779718086438	0.0	0.0	5.4366175290481715	0.0	0.0	0.0	0.0	0.0	0.0	5.0496777632983125	5.384731128662669	3.361798702677707	0.0	5.625658849048829	0.0	0.0	0.0	5.3890895846230435	6.864484972590121	5.183273272324718	3.7646252642170164	0.0	6.296268750578467	7.886702575925238	1.2581831455385613	0.0	8.163836305209118	6.0704470036455955	7.836534771577335	0.0	0.0	2.1902349070990517	4.649846274956941	1.1463414762334514	0.0	7.688026886983983	3.555110306158633	0.0	8.600521798286737	0.0	0.0	0.0	0.0	9.85486142185788	2.7200062957540605	0.0	0.0	1.2096505153915973	0.0	1.0943717305935756	0.0	0.0	0.0	0.0	8.32434699640316	0.0	1.1985935715162124	6.342355092982426	1.2267583085170741	0.0	8.735827572764888	0.0	0.0	8.950989772200554	0.0
Mcm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2400556461086545	6.600954682070414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.77334856025253	0.0	0.0	0.0	0.0	0.0	2.584626515155755	0.0	6.810080770937314	0.0	0.0	0.0	8.788871331868211	5.10943131159987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.680645927684905	8.530582289349113	0.0	0.0	0.0	0.0	6.52488406611187	0.0	0.0	0.0	0.0	0.0	0.0	9.771808804544111	0.0	0.0	0.0	0.0	0.0	3.1479723754141555	0.0	0.0	0.0	0.0	0.0	0.0	1.1514943135902287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.79500131888568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.079303015766624	0.0	0.0	0.0	7.787174068776801	0.0	1.899725864458638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mef2c	3.348957719085367	0.0	3.752743242086349	10.748061477116053	6.027380094690847	1.1040624826664724	7.097956949090647	5.787325728097131	8.363944753766678	6.245853410068936	9.750710007848012	10.397158857707826	9.129166749133105	8.941984784973059	0.0	7.329173174290267	7.515568937269658	9.662880902506416	7.794273091906213	0.0	4.643494399175824	3.363915278975578	4.965684157224174	4.708059561462317	8.4062531360966	0.0	4.686756152120665	0.0	7.328952996081716	5.451633054071608	9.162429233691222	4.101011683985134	11.729171959748077	0.0	6.650302873037442	0.0	0.0	5.075047300361118	8.470760915230931	9.99513073481661	5.7820121404167875	9.671730105900165	9.515611270949924	9.403993440460681	0.0	10.795027361477482	6.597058359010921	5.631059322356553	7.009355615946498	1.6786553093546464	10.990592815971233	10.634900012082527	8.998891423865327	11.04895341992181	5.299228182564974	1.8482941012296357	0.0	3.627590435930601	4.1590009621850434	7.263630852419427	4.60731614011682	5.645390229427061	10.671341774442105	7.190316858676003	10.160259334262452	8.004223065360051	9.506655054420516	1.0607848554104848	4.905882391563657	0.0	9.706093138717089	0.0	3.1251645593930695	4.033001811785068	5.188064446791128	0.0	0.0	2.2425326478942735	0.0	8.599706835537265	11.566873348005483	9.371369284554929	6.036321197447582	7.525857501410907	8.468457360347989	5.704728879820178	9.067174877823392	10.465386019392232	9.984067032887008	6.801944629097976	5.76537145595024	7.323588672818132	0.0	10.784007634214676	7.4994531179221555	0.0	7.8486756292446795	8.284638345912535	9.466514200284676	7.650539527509362	8.7762409245305	0.0	9.291534958174436	10.893367227779946	0.0	12.896254888568008	0.0	8.757982320172877	2.7060998265815446	6.623746008639428	8.88579511956378	3.82766130092795	5.259786319723253	6.176447528851377	9.11734513459474	0.0	9.633525747228827	8.379442659187587	8.67513583081303	8.628203308458179	1.2958183180811795	7.074949049450905	0.0	6.642653095788604	1.2004377335058098	6.7407816335568045	10.91570651573999	10.475455751436686	8.248052859340271	8.940956781126058	9.801590535441205	7.129958280977822	2.7637687403992177	10.2176216768298	9.382662083376257	9.423353789145553	4.028522747605927	6.258325270694678	7.860573318436495	0.0	2.2811780477002412	8.341418820410357	9.815530929862986	10.2919515337053	8.628196578924584	7.054860313225442	8.339646434108742	6.161962315588395	1.2096505153915973	1.1001316716769205	8.30897034733244	0.0	8.512522285781976	10.458760833480403	9.482099424890276	2.08108674910079	0.0	6.335049122405816	9.739308048703235	5.301961199216443	3.961470202893068	5.619473604418896	0.0	9.872347119717032	6.314878230614688	0.0
