Gene	FDR
Gm10719	126.3403094
Speer7-ps1	75.43196226
Gm17019	54.6491772
Speer7-ps1	47.01435918
Speer4e	37.33760368
Obscn	36.79079843
Ppfia4	32.89293998
Gm10354	29.10987819
Kiss1r	28.42895091
Speer4e	28.02147349
Nhlh2	27.34598614
B230323A14Rik	26.24206324
Steap3	25.86843874
SNORA17	24.43467347
Speer4e	21.5311003
Gm17019	21.23280692
Iscu	21.05836842
N/A	20.91274887
Fmod	20.48887312
Speer7-ps1	19.31867144
Gm11167	19.11426509
Gm16512	17.61612833
Thsd7b	17.55861097
Gm17019	17.2388252
Ltbp3	16.27777594
Ptrprv	15.6720591
9030624G23Rik	15.2637275
Speer7-ps1	14.92995941
Gm17699	14.49169005
Speer4e	14.08237908
Rundc3a	14.00703296
Kcnab2	13.79534053
N4bp3	12.15210127
8030443G20Rik	12.13526114
Nav2	12.06944071
Nr4a2	11.66153895
SNORA17	11.66153895
Rnf8	11.58800333
4930572O03Rik	11.44098632
Gsx1	11.38917302
2410018L13Rik	11.31542986
Aldoart2	11.2480951
Speer4f	10.6544988
Nav1	10.38528526
Rusc2	10.27772615
Gm10354	10.09287214
Hsf4	10.05293032
Amotl2	9.945993896
Upf3b	9.862435173
SNORA17	9.862435173
Atg4a	9.858895227
SNORA17	9.719965993
Commd10	9.587078734
AC163338.1	9.526353902
N/A	8.87133761
Insl3	8.706436836
Atg4a	8.701147058
Thsd7b	8.449773491
Gm13017	7.953359713
Prima1	7.915029128
Gm9758	7.818868024
Gm12575	7.818868024
Dlgap2	7.737277286
Smarca5-ps	7.651509828
Drp2	7.620455596
Lmod1	7.346187707
Sez6l	7.215984188
Tubg2	7.208128242
4930572O03Rik	7.175549618
Gm10354	7.11816745
Gm17699	7.022499062
