Gene	FDR
Trim30a	158.8895
Cftr	40.91621
N/A	35.64826
Utp11l	35.59651
Slc39a12	25.83163
Mrc1	25.83163
Trim37	24.4732
U6	24.24417
Ptger4	23.12683
Gm15821	20.46584
Dcps	20.2128
mmu-mir-2133-2	19.11427
Gm10663	17.9525
Pde8b	15.94277
Gm13295	14.26289
Pfkfb3	13.86083
Smtnl1	13.18236
Itgb3	13.11545
Tnip3	11.79247
Wdfy1	11.66154
Mir715	11.66154
Cyfip2	11.65005
Nav2	11.566
Iqgap1	10.98418
Cpne2	10.82393
Gm17028	10.67865
Gm16206	10.26196
N/A	10.21662
Slco2a1	10.14504
Gm17247	9.859645
Npas3	8.932791
Sdpr	8.922945
Mtap	8.591598
1600014C10Rik	8.585563
Rilpl2	8.297465
Gm12648	8.214479
Slc25a13	7.907489
Loh12cr1	7.90583
Cul1	7.371706
Atxn1	7.369538
Pde8a	7.230497
