Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	4/67	2.3784967857682567E-8	1.969426263604172E-6	0	0	210.86772486772486	3701.616758607205	CYFIP2;ABI1;NCKAP1L;WASF2
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	4/71	3.012233823650474E-8	1.969426263604172E-6	0	0	198.23880597014926	3433.099405160078	CYFIP2;ABI1;NCKAP1L;WASF2
Fc-gamma receptor signaling pathway (GO:0038094)	4/72	3.188659785492986E-8	1.969426263604172E-6	0	0	195.31372549019608	3371.3258496465614	CYFIP2;ABI1;NCKAP1L;WASF2
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	4/74	3.564572422812981E-8	1.969426263604172E-6	0	0	189.71428571428572	3253.531064426654	CYFIP2;ABI1;NCKAP1L;WASF2
protein localization to membrane raft (GO:1903044)	2/5	2.2481312594056116E-6	9.936740166572803E-5	0	0	1665.5833333333333	21661.596201528788	FLOT1;FLOT2
membrane raft assembly (GO:0001765)	2/6	3.3713141681840526E-6	1.2417673852811262E-4	0	0	1249.125	15739.234728974254	FLOT1;FLOT2
regulation of toll-like receptor 3 signaling pathway (GO:0034139)	2/8	6.2898093131455335E-6	1.9857826545788043E-4	0	0	832.6666666666666	9972.498783119754	FLOT1;FLOT2
membrane raft organization (GO:0031579)	2/15	2.354311916028365E-5	6.503786668028358E-4	0	0	384.1730769230769	4094.008377584964	FLOT1;FLOT2
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	4/404	3.1281923717829034E-5	7.681450157378019E-4	0	0	32.65	338.6611502096845	CYFIP2;ABI1;NCKAP1L;WASF2
regulation of programmed necrotic cell death (GO:0062098)	2/20	4.2545300346497585E-5	9.402511376575967E-4	0	0	277.3888888888889	2791.9028448786567	FLOT1;FLOT2
regulation of necroptotic process (GO:0060544)	2/23	5.660726002642441E-5	0.001137291315076345	0	0	237.72619047619048	2324.8131626974437	FLOT1;FLOT2
regulation of heterotypic cell-cell adhesion (GO:0034114)	2/25	6.70875366203682E-5	0.0012355287994251143	0	0	217.0326086956522	2085.577517249696	FLOT1;FLOT2
regulation of toll-like receptor signaling pathway (GO:0034121)	2/27	7.845066309954509E-5	0.0013336612726922666	0	0	199.65	1887.2995610426372	FLOT1;FLOT2
membrane assembly (GO:0071709)	2/36	1.4047193487328206E-4	0.0022174498290710954	0	0	146.73529411764707	1301.6158433360367	FLOT1;FLOT2
positive regulation of endocytosis (GO:0045807)	2/48	2.507089602670998E-4	0.0036937786812686036	0	0	108.3913043478261	898.695913322854	FLOT1;NCKAP1L
positive regulation of T cell activation (GO:0050870)	2/75	6.123478582810164E-4	0.008458054792506539	0	0	68.20890410958904	504.62379927214783	FLOT2;NCKAP1L
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2/90	8.802391137269697E-4	0.011162316864518258	0	0	56.53977272727273	397.7752223930347	RPL12;RPLP0
cytoplasmic translation (GO:0002181)	2/93	9.394884997984335E-4	0.011162316864518258	0	0	54.667582417582416	381.04261518159007	RPL12;RPLP0
cotranslational protein targeting to membrane (GO:0006613)	2/94	9.596562010219317E-4	0.011162316864518258	0	0	54.07065217391305	375.7334723220389	RPL12;RPLP0
protein targeting to ER (GO:0045047)	2/103	0.0011505349815761979	0.012713411546416987	0	0	49.23019801980198	333.1667555276269	RPL12;RPLP0
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	2/113	0.0013822943268056002	0.01454700220114465	0	0	44.77252252252252	294.7827630862282	RPL12;RPLP0
protein localization to plasma membrane (GO:0072659)	2/136	0.0019930221646429452	0.019012926785273748	0	0	37.04477611940298	230.34823784060453	FLOT1;FLOT2
protein localization to cell periphery (GO:1990778)	2/140	0.0021101767489403143	0.019012926785273748	0	0	35.96376811594203	221.57218439604839	FLOT1;FLOT2
regulation of skeletal muscle tissue development (GO:0048641)	1/5	0.0024977078641967437	0.019012926785273748	0	0	555.1666666666666	3326.7706415121643	FLOT1
positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	1/5	0.0024977078641967437	0.019012926785273748	0	0	555.1666666666666	3326.7706415121643	NCKAP1L
positive regulation of gamma-delta T cell activation (GO:0046645)	1/5	0.0024977078641967437	0.019012926785273748	0	0	555.1666666666666	3326.7706415121643	NCKAP1L
negative regulation of myosin-light-chain-phosphatase activity (GO:0035509)	1/5	0.0024977078641967437	0.019012926785273748	0	0	555.1666666666666	3326.7706415121643	NCKAP1L
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	2/155	0.002578044209687154	0.019012926785273748	0	0	32.41339869281046	193.20733082812885	FLOT1;FLOT2
peptide biosynthetic process (GO:0043043)	2/162	0.0028116916244772232	0.019012926785273748	0	0	30.984375	182.00125746513936	RPL12;RPLP0
rRNA metabolic process (GO:0016072)	2/162	0.0028116916244772232	0.019012926785273748	0	0	30.984375	182.00125746513936	RPL12;RPLP0
positive regulation of toll-like receptor 3 signaling pathway (GO:0034141)	1/6	0.002996578172872153	0.019012926785273748	0	0	444.1111111111111	2580.4117942926405	FLOT1
plasma membrane raft assembly (GO:0044854)	1/6	0.002996578172872153	0.019012926785273748	0	0	444.1111111111111	2580.4117942926405	FLOT1
nuclear-transcribed mRNA catabolic process (GO:0000956)	2/171	0.003126287270313291	0.019012926785273748	0	0	29.321005917159763	169.1208984373564	RPL12;RPLP0
rRNA processing (GO:0006364)	2/173	0.0031983547169195745	0.019012926785273748	0	0	28.97514619883041	166.46565577927367	RPL12;RPLP0
protein stabilization (GO:0050821)	2/179	0.003419241527714568	0.019012926785273748	0	0	27.98446327683616	158.90520004204714	FLOT1;FLOT2
regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043376)	1/7	0.0034952242970889957	0.019012926785273748	0	0	370.0740740740741	2093.271349114512	NCKAP1L
regulation of myosin-light-chain-phosphatase activity (GO:0035507)	1/7	0.0034952242970889957	0.019012926785273748	0	0	370.0740740740741	2093.271349114512	NCKAP1L
ribosome biogenesis (GO:0042254)	2/192	0.003921793477500233	0.019012926785273748	0	0	26.05263157894737	144.3630038931358	RPL12;RPLP0
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	1/8	0.0039936462613403625	0.019012926785273748	0	0	317.1904761904762	1751.8590547314027	WASF2
