Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
flotillin complex (GO:0016600)	2/5	2.2481312594056116E-6	7.643646281979079E-5	0	0	1665.5833333333333	21661.596201528788	FLOT1;FLOT2
focal adhesion (GO:0005925)	4/387	2.6431431252559E-5	3.2136694004755527E-4	0	0	34.12880765883377	359.7502830117253	RPL12;RPLP0;FLOT1;FLOT2
cell-substrate junction (GO:0030055)	4/394	2.8355906474784285E-5	3.2136694004755527E-4	0	0	33.504273504273506	350.8123659508972	RPL12;RPLP0;FLOT1;FLOT2
cortical actin cytoskeleton (GO:0030864)	2/42	1.9167176285246338E-4	0.0014680213026436349	0	0	124.6875	1067.2908627311958	FLOT1;FLOT2
cell-cell contact zone (GO:0044291)	2/47	2.4032677947483796E-4	0.0014680213026436349	0	0	110.80555555555556	923.3993138215899	FLOT1;FLOT2
cytosolic large ribosomal subunit (GO:0022625)	2/55	3.2944057318529184E-4	0.0014680213026436349	0	0	94.04245283018868	754.043161688492	RPL12;RPLP0
cortical cytoskeleton (GO:0030863)	2/58	3.6641752551901487E-4	0.0014680213026436349	0	0	88.99107142857143	704.0739609142095	FLOT1;FLOT2
large ribosomal subunit (GO:0015934)	2/59	3.7917320411508265E-4	0.0014680213026436349	0	0	87.42543859649123	688.6954184966403	RPL12;RPLP0
caveola (GO:0005901)	2/60	3.9214360539410807E-4	0.0014680213026436349	0	0	85.91379310344827	673.8976935048315	FLOT1;FLOT2
actin cytoskeleton (GO:0015629)	3/316	4.31770971365775E-4	0.0014680213026436349	0	0	26.942492012779553	208.74006250796003	FLOT1;FLOT2;WASF2
plasma membrane raft (GO:0044853)	2/82	7.314649167854895E-4	0.002260891560973331	0	0	62.21875	449.24807646600385	FLOT1;FLOT2
adherens junction (GO:0005912)	2/132	0.0018790923323901791	0.004981478509066145	0	0	38.19230769230769	239.73183291162474	FLOT1;FLOT2
asymmetric synapse (GO:0032279)	2/133	0.0019072718827723631	0.004981478509066145	0	0	37.89885496183206	237.32571441911304	RPL12;RPLP0
postsynaptic density (GO:0014069)	2/138	0.0020511970331448834	0.004981478509066145	0	0	36.49632352941177	225.8878535277181	RPL12;RPLP0
basolateral plasma membrane (GO:0016323)	2/151	0.00244889206983276	0.005550822024954256	0	0	33.29026845637584	200.1450745803628	FLOT1;FLOT2
cell-cell junction (GO:0005911)	2/271	0.007661710817468743	0.016281135487121078	0	0	18.32806691449814	89.2855440926968	FLOT1;FLOT2
ficolin-1-rich granule membrane (GO:0101003)	1/61	0.030091265543298037	0.060182531086596075	0	0	36.907407407407405	129.30585220246812	NCKAP1L
membrane raft (GO:0045121)	1/163	0.07859178267742749	0.14146911746730104	0	0	13.599451303155007	34.5900429790609	FLOT1
tertiary granule (GO:0070820)	1/164	0.0790562715258447	0.14146911746730104	0	0	13.515337423312884	34.296457835399266	NCKAP1L
ficolin-1-rich granule (GO:0101002)	1/184	0.08830190483291274	0.14668607214149423	0	0	12.026108075288404	29.18728732343428	NCKAP1L
endocytic vesicle (GO:0030139)	1/189	0.09060022102856996	0.14668607214149423	0	0	11.703309692671395	28.103141488494085	FLOT2
vesicle (GO:0031982)	1/226	0.10744635148098797	0.16605345228879959	0	0	9.760493827160493	21.773354464537373	FLOT2
early endosome (GO:0005769)	1/266	0.1253419862578444	0.1752796784582663	0	0	8.270440251572326	17.175300907975267	FLOT1
lytic vacuole membrane (GO:0098852)	1/267	0.12578520948987149	0.1752796784582663	0	0	8.238930659983291	17.080782255368987	FLOT1
secretory granule membrane (GO:0030667)	1/274	0.1288821165134311	0.1752796784582663	0	0	8.024827024827024	16.441723969659225	NCKAP1L
lysosomal membrane (GO:0005765)	1/330	0.15330413834941983	0.20047464245693364	0	0	6.639986491050321	12.452175815383976	FLOT1
collagen-containing extracellular matrix (GO:0062023)	1/380	0.17458691221157344	0.21199839339976773	0	0	5.74934036939314	10.034511158425799	PZP
cytoplasmic vesicle membrane (GO:0030659)	1/380	0.17458691221157344	0.21199839339976773	0	0	5.74934036939314	10.034511158425799	NCKAP1L
lysosome (GO:0005764)	1/477	0.21450768281328156	0.2514917660569508	0	0	4.5550887021475255	7.012147841514057	FLOT1
cytoskeleton (GO:0005856)	1/600	0.2626267360747104	0.2976436342180051	0	0	3.5969207939157855	4.80916046896102	WASF2
bounding membrane of organelle (GO:0098588)	1/767	0.3237119599958805	0.35503892386644953	0	0	2.7885117493472587	3.1451656673079063	NCKAP1L
integral component of plasma membrane (GO:0005887)	1/1454	0.529968913973927	0.5630919710972975	0	0	1.41752695572379	0.9000402092572505	NCKAP1L
intracellular membrane-bounded organelle (GO:0043231)	2/5192	0.7769815675570454	0.8005264635436226	0	0	0.7129094412331407	0.17989460702362514	RPLP0;FLOT2
nucleus (GO:0005634)	1/4484	0.9210736031557543	0.9210736031557543	0	0	0.38434084318536693	0.031598709007313874	RPLP0
