Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
large ribosomal subunit rRNA binding (GO:0070180)	2/5	2.2481312594056116E-6	4.0466362669301005E-5	0	0	1665.5833333333333	21661.596201528788	RPL12;RPLP0
rRNA binding (GO:0019843)	2/42	1.9167176285246338E-4	0.0017250458656721704	0	0	124.6875	1067.2908627311958	RPL12;RPLP0
SH3 domain binding (GO:0017124)	2/62	4.187278779227326E-4	0.0019455363011763188	0	0	83.04166666666667	645.9221077078342	ABI1;WASF2
protein kinase activator activity (GO:0030295)	2/63	4.323414002614042E-4	0.0019455363011763188	0	0	81.67622950819673	632.6881685393935	ABI1;NCKAP1L
protease binding (GO:0002020)	2/118	0.0015058881139702425	0.005421197210292873	0	0	42.831896551724135	278.3376163563692	PZP;FLOT1
RNA 7-methylguanosine cap binding (GO:0000340)	1/13	0.006482395492037067	0.0194471864761112	0	0	184.9814814814815	932.059746399125	CYFIP2
RNA cap binding (GO:0000339)	1/19	0.009461510512395743	0.019706494064477935	0	0	123.28395061728395	574.5677163606151	CYFIP2
protein tyrosine kinase activator activity (GO:0030296)	1/19	0.009461510512395743	0.019706494064477935	0	0	123.28395061728395	574.5677163606151	ABI1
cadherin binding (GO:0045296)	2/322	0.010676784229274674	0.019706494064477935	0	0	15.3671875	69.76216896304881	ABI1;WASF2
protein kinase A regulatory subunit binding (GO:0034237)	1/22	0.010948052258043297	0.019706494064477935	0	0	105.65608465608466	476.99429568907004	WASF2
kinase activator activity (GO:0019209)	1/31	0.015395641764484845	0.025192868341884292	0	0	73.92592592592592	308.5424792813036	NCKAP1L
peptidase inhibitor activity (GO:0030414)	1/40	0.019825226718581047	0.029737840077871572	0	0	56.84045584045584	222.86006355256757	PZP
endopeptidase regulator activity (GO:0061135)	1/46	0.022768312266926525	0.03152535544651365	0	0	49.24691358024691	186.27081295676348	PZP
protein kinase regulator activity (GO:0019887)	1/98	0.04794386563583509	0.0616421129603594	0	0	22.786941580756015	69.220448859451	NCKAP1L
endopeptidase inhibitor activity (GO:0004866)	1/115	0.056046809334145735	0.06725617120097488	0	0	19.37231968810916	55.822657592283626	PZP
GTPase regulator activity (GO:0030695)	1/233	0.11060167668413948	0.12442688626965691	0	0	9.46264367816092	20.835038388425733	NCKAP1L
RNA binding (GO:0003723)	2/1406	0.1527555143798543	0.15588388409564177	0	0	3.3094729344729346	6.218223570606423	RPL12;RPLP0
GTPase activator activity (GO:0005096)	1/336	0.15588388409564177	0.15588388409564177	0	0	6.519071310116086	12.116632004300358	NCKAP1L
