"","pValue","qValue","EffectSize","X.Y_Neo1.Y_IgG.","significant","GeneName"
"A0A075B5P6","0.825642522344453","0.950331689374771","0.587789041638264","Y_Neo1-Y_IgG","Non significant","A0A075B5P6"
"S4R1W1","0.751504416939258","0.950331689374771","0.386090463616676","Y_Neo1-Y_IgG","Non significant","S4R1W1"
"A0A0A6YW67","0.906633503271745","0.950331689374771","-0.159042676060872","Y_Neo1-Y_IgG","Non significant","A0A0A6YW67"
"A0A0A6YWC8","0.597919184975323","0.950331689374771","0.536941627586232","Y_Neo1-Y_IgG","Non significant","A0A0A6YWC8"
"A0A0B4J1G0","0.183013398877283","0.674725365423594","-2.01311453019691","Y_Neo1-Y_IgG","Non significant","A0A0B4J1G0"
"P09542","0.634264248786846","0.950331689374771","-0.423584108710174","Y_Neo1-Y_IgG","Non significant","P09542"
"A0A0N4SV66","0.0839188816326254","0.40385961785701","-1.86169812826394","Y_Neo1-Y_IgG","Non significant","A0A0N4SV66"
"Q9QZ47","0.926835828336667","0.950331689374771","0.122699392055415","Y_Neo1-Y_IgG","Non significant","Q9QZ47"
"A0A1B0GSF7","0.404645442729383","0.950331689374771","0.792005683081013","Y_Neo1-Y_IgG","Non significant","A0A1B0GSF7"
"A0A1B0GRU8","0.0682072653200975","0.375139959260536","-2.39794766309638","Y_Neo1-Y_IgG","Non significant","A0A1B0GRU8"
"A0A1S6GWJ4","0.00996163609056784","0.126554836852411","-2.86563090721572","Y_Neo1-Y_IgG","Non significant","A0A1S6GWJ4"
"A0A1W2P6F6","0.896054178475489","0.950331689374771","-0.211679253527294","Y_Neo1-Y_IgG","Non significant","A0A1W2P6F6"
"B2RY56","0.017511461637229","0.168547818258329","-3.104285074387","Y_Neo1-Y_IgG","Non significant","B2RY56"
"B7ZCU2","0.0219016093308541","0.182461691706794","3.56734989092563","Y_Neo1-Y_IgG","Non significant","B7ZCU2"
"D3YY73","0.837915918523498","0.950331689374771","-0.178296103023644","Y_Neo1-Y_IgG","Non significant","D3YY73"
"E9Q557","0.661744161601395","0.950331689374771","0.495818279560877","Y_Neo1-Y_IgG","Non significant","E9Q557"
"E9Q6C2","0.447979442339642","0.950331689374771","-0.865512318150343","Y_Neo1-Y_IgG","Non significant","E9Q6C2"
"G3UW82","0.838890042412745","0.950331689374771","-0.330342956124233","Y_Neo1-Y_IgG","Non significant","G3UW82"
"O08692","0.63699040588632","0.950331689374771","-0.501880035660629","Y_Neo1-Y_IgG","Non significant","O08692"
"O08917","0.00000250720032205186","0.000193054424797993","7.04475367133105","Y_Neo1-Y_IgG","Upregulated","O08917"
"O35744","0.70293315911508","0.950331689374771","0.384884442466956","Y_Neo1-Y_IgG","Non significant","O35744"
"P01027","0.364998612145256","0.950331689374771","1.47645047535302","Y_Neo1-Y_IgG","Non significant","P01027"
"Q91VB8","0.802115114414352","0.950331689374771","-0.265780761345578","Y_Neo1-Y_IgG","Non significant","Q91VB8"
"P68373","0.937989719382891","0.950331689374771","0.0953687158813012","Y_Neo1-Y_IgG","Non significant","P68373"
"P05977","0.925283783829888","0.950331689374771","-0.107147707881796","Y_Neo1-Y_IgG","Non significant","P05977"
"P07356","0.657775247577839","0.950331689374771","0.500856149461721","Y_Neo1-Y_IgG","Non significant","P07356"
"P07901","0.380288407020458","0.950331689374771","1.16779869161734","Y_Neo1-Y_IgG","Non significant","P07901"
"P08905","0.293775972908584","0.870028842844654","1.06372099620571","Y_Neo1-Y_IgG","Non significant","P08905"
"P09411","0.493792900271993","0.950331689374771","0.819772728073275","Y_Neo1-Y_IgG","Non significant","P09411"
"P10126","0.793679292216853","0.950331689374771","0.296553823470497","Y_Neo1-Y_IgG","Non significant","P10126"
"Q8CGP2","0.691084356575393","0.950331689374771","-0.523718118359427","Y_Neo1-Y_IgG","Non significant","Q8CGP2"
"P11247","0.879439064151764","0.950331689374771","0.187558056097692","Y_Neo1-Y_IgG","Non significant","P11247"
"P13020","0.895272366950057","0.950331689374771","-0.23958230614138","Y_Neo1-Y_IgG","Non significant","P13020"
"P13542","0.815431994034877","0.950331689374771","-0.338577021854585","Y_Neo1-Y_IgG","Non significant","P13542"
"P14106","0.188112279354772","0.674725365423594","-1.38341847346268","Y_Neo1-Y_IgG","Non significant","P14106"
"P14869","0.0260659559581134","0.182461691706794","2.45556193391106","Y_Neo1-Y_IgG","Non significant","P14869"
"P15864","0.571145976927932","0.950331689374771","-0.670484144828159","Y_Neo1-Y_IgG","Non significant","P15864"
"P17182","0.811016453131333","0.950331689374771","0.282081524578664","Y_Neo1-Y_IgG","Non significant","P17182"
"P17742","0.343758775120063","0.950331689374771","-1.40405502998326","Y_Neo1-Y_IgG","Non significant","P17742"
"P20029","0.834105986802598","0.950331689374771","0.259977881589049","Y_Neo1-Y_IgG","Non significant","P20029"
"P24369","0.274247044914923","0.844680898337963","-0.995371687377057","Y_Neo1-Y_IgG","Non significant","P24369"
"P28293","0.0600771174203684","0.355841387797567","-1.76792055098604","Y_Neo1-Y_IgG","Non significant","P28293"
"P31725","0.551495339471532","0.950331689374771","-0.635738842642662","Y_Neo1-Y_IgG","Non significant","P31725"
"P35979","0.0246919008220626","0.182461691706794","2.50888439812888","Y_Neo1-Y_IgG","Non significant","P35979"
"P41105","0.0789922567563444","0.40385961785701","1.60929605172971","Y_Neo1-Y_IgG","Non significant","P41105"
"P48962","0.509516586589371","0.950331689374771","-0.635832777964117","Y_Neo1-Y_IgG","Non significant","P48962"
"P51437","0.717175445435809","0.950331689374771","0.399030519452766","Y_Neo1-Y_IgG","Non significant","P51437"
"P51667","0.68900408667415","0.950331689374771","0.340649204800632","Y_Neo1-Y_IgG","Non significant","P51667"
"P52480","0.525811704212512","0.950331689374771","0.604375654420439","Y_Neo1-Y_IgG","Non significant","P52480"
"P58771","0.93463357671898","0.950331689374771","-0.139134508432025","Y_Neo1-Y_IgG","Non significant","P58771"
"P62806","0.456568435681212","0.950331689374771","-0.719407051209495","Y_Neo1-Y_IgG","Non significant","P62806"
"P63017","0.192778675835313","0.674725365423594","-1.41895913670202","Y_Neo1-Y_IgG","Non significant","P63017"
"P68134","0.996411890435082","0.996411890435082","-0.00624082617410959","Y_Neo1-Y_IgG","Non significant","P68134"
"P97457","0.884952525382696","0.950331689374771","-0.225624823961574","Y_Neo1-Y_IgG","Non significant","P97457"
"P98086","0.226222466609645","0.757353475171422","-1.1642192111505","Y_Neo1-Y_IgG","Non significant","P98086"
"P99024","0.9109048799287","0.950331689374771","0.136430945792245","Y_Neo1-Y_IgG","Non significant","P99024"
"Q01149","0.683227073019219","0.950331689374771","0.420201577621233","Y_Neo1-Y_IgG","Non significant","Q01149"
"Q02105","0.268957831117824","0.844680898337963","-1.18784741622132","Y_Neo1-Y_IgG","Non significant","Q02105"
"Q02257","0.60942246059957","0.950331689374771","0.623796969528788","Y_Neo1-Y_IgG","Non significant","Q02257"
"Q3THE2","0.611679548266577","0.950331689374771","-0.872018011825569","Y_Neo1-Y_IgG","Non significant","Q3THE2"
"Q3U7K7","0.161106747756039","0.652906293537631","-1.26972677789931","Y_Neo1-Y_IgG","Non significant","Q3U7K7"
"Q3UP87","0.423872002342808","0.950331689374771","-1.03531735152922","Y_Neo1-Y_IgG","Non significant","Q3UP87"
"Q5SQX6","0.000240035825946004","0.0061609195326141","6.14553947944524","Y_Neo1-Y_IgG","Upregulated","Q5SQX6"
"Q5SS83","0.00000699861100142466","0.000269446523554849","6.81576686532957","Y_Neo1-Y_IgG","Upregulated","Q5SS83"
"Q5SX39","0.845186652065517","0.950331689374771","-0.266725952519785","Y_Neo1-Y_IgG","Non significant","Q5SX39"
"Q5SX40","0.903608543059363","0.950331689374771","-0.198374054069014","Y_Neo1-Y_IgG","Non significant","Q5SX40"
"Q61136","0.138398233449972","0.626862586802813","-1.33726508046403","Y_Neo1-Y_IgG","Non significant","Q61136"
"Q61838","0.0377399498140995","0.242164677973805","3.09499942026148","Y_Neo1-Y_IgG","Non significant","Q61838"
"Q64523","0.620349175426108","0.950331689374771","-0.608461685634246","Y_Neo1-Y_IgG","Non significant","Q64523"
"Q792Z1","0.597419500197432","0.950331689374771","0.753465039125181","Y_Neo1-Y_IgG","Non significant","Q792Z1"
"Q8BH43","0.011504985168401","0.126554836852411","4.23711516361529","Y_Neo1-Y_IgG","Non significant","Q8BH43"
"Q8K1X4","0.00456954959642548","0.0703710637849524","4.45203309867356","Y_Neo1-Y_IgG","Non significant","Q8K1X4"
"Q8VDD5","0.848511783126878","0.950331689374771","-0.366268029343471","Y_Neo1-Y_IgG","Non significant","Q8VDD5"
"Q91Z83","0.93023958901641","0.950331689374771","-0.146184605489515","Y_Neo1-Y_IgG","Non significant","Q91Z83"
"Q9CXW4","0.150820431425103","0.645176289985164","1.65093107129353","Y_Neo1-Y_IgG","Non significant","Q9CXW4"
"Q9D883","0.624812787962442","0.950331689374771","-0.436157969056045","Y_Neo1-Y_IgG","Non significant","Q9D883"
"Q9JHU9","0.0011896802910181","0.0229013456020984","3.96473114169715","Y_Neo1-Y_IgG","Upregulated","Q9JHU9"
