Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cellular macromolecule biosynthetic process (GO:0034645)	15/314	2.3431496369697045E-8	1.5043332760618124E-5	0	0	7.004061156235069	123.05564425052827	RPL41;RPS7;RPLP1;RPL23A;GTPBP2;RPS29;POLD1;TIMELESS;MCM3;RPL37;RPL26;RPS27A;RPL39;PTMA;MCM2
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	9/90	3.302650307585198E-8	1.5043332760618124E-5	0	0	15.04109589041096	259.0972480929016	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39
cytoplasmic translation (GO:0002181)	9/93	4.409922182158345E-8	1.5043332760618124E-5	0	0	14.501712328767123	245.61294506651248	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39
cotranslational protein targeting to membrane (GO:0006613)	9/94	4.8448736749172704E-8	1.5043332760618124E-5	0	0	14.3303787268332	241.36312347516622	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39
protein targeting to ER (GO:0045047)	9/103	1.0774144923837827E-7	2.6762975990813164E-5	0	0	12.952419119790148	207.8025437419165	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	9/113	2.3997956069321235E-7	4.967576906349496E-5	0	0	11.701066912539515	178.35599398846475	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39
rRNA metabolic process (GO:0016072)	10/162	5.51064312089712E-7	9.777455365934605E-5	0	0	8.935117967332124	128.7676869873119	TRIR;RPL41;RPS7;RPLP1;RPL23A;RPL37;RPL26;RRP12;RPL39;EXOSC2
translation (GO:0006412)	11/214	9.157445646011667E-7	1.389427027071967E-4	0	0	7.391283524904215	102.76492018488524	LARS2;RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;GTPBP2;RPS27A;RPL39
rRNA processing (GO:0006364)	10/173	1.0068311790376573E-6	1.389427027071967E-4	0	0	8.327480431563359	114.99170073434948	RPL41;RPS7;RPLP1;NHP2;RPL23A;RPL37;RPL26;RRP12;RPL39;EXOSC2
ribosome biogenesis (GO:0042254)	10/192	2.5861063017260356E-6	3.211944026743736E-4	0	0	7.450928381962865	95.8588548957288	RPL41;RPS7;RPLP1;RPL23A;RPL37;RPL26;RRP12;NOC2L;RPL39;EXOSC2
ncRNA processing (GO:0034470)	10/201	3.8951344738971224E-6	4.3979609241638417E-4	0	0	7.096587831738581	88.39355349164784	RPL41;RPS7;RPLP1;INTS7;RPL23A;RPL37;RPL26;RRP12;RPL39;EXOSC2
peptide biosynthetic process (GO:0043043)	9/162	4.920238648041823E-6	5.092447000723286E-4	0	0	7.93392425463336	96.96964027948135	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39
nuclear-transcribed mRNA catabolic process (GO:0000956)	9/171	7.636859450398471E-6	7.296138028765308E-4	0	0	7.489726027397261	88.24787746513405	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39
intrinsic apoptotic signaling pathway (GO:0097193)	7/102	1.4620078236007098E-5	0.0012970097977943438	0	0	9.832859174964439	109.47034953864434	ERO1A;ERN1;MYBBP1A;DDIT3;BNIP3;TRIB3;POU4F1
mitotic DNA replication (GO:1902969)	3/10	5.264016226955635E-5	0.004358605435919266	0	0	55.93421052631579	551.065586599522	LIG1;MCM3;MCM2
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	4/29	7.08662394275778E-5	0.005500991835565727	0	0	21.00132450331126	200.66169985336498	ERO1A;ERN1;DDIT3;TRIB3
ribosomal large subunit biogenesis (GO:0042273)	5/57	7.928918052406565E-5	0.005792774247699384	0	0	12.687820512820513	119.80358902617415	PPAN;NHP2;RPL23A;RPL26;NOC2L
platelet aggregation (GO:0070527)	4/36	1.6850146316605766E-4	0.011626600958457979	0	0	16.401490066225165	142.5054309845237	STXBP3;ITGB3;PLEK;PPIA
DNA metabolic process (GO:0006259)	9/277	3.181749287343315E-4	0.020798592709896827	0	0	4.502990186056021	36.26217125921771	BTG2;LIG1;POLD1;TIMELESS;FANCA;MCM3;RPS27A;DCTPP1;MCM2
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	3/18	3.420121841795505E-4	0.021238956637550085	0	0	26.092105263157894	208.2323302531682	ERN1;DDIT3;FCGR2B
homotypic cell-cell adhesion (GO:0034109)	4/44	3.7009043280696887E-4	0.02188820559744073	0	0	13.1158940397351	103.6386884542848	STXBP3;ITGB3;PLEK;PPIA
cellular protein metabolic process (GO:0044267)	11/417	4.1876021270677603E-4	0.02364091746280981	0	0	3.6574473180076628	28.448400934916204	ERO1A;RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39;CSF2RA
gene expression (GO:0010467)	10/356	4.7141102865000964E-4	0.025456195547100522	0	0	3.8865856089296393	29.770391384883453	RPL41;RPS7;RPS29;RPLP1;RPL23A;RPL37;RPL26;RPS27A;RPL39;PTMA
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	2/5	5.876843981730204E-4	0.030412667605453803	0	0	86.45751633986929	643.1851729913229	RPS7;RPL26
nucleotide-excision repair, DNA gap filling (GO:0006297)	3/24	8.198939531987531E-4	0.0403438797659582	0	0	18.63157894736842	132.40225185308182	LIG1;POLD1;RPS27A
nuclear cell cycle DNA replication initiation (GO:1902315)	2/6	8.770408644773522E-4	0.0403438797659582	0	0	64.83986928104575	456.4050498695137	MCM3;MCM2
mitotic DNA replication initiation (GO:1902975)	2/6	8.770408644773522E-4	0.0403438797659582	0	0	64.83986928104575	456.4050498695137	MCM3;MCM2
polyamine biosynthetic process (GO:0006596)	2/7	0.0012216122245323664	0.05418722795961425	0	0	51.869281045751634	347.9175491110241	SAT1;SRM
RNA phosphodiester bond hydrolysis (GO:0090501)	3/28	0.0012972947375142054	0.05556000220664287	0	0	15.647368421052631	104.01547715528797	TRIR;ERN1;NHP2
cell projection organization (GO:0030030)	3/30	0.0015896437267174021	0.06289706906652302	0	0	14.486842105263158	93.3567650049236	PLEK;NEFH;RHOQ
spermidine metabolic process (GO:0008216)	2/8	0.0016205364010698363	0.06289706906652302	0	0	43.22222222222222	277.70269447868986	SAT1;SRM
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	2/8	0.0016205364010698363	0.06289706906652302	0	0	43.22222222222222	277.70269447868986	MCM3;MCM2
negative regulation of cytokine production (GO:0001818)	6/182	0.0029860143240287313	0.11124603636310924	0	0	4.50022879804759	26.16350121236364	SRGN;ANXA1;DDIT3;PDCD4;FCGR2B;HAVCR2
nuclear DNA replication (GO:0033260)	2/11	0.0031349527155465568	0.11124603636310924	0	0	28.81045751633987	166.0963552659853	MCM3;MCM2
regulation of microtubule-based movement (GO:0060632)	2/11	0.0031349527155465568	0.11124603636310924	0	0	28.81045751633987	166.0963552659853	CFAP298;NEFH
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	3/40	0.003655767919427225	0.11621591452373985	0	0	10.566145092460882	59.29138544113468	RPS7;DDIT3;S100A9
regulation of B cell apoptotic process (GO:0002902)	2/12	0.003742863591746855	0.11621591452373985	0	0	25.9281045751634	144.88376689825418	FNIP1;NOC2L
