Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytosolic large ribosomal subunit (GO:0022625)	6/55	4.166296765684293E-6	4.3871457419068213E-4	0	0	16.268456375838927	201.54149496363624	RPL41;RPLP1;RPL23A;RPL37;RPL26;RPL39
large ribosomal subunit (GO:0015934)	6/59	6.3124399164126925E-6	4.3871457419068213E-4	0	0	15.037609218690642	180.04511895866534	RPL41;RPLP1;RPL23A;RPL37;RPL26;RPL39
nucleus (GO:0005634)	55/4484	1.393071257956473E-4	0.00593695691564976	0	0	1.9143824791149244	16.997475676128833	BTG2;CALCOCO1;DSCC1;ITGB3;PPAN;CGAS;DDX41;ZC3H6;NOC2L;TUBB6;MYBL2;ANXA1;RPS7;LIG1;CAD;MAPKAPK3;CCNE1;DDIT3;BOLA2;TIMELESS;MCM3;TRIB3;SLC25A10;PPIA;S100A9;PTMA;DCTPP1;KDM7A;LTF;CREB5;MCM2;DDX4;CFAP298;HIRIP3;PCBP1;POLD1;RPS27A;EXOSC2;EGR1;EYA2;NEK6;BNIP3;FANCA;RPL23A;TUBB4B;POU4F1;HYPK;DRAP1;MYBBP1A;PDCD4;INTS7;PRPF31;PKIG;YPEL5;LPIN1
intracellular membrane-bounded organelle (GO:0043231)	61/5192	1.7084768102589238E-4	0.00593695691564976	0	0	1.8609329192186004	16.14310579387437	ERO1A;BTG2;CALCOCO1;DSCC1;ITGB3;AQP9;PPAN;CGAS;DDX41;ZC3H6;NOC2L;TUBB6;MYBL2;RRP12;ANXA1;RPS7;LIG1;CAD;MAPKAPK3;CCNE1;DDIT3;BOLA2;TIMELESS;MCM3;TRIB3;SLC25A10;PPIA;S100A9;SQSTM1;PTMA;DCTPP1;KDM7A;LTF;CREB5;MCM2;DDX4;CFAP298;HIRIP3;PCBP1;POLD1;RPS27A;EXOSC2;EGR1;EYA2;NEK6;BNIP3;FANCA;RPL23A;TUBB4B;POU4F1;HYPK;DRAP1;LRG1;MYBBP1A;SNX15;PDCD4;INTS7;PRPF31;PKIG;YPEL5;LPIN1
ribosome (GO:0005840)	4/62	0.0013652810012509938	0.03420569604212694	0	0	9.037223110299156	59.61309342731236	RPL41;RPS7;RPS29;RPL39
polysomal ribosome (GO:0042788)	3/30	0.0015896437267174021	0.03420569604212694	0	0	14.486842105263158	93.3567650049236	RPL41;RPS29;RPL39
nucleolus (GO:0005730)	14/733	0.0017225890093157453	0.03420569604212694	0	0	2.641217609169552	16.808515743988348	RPS7;DDX56;RPL23A;NOC2L;HIRIP3;MYBBP1A;SNX15;MCM3;RPL26;RRP12;RPS27A;EXOSC2;KDM7A;MCM2
nuclear lumen (GO:0031981)	14/745	0.002000994660838169	0.03476728223206319	0	0	2.5962297833532224	16.13325977391177	RPS7;DDX56;RPL23A;NOC2L;HIRIP3;MYBBP1A;SNX15;MCM3;RPL26;RRP12;RPS27A;EXOSC2;KDM7A;MCM2
CMG complex (GO:0071162)	2/10	0.002578044209687154	0.03981646057183494	0	0	32.41339869281046	193.20733082812885	MCM3;MCM2
cytosolic small ribosomal subunit (GO:0022627)	3/40	0.003655767919427225	0.04792391191581739	0	0	10.566145092460882	59.29138544113468	RPS7;RPS29;RPS27A
intracellular non-membrane-bounded organelle (GO:0043232)	18/1158	0.003792539791899218	0.04792391191581739	0	0	2.1557817902420284	12.01787847021806	RPS7;DDX56;RPL23A;NOC2L;TUBB4B;HIRIP3;MYBBP1A;SNX15;MCM3;INTS7;RPL26;RRP12;RPS27A;S100A9;NEFH;EXOSC2;KDM7A;MCM2
small ribosomal subunit (GO:0015935)	3/45	0.005104597538324463	0.05658648517617648	0	0	9.305921052631579	49.1130561335911	RPS7;RPS29;RPS27A
platelet alpha granule (GO:0031091)	4/90	0.005292261203527297	0.05658648517617648	0	0	6.086246727244725	31.901121109916975	SRGN;STXBP3;ITGB3;GTPBP2
tertiary granule lumen (GO:1904724)	3/55	0.008921607732202916	0.08429677448689943	0	0	7.5125253036437245	35.453703725790575	LRG1;YPEL5;LTF
tertiary granule (GO:0070820)	5/164	0.009096774225204973	0.08429677448689943	0	0	4.1270440251572325	19.396427644138857	CD53;LRG1;STXBP3;YPEL5;LTF
secretory granule lumen (GO:0034774)	7/316	0.011754301050021393	0.10211549037206086	0	0	2.9902912621359223	13.28746704889914	SRGN;LRG1;GTPBP2;TUBB4B;PPIA;S100A9;LTF
preribosome, large subunit precursor (GO:0030687)	2/23	0.01356994517380656	0.1109542575975948	0	0	12.339869281045752	53.060177334007186	PPAN;NOC2L
aggresome (GO:0016235)	2/35	0.030044182599720113	0.22099586828770046	0	0	7.847890671420084	27.507533506798595	POLD1;SQSTM1
vesicle (GO:0031982)	5/226	0.031549706505893386	0.22099586828770046	0	0	2.9598793363499247	10.229908301314236	ANXA1;MVB12A;RPS27A;TUBB4B;PPIA
specific granule (GO:0042581)	4/160	0.03606806733736942	0.22099586828770046	0	0	3.3433520122261844	11.107776752735067	CD53;LRG1;STXBP3;LTF
alpha DNA polymerase:primase complex (GO:0005658)	1/5	0.03815755999212094	0.22099586828770046	0	0	32.20941558441559	105.19696189979993	MCM3
neurofibrillary tangle (GO:0097418)	1/5	0.03815755999212094	0.22099586828770046	0	0	32.20941558441559	105.19696189979993	NEFH
phagocytic vesicle lumen (GO:0097013)	1/5	0.03815755999212094	0.22099586828770046	0	0	32.20941558441559	105.19696189979993	LTF
piP-body (GO:0071547)	1/5	0.03815755999212094	0.22099586828770046	0	0	32.20941558441559	105.19696189979993	DDX4
rough endoplasmic reticulum membrane (GO:0030867)	1/6	0.04561368290852198	0.2536120769713822	0	0	25.766233766233768	79.55447177504013	RPS29
pi-body (GO:0071546)	1/7	0.053012378448342314	0.2729155779377623	0	0	21.47077922077922	63.06461335243215	DDX4
cytolytic granule (GO:0044194)	1/7	0.053012378448342314	0.2729155779377623	0	0	21.47077922077922	63.06461335243215	RNF19B
cell-cell junction (GO:0005911)	5/271	0.0601325888421339	0.27964059669674035	0	0	2.4535087719298247	6.8973120562635435	CD53;ANXA1;ITGB3;KLHL24;PDLIM5
extrinsic component of endosome membrane (GO:0031313)	1/8	0.06035408561800151	0.27964059669674035	0	0	18.4025974025974	51.66578236108292	ANXA1
extrinsic component of external side of plasma membrane (GO:0031232)	1/8	0.06035408561800151	0.27964059669674035	0	0	18.4025974025974	51.66578236108292	ANXA1
TORC2 complex (GO:0031932)	1/9	0.06763924023571578	0.2938079497738904	0	0	16.101461038961038	43.370363904822035	PRR5
U4 snRNP (GO:0005687)	1/9	0.06763924023571578	0.2938079497738904	0	0	16.101461038961038	43.370363904822035	PRPF31
ficolin-1-rich granule lumen (GO:1904813)	3/123	0.07062243691518719	0.29733400594519815	0	0	3.2442434210526314	8.59856671099639	LRG1;YPEL5;PPIA
mitochondrial outer membrane (GO:0005741)	3/126	0.07472842538533564	0.29733400594519815	0	0	3.1646341463414633	8.208727840835035	BNIP3;RPS27A;LPIN1
autolysosome (GO:0044754)	1/10	0.0748682748782873	0.29733400594519815	0	0	14.311688311688311	37.09625453392642	SQSTM1
focal adhesion (GO:0005925)	6/387	0.08108351848734209	0.2976057004176927	0	0	2.0571790942239603	5.168200767306261	ANXA1;RPS7;RPS29;RPLP1;ITGB3;PPIA
microvillus membrane (GO:0031528)	1/11	0.08204161892727208	0.2976057004176927	0	0	12.87987012987013	32.20648378609581	ITGB3
adherens junction (GO:0005912)	3/132	0.08324961459637736	0.2976057004176927	0	0	3.0165238678090573	7.498812216446909	ANXA1;KLHL24;PDLIM5
specific granule lumen (GO:0035580)	2/62	0.08350087997330946	0.2976057004176927	0	0	4.310457516339869	10.702426814427591	LRG1;LTF
cell-substrate junction (GO:0030055)	6/394	0.08658827126264675	0.30089424263769743	0	0	2.019338545630665	4.940495326625145	ANXA1;RPS7;RPS29;RPLP1;ITGB3;PPIA
filopodium membrane (GO:0031527)	1/12	0.08915969849005113	0.3022731241491977	0	0	11.708382526564344	28.302979280758233	ITGB3
platelet alpha granule lumen (GO:0031093)	2/67	0.0952612907182658	0.30371357761157614	0	0	3.9778783308195074	9.352515978677761	SRGN;GTPBP2
90S preribosome (GO:0030686)	1/13	0.09622293650017574	0.30371357761157614	0	0	10.732142857142858	25.12488575477612	NOC2L
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	1/13	0.09622293650017574	0.30371357761157614	0	0	10.732142857142858	25.12488575477612	RPS29
organelle outer membrane (GO:0031968)	3/142	0.09832453951453904	0.30371357761157614	0	0	2.7980878455130633	6.490113395897423	BNIP3;RPS27A;LPIN1
actin filament (GO:0005884)	2/72	0.10746150177009348	0.32472062491397813	0	0	3.69281045751634	8.237266532829768	ANXA1;RHOQ
germ plasm (GO:0060293)	1/15	0.11018656358927326	0.3258709008278507	0	0	9.198051948051948	20.28704233319861	DDX4
secondary lysosome (GO:0005767)	1/16	0.11708778262763557	0.3390667038591947	0	0	8.584415584415584	18.41212363798959	SQSTM1
platelet alpha granule membrane (GO:0031092)	1/17	0.12393582001851285	0.33936171403803367	0	0	8.047483766233766	16.803077119770684	ITGB3
desmosome (GO:0030057)	1/17	0.12393582001851285	0.33936171403803367	0	0	8.047483766233766	16.803077119770684	KLHL24
endocytic vesicle membrane (GO:0030666)	3/158	0.12451401018661666	0.33936171403803367	0	0	2.507215619694397	5.223375162232867	FZD4;WNT7B;RPS27A
nuclear chromosome (GO:0000228)	2/83	0.1356074936019886	0.3490276241993533	0	0	3.189542483660131	6.372676036053572	MCM3;MCM2
P granule (GO:0043186)	1/19	0.13747397543587503	0.3490276241993533	0	0	7.152597402597403	14.193046722436359	DDX4
cytoplasmic dynein complex (GO:0005868)	1/19	0.13747397543587503	0.3490276241993533	0	0	7.152597402597403	14.193046722436359	DYNLT3
polymeric cytoskeletal fiber (GO:0099513)	4/256	0.13810445561844914	0.3490276241993533	0	0	2.0596026490066226	4.07748795445123	TUBB6;ANXA1;TUBB4B;RHOQ
endocytic vesicle lumen (GO:0071682)	1/21	0.15080425005911374	0.37431769211101446	0	0	6.436688311688312	12.17675084276717	LTF
integral component of mitochondrial outer membrane (GO:0031307)	1/22	0.15739242505285433	0.3778491711554649	0	0	6.12987012987013	11.334209985174063	BNIP3
mitochondrial membrane (GO:0031966)	6/469	0.1576636829281796	0.3778491711554649	0	0	1.6857089016771276	3.1139950574673407	NDUFB10;BNIP3;SLC25A10;MRPL12;RPS27A;LPIN1
intrinsic component of mitochondrial outer membrane (GO:0031306)	1/23	0.163929815349397	0.38473796128388593	0	0	5.850944510035419	10.580361826426786	BNIP3
pigment granule (GO:0048770)	1/24	0.1704168099322024	0.38473796128388593	0	0	5.596273291925466	9.902650470022865	ITGB3
Golgi-associated vesicle membrane (GO:0030660)	1/24	0.1704168099322024	0.38473796128388593	0	0	5.596273291925466	9.902650470022865	RHOQ
ficolin-1-rich granule (GO:0101002)	3/184	0.1716097381266254	0.38473796128388593	0	0	2.144227973248037	3.779271156935941	LRG1;YPEL5;PPIA
MLL1 complex (GO:0071339)	1/26	0.1832411528538297	0.39797687885441135	0	0	5.148051948051948	8.735998174132183	PRPF31
