Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mRNA 5'-UTR binding (GO:0048027)	3/25	9.264257406888507E-4	0.1109034241383059	0	0	17.783791866028707	124.20514418040852	RPL41;RPS7;RPL26
RNA binding (GO:0003723)	22/1406	0.0012543877149713586	0.1109034241383059	0	0	2.2064300925724716	14.741397085334846	LRRC59;RPL41;DDX4;RPS7;DDX56;PPAN;RPL23A;DDX41;NOC2L;MRPL12;TUBB4B;MYBBP1A;PCBP1;NHP2;PRPF31;RPL37;RPL26;RRP12;RPS27A;RPL39;PPIA;EXOSC2
ubiquitin ligase inhibitor activity (GO:1990948)	2/8	0.0016205364010698363	0.1109034241383059	0	0	43.22222222222222	277.70269447868986	RPS7;RPL37
ubiquitin-protein transferase inhibitor activity (GO:0055105)	2/9	0.002072961198846839	0.1109034241383059	0	0	37.04575163398693	228.8974441857843	RPS7;RPL37
platelet-derived growth factor receptor binding (GO:0005161)	2/13	0.004400963213297746	0.18206397886690584	0	0	23.569815805109922	127.88821427328261	ERN1;ITGB3
protein kinase C binding (GO:0005080)	3/45	0.005104597538324463	0.18206397886690584	0	0	9.305921052631579	49.1130561335911	PLEK;PDLIM5;SQSTM1
3'-5' exonuclease activity (GO:0008408)	3/48	0.006117727039918421	0.1841537398721828	0	0	8.68421052631579	44.25964038287831	TRIR;POLD1;EXOSC2
single-stranded DNA binding (GO:0003697)	4/97	0.00688425195783861	0.1841537398721828	0	0	5.626148258919034	28.00988488313414	PCBP1;MCM3;POU4F1;MCM2
cadherin binding involved in cell-cell adhesion (GO:0098641)	2/18	0.008416468504225307	0.2001249177671351	0	0	16.200163398692812	77.39733293925609	ANXA1;PDLIM5
single-stranded DNA helicase activity (GO:0017116)	2/19	0.00935913442405226	0.20028547667471835	0	0	15.24644367550942	71.2222746266767	DSCC1;MCM2
DNA replication origin binding (GO:0003688)	2/23	0.01356994517380656	0.2639971151995094	0	0	12.339869281045752	53.060177334007186	MCM3;MCM2
ubiquitin protein ligase binding (GO:0031625)	6/265	0.01738710420692593	0.2715561156602285	0	0	3.045165971340468	12.339093167314141	FZD4;NEK6;TXNIP;TRIB3;RPS27A;SQSTM1
ubiquitin binding (GO:0043130)	3/74	0.019822590362691715	0.2715561156602285	0	0	5.496849518161601	21.552779024889656	MVB12A;RNF19B;SQSTM1
kinesin binding (GO:0019894)	2/29	0.02112767317008189	0.2715561156602285	0	0	9.594771241830065	37.00867888485343	NEK6;NEFH
ubiquitin-like protein ligase binding (GO:0044389)	6/282	0.022800043928891667	0.2715561156602285	0	0	2.855121097169536	10.795192358115477	FZD4;NEK6;TXNIP;TRIB3;RPS27A;SQSTM1
DNA binding (GO:0003677)	12/811	0.024135177430009935	0.2715561156602285	0	0	2.0003325835616197	7.449408286070304	DRAP1;EGR1;CALCOCO1;MYBBP1A;DDIT3;PCBP1;POLD1;TIMELESS;MCM3;CGAS;POU4F1;MCM2
magnesium ion binding (GO:0000287)	4/146	0.0270388607536141	0.2715561156602285	0	0	3.675589963622796	13.270644642116167	ERN1;EYA2;NEK6;DCTPP1
histone demethylase activity (H3-K27 specific) (GO:0071558)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	KDM7A
RNA polymerase II general transcription initiation factor binding (GO:0001091)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	DRAP1
7S RNA binding (GO:0008312)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	EXOSC2
IgG binding (GO:0019864)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	FCGR2B
ATPase inhibitor activity (GO:0042030)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	FNIP1
C-X3-C chemokine binding (GO:0019960)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	ITGB3
neuregulin binding (GO:0038132)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	ITGB3
polyol transmembrane transporter activity (GO:0015166)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	AQP9
glycerol channel activity (GO:0015254)	1/5	0.03815755999212094	0.2715561156602285	0	0	32.20941558441559	105.19696189979993	AQP9
cell-cell adhesion mediator activity (GO:0098632)	2/42	0.041980481375826245	0.2715561156602285	0	0	6.472222222222222	20.520507388964898	ANXA1;PDLIM5
protein kinase binding (GO:0019901)	8/506	0.043740036618082685	0.2715561156602285	0	0	2.1142529300876975	6.616536418284081	RPS7;MAPKAPK3;NEK6;PLEK;TRIB3;PDLIM5;SQSTM1;NEFH
icosatetraenoic acid binding (GO:0050543)	1/6	0.04561368290852198	0.2715561156602285	0	0	25.766233766233768	79.55447177504013	S100A9
arachidonic acid binding (GO:0050544)	1/6	0.04561368290852198	0.2715561156602285	0	0	25.766233766233768	79.55447177504013	S100A9
U4 snRNA binding (GO:0030621)	1/6	0.04561368290852198	0.2715561156602285	0	0	25.766233766233768	79.55447177504013	PRPF31
urea transmembrane transporter activity (GO:0015204)	1/6	0.04561368290852198	0.2715561156602285	0	0	25.766233766233768	79.55447177504013	AQP9
