Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytoplasmic translation (GO:0002181)	15/93	8.804045176724907E-6	0.01699693488562911	0	0	4.370587695975062	50.87494873601604	EIF4A2;RPL35A;GSPT1;EIF3M;RPS15A;RPS29;RPL24;ETF1;RPL27;RPS20;RPL37;RPL15;RPL17;RPS12;RPS23
nuclear-transcribed mRNA catabolic process (GO:0000956)	21/171	1.3489630861610404E-5	0.01699693488562911	0	0	3.192605042016807	35.80056158495429	NBAS;TUT7;RBM8A;LSM1;RC3H1;RPL35A;PPP2R2A;RC3H2;GSPT1;EXOSC7;RPS15A;RPS29;RPL24;RPL27;RPS20;ETF1;RPL37;RPL15;RPL17;RPS12;RPS23
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	18/149	6.793106168690211E-5	0.05706209181699777	0	0	3.1252967602907336	29.993526656578368	PLK4;USP47;VPS4B;CUL1;CCP110;HAUS2;PSMA5;PSMA3;CENPF;PSMD7;PSMD4;PSMD5;PRKAR2B;PSME3;PSME4;CEP70;CNTRL;SFI1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	15/113	9.23752318414228E-5	0.05819639606009637	0	0	3.474982364817202	32.28137572476978	RBM8A;RPL35A;PPP2R2A;GSPT1;RPS15A;RPS29;RPL24;RPL27;RPS20;ETF1;RPL37;RPL15;RPL17;RPS12;RPS23
cotranslational protein targeting to membrane (GO:0006613)	13/94	1.7588959126987484E-4	0.08864835400001692	0	0	3.6383053683886026	31.455529660154774	SRP19;ARL6IP1;RPL35A;RPS15A;RPS29;RPL24;RPL27;RPS20;RPL37;RPL15;RPL17;RPS12;RPS23
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	11/75	3.247267408660558E-4	0.12725025947485058	0	0	3.890532325029656	31.250804103543654	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;EP300;ARNT;ELOC;HIF1A
cytosolic transport (GO:0016482)	14/116	4.2795935175863887E-4	0.12725025947485058	0	0	3.111764705882353	24.136347985604445	CLTC;KLHL20;EEA1;SNX1;CCDC91;HEATR5A;AP1G1;HEATR5B;TBC1D5;VPS53;ANKFY1;ERC1;VTI1B;VAMP3
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	12/90	4.3556485550362865E-4	0.12725025947485058	0	0	3.4840124246300017	26.96230826082228	SRP19;RPS15A;RPS29;RPL24;RPL35A;RPL27;RPS20;RPL37;RPL15;RPL17;RPS12;RPS23
regulation of mitotic cell cycle phase transition (GO:1901990)	19/188	4.544652124101807E-4	0.12725025947485058	0	0	2.5551004499875987	19.66504747658733	PLK4;UBE2E1;CUL1;CCP110;HAUS2;PSMA5;PSMA3;CENPF;PSMD7;PSMD4;PSMD5;PRKAR2B;PSME3;PSME4;CEP70;CNTRL;BUB3;SFI1;ANAPC1
ubiquitin-dependent protein catabolic process (GO:0006511)	29/354	6.444085050343563E-4	0.14772733975391028	0	0	2.035651282051282	14.956291721504465	UBXN2B;UBXN2A;VPS4B;UBR3;CBL;FBXO22;RNF115;PSMD7;PSMD4;PSMD5;ARIH2;ELOC;BUB3;UBL7;MYLIP;UBE2E1;RC3H1;RC3H2;MIB1;KLHL20;PSMA5;COPS3;UBE2W;PSMA3;KBTBD6;PSME3;PSME4;KBTBD7;ANAPC1
negative regulation of cell cycle G2/M phase transition (GO:1902750)	9/57	6.448415624178623E-4	0.14772733975391028	0	0	4.237721893491124	31.132448939728246	PSMA5;USP47;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;CUL1
ribonucleoprotein complex assembly (GO:0022618)	15/136	7.124239476955682E-4	0.14960902901606932	0	0	2.8110501482481114	20.37122332397306	RAMAC;GEMIN2;DDX1;RPF2;EIF2S2;WDR77;GCFC2;EIF5;PUF60;SNRPD1;LUC7L;RPL24;KHDC4;SRSF5;EIF3A
cytoplasmic translational initiation (GO:0002183)	5/19	9.89061249438003E-4	0.177113066822001	0	0	8.048123843176846	55.682991427466085	EIF4A2;EIF3M;EIF5;EIF2S2;EIF3A
ncRNA processing (GO:0034470)	19/201	0.0010280730752691867	0.177113066822001	0	0	2.370967954201487	16.31242319183629	INTS12;PUS10;TUT7;NVL;KRR1;INTS10;RPL35A;DDX52;MRPL44;RPF1;EXOSC7;AGO3;PIH1D2;RPL24;RPL27;RPL37;RPL15;INTS8;RPL17
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	11/87	0.0011683428510207076	0.177113066822001	0	0	3.274177436473747	22.107799062314143	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;EP300;ARNT;ELOC;HIF1A
protein acylation (GO:0043543)	7/39	0.0011744100180308098	0.177113066822001	0	0	4.93646694214876	33.306289983050846	GTF2B;NAT10;ZDHHC6;EP300;ZDHHC13;ZDHHC21;ZDHHC17
regulation of cellular amine metabolic process (GO:0033238)	8/51	0.0013342032483656047	0.177113066822001	0	0	4.201000604761119	27.808191552752152	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;AZIN1
regulation of endoplasmic reticulum tubular network organization (GO:1903371)	3/6	0.0014082267048884105	0.177113066822001	0	0	22.494712103407757	147.68732321647244	ARL6IP1;LNPK;RAB3GAP1
gene expression (GO:0010467)	28/356	0.0014655735634917274	0.177113066822001	0	0	1.9448119057461761	12.690886820641978	RBM8A;GSPT1;RPS15A;TASP1;RPL37;RPL15;RPL17;RPS12;RBM6;RBM39;CPSF2;RPL35A;MRPS18C;THAP1;MRPL44;EEF1A1;RPS29;HNRNPF;RPL24;SRSF3;NUP35;RPL27;RPS20;SRSF5;MRRF;SRSF7;RPS23;NUP37
protein targeting to ER (GO:0045047)	12/103	0.0014686534044006353	0.177113066822001	0	0	2.984260395186761	19.467552163158103	SRP19;RPS15A;RPS29;RPL24;RPL35A;RPL27;RPS20;RPL37;RPL15;RPL17;RPS12;RPS23
regulation of mRNA stability (GO:0043488)	15/146	0.001475942223516675	0.177113066822001	0	0	2.5951014020689844	16.916061305285996	NPM1;TAF15;ROCK2;RC3H1;RC3H2;GIGYF2;PUM2;PSMA5;EXOSC7;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4
transcription preinitiation complex assembly (GO:0070897)	4/13	0.0017324023451888303	0.1888458327249668	0	0	10.006274509803921	63.62235682710801	DR1;GTF2A2;GTF2B;BDP1
protein modification by small protein removal (GO:0070646)	23/276	0.0017953598984961254	0.1888458327249668	0	0	2.0668417022207635	13.067709542611416	USP8;USP47;USP14;USP32;CCP110;WDR20;ABRAXAS2;STAM;HIF1A;SENP1;PSMA5;COPS3;PSMA3;PSMD7;SENP5;PSMD4;PSMD5;PSME3;COPS2;PSME4;ASXL2;EP300;RIPK1
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	9/66	0.0018860904605608041	0.1888458327249668	0	0	3.5669261912176893	22.376216631819137	PSMA5;USP47;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;CUL1
regulation of cellular amino acid metabolic process (GO:0006521)	8/54	0.001948409385257594	0.1888458327249668	0	0	3.926405591530476	24.50368404513232	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;AZIN1
nuclear membrane reassembly (GO:0031468)	8/54	0.001948409385257594	0.1888458327249668	0	0	3.926405591530476	24.50368404513232	UBXN2B;UBXN2A;IST1;RCC1;CHMP3;NUP35;PPP2R2A;NUP37
COPII-coated vesicle cargo loading (GO:0090110)	4/14	0.002343980327131947	0.215557563824483	0	0	9.005176470588236	54.53449141456271	SEC23A;TBC1D20;SEC23B;SEC24C
regulation of cell cycle phase transition (GO:1901987)	11/95	0.0023950840424942555	0.215557563824483	0	0	2.9611082867310627	17.86832517103369	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;UBE2E1;CUL1;BUB3;ANAPC1
snRNA transcription by RNA polymerase II (GO:0042795)	9/70	0.0028490512694287454	0.24356175996017937	0	0	3.332330972936269	19.530022823832144	SNAPC5;INTS12;GTF2A1;CCNK;GTF2A2;GTF2B;INTS10;ZC3H8;INTS8
anaphase-promoting complex-dependent catabolic process (GO:0031145)	10/84	0.003029499793862964	0.24356175996017937	0	0	3.0536697835276034	17.709323548318185	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;UBE2E1;BUB3;ANAPC1
snRNA transcription (GO:0009301)	9/71	0.003141822205077323	0.24356175996017937	0	0	3.278411910669975	18.893331550424694	SNAPC5;INTS12;GTF2A1;CCNK;GTF2A2;GTF2B;INTS10;ZC3H8;INTS8
spliceosomal complex assembly (GO:0000245)	7/46	0.0031564073145708593	0.24356175996017937	0	0	4.048951048951049	23.315159140298313	GCFC2;PUF60;SNRPD1;DDX1;LUC7L;KHDC4;SRSF5
protein-DNA complex assembly (GO:0065004)	14/143	0.0032702396497521187	0.24356175996017937	0	0	2.4569767441860466	14.061012576516129	NPM1;CCNH;SMARCA5;NAP1L4;H2BC12;PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;RPA3;PSME4;MNAT1
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	13/128	0.0032861507296214672	0.24356175996017937	0	0	2.5580623481362768	14.627098711104859	NEK9;RMDN1;NDC80;EML4;SGO1;CENPF;TAOK1;RCC1;BUB3;CENPO;BUB1;NDEL1;NUP37
DNA-dependent DNA replication (GO:0006261)	13/129	0.0035155297480146987	0.2454196808776912	0	0	2.535876829718316	14.329136996275254	RFC4;BAZ1A;NOC3L;PSMA5;PSMA3;PSMD7;PSMD4;POLG2;PSMD5;PSME3;RPA3;PSME4;SSBP1
ER overload response (GO:0006983)	3/8	0.003697227998896277	0.2454196808776912	0	0	13.495417156286722	75.57665633690809	ATG10;EIF2AK3;TMCO1
cellular response to lectin (GO:1990858)	12/115	0.0037262282964933046	0.2454196808776912	0	0	2.634919170721583	14.735413246936238	PSMA5;PSMA3;NRAS;PSMD7;PSMD4;PSMD5;PSME3;PSME4;CUL1;EP300;PRKACB;PAK2
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	12/115	0.0037262282964933046	0.2454196808776912	0	0	2.634919170721583	14.735413246936238	PSMA5;PSMA3;NRAS;PSMD7;PSMD4;PSMD5;PSME3;PSME4;CUL1;EP300;PRKACB;PAK2
transcription-coupled nucleotide-excision repair (GO:0006283)	9/73	0.0037981617278690307	0.2454196808776912	0	0	3.1756286982248523	17.698534805151034	COPS3;RFC4;PCNA;CCNH;COPS2;RPA3;EP300;LIG3;MNAT1
peptide biosynthetic process (GO:0043043)	15/162	0.004050429358366912	0.2528813723327468	0	0	2.3106954343119845	12.72946491936032	RPL35A;GSPT1;MRPS18C;EEF1A1;RPS15A;RPS29;RPL24;RPL27;RPS20;RPL37;RPL15;MRRF;RPL17;RPS12;RPS23
protein lipidation (GO:0006497)	8/61	0.00424647956076014	0.2528813723327468	0	0	3.406574780320264	18.605570172451454	PIGP;ATG10;ZDHHC6;ZDHHC13;ZDHHC21;PIGG;ZDHHC17;PIGF
retrograde transport, endosome to Golgi (GO:0042147)	10/88	0.004253856995733858	0.2528813723327468	0	0	2.896463725847612	15.814486813228786	SNX1;HEATR5A;HEATR5B;TBC1D5;VPS53;CLTC;ANKFY1;ERC1;VAMP3;VTI1B
RNA processing (GO:0006396)	16/179	0.0043150392898048074	0.2528813723327468	0	0	2.223582294976353	12.108848365488912	RBM39;MBNL1;TUT7;RBM8A;GEMIN2;LSM1;MRPL44;SON;SNRPD1;PRPF3;HNRNPF;SNRNP48;SRSF5;SRSF7;PRMT9;RBM6
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	10/89	0.004613755317835161	0.2642423500214683	0	0	2.859649649049133	15.381235174635707	PSMA5;AMN1;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;FBXO38;PSME4;CUL1
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	12/119	0.0049153536390160076	0.2653798427430549	0	0	2.535884742602171	13.479220401074622	PSMA5;PSMA3;NRAS;PSMD7;PSMD4;PSMD5;PSME3;PSME4;CUL1;EP300;PRKACB;PAK2
regulation of mRNA splicing, via spliceosome (GO:0048024)	10/90	0.004997170486839498	0.2653798427430549	0	0	2.8237559241706163	14.9627534751546	RBM39;RBM25;MBNL1;SON;RBM8A;FAM172A;PUF60;TRA2A;SRSF3;SRSF7
regulation of DNA-directed DNA polymerase activity (GO:1900262)	3/9	0.005370782531704682	0.2653798427430549	0	0	11.245593419506463	58.77826142096445	PCNA;RFC4;POLG2
regulation of endothelial cell development (GO:1901550)	3/9	0.005370782531704682	0.2653798427430549	0	0	11.245593419506463	58.77826142096445	ROCK2;ZDHHC21;VCL
isoprenoid biosynthetic process (GO:0008299)	3/9	0.005370782531704682	0.2653798427430549	0	0	11.245593419506463	58.77826142096445	IDI1;PDSS2;PDSS1
negative regulation of necroptotic process (GO:0060546)	3/9	0.005370782531704682	0.2653798427430549	0	0	11.245593419506463	58.77826142096445	CASP8;RIPK1;SLC25A4
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	3/9	0.005370782531704682	0.2653798427430549	0	0	11.245593419506463	58.77826142096445	PCNA;RFC4;POLG2
regulation of cellular ketone metabolic process (GO:0010565)	8/64	0.00570849883940713	0.27247124052428207	0	0	3.2235731171901385	16.652331398194356	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;AZIN1
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	24/321	0.005796214983102423	0.27247124052428207	0	0	1.835122307411464	9.451889500625589	UBXN2B;UBXN2A;FBXO38;SEL1L;UBE2E1;CUL1;UBR3;KLHL20;PSMA5;AMN1;UBE2W;PSMA3;PSMD7;KBTBD6;PSMD4;PSMD5;PSME3;TMEM67;PSME4;UBXN8;DNAJB9;BUB3;KBTBD7;ANAPC1
negative regulation of mitotic cell cycle phase transition (GO:1901991)	10/92	0.005838669439806044	0.27247124052428207	0	0	2.754594844526644	14.167576390193705	PSMA5;USP47;PSMA3;PSMD7;RBL1;PSMD4;PSMD5;PSME3;PSME4;CUL1
establishment of vesicle localization (GO:0051650)	4/18	0.006254383149188894	0.28656446429010934	0	0	6.430924369747899	32.63355051765653	SYNJ1;LIMK2;SPG11;TMEM230
protein ubiquitination (GO:0016567)	35/525	0.0063771487686001185	0.28697169458700533	0	0	1.6270713413570557	8.224901248721679	RNF10;PCNA;CTR9;CUL1;UBR3;RTF1;CBL;HIF1A;FBXO22;RNF115;PSMD7;PSMD4;PSMD5;ARIH2;MARCHF7;ELOC;MYLIP;UBE2E1;RC3H1;KLHL24;RC3H2;RNF41;MIB1;KLHL20;PSMA5;KLHL9;H2BC12;UBE2W;PSMA3;PSME3;RFWD3;PSME4;WAC;TPP2;ASB5
intraciliary transport involved in cilium assembly (GO:0035735)	6/40	0.006606811034102294	0.2920905930866277	0	0	3.977247502774695	19.964407080856713	DYNC2I1;IFT88;TRIP11;IFT80;IFT57;IFT46
transcription, DNA-templated (GO:0006351)	18/221	0.006768452086669372	0.2940775734208072	0	0	2.009180474697716	10.036826626477119	BTF3;GTF2A1;CCNK;GTF2A2;GTF3C3;TAF15;CCNH;GTF2B;CTR9;SMARCA5;RTF1;AFF4;THAP1;COPS2;TRIP11;ELOC;MNAT1;POLR3K
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	5/29	0.007097363594809641	0.3030613705346116	0	0	4.69228504122497	23.217576014230094	PUS10;TUT7;AGO3;MRPL44;PUM2
histone H2B ubiquitination (GO:0033523)	3/10	0.00743090160007899	0.3030613705346116	0	0	9.638576464663421	47.249343583593216	CTR9;UBE2E1;WAC
RNA polymerase II preinitiation complex assembly (GO:0051123)	3/10	0.00743090160007899	0.3030613705346116	0	0	9.638576464663421	47.249343583593216	DR1;GTF2A2;GTF2B
mitotic spindle organization (GO:0007052)	14/157	0.007456271814740443	0.3030613705346116	0	0	2.214801864801865	10.849649333483619	NEK9;ABRAXAS2;RMDN1;NDC80;EML4;SGO1;CENPF;TAOK1;RCC1;BUB3;CENPO;BUB1;NDEL1;NUP37
Fc-epsilon receptor signaling pathway (GO:0038095)	11/111	0.00787182708403254	0.3148730833613016	0	0	2.4852431791221825	12.039673810047026	PSMA5;PPP3CB;PSMA3;PSMD7;TEC;PSMD4;PSMD5;PSME3;PSME4;CUL1;PAK2
protein N-linked glycosylation via asparagine (GO:0018279)	5/30	0.008223437221992726	0.31881633537571796	0	0	4.504358068315666	21.624373587619594	FUT8;ALG8;RPN2;STT3A;MGAT2
mRNA splice site selection (GO:0006376)	5/30	0.008223437221992726	0.31881633537571796	0	0	4.504358068315666	21.624373587619594	PRPF39;PUF60;LUC7L;KHDC4;SRSF5
Fc receptor signaling pathway (GO:0038093)	11/112	0.008402835819150644	0.32083554945847914	0	0	2.4605076165979587	11.759223634321737	PSMA5;PPP3CB;PSMA3;PSMD7;TEC;PSMD4;PSMD5;PSME3;PSME4;CUL1;PAK2
protein polyubiquitination (GO:0000209)	23/314	0.00863091780992029	0.32462556538804677	0	0	1.7933306040418326	8.522632304323503	MYLIP;FBXO38;UBE2E1;CUL1;RC3H1;FBXO22;RC3H2;RNF41;KLHL20;PSMA5;UBE2W;RNF115;PSMA3;PSMD7;KBTBD6;PSMD4;PSMD5;PSME3;PSME4;ARIH2;TPP2;KBTBD7;ANAPC1
peptidyl-asparagine modification (GO:0018196)	5/31	0.009467514783438699	0.331594547920221	0	0	4.330887016399384	20.181452060711784	FUT8;ALG8;RPN2;STT3A;MGAT2
regulation of primary metabolic process (GO:0080090)	12/130	0.009788091571268184	0.331594547920221	0	0	2.298160151374854	10.632641966358264	PSMA5;IDI1;ZFP69;PSMA3;PSMD7;PSMD4;PSMD5;ROCK2;PSME3;NFYC;PSME4;AZIN1
G2/M transition of mitotic cell cycle (GO:0000086)	12/130	0.009788091571268184	0.331594547920221	0	0	2.298160151374854	10.632641966358264	PLK4;CCNH;PRKAR2B;CEP70;CNTRL;CUL1;CCP110;PPP2R2A;MNAT1;PPP1R12B;SFI1;HAUS2
protein oxidation (GO:0018158)	3/11	0.009896425661521454	0.331594547920221	0	0	8.43331374853114	38.924648028917005	PRDX3;TMX3;SUMF1
Golgi to lysosome transport (GO:0090160)	3/11	0.009896425661521454	0.331594547920221	0	0	8.43331374853114	38.924648028917005	CCDC91;AP1G1;ANKFY1
synaptic vesicle transport (GO:0048489)	3/11	0.009896425661521454	0.331594547920221	0	0	8.43331374853114	38.924648028917005	SYNJ1;SPG11;TMEM230
negative regulation of programmed necrotic cell death (GO:0062099)	3/11	0.009896425661521454	0.331594547920221	0	0	8.43331374853114	38.924648028917005	CASP8;RIPK1;SLC25A4
mRNA processing (GO:0006397)	22/300	0.009930440205363331	0.331594547920221	0	0	1.794652739346984	8.277208477159949	RAMAC;RBM8A;CCNH;GEMIN2;CPSF2;CDC5L;PNN;HNRNPM;GCFC2;SON;PUF60;SNRPD1;HNRNPF;PRPF3;TRA2A;SRSF3;SNRNP48;SRSF5;MNAT1;PRMT9;SRSF7;RBM6
regulation of cell cycle G2/M phase transition (GO:1902749)	9/85	0.010265787847298605	0.331594547920221	0	0	2.672531921519776	12.237359256141948	PLK4;NPM1;CENPF;PRKAR2B;CNTRL;CEP70;CCP110;SFI1;HAUS2
cell cycle G2/M phase transition (GO:0044839)	12/131	0.010370427422064886	0.331594547920221	0	0	2.278728118325715	10.411046282925968	PLK4;CCNH;PRKAR2B;CEP70;CNTRL;CUL1;CCP110;PPP2R2A;MNAT1;PPP1R12B;SFI1;HAUS2
ribosomal large subunit biogenesis (GO:0042273)	7/57	0.010418620204591012	0.331594547920221	0	0	3.1563636363636363	14.406150767448285	NPM1;NVL;RPL24;RPL35A;RPF2;RRP15;RPF1
translation (GO:0006412)	17/214	0.010551377787633634	0.331594547920221	0	0	1.953635475986876	8.891969586331935	EEFSEC;RPL35A;GSPT1;MRPS18C;EEF1A1;RPS15A;RPS29;RPL24;RPL27;RPS20;ETF1;RPL37;RPL15;MRRF;RPL17;RPS12;RPS23
regulation of centrosome duplication (GO:0010824)	5/32	0.010835171704620283	0.331594547920221	0	0	4.170265672032457	18.87027616780834	NPM1;VPS4B;TMEM67;NAT10;CHMP3
protein deubiquitination (GO:0016579)	20/267	0.010908853815370151	0.331594547920221	0	0	1.8348721832250798	8.290283796819685	USP8;USP47;USP14;ENY2;USP32;CCP110;WDR20;ABRAXAS2;STAM;HIF1A;PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;ASXL2;EP300;RIPK1
error-prone translesion synthesis (GO:0042276)	4/21	0.011053151597340698	0.331594547920221	0	0	5.29522491349481	23.855198345872076	PCNA;RFC4;RPA3;POLI
positive regulation of glycolytic process (GO:0045821)	4/21	0.011053151597340698	0.331594547920221	0	0	5.29522491349481	23.855198345872076	ENTPD5;ARNT;PSEN1;HIF1A
positive regulation of purine nucleotide metabolic process (GO:1900544)	4/21	0.011053151597340698	0.331594547920221	0	0	5.29522491349481	23.855198345872076	ENTPD5;ARNT;PSEN1;HIF1A
positive regulation of organelle organization (GO:0010638)	5/33	0.012331751626474857	0.36395248097749194	0	0	4.021117280834595	17.675134292079548	FYCO1;SYNJ1;KATNBL1;LNPK;RAB3GAP1
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	8/73	0.01242060054129536	0.36395248097749194	0	0	2.7759228950718313	12.181856842877089	PSMA5;PSMA3;PSMD7;PSMD4;PSMD5;PSME3;PSME4;VAMP3
regulation of centrosome cycle (GO:0046605)	4/22	0.013061854567981897	0.3740440171740271	0	0	5.00078431372549	21.69369820704969	NPM1;VPS4B;NAT10;CHMP3
mRNA modification (GO:0016556)	4/22	0.013061854567981897	0.3740440171740271	0	0	5.00078431372549	21.69369820704969	TRUB1;RPUSD2;ZC3H13;VIRMA
