Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ribosome (GO:0005840)	9/62	0.001202758108001772	0.2002468432381132	0	0	3.836932008484984	25.796223144819095	BTF3;SERP1;NUFIP2;RPS29;RPL24;RPL27;LARP4B;RPL15;RPS23
polysomal ribosome (GO:0042788)	6/30	0.0014670098405722579	0.2002468432381132	0	0	5.637382075471698	36.78126324075113	BTF3;NUFIP2;RPS29;RPL24;LARP4B;RPS23
nucleolus (GO:0005730)	46/733	0.005995481344437335	0.4014136520799434	0	0	1.5296705434735614	7.82694053377897	SRP19;GTF3C3;NVL;GEMIN2;TWF1;NAT10;RPF2;RPF1;SNAPC5;TAF1D;AKAP11;SENP5;TRA2A;UBXN8;DNAJB9;CAPN3;SPG11;SPTBN1;PLK4;TRMT10A;XRCC6;NPM1;TAF15;KRR1;NOC3L;LARP4B;SDHA;ILF2;GTPBP4;THAP2;EEF1A1;GCFC2;ARL4A;KLF6;RNF169;RCN2;KATNBL1;BMT2;RIOX2;RAD17;RPL27;POLR1F;SRSF5;EIF3A;CUTC;PPID
cytoplasmic stress granule (GO:0010494)	8/65	0.006272261062472681	0.4014136520799434	0	0	3.1668533034714446	16.061071399492658	MBNL1;NUFIP2;DDX1;RC3H1;LARP4B;RC3H2;GIGYF2;PUM2
ISWI-type complex (GO:0031010)	3/10	0.00743090160007899	0.4014136520799434	0	0	9.638576464663421	47.249343583593216	HMGXB4;SMARCA5;BAZ1A
nuclear lumen (GO:0031981)	45/745	0.012395987986711614	0.4014136520799434	0	0	1.4657778562599328	6.435325314428247	SRP19;GTF3C3;NVL;GEMIN2;TWF1;NAT10;RPF2;RPF1;SNAPC5;TAF1D;AKAP11;SENP5;TRA2A;UBXN8;DNAJB9;CAPN3;SPG11;SPTBN1;PLK4;TRMT10A;XRCC6;NPM1;TAF15;KRR1;NOC3L;LARP4B;SDHA;ILF2;GTPBP4;THAP2;EEF1A1;GCFC2;ARL4A;KLF6;RNF169;RCN2;KATNBL1;BMT2;RIOX2;RAD17;RPL27;SRSF5;EIF3A;CUTC;PPID
large ribosomal subunit (GO:0015934)	7/59	0.012498492387153315	0.4014136520799434	0	0	3.0346471710108074	13.298270758125497	RPL24;MRPL17;RPL35A;RPL27;RPL37;RPL15;RPL17
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	11/121	0.014520970318409817	0.4014136520799434	0	0	2.2581257413997626	9.55675270180141	ARL6IP1;RHBDD1;ACER3;EIF2AK3;UBXN8;ESYT2;PIGG;ATF6;HACD2;LNPK;TMCO1
endoplasmic reticulum tubular network (GO:0071782)	4/23	0.015288764111141077	0.4014136520799434	0	0	4.737337461300309	19.805088708922227	RAB10;LNPK;RAB3GAP1;RNF41
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	3/13	0.01609630944632353	0.4014136520799434	0	0	6.745945945945946	27.85512564721844	DNAJA1;RPS29;RPL27
NURF complex (GO:0016589)	2/5	0.01670942424640521	0.4014136520799434	0	0	14.97887323943662	61.29028978210645	HMGXB4;SMARCA5
Cul3-RING ubiquitin ligase complex (GO:0031463)	5/36	0.017644556135382128	0.4014136520799434	0	0	3.6314069683498613	14.66118095076924	KLHL9;KBTBD6;KLHL24;KBTBD7;KLHL20
recycling endosome (GO:0055037)	12/145	0.02164500332765881	0.41564326843659977	0	0	2.0373618130837783	7.809168395088381	RAB10;NEU3;TFRC;AP1G1;VPS53;MYO5A;RELCH;DENND6A;TMEM230;VTI1B;RAB8B;VAMP3
endoplasmic reticulum membrane (GO:0005789)	42/712	0.021806623959025162	0.41564326843659977	0	0	1.4263510036026763	5.456564963567116	ERO1A;SEC23A;RPN2;ARL6IP1;TMEM41B;INSIG2;PITPNB;PIGP;SEL1L;CISD2;MIA2;HACD2;NRAS;SERP1;TMEM67;ANXA7;DNAJB9;RDH14;HMOX2;LNPK;VTI1B;ALG8;UGT1A1;PNPLA8;RHBDD1;EIF2AK3;ORMDL1;ACSL3;DNAJA1;RAB10;TMX3;TBC1D20;TMX1;ACER3;RFT1;STT3A;ESYT2;PIGG;ATF6;PIGF;SEC24C;RAB3GAP1
COPII vesicle coat (GO:0030127)	3/15	0.024036388482977726	0.41564326843659977	0	0	5.621034077555817	20.956262858619702	SEC23A;SEC23B;SEC24C
rough endoplasmic reticulum membrane (GO:0030867)	2/6	0.024360045036577276	0.41564326843659977	0	0	11.23356807511737	41.730582112589964	RPS29;RPL27
cytosolic small ribosomal subunit (GO:0022627)	5/40	0.026809029118212445	0.41854081755433026	0	0	3.215715968366145	11.637729280063578	RPS15A;RPS29;RPS20;RPS12;RPS23
