Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA binding (GO:0003723)	100/1406	2.8371920185397254E-7	1.2824107923799558E-4	0	0	1.8116751495850614	27.311511623311514	EIF4A2;SRP19;RAMAC;PUS10;TFRC;CISD2;GPATCH4;VIRMA;GPATCH8;PNN;PSMD4;SNRPD1;LUC7L;RPL37;RPS12;MBNL1;RC3H1;FNDC3A;LARP4B;TRNT1;ILF2;RC3H2;GTPBP4;EEF1A1;PRPF3;SRSF3;RPL24;RPL27;MATR3;SRSF5;SRSF7;FKBP3;ANKRD17;RBM8A;DDX1;RTF1;RPF2;GIGYF2;GSPT1;RPF1;PRDX1;KHDC4;ZC3H13;SPTBN1;BTF3;XRCC6;ZRANB2;CPSF2;LSM1;MYO5A;EIF2S2;PUM2;CS;HNRNPM;SEPSECS;EIF5;SON;AGO3;HNRNPF;RPS20;RPS23;RBM25;TUT7;NVL;CLTC;NAT10;ZC3H8;ANXA7;PSTK;RBM6;TOP3B;DDX52;MRPL44;PTBP3;SLTM;RPUSD2;ETF1;MRPS35;NUFIP2;ROCK2;EXOSC7;RPS15A;PUF60;TRA2A;RPL15;HEATR6;RPL17;TRMT10A;RBM39;NPM1;TAF15;KRR1;CNBP;CDC5L;RPL35A;NOC3L;NAP1L4;SLIRP;SSBP1;EIF3A
small GTPase binding (GO:0031267)	19/175	1.818456467849286E-4	0.041097116173393865	0	0	2.7699216950713956	23.8555415514788	RABGAP1;MYO5A;RNF41;STRN3;SOD1;GOLGA5;FGD6;TBC1D20;ABI2;AP1G1;EXOC4;ANKFY1;RCC1;PIH1D2;TRIP11;ERC1;PAK2;EXOC2;RAB3GAP1
GTPase binding (GO:0051020)	20/201	3.9904894062899347E-4	0.06012337372143501	0	0	2.5126859838096376	19.665352145689972	RABGAP1;MYO5A;RNF41;STRN3;SOD1;GOLGA5;FGD6;ABI2;TBC1D20;AP1G1;EXOC4;ANKFY1;RCC1;PIH1D2;TRIP11;ERC1;PAK2;SPTBN1;EXOC2;RAB3GAP1
protein phosphatase activator activity (GO:0072542)	4/13	0.0017324023451888303	0.17976493310956645	0	0	10.006274509803921	63.62235682710801	B3GAT3;PPP2R5E;PPP2R5A;CALM2
phosphatase activator activity (GO:0019211)	4/14	0.002343980327131947	0.17976493310956645	0	0	9.005176470588236	54.53449141456271	B3GAT3;PPP2R5E;PPP2R5A;CALM2
MutLalpha complex binding (GO:0032405)	3/7	0.0023862601740207937	0.17976493310956645	0	0	16.87015276145711	101.86245337706016	MSH6;PCNA;ATR
protein serine/threonine kinase activator activity (GO:0043539)	6/37	0.004458193468294695	0.2878719210956003	0	0	4.362827145465611	23.61603415206869	CCNK;CAB39L;STRADA;TAOK1;CKS2;CALM2
phosphatidylinositol binding (GO:0035091)	10/92	0.005838669439806044	0.3298848233490415	0	0	2.754594844526644	14.167576390193705	EEA1;DENND1B;RUBCN;CCDC88A;SNX1;DENND1A;PITPNB;SNX13;ANKFY1;ESYT2
regulatory RNA binding (GO:0061980)	6/40	0.006606811034102294	0.33180873193491517	0	0	3.977247502774695	19.964407080856713	TUT7;FAM172A;AGO3;RC3H1;MATR3;PUM2
H4 histone acetyltransferase activity (GO:0010485)	3/10	0.00743090160007899	0.3358767523235704	0	0	9.638576464663421	47.249343583593216	HAT1;EP300;BRCA2
