Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	9/170	6.079350189102407E-4	0.41241701637005346	0	0	4.095819666410775	30.33135726958866	KIRREL3;TENM2;SELL;MYOT;CDHR3;CDH13;HMCN1;FAT4;DSCAML1
cilium movement (GO:0003341)	5/52	7.384369138228352E-4	0.41241701637005346	0	0	7.724346392400094	55.700067833931605	SPAG17;DNAH1;DNAH11;TEKT3;DNAH9
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	5/60	0.0014189738073688576	0.43213679002049965	0	0	6.598121435759812	43.26930155196176	KIRREL3;MYOT;CDH13;HMCN1;DSCAML1
neurotransmitter loading into synaptic vesicle (GO:0098700)	2/6	0.0027439320807874385	0.43213679002049965	0	0	35.98540145985402	212.25497207393838	SLC17A6;SLC18A1
actin filament-based transport (GO:0099515)	3/21	0.0028761402124575677	0.43213679002049965	0	0	12.03052503052503	70.39428434956297	MYO5B;MYO5C;SYNE2
cilium-dependent cell motility (GO:0060285)	3/23	0.0037527421595266717	0.43213679002049965	0	0	10.826373626373627	60.46820319147657	DNAH1;DNAH8;TEKT3
cellular response to caffeine (GO:0071313)	2/7	0.003806579121350218	0.43213679002049965	0	0	28.786861313868613	160.37230567301066	RYR1;RYR3
response to caffeine (GO:0031000)	2/7	0.003806579121350218	0.43213679002049965	0	0	28.786861313868613	160.37230567301066	RYR1;RYR3
nervous system development (GO:0007399)	14/447	0.003857050371425686	0.43213679002049965	0	0	2.3806392468663504	13.231241885255798	KIRREL3;MEF2C;LSAMP;PRDM12;VLDLR;MERTK;ALDH5A1;SCIN;ADGRA2;B3GNT5;IGF2BP1;FAT4;DSCAML1;SHANK2
cell morphogenesis involved in neuron differentiation (GO:0048667)	5/76	0.0040165487638940895	0.43213679002049965	0	0	5.1070630424614105	28.177363685848913	SPTBN4;MEF2C;MAP1B;PLPPR4;DSCAML1
cellular response to UV-B (GO:0071493)	2/8	0.0050293449151893425	0.43213679002049965	0	0	23.987834549878347	126.95478770808306	CDKN1A;HYAL3
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	2/8	0.0050293449151893425	0.43213679002049965	0	0	23.987834549878347	126.95478770808306	PTPRB;PTPRQ
regulation of positive chemotaxis (GO:0050926)	2/8	0.0050293449151893425	0.43213679002049965	0	0	23.987834549878347	126.95478770808306	F7;CDH13
negative regulation of protein activation cascade (GO:2000258)	2/9	0.006407640219096812	0.49731827649455324	0	0	20.559958289885298	103.83322164159995	F7;A2M
cellular response to purine-containing compound (GO:0071415)	2/10	0.007936971141495483	0.49731827649455324	0	0	17.98905109489051	86.9990724541901	RYR1;RYR3
sarcoplasmic reticulum calcium ion transport (GO:0070296)	2/10	0.007936971141495483	0.49731827649455324	0	0	17.98905109489051	86.9990724541901	RYR1;ANK2
sequestering of actin monomers (GO:0042989)	2/10	0.007936971141495483	0.49731827649455324	0	0	17.98905109489051	86.9990724541901	SCIN;PFN4
synaptic vesicle cycle (GO:0099504)	3/30	0.008014081447539801	0.49731827649455324	0	0	8.016687016687017	38.692981634858654	PCLO;SLC17A6;SYT7
positive regulation of actin nucleation (GO:0051127)	2/11	0.009612937408302352	0.5368825542536864	0	0	15.989456609894566	74.26535674834899	SCIN;WASF3
rhodopsin mediated signaling pathway (GO:0016056)	2/11	0.009612937408302352	0.5368825542536864	0	0	15.989456609894566	74.26535674834899	PDE6A;CNGB1
muscle cell development (GO:0055001)	3/33	0.010448344711814831	0.5557524306236746	0	0	7.213919413919414	32.904935125850734	NRAP;ANK2;TTN
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	3/36	0.013266151910087643	0.5725621847175748	0	0	6.557109557109557	28.343364783558453	SELL;CDHR3;CDH13
response to UV-B (GO:0010224)	2/13	0.013387632731063305	0.5725621847175748	0	0	13.080955540809555	56.42370664006122	CDKN1A;HYAL3
cellular response to calcium ion (GO:0071277)	4/69	0.015220910137510434	0.5725621847175748	0	0	4.447737556561086	18.61416030811061	RYR1;MEF2C;RYR3;SYT7
response to calcium ion (GO:0051592)	5/107	0.016411924638587923	0.5725621847175748	0	0	3.5493090225019897	14.586762448960181	RYR1;MEF2C;SYT7;RYR3;TTN
endothelial cell migration (GO:0043542)	3/39	0.01647583709796069	0.5725621847175748	0	0	6.00976800976801	24.675268422529438	ADGRA2;CDH13;FSTL1
cardiac myofibril assembly (GO:0055003)	2/15	0.0176983320848066	0.5725621847175748	0	0	11.067377877596856	44.64895519232132	NRAP;TTN
phototransduction, visible light (GO:0007603)	2/15	0.0176983320848066	0.5725621847175748	0	0	11.067377877596856	44.64895519232132	PDE6A;CNGB1
positive regulation of secretion (GO:0051047)	2/15	0.0176983320848066	0.5725621847175748	0	0	11.067377877596856	44.64895519232132	SCIN;ALOX12B
axonogenesis (GO:0007409)	8/240	0.01866989765340699	0.5725621847175748	0	0	2.507977354606279	9.983863602968475	SPTBN4;SEMA4D;MAP1B;PLPPR4;NRXN3;SLIT3;VLDLR;DSCAML1
epithelial cell migration (GO:0010631)	3/41	0.018836055440936764	0.5725621847175748	0	0	5.692886061307114	22.612043259249596	ADGRA2;CDH13;FSTL1
actin filament organization (GO:0007015)	6/152	0.019071160264472437	0.5725621847175748	0	0	2.979908675799087	11.799180890801896	SCIN;MYO5B;MYO5C;NRAP;XIRP1;TTN
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	3/42	0.02008266809218621	0.5725621847175748	0	0	5.546632854325162	21.675676103018798	TENM2;HMCN1;FAT4
positive regulation of axonogenesis (GO:0050772)	3/43	0.02137370692044961	0.5725621847175748	0	0	5.407692307692308	20.795787799538996	TIAM2;SEMA4D;MAP3K13
lipid modification (GO:0030258)	3/43	0.02137370692044961	0.5725621847175748	0	0	5.407692307692308	20.795787799538996	PLPPR4;ALOX12B;DGKI
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	2/17	0.022513032768321773	0.5725621847175748	0	0	9.590754257907543	36.384069461530274	HRC;ANK2
negative regulation of vascular associated smooth muscle cell proliferation (GO:1904706)	2/17	0.022513032768321773	0.5725621847175748	0	0	9.590754257907543	36.384069461530274	CDKN1A;MEF2C
positive regulation of positive chemotaxis (GO:0050927)	2/17	0.022513032768321773	0.5725621847175748	0	0	9.590754257907543	36.384069461530274	F7;CDH13
axon development (GO:0061564)	4/79	0.023795397326768167	0.5725621847175748	0	0	3.8527450980392155	14.402574859282268	SPTBN4;MAP1B;PLPPR4;DSCAML1
extracellular matrix organization (GO:0030198)	9/300	0.023956164336662117	0.5725621847175748	0	0	2.2510135526468202	8.399723712205946	ADAMTS16;ADAMTSL1;COL27A1;DST;HAS1;COL6A1;COL9A1;ITGA8;A2M
cellular response to alkaloid (GO:0071312)	2/18	0.025099750708525537	0.5725621847175748	0	0	8.99087591240876	33.130454957103375	RYR1;RYR3
synaptic transmission, glutamatergic (GO:0035249)	2/18	0.025099750708525537	0.5725621847175748	0	0	8.99087591240876	33.130454957103375	GRIK3;SLC17A6
presynapse assembly (GO:0099054)	2/18	0.025099750708525537	0.5725621847175748	0	0	8.99087591240876	33.130454957103375	PCLO;LRRTM3
regulation of synaptic transmission, glutamatergic (GO:0051966)	3/46	0.025513528190272153	0.5725621847175748	0	0	5.02964477383082	18.451485480938405	MEF2C;GRIK3;DGKI
vesicle transport along actin filament (GO:0030050)	2/19	0.027801072768185855	0.5725621847175748	0	0	8.461571489909833	30.31510861680807	MYO5B;MYO5C
cellular component assembly (GO:0022607)	8/261	0.028938305636274232	0.5725621847175748	0	0	2.2973275912925493	8.138487700033554	RP1L1;SPAG17;PCLO;SCIN;LRRTM3;HAS1;TEX11;WASF3
neuron migration (GO:0001764)	3/50	0.03165380158764991	0.5725621847175748	0	0	4.600654664484452	15.885586800605378	MEF2C;MAP1B;MDGA1
muscle contraction (GO:0006936)	5/129	0.033408058858179525	0.5725621847175748	0	0	2.916319485775503	9.91244781105246	RYR1;MYOT;HRC;MYH8;TTN
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	2/21	0.03353308176903689	0.5725621847175748	0	0	7.57011140991164	25.702214947784608	HRC;ANK2
collagen fibril organization (GO:0030199)	4/89	0.03480189900960684	0.5725621847175748	0	0	3.3977508650519033	11.409930520562892	COL27A1;DST;COL6A1;COL9A1
regulation of calcium ion transmembrane transport (GO:1903169)	2/23	0.03968093379780347	0.5725621847175748	0	0	6.848453249913104	22.09916739205189	HRC;ANK2
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	2/23	0.03968093379780347	0.5725621847175748	0	0	6.848453249913104	22.09916739205189	HRC;ANK2
hyaluronan metabolic process (GO:0030212)	2/23	0.03968093379780347	0.5725621847175748	0	0	6.848453249913104	22.09916739205189	HAS1;HYAL3
regulation of heart contraction (GO:0008016)	4/93	0.03990568587927161	0.5725621847175748	0	0	3.24438202247191	10.450921667440744	RYR1;HRC;ANK2;RYR3
regulation of cardiac conduction (GO:1903779)	3/55	0.040314691762787985	0.5725621847175748	0	0	4.157227387996619	13.349020590881157	RYR1;ANK2;RYR3
axon extension (GO:0048675)	2/24	0.04290234053832627	0.5725621847175748	0	0	6.536828135368282	20.58335332432056	MAP1B;SLIT3
cardiac muscle cell differentiation (GO:0055007)	2/24	0.04290234053832627	0.5725621847175748	0	0	6.536828135368282	20.58335332432056	MEF2C;TTN
negative regulation of synaptic transmission (GO:0050805)	2/24	0.04290234053832627	0.5725621847175748	0	0	6.536828135368282	20.58335332432056	GRIK3;SHANK2
nucleosome assembly (GO:0006334)	3/58	0.046026615143288443	0.5725621847175748	0	0	3.92987012987013	12.09824454697923	H2BC12;H2BC15;H2BC3
negative regulation of sequestering of calcium ion (GO:0051283)	2/25	0.046217701479042674	0.5725621847175748	0	0	6.252300856870835	19.22202627051588	RYR1;RYR3
regulation of rhodopsin mediated signaling pathway (GO:0022400)	2/25	0.046217701479042674	0.5725621847175748	0	0	6.252300856870835	19.22202627051588	PDE6A;CNGB1
positive regulation of lipid metabolic process (GO:0045834)	2/25	0.046217701479042674	0.5725621847175748	0	0	6.252300856870835	19.22202627051588	ANGPTL3;ZBTB20
negative regulation of actin filament polymerization (GO:0030837)	2/25	0.046217701479042674	0.5725621847175748	0	0	6.252300856870835	19.22202627051588	SCIN;PFN4
regulation of synapse organization (GO:0050807)	2/26	0.04962383072702567	0.5725621847175748	0	0	5.9914841849148415	17.994129202504606	MEF2C;MDGA1
hippo signaling (GO:0035329)	2/26	0.04962383072702567	0.5725621847175748	0	0	5.9914841849148415	17.994129202504606	AMOTL2;FAT4
O-glycan processing (GO:0016266)	3/61	0.052115677851469734	0.5725621847175748	0	0	3.7260325881015537	11.00777879159867	MUC16;B3GNT5;MUC5B
protein O-linked glycosylation (GO:0006493)	4/102	0.05286416543504241	0.5725621847175748	0	0	2.945078031212485	8.658616502558937	MUC16;B3GNT5;TMTC1;MUC5B
calcium-ion regulated exocytosis (GO:0017156)	2/27	0.05311761187264894	0.5725621847175748	0	0	5.751532846715328	16.882167992549153	SCIN;SYT7
release of sequestered calcium ion into cytosol (GO:0051209)	2/27	0.05311761187264894	0.5725621847175748	0	0	5.751532846715328	16.882167992549153	RYR1;RYR3
supramolecular fiber organization (GO:0097435)	9/351	0.055439200089167445	0.5725621847175748	0	0	1.9103094815690913	5.525509719130655	COL27A1;DST;CCDC13;MYO5B;MYO5C;COL6A1;COL9A1;XIRP1;NCKAP5
regulation of calcium ion transmembrane transporter activity (GO:1901019)	2/29	0.06035600377493118	0.5725621847175748	0	0	5.324952689916193	14.949777273595288	HRC;ANK2
