Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
9+2 motile cilium (GO:0097729)	5/57	0.001124949332016634	0.1122514217311478	0	0	6.979846721544138	47.39327986881679	DNAH1;DNAH11;DNAH8;TEKT3;DNAH9
exocytic vesicle membrane (GO:0099501)	4/41	0.002405387608524596	0.1122514217311478	0	0	7.824721780604134	47.18341835112934	RPH3A;PTPRN2;SLC17A6;SLC18A1
synaptic vesicle membrane (GO:0030672)	4/41	0.002405387608524596	0.1122514217311478	0	0	7.824721780604134	47.18341835112934	RPH3A;PTPRN2;SLC17A6;SLC18A1
sarcoplasmic reticulum (GO:0016529)	4/45	0.003389940388886297	0.1186479136110204	0	0	7.059899569583931	40.14924602948874	RYR1;HRC;RYR3;SYNE2
neuron projection (GO:0043005)	16/556	0.004705270828940807	0.13174758321034258	0	0	2.1862108262108264	11.716061106041622	KIRREL3;SPTBN4;TENM2;GABRA4;GRIK3;ANK2;HTR5A;RPH3A;UNC80;TRIM9;PCLO;MYOT;MAP1B;CDH13;DSCAML1;SHANK2
ciliary membrane (GO:0060170)	3/31	0.008783536923307023	0.20494919487716384	0	0	7.729984301412872	36.60051802886574	EVC;SHANK2;CNGB1
acrosomal membrane (GO:0002080)	2/13	0.013387632731063305	0.26775265462126613	0	0	13.080955540809555	56.42370664006122	HYAL3;TEKT3
axon (GO:0030424)	7/204	0.023465739439793076	0.3402692063185428	0	0	2.579378408469043	9.678379305529857	KIRREL3;UNC80;PCLO;MYOT;MAP1B;GRIK3;DSCAML1
GABA-ergic synapse (GO:0098982)	2/18	0.025099750708525537	0.3402692063185428	0	0	8.99087591240876	33.130454957103375	PCLO;MDGA1
smooth endoplasmic reticulum (GO:0005790)	2/19	0.027801072768185855	0.3402692063185428	0	0	8.461571489909833	30.31510861680807	RYR1;RYR3
condensed nuclear chromosome (GO:0000794)	2/20	0.030613367635590135	0.3402692063185428	0	0	7.991078669910786	27.85944551836786	SHOC1;TTN
basement membrane (GO:0005604)	3/52	0.0349878454481434	0.3402692063185428	0	0	4.412424310383494	14.793775686328663	DST;COL9A1;USH2A
sarcolemma (GO:0042383)	3/52	0.0349878454481434	0.3402692063185428	0	0	4.412424310383494	14.793775686328663	RYR1;ANK2;RYR3
sperm flagellum (GO:0036126)	3/52	0.0349878454481434	0.3402692063185428	0	0	4.412424310383494	14.793775686328663	DNAH1;DNAH8;TEKT3
cell projection membrane (GO:0031253)	4/92	0.038591903440275466	0.3402692063185428	0	0	3.281417112299465	10.680070211735806	EVC;SYNE2;SHANK2;CNGB1
collagen-containing extracellular matrix (GO:0062023)	10/380	0.03888790929354775	0.3402692063185428	0	0	1.9664702296281245	6.385270208582057	F7;COL27A1;DST;COL6A1;COL9A1;ANGPTL3;CDH13;HMCN1;A2M;USH2A
endoplasmic reticulum lumen (GO:0005788)	8/285	0.04481376727931023	0.3690545540649078	0	0	2.0956948111428417	6.507635106862613	ADAMTSL1;F7;COL27A1;ENAM;COL6A1;HRC;COL9A1;FSTL1
sarcoplasmic reticulum membrane (GO:0033017)	2/28	0.05669599667033608	0.4321500051175101	0	0	5.5300393037619315	15.871498573227962	RYR1;RYR3
clathrin-sculpted monoamine transport vesicle (GO:0070081)	1/5	0.06712796002019981	0.4321500051175101	0	0	17.927272727272726	48.42433573036915	SLC18A1
clathrin-sculpted monoamine transport vesicle membrane (GO:0070083)	1/5	0.06712796002019981	0.4321500051175101	0	0	17.927272727272726	48.42433573036915	SLC18A1
catenin complex (GO:0016342)	2/31	0.06790928651846588	0.4321500051175101	0	0	4.957211175434181	13.33282835780552	CDHR3;CDH13
intercalated disc (GO:0014704)	2/31	0.06790928651846588	0.4321500051175101	0	0	4.957211175434181	13.33282835780552	NRAP;ANK2
myosin filament (GO:0032982)	1/6	0.08000478854646083	0.43787075941225284	0	0	14.341090909090909	36.220845713158056	MYH8
cation channel complex (GO:0034703)	3/73	0.0800426824343233	0.43787075941225284	0	0	3.0854003139717427	7.791238236183585	RYR1;UNC80;RYR3
vesicle membrane (GO:0012506)	3/73	0.0800426824343233	0.43787075941225284	0	0	3.0854003139717427	7.791238236183585	RYR1;MYO5B;RYR3
dendrite (GO:0030425)	7/270	0.08131885531941838	0.43787075941225284	0	0	1.9255516134959787	4.83193563706958	KIRREL3;TRIM9;TENM2;MAP1B;GABRA4;GRIK3;HTR5A
cytoskeleton of presynaptic active zone (GO:0048788)	1/7	0.0927045097870444	0.46352254893522205	0	0	11.950303030303031	28.421861700537306	PCLO
hemidesmosome (GO:0030056)	1/7	0.0927045097870444	0.46352254893522205	0	0	11.950303030303031	28.421861700537306	DST
cell-substrate junction (GO:0030055)	9/394	0.09681359261009567	0.46737596432459977	0	0	1.693185466219174	3.9535336700923818	DST;NRAP;ITGA8;XIRP1;CDH13;PHLDB2;SYNE2;RPL7;TNS1
intermediate filament cytoskeleton (GO:0045111)	3/84	0.11016826538746452	0.5033455984400429	0	0	2.6649029982363315	5.878100185717611	DST;PHLDB2;SYNE2
outer dynein arm (GO:0036157)	1/9	0.11758230397558543	0.5033455984400429	0	0	8.961818181818181	19.18381794231652	DNAH8
junctional sarcoplasmic reticulum membrane (GO:0014701)	1/9	0.11758230397558543	0.5033455984400429	0	0	8.961818181818181	19.18381794231652	RYR1
cornified envelope (GO:0001533)	2/43	0.11864574820372441	0.5033455984400429	0	0	3.5041837279686665	7.469564049794317	DSC1;RPTN
calcium channel complex (GO:0034704)	2/45	0.1278246268853821	0.5190605267973926	0	0	3.3408589373620776	6.8724677469372955	RYR1;RYR3
apical dendrite (GO:0097440)	1/10	0.12976513169934814	0.5190605267973926	0	0	7.965656565656565	16.266102840447306	MAP1B
dendrite cytoplasm (GO:0032839)	1/11	0.14178036250178633	0.5368751182488364	0	0	7.168727272727272	14.003937837487621	GRIK3
acrosomal vesicle (GO:0001669)	2/48	0.14188842410862104	0.5368751182488364	0	0	3.122500793398921	6.09735187595019	HYAL3;TEKT3
neuron projection cytoplasm (GO:0120111)	1/12	0.15363029356873478	0.5377060274905717	0	0	6.516694214876033	12.207112358449626	GRIK3
early phagosome (GO:0032009)	1/12	0.15363029356873478	0.5377060274905717	0	0	6.516694214876033	12.207112358449626	SYT7
filopodium membrane (GO:0031527)	1/12	0.15363029356873478	0.5377060274905717	0	0	6.516694214876033	12.207112358449626	SYNE2
Golgi lumen (GO:0005796)	3/100	0.1602663457235971	0.5385197441487213	0	0	2.2235187492919453	4.071080917187088	F7;MUC16;MUC5B
integral component of synaptic vesicle membrane (GO:0030285)	1/13	0.16531719074242843	0.5385197441487213	0	0	5.973333333333334	10.751338646454927	SLC17A6
focal adhesion (GO:0005925)	8/387	0.1679739172452559	0.5385197441487213	0	0	1.5236482495175836	2.718107062708695	DST;ITGA8;XIRP1;CDH13;PHLDB2;SYNE2;RPL7;TNS1
condensed chromosome (GO:0000793)	2/54	0.17089347718719233	0.5385197441487213	0	0	2.7613700168444693	4.878553434470069	SHOC1;TTN
cell-cell junction (GO:0005911)	6/271	0.17309563204780326	0.5385197441487213	0	0	1.6317819706498953	2.86200043083699	KIRREL3;SPTBN4;NRAP;CDHR3;HMCN1;DSC1
secretory granule membrane (GO:0030667)	6/274	0.17916792300719303	0.5452936787175441	0	0	1.6132669983416252	2.7739025716437142	PTPRB;PTPRN2;SELL;HYAL3;TEKT3;DSC1
muscle myosin complex (GO:0005859)	1/15	0.18821079257818218	0.5562992320272308	0	0	5.119480519480519	8.550519028038318	MYH8
filopodium (GO:0030175)	2/58	0.19073116526647912	0.5562992320272308	0	0	2.5636079249217936	4.247617242508437	TENM2;SYNE2
ficolin-1-rich granule membrane (GO:0101003)	2/61	0.20580157754414685	0.5777846221862892	0	0	2.4328838302610416	3.8460068624334087	PTPRN2;DSC1
