Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
calcium ion binding (GO:0005509)	14/348	3.643202779331296E-4	0.0812434219790879	0	0	3.1021163779311607	24.560935671579706	RYR1;PLA2G2F;RYR3;SYT7;TTN;RPH3A;PCLO;SCIN;SELL;HRC;CDHR3;CDH13;SLIT3;DSC1
alpha-actinin binding (GO:0051393)	3/24	0.0042455221592553214	0.35722594221464726	0	0	10.310308738880167	56.31377695157163	MYOT;NRAP;TTN
metal ion binding (GO:0046872)	15/517	0.005686360641981431	0.35722594221464726	0	0	2.2006227961716354	11.37652631113481	RYR1;PLA2G2F;RYR3;SYT7;TTN;RPH3A;ERN2;PCLO;SCIN;SELL;HRC;CDHR3;CDH13;SLIT3;DSC1
interleukin-1 binding (GO:0019966)	2/9	0.006407640219096812	0.35722594221464726	0	0	20.559958289885298	103.83322164159995	IL1R1;A2M
intracellular ligand-gated ion channel activity (GO:0005217)	2/11	0.009612937408302352	0.42873700841028495	0	0	15.989456609894566	74.26535674834899	RYR1;RYR3
1-phosphatidylinositol binding (GO:0005545)	2/15	0.0176983320848066	0.47225550113764914	0	0	11.067377877596856	44.64895519232132	SCIN;ZFYVE9
muscle alpha-actinin binding (GO:0051371)	2/15	0.0176983320848066	0.47225550113764914	0	0	11.067377877596856	44.64895519232132	NRAP;TTN
transmembrane receptor protein phosphatase activity (GO:0019198)	2/16	0.020044629474778048	0.47225550113764914	0	0	10.276329509906152	40.17833164204408	PTPRB;PTPRN2
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	2/16	0.020044629474778048	0.47225550113764914	0	0	10.276329509906152	40.17833164204408	PTPRB;PTPRN2
calcium-release channel activity (GO:0015278)	2/17	0.022513032768321773	0.47225550113764914	0	0	9.590754257907543	36.384069461530274	RYR1;RYR3
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	2/18	0.025099750708525537	0.47225550113764914	0	0	8.99087591240876	33.130454957103375	HGD;ALOX12B
ligand-gated calcium channel activity (GO:0099604)	2/19	0.027801072768185855	0.47225550113764914	0	0	8.461571489909833	30.31510861680807	RYR1;RYR3
calcium-dependent phospholipid binding (GO:0005544)	3/50	0.03165380158764991	0.47225550113764914	0	0	4.600654664484452	15.885586800605378	RPH3A;PCLO;SYT7
actinin binding (GO:0042805)	2/21	0.03353308176903689	0.47225550113764914	0	0	7.57011140991164	25.702214947784608	MYOT;TTN
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	2/21	0.03353308176903689	0.47225550113764914	0	0	7.57011140991164	25.702214947784608	GABRA4;GRIK3
actin binding (GO:0003779)	6/177	0.036475129987124044	0.47225550113764914	0	0	2.5410006497725797	8.41356981305188	SPTBN4;SCIN;MAP1B;NRAP;PFN4;SYNE2
ligand-gated channel activity (GO:0022834)	2/30	0.0640947174909845	0.47225550113764914	0	0	5.13451511991658	14.106532587535943	GRIK3;CNGB1
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	2/30	0.0640947174909845	0.47225550113764914	0	0	5.13451511991658	14.106532587535943	GABRA4;GRIK3
interleukin-1 receptor activity (GO:0004908)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	IL1R1
kainate selective glutamate receptor activity (GO:0015277)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	GRIK3
structural constituent of tooth enamel (GO:0030345)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	ENAM
tumor necrosis factor binding (GO:0043120)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	A2M
C-X-C chemokine binding (GO:0019958)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	A2M
neuroligin family protein binding (GO:0097109)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	NRXN3
chromatin insulator sequence binding (GO:0043035)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	CTCFL
cytoskeleton-nuclear membrane anchor activity (GO:0140444)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	SYNE2
exopolyphosphatase activity (GO:0004309)	1/5	0.06712796002019981	0.47225550113764914	0	0	17.927272727272726	48.42433573036915	PRUNE2
ligand-gated ion channel activity (GO:0015276)	2/31	0.06790928651846588	0.47225550113764914	0	0	4.957211175434181	13.33282835780552	GRIK3;CNGB1
transmitter-gated ion channel activity (GO:0022824)	2/34	0.07978055336935758	0.47225550113764914	0	0	4.491788321167883	11.35737670480766	GABRA4;GRIK3
RNA adenylyltransferase activity (GO:1990817)	1/6	0.08000478854646083	0.47225550113764914	0	0	14.341090909090909	36.220845713158056	TENT5C
keratin filament binding (GO:1990254)	1/6	0.08000478854646083	0.47225550113764914	0	0	14.341090909090909	36.220845713158056	KRT74
myosin light chain binding (GO:0032027)	1/6	0.08000478854646083	0.47225550113764914	0	0	14.341090909090909	36.220845713158056	MYH8
hexosyltransferase activity (GO:0016758)	4/119	0.08280174655644552	0.47225550113764914	0	0	2.507544757033248	6.247061609743335	B3GNT5;HAS1;MGAT4B;TMTC1
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	3/75	0.0852184809434431	0.47225550113764914	0	0	2.9993894993894994	7.386107488246621	RPH3A;SCIN;SYT7
ABC-type glutathione S-conjugate transporter activity (GO:0015431)	1/7	0.0927045097870444	0.47225550113764914	0	0	11.950303030303031	28.421861700537306	ABCC6
intracellular cGMP-activated cation channel activity (GO:0005223)	1/7	0.0927045097870444	0.47225550113764914	0	0	11.950303030303031	28.421861700537306	CNGB1
telethonin binding (GO:0031433)	1/7	0.0927045097870444	0.47225550113764914	0	0	11.950303030303031	28.421861700537306	TTN
minor groove of adenine-thymine-rich DNA binding (GO:0003680)	1/7	0.0927045097870444	0.47225550113764914	0	0	11.950303030303031	28.421861700537306	MEF2C
hyalurononglucosaminidase activity (GO:0004415)	1/8	0.10522955036185379	0.47225550113764914	0	0	10.242597402597402	23.062346221118663	HYAL3
Roundabout binding (GO:0048495)	1/8	0.10522955036185379	0.47225550113764914	0	0	10.242597402597402	23.062346221118663	SLIT3
ion channel activity (GO:0005216)	3/84	0.11016826538746452	0.47225550113764914	0	0	2.6649029982363315	5.878100185717611	UNC80;GRIK3;CNGB1
UDP-glycosyltransferase activity (GO:0008194)	3/84	0.11016826538746452	0.47225550113764914	0	0	2.6649029982363315	5.878100185717611	B3GNT5;HAS1;MGAT4B
intracellular cAMP-activated cation channel activity (GO:0005222)	1/9	0.11758230397558543	0.47225550113764914	0	0	8.961818181818181	19.18381794231652	CNGB1
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity (GO:0001640)	1/9	0.11758230397558543	0.47225550113764914	0	0	8.961818181818181	19.18381794231652	GRIK3
