#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GOCC:0030054	Cell junction	30	1453	0.39	0.0167	10090.ENSMUSP00000028106,10090.ENSMUSP00000030676,10090.ENSMUSP00000032710,10090.ENSMUSP00000038884,10090.ENSMUSP00000042303,10090.ENSMUSP00000043765,10090.ENSMUSP00000046924,10090.ENSMUSP00000047697,10090.ENSMUSP00000049176,10090.ENSMUSP00000052306,10090.ENSMUSP00000064046,10090.ENSMUSP00000066614,10090.ENSMUSP00000068374,10090.ENSMUSP00000073228,10090.ENSMUSP00000073790,10090.ENSMUSP00000074340,10090.ENSMUSP00000076026,10090.ENSMUSP00000078198,10090.ENSMUSP00000088089,10090.ENSMUSP00000095392,10090.ENSMUSP00000101079,10090.ENSMUSP00000101522,10090.ENSMUSP00000106151,10090.ENSMUSP00000107262,10090.ENSMUSP00000113527,10090.ENSMUSP00000125453,10090.ENSMUSP00000126529,10090.ENSMUSP00000127973,10090.ENSMUSP00000129678,10090.ENSMUSP00000140219	Itga8,Grik3,Slc17a6,Htr5a,Dsc1,Ank2,Slc18a1,Syne2,Inadl,D3Bwg0562e,Ptprn2,Rgs7bp,Map1b,Nrap,Myo5b,Hmcn1,Dsg1b,Rph3a,Cttnbp2,Dst,Lrrtm3,Shank2,Trim9,Xirp1,Cdh13,Pard3,Mdga1,Syt7,Nrxn3,Kirrel3
GOCC:0071944	Cell periphery	49	3158	0.26	0.0198	10090.ENSMUSP00000002850,10090.ENSMUSP00000010250,10090.ENSMUSP00000016172,10090.ENSMUSP00000021900,10090.ENSMUSP00000025468,10090.ENSMUSP00000027241,10090.ENSMUSP00000027528,10090.ENSMUSP00000027871,10090.ENSMUSP00000028106,10090.ENSMUSP00000030676,10090.ENSMUSP00000031005,10090.ENSMUSP00000032472,10090.ENSMUSP00000033876,10090.ENSMUSP00000038884,10090.ENSMUSP00000042303,10090.ENSMUSP00000043765,10090.ENSMUSP00000044998,10090.ENSMUSP00000046177,10090.ENSMUSP00000046496,10090.ENSMUSP00000047697,10090.ENSMUSP00000049176,10090.ENSMUSP00000049708,10090.ENSMUSP00000050454,10090.ENSMUSP00000052306,10090.ENSMUSP00000055094,10090.ENSMUSP00000056659,10090.ENSMUSP00000063656,10090.ENSMUSP00000066614,10090.ENSMUSP00000073790,10090.ENSMUSP00000074340,10090.ENSMUSP00000075423,10090.ENSMUSP00000076026,10090.ENSMUSP00000078198,10090.ENSMUSP00000085794,10090.ENSMUSP00000088089,10090.ENSMUSP00000093449,10090.ENSMUSP00000095392,10090.ENSMUSP00000101079,10090.ENSMUSP00000106166,10090.ENSMUSP00000110221,10090.ENSMUSP00000113527,10090.ENSMUSP00000125453,10090.ENSMUSP00000126529,10090.ENSMUSP00000127329,10090.ENSMUSP00000127973,10090.ENSMUSP00000129678,10090.ENSMUSP00000137123,10090.ENSMUSP00000140219,10090.ENSMUSP00000140624	Abcc6,Slc22a6,Celsr1,Sema4d,Pde6a,Il1r1,Mlph,Sell,Itga8,Grik3,Evc,Klrb1b,Gpr124,Htr5a,Dsc1,Ank2,Rptn,Abcb5,Phldb2,Syne2,Inadl,Gpr158,Ush2a,D3Bwg0562e,Sh3tc2,Prokr2,Neo1,Rgs7bp,Myo5b,Hmcn1,Csf2ra,Dsg1b,Rph3a,Pkhd1,Cttnbp2,Cdhr3,Dst,Lrrtm3,Duoxa1,Glp1r,Cdh13,Pard3,Mdga1,Vldlr,Syt7,Nrxn3,Ryr1,Kirrel3,Rgs1
GOCC:0005929	Cilium	16	553	0.54	0.0235	10090.ENSMUSP00000014505,10090.ENSMUSP00000025468,10090.ENSMUSP00000031005,10090.ENSMUSP00000042063,10090.ENSMUSP00000042667,10090.ENSMUSP00000043281,10090.ENSMUSP00000046204,10090.ENSMUSP00000050454,10090.ENSMUSP00000055449,10090.ENSMUSP00000063650,10090.ENSMUSP00000068374,10090.ENSMUSP00000081867,10090.ENSMUSP00000085794,10090.ENSMUSP00000101522,10090.ENSMUSP00000127878,10090.ENSMUSP00000134066	Mertk,Pde6a,Evc,Tekt3,Hyal3,Dnah1,Hydin,Ush2a,Rp1l1,Dcdc2a,Map1b,Dnah11,Pkhd1,Shank2,Dnah8,Spag17
GOCC:0042995	Cell projection	32	1794	0.33	0.0282	10090.ENSMUSP00000014505,10090.ENSMUSP00000025468,10090.ENSMUSP00000027528,10090.ENSMUSP00000028106,10090.ENSMUSP00000030676,10090.ENSMUSP00000031005,10090.ENSMUSP00000032710,10090.ENSMUSP00000042063,10090.ENSMUSP00000042667,10090.ENSMUSP00000043281,10090.ENSMUSP00000046204,10090.ENSMUSP00000047697,10090.ENSMUSP00000050454,10090.ENSMUSP00000055449,10090.ENSMUSP00000063650,10090.ENSMUSP00000064046,10090.ENSMUSP00000066614,10090.ENSMUSP00000068374,10090.ENSMUSP00000073790,10090.ENSMUSP00000078198,10090.ENSMUSP00000080808,10090.ENSMUSP00000081867,10090.ENSMUSP00000085794,10090.ENSMUSP00000088089,10090.ENSMUSP00000095392,10090.ENSMUSP00000101522,10090.ENSMUSP00000106151,10090.ENSMUSP00000125453,10090.ENSMUSP00000127878,10090.ENSMUSP00000127973,10090.ENSMUSP00000134066,10090.ENSMUSP00000140219	Mertk,Pde6a,Mlph,Itga8,Grik3,Evc,Slc17a6,Tekt3,Hyal3,Dnah1,Hydin,Syne2,Ush2a,Rp1l1,Dcdc2a,Ptprn2,Rgs7bp,Map1b,Myo5b,Rph3a,Fat3,Dnah11,Pkhd1,Cttnbp2,Dst,Shank2,Trim9,Pard3,Dnah8,Syt7,Spag17,Kirrel3
GOCC:0097730	Non-motile cilium	8	149	0.8	0.0282	10090.ENSMUSP00000014505,10090.ENSMUSP00000025468,10090.ENSMUSP00000050454,10090.ENSMUSP00000055449,10090.ENSMUSP00000063650,10090.ENSMUSP00000068374,10090.ENSMUSP00000085794,10090.ENSMUSP00000101522	Mertk,Pde6a,Ush2a,Rp1l1,Dcdc2a,Map1b,Pkhd1,Shank2
GOCC:0120025	Plasma membrane bounded cell projection	32	1774	0.33	0.0282	10090.ENSMUSP00000014505,10090.ENSMUSP00000025468,10090.ENSMUSP00000027528,10090.ENSMUSP00000028106,10090.ENSMUSP00000030676,10090.ENSMUSP00000031005,10090.ENSMUSP00000032710,10090.ENSMUSP00000042063,10090.ENSMUSP00000042667,10090.ENSMUSP00000043281,10090.ENSMUSP00000046204,10090.ENSMUSP00000047697,10090.ENSMUSP00000050454,10090.ENSMUSP00000055449,10090.ENSMUSP00000063650,10090.ENSMUSP00000064046,10090.ENSMUSP00000066614,10090.ENSMUSP00000068374,10090.ENSMUSP00000073790,10090.ENSMUSP00000078198,10090.ENSMUSP00000080808,10090.ENSMUSP00000081867,10090.ENSMUSP00000085794,10090.ENSMUSP00000088089,10090.ENSMUSP00000095392,10090.ENSMUSP00000101522,10090.ENSMUSP00000106151,10090.ENSMUSP00000125453,10090.ENSMUSP00000127878,10090.ENSMUSP00000127973,10090.ENSMUSP00000134066,10090.ENSMUSP00000140219	Mertk,Pde6a,Mlph,Itga8,Grik3,Evc,Slc17a6,Tekt3,Hyal3,Dnah1,Hydin,Syne2,Ush2a,Rp1l1,Dcdc2a,Ptprn2,Rgs7bp,Map1b,Myo5b,Rph3a,Fat3,Dnah11,Pkhd1,Cttnbp2,Dst,Shank2,Trim9,Pard3,Dnah8,Syt7,Spag17,Kirrel3
GOCC:0045202	Synapse	22	1032	0.4	0.0299	10090.ENSMUSP00000028106,10090.ENSMUSP00000030676,10090.ENSMUSP00000032710,10090.ENSMUSP00000038884,10090.ENSMUSP00000043765,10090.ENSMUSP00000046924,10090.ENSMUSP00000052306,10090.ENSMUSP00000064046,10090.ENSMUSP00000066614,10090.ENSMUSP00000068374,10090.ENSMUSP00000073790,10090.ENSMUSP00000078198,10090.ENSMUSP00000088089,10090.ENSMUSP00000095392,10090.ENSMUSP00000101079,10090.ENSMUSP00000101522,10090.ENSMUSP00000106151,10090.ENSMUSP00000113527,10090.ENSMUSP00000126529,10090.ENSMUSP00000127973,10090.ENSMUSP00000129678,10090.ENSMUSP00000140219	Itga8,Grik3,Slc17a6,Htr5a,Ank2,Slc18a1,D3Bwg0562e,Ptprn2,Rgs7bp,Map1b,Myo5b,Rph3a,Cttnbp2,Dst,Lrrtm3,Shank2,Trim9,Cdh13,Mdga1,Syt7,Nrxn3,Kirrel3
GOCC:0097731	9+0 non-motile cilium	7	117	0.85	0.0299	10090.ENSMUSP00000014505,10090.ENSMUSP00000025468,10090.ENSMUSP00000050454,10090.ENSMUSP00000055449,10090.ENSMUSP00000068374,10090.ENSMUSP00000085794,10090.ENSMUSP00000101522	Mertk,Pde6a,Ush2a,Rp1l1,Map1b,Pkhd1,Shank2
GOCC:0043005	Neuron projection	22	1054	0.39	0.0314	10090.ENSMUSP00000014505,10090.ENSMUSP00000025468,10090.ENSMUSP00000027528,10090.ENSMUSP00000028106,10090.ENSMUSP00000030676,10090.ENSMUSP00000032710,10090.ENSMUSP00000050454,10090.ENSMUSP00000055449,10090.ENSMUSP00000063650,10090.ENSMUSP00000064046,10090.ENSMUSP00000066614,10090.ENSMUSP00000068374,10090.ENSMUSP00000073790,10090.ENSMUSP00000078198,10090.ENSMUSP00000080808,10090.ENSMUSP00000088089,10090.ENSMUSP00000095392,10090.ENSMUSP00000101522,10090.ENSMUSP00000106151,10090.ENSMUSP00000125453,10090.ENSMUSP00000127973,10090.ENSMUSP00000140219	Mertk,Pde6a,Mlph,Itga8,Grik3,Slc17a6,Ush2a,Rp1l1,Dcdc2a,Ptprn2,Rgs7bp,Map1b,Myo5b,Rph3a,Fat3,Cttnbp2,Dst,Shank2,Trim9,Pard3,Syt7,Kirrel3
GOCC:0099568	Cytoplasmic region	9	212	0.7	0.0314	10090.ENSMUSP00000030676,10090.ENSMUSP00000043281,10090.ENSMUSP00000046204,10090.ENSMUSP00000046496,10090.ENSMUSP00000055449,10090.ENSMUSP00000063650,10090.ENSMUSP00000073790,10090.ENSMUSP00000127878,10090.ENSMUSP00000134066	Grik3,Dnah1,Hydin,Phldb2,Rp1l1,Dcdc2a,Myo5b,Dnah8,Spag17
