#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PF03028	Dynein heavy chain and region D6 of dynein motor	7	16	1.71	7.82e-06	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000092571,10090.ENSMUSP00000127878,10090.ENSMUSP00000140430	Dnah1,Dnah10,Dnah9,Dnah11,Dnah7a,Dnah8,Dnah7c
PF08393	Dynein heavy chain, N-terminal region 2	7	17	1.69	7.82e-06	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000092571,10090.ENSMUSP00000127878,10090.ENSMUSP00000140430	Dnah1,Dnah10,Dnah9,Dnah11,Dnah7a,Dnah8,Dnah7c
PF12774	Hydrolytic ATP binding site of dynein motor region D1	7	17	1.69	7.82e-06	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000092571,10090.ENSMUSP00000127878,10090.ENSMUSP00000140430	Dnah1,Dnah10,Dnah9,Dnah11,Dnah7a,Dnah8,Dnah7c
PF12775	P-loop containing dynein motor region D3	7	17	1.69	7.82e-06	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000092571,10090.ENSMUSP00000127878,10090.ENSMUSP00000140430	Dnah1,Dnah10,Dnah9,Dnah11,Dnah7a,Dnah8,Dnah7c
PF12777	Microtubule-binding stalk of dynein motor	7	18	1.66	7.82e-06	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000092571,10090.ENSMUSP00000127878,10090.ENSMUSP00000140430	Dnah1,Dnah10,Dnah9,Dnah11,Dnah7a,Dnah8,Dnah7c
PF12780	P-loop containing dynein motor region D4	7	16	1.71	7.82e-06	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000092571,10090.ENSMUSP00000127878,10090.ENSMUSP00000140430	Dnah1,Dnah10,Dnah9,Dnah11,Dnah7a,Dnah8,Dnah7c
PF12781	ATP-binding dynein motor region D5	7	16	1.71	7.82e-06	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000092571,10090.ENSMUSP00000127878,10090.ENSMUSP00000140430	Dnah1,Dnah10,Dnah9,Dnah11,Dnah7a,Dnah8,Dnah7c
PF08385	Dynein heavy chain, N-terminal region 1	4	9	1.72	0.0056	10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000127878	Dnah10,Dnah9,Dnah11,Dnah8
PF00028	Cadherin domain	7	87	0.98	0.0220	10090.ENSMUSP00000016172,10090.ENSMUSP00000042303,10090.ENSMUSP00000061836,10090.ENSMUSP00000076026,10090.ENSMUSP00000080808,10090.ENSMUSP00000093449,10090.ENSMUSP00000113527	Celsr1,Dsc1,Fat4,Dsg1b,Fat3,Cdhr3,Cdh13
PF07728	AAA domain (dynein-related subfamily)	5	34	1.24	0.0247	10090.ENSMUSP00000043281,10090.ENSMUSP00000062995,10090.ENSMUSP00000079494,10090.ENSMUSP00000081867,10090.ENSMUSP00000127878	Dnah1,Dnah10,Dnah9,Dnah11,Dnah8
PF00054	Laminin G domain	5	35	1.23	0.0255	10090.ENSMUSP00000016172,10090.ENSMUSP00000050454,10090.ENSMUSP00000061836,10090.ENSMUSP00000080808,10090.ENSMUSP00000129678	Celsr1,Ush2a,Fat4,Fat3,Nrxn3
PF00047	Immunoglobulin domain	11	271	0.68	0.0293	10090.ENSMUSP00000014505,10090.ENSMUSP00000021900,10090.ENSMUSP00000063656,10090.ENSMUSP00000074340,10090.ENSMUSP00000077913,10090.ENSMUSP00000092387,10090.ENSMUSP00000097561,10090.ENSMUSP00000102796,10090.ENSMUSP00000109229,10090.ENSMUSP00000126529,10090.ENSMUSP00000140219	Mertk,Sema4d,Neo1,Hmcn1,Lsamp,Psg21,Ttn,Adamtsl1,Gpr116,Mdga1,Kirrel3
PF07679	Immunoglobulin I-set domain	10	221	0.73	0.0293	10090.ENSMUSP00000027241,10090.ENSMUSP00000063656,10090.ENSMUSP00000074340,10090.ENSMUSP00000077913,10090.ENSMUSP00000092387,10090.ENSMUSP00000097561,10090.ENSMUSP00000102796,10090.ENSMUSP00000109229,10090.ENSMUSP00000126529,10090.ENSMUSP00000140219	Il1r1,Neo1,Hmcn1,Lsamp,Psg21,Ttn,Adamtsl1,Gpr116,Mdga1,Kirrel3
PF13895	Immunoglobulin domain	10	220	0.73	0.0293	10090.ENSMUSP00000014505,10090.ENSMUSP00000027241,10090.ENSMUSP00000063656,10090.ENSMUSP00000074340,10090.ENSMUSP00000077913,10090.ENSMUSP00000092387,10090.ENSMUSP00000097561,10090.ENSMUSP00000102796,10090.ENSMUSP00000126529,10090.ENSMUSP00000140219	Mertk,Il1r1,Neo1,Hmcn1,Lsamp,Psg21,Ttn,Adamtsl1,Mdga1,Kirrel3
PF02210	Laminin G domain	5	42	1.15	0.0416	10090.ENSMUSP00000016172,10090.ENSMUSP00000050454,10090.ENSMUSP00000061836,10090.ENSMUSP00000080808,10090.ENSMUSP00000129678	Celsr1,Ush2a,Fat4,Fat3,Nrxn3
