Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
sequestering of actin monomers (GO:0042989)	1/10	0.002996578172872153	0.02629762369098004	0	0	444.1111111111111	2580.4117942926405	PFN4
neuron cell-cell adhesion (GO:0007158)	1/16	0.004790942275014269	0.02629762369098004	0	0	266.38666666666666	1422.7786907214238	NRXN3
outer dynein arm assembly (GO:0036158)	1/18	0.0053884659389882355	0.02629762369098004	0	0	235.0235294117647	1227.644124299904	DNAH8
innate immune response in mucosa (GO:0002227)	1/21	0.006284191332539439	0.02629762369098004	0	0	199.74	1012.6254955871668	H2BC12
cilium-dependent cell motility (GO:0060285)	1/23	0.006880968324420164	0.02629762369098004	0	0	181.56363636363636	904.0045996114618	DNAH8
negative regulation of actin filament polymerization (GO:0030837)	1/25	0.007477446810139074	0.02629762369098004	0	0	166.41666666666666	814.7533474976135	PFN4
mucosal immune response (GO:0002385)	1/28	0.008371605061186147	0.02629762369098004	0	0	147.9037037037037	707.410051609059	H2BC12
axonemal dynein complex assembly (GO:0070286)	1/32	0.00956277225126547	0.02629762369098004	0	0	128.79354838709676	598.8742368950442	DNAH8
antibacterial humoral response (GO:0019731)	1/44	0.013129124551655722	0.03209341557071399	0	0	92.7953488372093	402.07503337293304	H2BC12
nucleosome assembly (GO:0006334)	1/58	0.017276340770511572	0.03410575574601514	0	0	69.95438596491228	283.9040901406788	H2BC12
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1/64	0.0190492685407353	0.03410575574601514	0	0	63.27301587301587	250.60711544601855	H2BC12
defense response to Gram-positive bacterium (GO:0050830)	1/70	0.020819530478468958	0.03410575574601514	0	0	57.7536231884058	223.6141610659621	H2BC12
chromatin assembly (GO:0031497)	1/73	0.02170366274746418	0.03410575574601514	0	0	55.33888888888889	211.9631207182121	H2BC12
defense response to Gram-negative bacterium (GO:0050829)	1/73	0.02170366274746418	0.03410575574601514	0	0	55.33888888888889	211.9631207182121	H2BC12
nucleosome organization (GO:0034728)	1/94	0.027873983156466782	0.040881841962817946	0	0	42.79784946236559	153.2189343652742	H2BC12
protein-DNA complex assembly (GO:0065004)	1/143	0.042145389373086685	0.05794991038799419	0	0	27.96056338028169	88.54075844457198	H2BC12
defense response to bacterium (GO:0042742)	1/176	0.05165801551321664	0.06685154948769212	0	0	22.650285714285715	67.11528598348353	H2BC12
axon guidance (GO:0007411)	1/203	0.05938239760975016	0.07257848596747242	0	0	19.596039603960396	55.334462490340414	NRXN3
axonogenesis (GO:0007409)	1/240	0.06988245147522928	0.08091652276079181	0	0	16.531380753138077	43.9890240900752	NRXN3
innate immune response (GO:0045087)	1/302	0.0872581320254043	0.09598394522794475	0	0	13.085049833887043	31.9129254638413	H2BC12
protein modification by small protein conjugation (GO:0032446)	1/409	0.11660890506882128	0.12216171007209849	0	0	9.600980392156863	20.631831291479074	H2BC12
protein ubiquitination (GO:0016567)	1/525	0.14753564570663494	0.14753564570663494	0	0	7.431297709923665	14.221166425392237	H2BC12
