ensembl_gene_id_version,external_gene_name,logFC,logCPM,FDR
ENSMUSG00000094344.2,Gm11942,-6.60685378228614,7.33949156296311,6.66082940253519e-287
ENSMUSG00000076609.3,Igkc,5.31949312923881,5.72200766389483,1.36315948136119e-69
ENSMUSG00000067149.7,Jchain,5.77062272829647,3.64759317234137,1.16890602556994e-36
ENSMUSG00000006154.14,Eps8l1,-4.04240351103472,2.82836185459457,2.87739112605596e-23
ENSMUSG00000021250.14,Fos,1.39778155492683,8.12021023867879,1.83238405096977e-22
ENSMUSG00000076617.10,Ighm,2.8593175490363,4.78280703736957,2.71574188749322e-22
ENSMUSG00000032278.12,Paqr5,3.12356265110248,3.27160422396857,2.44928026559769e-21
ENSMUSG00000032340.9,Neo1,3.72408314219677,2.64458586237187,5.57732573567e-19
ENSMUSG00000032076.21,Cadm1,-3.88800337320902,2.16101919462896,2.43013674901122e-14
ENSMUSG00000003545.4,Fosb,1.18983354555983,6.50439144990097,1.92444169133381e-13
ENSMUSG00000001930.18,Vwf,-1.04699970926773,7.53243784695773,2.82500469980646e-12
ENSMUSG00000044786.7,Zfp36,1.02747523353666,8.09166433895609,3.45399633057279e-12
ENSMUSG00000098021.3,Gm9522,-8.97027543443337,0.518631105827281,7.24878392834697e-12
ENSMUSG00000066687.6,Zbtb16,-1.90273662612429,3.81960061516002,1.55421913389106e-11
ENSMUSG00000029373.8,Pf4,-0.977702101651385,8.56447206534664,6.45652381169713e-11
ENSMUSG00000038418.8,Egr1,1.01979462620637,6.67893525678331,2.98677300859116e-10
ENSMUSG00000009350.14,Mpo,-3.59475502669942,2.3941975584153,8.82806251374242e-09
ENSMUSG00000072476.7,Gm9008,-5.24708575471135,0.462303276064026,2.87490207403748e-08
ENSMUSG00000078490.11,Cfap74,4.82864497745732,0.639164181720732,1.27151512602773e-07
ENSMUSG00000052684.5,Jun,0.837402013963194,7.55885305931502,1.65696337832311e-07
ENSMUSG00000101304.2,Plet1os,7.91110954688468,-0.480203112925395,1.7261761389041e-07
ENSMUSG00000019935.17,Slc17a8,-1.49602153220664,3.91708273450488,2.71389838152435e-07
ENSMUSG00000084803.9,5830444B04Rik,4.5550765143687,0.662611865619054,2.94844554925919e-07
ENSMUSG00000036743.5,Psma8,1.13713938566858,5.02136994590161,6.67933349580198e-07
ENSMUSG00000026358.14,Rgs1,0.790470851937828,7.83499916579975,7.3933639503375e-07
ENSMUSG00000003032.9,Klf4,1.59788121834801,3.46008283151064,1.56021060692233e-06
ENSMUSG00000032064.18,Dixdc1,-2.32420576056729,2.27641785253356,2.67089134496625e-06
ENSMUSG00000045954.8,Cavin2,-0.807343380405857,6.5826454374148,4.07592314371058e-06
ENSMUSG00000035000.9,Dpp4,1.05970245208086,4.648888649825,9.57395257400927e-05
ENSMUSG00000040435.13,Ppp1r15a,0.683536828426259,7.34738420348847,0.000111840469948307
ENSMUSG00000041324.15,Inhba,-2.1890383255623,2.01471702779069,0.000137201899298291
ENSMUSG00000109675.3,Nxpe1-ps,-3.28821307944842,0.576972824919139,0.000137201899298291
ENSMUSG00000058427.11,Cxcl2,3.43043056984303,0.342764803473491,0.000246782883974857
ENSMUSG00000032311.18,Nrg4,-0.971159589844257,4.82534751353007,0.0002653788782356
ENSMUSG00000025014.14,Dntt,2.49628454076791,1.42551136392866,0.00033303262584799
ENSMUSG00000024049.16,Myom1,-1.38595061335466,3.22193912040528,0.000464783301128602
ENSMUSG00000032305.16,Fam219b,-0.719149326875369,5.90506580759099,0.000836876599897649
ENSMUSG00000026581.15,Sell,0.938225402770665,4.72175523865796,0.000908526617849666
ENSMUSG00000005611.16,Irag1,-2.90654827794368,0.551047675793482,0.00119182650369849
ENSMUSG00000024190.8,Dusp1,0.676566882804447,6.22192660636003,0.00145201383763992
ENSMUSG00000002985.17,Apoe,-0.601151549154449,7.65994612242637,0.00146438361993259
ENSMUSG00000050150.17,Slc9b1,-2.25759905426154,1.42499442803986,0.00176938432942226
ENSMUSG00000018293.5,Pfn1,-0.58442826147913,8.24752864862562,0.00195452678201303
ENSMUSG00000072620.4,Slfn2,0.697779553757103,5.86305764417425,0.00259822127901401
ENSMUSG00000113170.2,Gm36839,-3.11684015035993,0.067216663070887,0.00259822127901401
ENSMUSG00000005483.11,Dnajb1,0.622446184314505,6.50553751890667,0.00285868346014046
ENSMUSG00000032060.11,Cryab,-1.34659044451156,3.04558794814708,0.00316875583003585
