ensembl_gene_id,ensembl_gene_id_version,external_gene_name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000000094,ENSMUSG00000000094.13,Tbx4,2.0744355087794,3.17430707314845,23.9027802917918,1.01325318670664e-06,0.000310315757091415
ENSMUSG00000001095,ENSMUSG00000001095.6,Slc13a2,1.72393081494349,1.74768210410835,11.2344686129853,0.000802920912798772,0.049840922073301
ENSMUSG00000001228,ENSMUSG00000001228.15,Uhrf1,-1.22956871164444,5.49093838221554,15.0732786428249,0.000103416918833147,0.0102311650513118
ENSMUSG00000001403,ENSMUSG00000001403.14,Ube2c,-1.60594636499767,3.92253736955307,18.1669670554115,2.02358448564319e-05,0.0030698436492431
ENSMUSG00000001435,ENSMUSG00000001435.16,Col18a1,-1.82272307541791,3.55947677586542,22.0649952038077,2.63572586237066e-06,0.000651889135554143
ENSMUSG00000001517,ENSMUSG00000001517.15,Foxm1,-1.89668316197081,1.83459408295826,13.3880581273653,0.000253231428828188,0.0205558989072892
ENSMUSG00000002055,ENSMUSG00000002055.10,Spag5,-1.86768478051154,2.86306960002236,18.0732657335115,2.12565175050034e-05,0.00314457397744578
ENSMUSG00000003032,ENSMUSG00000003032.9,Klf4,1.11011140931657,4.95212610695191,11.4630655260557,0.000709930930051498,0.0454959380234217
ENSMUSG00000003206,ENSMUSG00000003206.8,Ebi3,1.91409130487242,6.67271556733457,40.7306212371297,1.74727609810826e-10,2.12751025822736e-07
ENSMUSG00000003680,ENSMUSG00000003680.17,Taf6l,-2.06145672189179,3.18910200388811,23.7889991142353,1.0749507985436e-06,0.000310315757091415
ENSMUSG00000004552,ENSMUSG00000004552.17,Ctse,-1.0517747918927,5.94757189599105,11.3686342229452,0.000746947822477027,0.0467329528932366
ENSMUSG00000004612,ENSMUSG00000004612.10,Nkg7,-1.29421261560319,4.42307066894795,13.2818439235143,0.000267988789045243,0.0215329672172444
ENSMUSG00000006585,ENSMUSG00000006585.4,Cdt1,-1.55557251108344,3.77238812764233,16.7329648814592,4.30268503577097e-05,0.0054027147342075
ENSMUSG00000010461,ENSMUSG00000010461.17,Eya4,4.18923309333114,3.24987070197735,75.9595568847897,2.8953441090116e-18,2.29152009507723e-14
ENSMUSG00000012443,ENSMUSG00000012443.5,Kif11,-1.84573722394565,4.04058586868637,25.1595604483939,5.27773602463876e-07,0.000185647296742238
ENSMUSG00000015880,ENSMUSG00000015880.14,Ncapg,-1.83405552966958,3.69422253494576,21.9625136278873,2.78028145206009e-06,0.000666804168252412
ENSMUSG00000017002,ENSMUSG00000017002.15,Slpi,-3.44357772155759,0.175763730018316,16.3347836753493,5.30806430899463e-05,0.00608850361935334
ENSMUSG00000017007,ENSMUSG00000017007.10,Rbpjl,-1.76319937855835,3.05492518668728,16.6949387755325,4.38979567805991e-05,0.00542859967093831
ENSMUSG00000017146,ENSMUSG00000017146.13,Brca1,-1.59122441821897,2.45273286174591,11.4276217066779,0.000723602493460821,0.0459996139316921
ENSMUSG00000017716,ENSMUSG00000017716.16,Birc5,-1.46511073715166,4.12112146284989,15.7762116916545,7.12932830313692e-05,0.00752334251402362
ENSMUSG00000018340,ENSMUSG00000018340.14,Anxa6,1.03511505896789,6.69756739047387,12.8972398658377,0.000329067051752031,0.0248774455795372
ENSMUSG00000018362,ENSMUSG00000018362.15,Kpna2,-1.2830860821143,5.80400296793737,17.3114230994618,3.17273863244927e-05,0.00430185525438683
ENSMUSG00000018774,ENSMUSG00000018774.14,Cd68,-1.62214771722922,4.84740659778097,21.8812364648287,2.90056268404793e-06,0.000675439081458182
ENSMUSG00000019312,ENSMUSG00000019312.11,Grb7,-3.38720649268287,0.83871988638725,16.9403959257968,3.85719632474263e-05,0.00496386671742692
ENSMUSG00000019851,ENSMUSG00000019851.9,Perp,-1.64094290049586,3.20542454908026,16.3912864177373,5.15215353826431e-05,0.00599657634979307
ENSMUSG00000019942,ENSMUSG00000019942.14,Cdk1,-1.38630021858402,4.70368334523526,16.3561057920138,5.24867939720073e-05,0.00606433183783142
ENSMUSG00000020044,ENSMUSG00000020044.14,Timp3,1.48310331274294,4.3603910507312,18.154992805307,2.03634836799877e-05,0.0030698436492431
ENSMUSG00000020053,ENSMUSG00000020053.19,Igf1,3.77497849260975,0.900265668388464,26.3069205298897,2.91243187017996e-07,0.000118207395059176
ENSMUSG00000020330,ENSMUSG00000020330.17,Hmmr,-1.99084296855839,3.8494531158524,27.1385246413728,1.89386020629051e-07,8.32719811260347e-05
ENSMUSG00000020419,ENSMUSG00000020419.12,Hormad2,-4.23374957603252,-0.0978212508088211,22.6197125755842,1.97448321359344e-06,0.000520901579799509
ENSMUSG00000020649,ENSMUSG00000020649.12,Rrm2,-1.70161751567068,5.23570493304633,26.5570186107842,2.55873440571857e-07,0.000106584755021366
ENSMUSG00000020808,ENSMUSG00000020808.4,Pimreg,-1.72235689524022,3.89063041512632,20.4254770376019,6.19989087017708e-06,0.00127452042316926
ENSMUSG00000020871,ENSMUSG00000020871.9,Dlx4,-2.41953490187933,0.879108809982938,12.2112276915683,0.000475027641371563,0.0332806346341995
ENSMUSG00000020897,ENSMUSG00000020897.13,Aurkb,-1.79396810206046,4.32638395350221,25.4945575153188,4.43632591792598e-07,0.000159596824897387
