Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	2/34	4.219121242602919E-4	0.07253975908759469	0	0	77.9296875	605.5692748599668	FOS;KLF4
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	2/45	7.40201623342803E-4	0.07253975908759469	0	0	57.96220930232558	417.82568323656506	FOS;KLF4
negative regulation of supramolecular fiber organization (GO:1902904)	2/72	0.0018837899979258688	0.09458427874022172	0	0	35.55714285714286	223.10221103497707	CRYAB;EML2
mitotic sister chromatid segregation (GO:0000070)	2/102	0.0037362085914807515	0.09458427874022172	0	0	24.8525	138.91761980413474	CDCA8;NCAPH
negative regulation of leukocyte adhesion to vascular endothelial cell (GO:1904995)	1/5	0.0044922927083929694	0.09458427874022172	0	0	293.79411764705884	1588.072397289777	KLF4
mesodermal cell fate commitment (GO:0001710)	1/6	0.0053884659389882355	0.09458427874022172	0	0	235.0235294117647	1227.644124299904	KLF4
positive regulation of hemoglobin biosynthetic process (GO:0046985)	1/6	0.0053884659389882355	0.09458427874022172	0	0	235.0235294117647	1227.644124299904	KLF4
cellular response to laminar fluid shear stress (GO:0071499)	1/7	0.006283877774032595	0.09458427874022172	0	0	195.84313725490196	992.8792720611536	KLF4
regulation of hemoglobin biosynthetic process (GO:0046984)	1/7	0.006283877774032595	0.09458427874022172	0	0	195.84313725490196	992.8792720611536	KLF4
negative regulation of intracellular transport (GO:0032387)	1/7	0.006283877774032595	0.09458427874022172	0	0	195.84313725490196	992.8792720611536	CRYAB
T cell mediated cytotoxicity (GO:0001913)	1/8	0.007178528720410204	0.09458427874022172	0	0	167.85714285714286	828.6537822644398	CADM1
cellular response to purine-containing compound (GO:0071415)	1/10	0.008965550093347357	0.09458427874022172	0	0	130.54248366013073	615.425022203049	P2RY1
negative regulation of heterotypic cell-cell adhesion (GO:0034115)	1/10	0.008965550093347357	0.09458427874022172	0	0	130.54248366013073	615.425022203049	KLF4
regulation of microtubule nucleation (GO:0010968)	1/10	0.008965550093347357	0.09458427874022172	0	0	130.54248366013073	615.425022203049	EML2
defense response to tumor cell (GO:0002357)	1/10	0.008965550093347357	0.09458427874022172	0	0	130.54248366013073	615.425022203049	KLF4
regulation of cell-cell adhesion involved in gastrulation (GO:0070587)	1/10	0.008965550093347357	0.09458427874022172	0	0	130.54248366013073	615.425022203049	KLF4
response to laminar fluid shear stress (GO:0034616)	1/10	0.008965550093347357	0.09458427874022172	0	0	130.54248366013073	615.425022203049	KLF4
