Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
platelet alpha granule membrane (GO:0031092)	1/17	0.015196239191186837	0.3311040826931425	0	0	73.40441176470588	307.3227868353231	ITGA2B
azurophil granule lumen (GO:0035578)	1/90	0.07800648136170299	0.3311040826931425	0	0	13.148050231328487	33.540194413490916	PLAC8
platelet alpha granule (GO:0031091)	1/90	0.07800648136170299	0.3311040826931425	0	0	13.148050231328487	33.540194413490916	ITGA2B
mitotic spindle (GO:0072686)	1/120	0.10270549097155077	0.3311040826931425	0	0	9.818586258032624	22.3460193071682	EML2
asymmetric synapse (GO:0032279)	1/133	0.11321315720990713	0.3311040826931425	0	0	8.845811051693405	19.270448026035922	P2RY1
postsynaptic density (GO:0014069)	1/138	0.11722353661557976	0.3311040826931425	0	0	8.520824388149421	18.265857750150612	P2RY1
basolateral plasma membrane (GO:0016323)	1/151	0.1275705121508778	0.3311040826931425	0	0	7.777254901960784	16.014036926399935	CADM1
azurophil granule (GO:0042582)	1/155	0.1307310829477655	0.3311040826931425	0	0	7.573720397249809	15.409588975790413	PLAC8
vacuolar lumen (GO:0005775)	1/161	0.1354516701926492	0.3311040826931425	0	0	7.2875	14.568735518025488	PLAC8
spindle (GO:0005819)	1/192	0.15945813830373404	0.3456520138582206	0	0	6.095164767477672	11.190563106127478	EML2
cilium (GO:0005929)	1/237	0.19318844517641803	0.3456520138582206	0	0	4.921734795613161	8.091770858187086	P2RY1
dendrite (GO:0030425)	1/270	0.21710708337285278	0.3456520138582206	0	0	4.310736934178876	6.584066887109633	P2RY1
cell-cell junction (GO:0005911)	1/271	0.21782132830238185	0.3456520138582206	0	0	4.294553376906318	6.545243542781314	CADM1
secretory granule membrane (GO:0030667)	1/274	0.21996037245523128	0.3456520138582206	0	0	4.246714070243482	6.430832555441595	ITGA2B
secretory granule lumen (GO:0034774)	1/316	0.24933287870758325	0.3656882221044554	0	0	3.672642390289449	5.10117692722905	PLAC8
neuron projection (GO:0043005)	1/556	0.3981247803712462	0.5474215730104636	0	0	2.0590355060943297	1.8963507078326571	P2RY1
nucleolus (GO:0005730)	1/733	0.48950920003266835	0.6052499937175629	0	0	1.5469302475088396	1.1050527508707135	CDCA8
nuclear lumen (GO:0031981)	1/745	0.4952045403143696	0.6052499937175629	0	0	1.5210309930423782	1.0689568371045148	CDCA8
intracellular non-membrane-bounded organelle (GO:0043232)	1/1158	0.6583803722047276	0.7623351678160004	0	0	0.9570898367990238	0.4000371757426102	CDCA8
integral component of plasma membrane (GO:0005887)	1/1454	0.7431345756801829	0.8174480332482013	0	0	0.7501315736205012	0.22269765577564052	P2RY1
nucleus (GO:0005634)	2/4484	0.9358098884826545	0.9673657207956953	0	0	0.43228469433288713	0.028679034828512008	FOS;CRYAB
intracellular membrane-bounded organelle (GO:0043231)	2/5192	0.9673657207956953	0.9673657207956953	0	0	0.35626204238921	0.011820294890150079	FOS;CRYAB
