Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
G protein-coupled purinergic nucleotide receptor activity (GO:0045028)	1/10	0.008965550093347357	0.07030275648993149	0	0	130.54248366013073	615.425022203049	P2RY1
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	2/190	0.012428707649649987	0.07030275648993149	0	0	13.16090425531915	57.74670959747692	FOS;KLF4
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	1/14	0.01253048655713669	0.07030275648993149	0	0	90.35746606334841	395.7287161899813	FOS
purinergic nucleotide receptor activity (GO:0001614)	1/15	0.01341982690512007	0.07030275648993149	0	0	83.89915966386555	361.6911269349327	P2RY1
DNA-binding transcription factor binding (GO:0140297)	2/208	0.014760430813954343	0.07030275648993149	0	0	12.0	50.589663267581805	FOS;KLF4
transcription regulatory region nucleic acid binding (GO:0001067)	2/212	0.015302515802612085	0.07030275648993149	0	0	11.769047619047619	49.19153594031784	FOS;KLF4
R-SMAD binding (GO:0070412)	1/19	0.016969630876880012	0.07030275648993149	0	0	65.24183006535948	265.9472259849427	FOS
core promoter sequence-specific DNA binding (GO:0001046)	1/37	0.0327950148043916	0.11888192866591955	0	0	32.591503267973856	111.38077026649427	FOS
PDZ domain binding (GO:0030165)	1/63	0.05522966630423428	0.17796225809142158	0	0	18.89943074003795	54.73757147758474	CADM1
amyloid-beta binding (GO:0001540)	1/80	0.06963177394208621	0.20193214443205	0	0	14.819806403574088	39.48788238772356	CRYAB
transcription cis-regulatory region binding (GO:0000976)	2/549	0.08617349056301463	0.22718465693885673	0	0	4.441270566727606	10.887298169089416	FOS;KLF4
protein homodimerization activity (GO:0042803)	2/636	0.1105347040832612	0.25634101074751237	0	0	3.8146687697160884	8.401524700319083	CADM1;CRYAB
double-stranded DNA binding (GO:0003690)	2/651	0.11491148757647106	0.25634101074751237	0	0	3.723613251155624	8.056384012550993	FOS;KLF4
sequence-specific DNA binding (GO:0043565)	2/707	0.1316507203334312	0.2574694160062496	0	0	3.4179078014184396	6.930159843489465	FOS;KLF4
sequence-specific double-stranded DNA binding (GO:1990837)	2/712	0.13317383586530152	0.2574694160062496	0	0	3.3929577464788734	6.8405420027711	FOS;KLF4
microtubule binding (GO:0008017)	1/232	0.1895047592338975	0.30901901925151515	0	0	5.029539088362617	8.36583928133549	EML2
GTPase regulator activity (GO:0030695)	1/233	0.1902427648031118	0.30901901925151515	0	0	5.007606490872211	8.309894188622586	RGS1
ATP binding (GO:0005524)	1/278	0.22280383833684378	0.30901901925151515	0	0	4.184540242089616	6.282934619193975	P2RY1
G protein-coupled receptor activity (GO:0004930)	1/283	0.22634440526276234	0.30901901925151515	0	0	4.1093032957863995	6.105181726167229	P2RY1
adenyl ribonucleotide binding (GO:0032559)	1/306	0.24243571145675907	0.30901901925151515	0	0	3.7949855351976858	5.377565511905756	P2RY1
tubulin binding (GO:0015631)	1/307	0.2431281120753622	0.30901901925151515	0	0	3.7823913879277202	5.348932190689728	EML2
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	1/333	0.26092214429885674	0.30901901925151515	0	0	3.4815733522324592	4.677609435230168	KLF4
GTPase activator activity (GO:0005096)	1/336	0.2629496856992922	0.30901901925151515	0	0	3.449868305531168	4.6083084646153685	RGS1
zinc ion binding (GO:0008270)	1/336	0.2629496856992922	0.30901901925151515	0	0	3.449868305531168	4.6083084646153685	KLF4
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	2/1149	0.2770515345013584	0.30901901925151515	0	0	2.052637314734089	2.6346662071129385	FOS;KLF4
cis-regulatory region sequence-specific DNA binding (GO:0000987)	2/1149	0.2770515345013584	0.30901901925151515	0	0	2.052637314734089	2.6346662071129385	FOS;KLF4
transition metal ion binding (GO:0046914)	1/445	0.3331540159701846	0.34848091777703577	0	0	2.588500264970853	2.845151064124307	KLF4
purine ribonucleoside triphosphate binding (GO:0035639)	1/460	0.34230544971014554	0.34848091777703577	0	0	2.501986415481225	2.682259072100979	P2RY1
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	2/1359	0.34848091777703577	0.34848091777703577	0	0	1.7156411201179071	1.8085804973276631	FOS;KLF4
