Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	19/128	2.842067903246783E-15	4.263101854870175E-12	0	0	14.6287932251235	489.9803766236417	STIL;BUB1B;CDCA8;KNL1;KIF11;SKA1;AURKB;SGO1;CENPE;CCNB1;CENPF;ESPL1;CENPI;NUSAP1;BIRC5;KNTC1;KIF2C;BUB1;SPC24
mitotic spindle organization (GO:0007052)	19/157	1.3036271212916274E-13	9.777203409687205E-11	0	0	11.537563483215656	342.3016915058351	STIL;BUB1B;CDCA8;KNL1;KIF11;SKA1;AURKB;SGO1;TPX2;CENPE;CCNB1;CENPF;CENPI;PRC1;BIRC5;KNTC1;KIF2C;BUB1;SPC24
mitotic sister chromatid segregation (GO:0000070)	15/102	2.938169426846921E-12	1.4690847134234604E-9	0	0	14.242248623587367	378.17776569254545	SPAG5;KIF14;CDCA8;NCAPG;KIF22;KNSTRN;NCAPH;SGO1;CENPE;CCNB1;ESPL1;PRC1;NUSAP1;CDK1;KIF2C
sister chromatid segregation (GO:0000819)	7/34	1.9174236724751934E-7	7.190338771781976E-5	0	0	20.78289671785607	321.4514162263433	TOP2A;SGO1;SPAG5;ESPL1;NUSAP1;CDCA8;KNSTRN
mitotic nuclear division (GO:0140014)	9/74	3.8851693612300066E-7	1.165550808369002E-4	0	0	11.168852459016394	164.8626389907015	SGO1;TPX2;ESPL1;SPAG5;UBE2C;NUSAP1;CDCA8;KIF11;KNSTRN
regulation of cell cycle process (GO:0010564)	10/106	9.652220509340972E-7	2.413055127335243E-4	0	0	8.423782578875171	116.67703462670984	SPAG5;PRC1;NEK2;KIF11;MKI67;CDC25C;PKMYT1;KNSTRN;BUB1;AURKB
meiotic sister chromatid cohesion (GO:0051177)	4/8	1.6819906282099024E-6	3.604265631878362E-4	0	0	79.28915662650603	1054.1915642361848	SGO1;BUB1B;HORMAD2;BUB1
DNA metabolic process (GO:0006259)	15/277	2.6664348487712644E-6	4.999565341446121E-4	0	0	4.687199307203797	60.15911680472153	TOP2A;WDHD1;CDT1;HELLS;POLQ;UHRF1;MCM10;BRCA1;UNG;TICRR;RAD51AP1;NEIL3;CDK1;ADPRS;KPNA2
mitotic metaphase plate congression (GO:0007080)	7/51	3.436046468276998E-6	5.726744113794997E-4	0	0	12.742147080561715	160.3113610684584	CDT1;CENPE;CCNB1;KIF14;CDCA8;KIF2C;KIF22
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	4/10	4.946170504448862E-6	7.419255756673293E-4	0	0	52.85408299866131	645.7128835980374	CCNB1;SPAG5;NEK2;KNSTRN
