Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
spindle (GO:0005819)	17/192	3.932725739876163E-10	4.522634600857587E-8	0	0	8.056271186440679	174.4707833475672	SPAG5;CKAP2L;BUB1B;KIF11;KIF22;KNSTRN;EML2;SKA1;AURKB;TPX2;CENPF;ESPL1;PRC1;NUSAP1;CDK1;BIRC5;KIF2C
mitotic spindle (GO:0072686)	11/120	3.6803932518338003E-7	2.1162261198044352E-5	0	0	8.189324437030859	121.32546427193354	TPX2;ESPL1;SPAG5;CKAP2L;NUSAP1;CDK1;KIF11;KIF22;KNSTRN;EML2;SKA1
spindle microtubule (GO:0005876)	8/61	9.690239734703904E-7	3.714591898303164E-5	0	0	12.133384674624567	168.01069227223547	CENPE;PRC1;CDK1;BIRC5;KNTC1;KIF11;AURKB;SKA1
microtubule (GO:0005874)	12/182	3.6864987969679038E-6	1.0598684041282723E-4	0	0	5.734049304369051	71.73773547321746	TPX2;CENPE;PRC1;CDK1;KIF14;BIRC5;KIF2C;KIF11;KIF22;SKA1;AURKB;KIF15
microtubule cytoskeleton (GO:0015630)	16/331	5.324780909738495E-6	1.224699609239854E-4	0	0	4.164650726676043	50.571932622689374	CLIC4;KIF14;CKAP2;BUB1B;KIF11;KIF22;HMMR;SKA1;AURKB;KIF15;TPX2;CENPE;CCNB2;CENPF;PRC1;KIF2C
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	5/30	3.425798571690641E-5	6.566113929073728E-4	0	0	15.904838709677419	163.52704432016893	CCNB2;CCNB1;CDK6;CCNE2;CDK1
serine/threonine protein kinase complex (GO:1902554)	5/37	9.749155371116578E-5	0.0016016469538262948	0	0	12.42124495967742	114.71944869885165	CCNB2;CCNB1;CDK6;CCNE2;CDK1
chromosome (GO:0005694)	9/160	2.06442975426219E-4	0.002872125210747208	0	0	4.786776680056454	40.618128091788044	RAD51AP1;TOP2A;CENPE;FIGNL1;NCAPG;BIRC5;HORMAD2;BRCA1;MKI67
condensed chromosome, centromeric region (GO:0000779)	3/10	2.2477501649325975E-4	0.002872125210747208	0	0	33.84	284.2698941191327	SGO1;CENPE;AURKB
condensed chromosome (GO:0000793)	5/54	5.939434921631115E-4	0.006830350159875782	0	0	8.10483870967742	60.20862908093737	SGO1;CENPE;NCAPG;MKI67;AURKB
kinetochore microtubule (GO:0005828)	2/7	0.00320985968084833	0.03355762393614164	0	0	31.461354581673305	180.6362500081454	CENPE;KNTC1
intracellular non-membrane-bounded organelle (GO:0043232)	24/1158	0.012129430772969395	0.1162403782409567	0	0	1.7202005498948731	7.5897320833556625	TOP2A;CDCA8;BUB1B;MCM10;KIF11;BRCA1;MKI67;PIMREG;PKMYT1;AURKB;CIT;RAD51AP1;TPX2;CENPE;CENPF;SERP1;SAPCD2;PRC1;NUSAP1;KIF2C;HORMAD2;DTL;SPC24;E2F8
cell-cell junction (GO:0005911)	8/271	0.02240938068022005	0.18136631952045373	0	0	2.4190579653914797	9.188248911258318	CLIC4;CDCA3;CADM1;SAPCD2;PERP;FLRT1;NRAP;DSG2
collagen-containing extracellular matrix (GO:0062023)	10/380	0.023333731020597406	0.18136631952045373	0	0	2.155155155155155	8.09876118334278	COL18A1;SPON1;SLPI;MMRN1;MMP2;ANXA6;SERPING1;TIMP3;ZG16;CCN1
anaphase-promoting complex (GO:0005680)	2/19	0.023656476459189616	0.18136631952045373	0	0	9.247715022263886	34.62453956109389	UBE2C;BUB1B
platelet alpha granule (GO:0031091)	4/90	0.027422784128811033	0.1971012609258293	0	0	3.6725506677874287	13.20789171337988	MMRN1;ITGA2B;SERPING1;IGF1
cytoskeleton (GO:0005856)	13/600	0.04242935289211121	0.2870220930936935	0	0	1.7680295286768881	5.586822800160127	CLIC4;KRT80;CKAP2;NEB;HMMR;SKA1;CIT;TPX2;CENPE;CCNB2;PRC1;KIF2C;KNTC1
platelet alpha granule lumen (GO:0031093)	3/67	0.05307000526108936	0.3223954095910173	0	0	3.6905625	10.836020663950373	MMRN1;SERPING1;IGF1
intercalated disc (GO:0014704)	2/31	0.05829675903819178	0.3223954095910173	0	0	5.417777167193296	15.398453823375641	NRAP;DSG2
phosphatidylinositol 3-kinase complex, class I (GO:0097651)	1/5	0.06167564357393374	0.3223954095910173	0	0	19.586309523809526	54.56483732663522	PIK3R5
Cul4B-RING E3 ubiquitin ligase complex (GO:0031465)	1/5	0.06167564357393374	0.3223954095910173	0	0	19.586309523809526	54.56483732663522	DTL
endolysosome lumen (GO:0036021)	1/5	0.06167564357393374	0.3223954095910173	0	0	19.586309523809526	54.56483732663522	LGMN
endoplasmic reticulum lumen (GO:0005788)	7/285	0.07102273196100682	0.3551136598050341	0	0	1.9927911329473007	5.2704448802033825	DNAJC3;COL18A1;SPON1;EBI3;PDGFC;SERPING1;CCN1
nuclear chromosome (GO:0000228)	3/83	0.08815637267499797	0.42241595240103197	0	0	2.95005	7.164618515845832	TOP2A;FIGNL1;BIRC5
polymeric cytoskeletal fiber (GO:0099513)	6/256	0.1071931321411954	0.4611767736485643	0	0	1.8944453441295546	4.230529656338022	CENPE;KIF14;KIF2C;KIF11;KIF22;KIF15
secretory granule lumen (GO:0034774)	7/316	0.10740490894275384	0.4611767736485643	0	0	1.790012366143079	3.9937850003339532	PLAC8;DNAJC3;SLPI;MMRN1;SERPING1;TIMP3;IGF1
mitochondrial respiratory chain complex III (GO:0005750)	1/9	0.10827628598705422	0.4611767736485643	0	0	9.791170634920634	21.76644903727559	UQCRFS1
mitochondrial respiratory chain complex IV (GO:0005751)	1/10	0.11956165150664595	0.4697201990724964	0	0	8.702821869488536	18.484124651456835	UQCRFS1
nucleus (GO:0005634)	65/4484	0.11994972455116527	0.4697201990724964	0	0	1.1992700765071524	2.5432711672349733	TOP2A;H2AX;ARHGAP11A;CLIC4;ANKLE1;ASH2L;MCM10;KIF11;BRCA1;MKI67;FOXM1;PBK;TIMP3;NEK2;KNTC1;HORMAD2;KPNA2;TCF19;HELLS;KNL1;FOS;KIF22;CDC25C;MASTL;TAF6L;NEIL3;CCNE2;ESPL1;WDFY1;BMP2K;BIRC5;ADPRS;CRYAB;DTL;SMTNL1;CSNK1G1;YAP1;DLX4;UHRF1;NCAPG;TWIST1;PKMYT1;GATA1;AURKB;UNG;RAD51AP1;CCNB2;CCNB1;FIGNL1;FSD2;RBM38;CDT1;TCF7L1;UBE2C;EYA4;TICRR;TPX2;CENPE;NR4A1;CENPF;CDK6;PRC1;ID1;CDK1;LHX6
MLL3/4 complex (GO:0044666)	1/11	0.13070475104625986	0.4697201990724964	0	0	7.832142857142857	15.936956349877427	ASH2L
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	1/11	0.13070475104625986	0.4697201990724964	0	0	7.832142857142857	15.936956349877427	DTL
STAGA complex (GO:0030914)	1/11	0.13070475104625986	0.4697201990724964	0	0	7.832142857142857	15.936956349877427	TAF6L
Set1C/COMPASS complex (GO:0048188)	1/12	0.14170737089908086	0.487380461853263	0	0	7.11976911976912	13.911965608013896	ASH2L
nuclear lumen (GO:0031981)	13/745	0.15178588118038322	0.487380461853263	0	0	1.407075364298725	2.6527372729100662	TOP2A;CDCA8;MCM10;MKI67;PIMREG;PKMYT1;SAPCD2;FIGNL1;NUSAP1;BIRC5;DTL;SPC24;E2F8
beta-catenin-TCF complex (GO:1990907)	1/13	0.1525712750149345	0.487380461853263	0	0	6.526124338624339	12.269919178080885	TCF7L1
spanning component of plasma membrane (GO:0044214)	1/13	0.1525712750149345	0.487380461853263	0	0	6.526124338624339	12.269919178080885	SLC15A2
pericentric heterochromatin (GO:0005721)	1/14	0.1632982053052164	0.4941919371078917	0	0	6.023809523809524	10.916210693256447	HELLS
platelet dense granule lumen (GO:0031089)	1/14	0.1632982053052164	0.4941919371078917	0	0	6.023809523809524	10.916210693256447	TIMP3
ribosome (GO:0005840)	2/62	0.18494795961323146	0.545359368090298	0	0	2.614475431606906	4.412399969337385	SERP1;RPS21
platelet alpha granule membrane (GO:0031092)	1/17	0.19467424758143434	0.5460375237040231	0	0	4.893601190476191	8.008024259588327	ITGA2B
desmosome (GO:0030057)	1/17	0.19467424758143434	0.5460375237040231	0	0	4.893601190476191	8.008024259588327	DSG2
late endosome membrane (GO:0031902)	2/68	0.21256462803796172	0.5695907434958392	0	0	2.3760714716890017	3.6793685454417426	ANXA6;CD68
GABA-A receptor complex (GO:1902711)	1/19	0.2149377078108229	0.5695907434958392	0	0	4.349426807760141	6.686839324394226	GABRD
late endosome (GO:0005770)	4/189	0.21793037142449498	0.5695907434958392	0	0	1.6986432215347878	2.588018269310465	ANXA6;CXCR4;CD68;LGMN
spanning component of membrane (GO:0089717)	1/20	0.22487817498244764	0.5742494831178477	0	0	4.120300751879699	6.148298228781472	SLC15A2
