Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
microtubule binding (GO:0008017)	13/232	8.643861399585767E-6	0.0018152108939130111	0	0	4.829984779299847	56.311155919576244	SPAG5;KIF14;KIF22;KNSTRN;EML2;SKA1;KIF15;TPX2;CENPE;PRC1;NUSAP1;BIRC5;KIF2C
microtubule motor activity (GO:0003777)	6/56	7.3837727799651E-5	0.0077529614189633545	0	0	9.569392712550608	91.03976436897193	CENPE;KIF14;KIF2C;KIF11;KIF22;KIF15
tubulin binding (GO:0015631)	13/307	1.5562355051117362E-4	0.00976344170758513	0	0	3.5840277777777776	31.425008605023603	SPAG5;KIF14;BRCA1;KIF22;EML2;SKA1;KIF15;TPX2;CENPE;PRC1;NUSAP1;BIRC5;KIF2C
motor activity (GO:0003774)	6/66	1.8597031823971676E-4	0.00976344170758513	0	0	7.970445344129555	68.46551557843587	CENPE;KIF14;KIF2C;KIF11;KIF22;KIF15
oligopeptide transmembrane transporter activity (GO:0035673)	2/5	0.0015543089064002748	0.06528097406881155	0	0	52.440903054448874	339.1208602776944	SLC15A2;SLC15A3
histone kinase activity (GO:0035173)	2/8	0.004244190451062779	0.13670557447785586	0	0	26.216467463479415	143.19969826528373	CDK1;AURKB
protein serine/threonine kinase activity (GO:0004674)	11/344	0.004556852482595196	0.13670557447785586	0	0	2.65001365001365	14.286549906802723	CDK6;PBK;CDK1;BMP2K;NEK2;PKMYT1;MASTL;PAK5;AURKB;CIT;CSNK1G1
kinase binding (GO:0019900)	13/461	0.006083501693107398	0.15556349848239093	0	0	2.3333984375	11.905406735165306	GRB7;KIF14;KIF11;PTN;CDC25C;FOXM1;AURKB;CIT;SGO1;DNAJC3;TPX2;CCNB1;PRC1
DNA binding (GO:0003677)	19/811	0.007522959909337663	0.15556349848239093	0	0	1.9432843391176724	9.502263237195764	TOP2A;H2AX;CDT1;POLQ;TCF7L1;DLX4;RADX;MCM10;BRCA1;GATA1;TBX4;UNG;RAD51AP1;TAF6L;NR4A1;NEIL3;H2AJ;SLPI;HROB
single-stranded DNA binding (GO:0003697)	5/97	0.007811413993897335	0.15556349848239093	0	0	4.307284361851332	20.899672870979163	RAD51AP1;NEIL3;RADX;MCM10;HROB
