Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of MAP kinase activity (GO:0043407)	5/48	1.0796476785619235E-5	0.011980299795012085	0	0	19.712780759292386	225.4410912806662	RGS2;DUSP1;PDCD4;APOE;BMP7
cellular response to oxygen-containing compound (GO:1901701)	10/323	2.9299034858776864E-5	0.011980299795012085	0	0	5.581070287539936	58.254965996342	EGR1;CXCL10;ZFP36;JUN;GFI1;PDCD4;LPL;FOS;CXCL2;PF4
negative regulation of amyloid fibril formation (GO:1905907)	3/12	4.679910482687409E-5	0.011980299795012085	0	0	55.65546218487395	554.8652828230704	APOE;CLU;CRYAB
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	4/34	5.3044941241920704E-5	0.011980299795012085	0	0	22.427118644067797	220.78087764367027	EGR1;JUN;FOS;KLF4
response to lipopolysaccharide (GO:0032496)	7/159	5.479607912384677E-5	0.011980299795012085	0	0	7.899427917620137	77.50833292122124	CXCL10;ZFP36;GFI1;SLC11A1;PDCD4;CXCL2;PF4
cellular response to molecule of bacterial origin (GO:0071219)	6/115	7.450401699716769E-5	0.011980299795012085	0	0	9.381050300537805	89.16367023391562	CXCL10;ZFP36;GFI1;PDCD4;CXCL2;PF4
negative regulation of supramolecular fiber organization (GO:1902904)	5/72	7.850710459960636E-5	0.011980299795012085	0	0	12.636178083939278	119.44121693171938	APOE;PFN1;CLU;CRYAB;EML2
cellular response to lipopolysaccharide (GO:0071222)	6/120	9.435675243573725E-5	0.011980299795012085	0	0	8.967332123411978	83.1130696339312	CXCL10;ZFP36;GFI1;PDCD4;CXCL2;PF4
regulation of amyloid fibril formation (GO:1905906)	3/15	9.550283273260299E-5	0.011980299795012085	0	0	41.73529411764706	386.3166837247509	APOE;CLU;CRYAB
negative regulation of protein serine/threonine kinase activity (GO:0071901)	5/78	1.1505603577820687E-4	0.012989826439359557	0	0	11.594075635171526	105.15932432565883	RGS2;DUSP1;CDK5RAP1;APOE;BMP7
