Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
endocytic vesicle lumen (GO:0071682)	3/21	2.7179937035452236E-4	0.02881073325757937	0	0	27.81512605042017	228.37460079038024	HYOU1;APOE;MPO
platelet alpha granule (GO:0031091)	4/90	0.0022479288185583853	0.11914022738359442	0	0	7.801340165549862	47.57059088113293	VWF;ITGA2B;CLU;PF4
high-density lipoprotein particle (GO:0034364)	2/19	0.005896764102262185	0.20835233161326389	0	0	19.47156862745098	99.95440671761247	APOE;CLU
platelet alpha granule lumen (GO:0031093)	3/67	0.007987137836342324	0.2116591526630716	0	0	7.804884453781512	37.69698938724627	VWF;CLU;PF4
Cul3-RING ubiquitin ligase complex (GO:0031463)	2/36	0.02031024120690035	0.3063421292503794	0	0	9.727450980392156	37.90427757828709	ENC1;KLHL3
collagen-containing extracellular matrix (GO:0062023)	6/380	0.029110592055537385	0.3063421292503794	0	0	2.697399963120044	9.539768165040615	VWF;ADAMTS1;APOE;CLU;MATN4;PF4
neurofibrillary tangle (GO:0097418)	1/5	0.030132953261913564	0.3063421292503794	0	0	41.06198347107438	143.80464698625332	CLU
phagocytic vesicle lumen (GO:0097013)	1/5	0.030132953261913564	0.3063421292503794	0	0	41.06198347107438	143.80464698625332	MPO
flotillin complex (GO:0016600)	1/5	0.030132953261913564	0.3063421292503794	0	0	41.06198347107438	143.80464698625332	SLC6A3
spermatoproteasome complex (GO:1990111)	1/5	0.030132953261913564	0.3063421292503794	0	0	41.06198347107438	143.80464698625332	PSMA8
microbody lumen (GO:0031907)	2/49	0.036023159926208984	0.3063421292503794	0	0	7.032269503546099	23.37240321571158	EPHX2;HAO1
peroxisomal matrix (GO:0005782)	2/49	0.036023159926208984	0.3063421292503794	0	0	7.032269503546099	23.37240321571158	EPHX2;HAO1
low-density lipoprotein particle (GO:0034362)	1/7	0.04193244265455188	0.3063421292503794	0	0	27.371900826446282	86.81533369125698	APOE
secretory granule lumen (GO:0034774)	5/316	0.0444523285613749	0.3063421292503794	0	0	2.6887349877703577	8.370940627358959	PLAC8;VWF;MPO;CLU;PF4
lytic vacuole (GO:0000323)	4/219	0.04527542286003067	0.3063421292503794	0	0	3.1001970831690975	9.595081870496239	USP5;SLC11A1;ADRB2;MPO
spherical high-density lipoprotein particle (GO:0034366)	1/8	0.047778685835917385	0.3063421292503794	0	0	23.460448642266822	71.34734495992407	CLU
caveola (GO:0005901)	2/60	0.05193675391394109	0.3063421292503794	0	0	5.695402298850575	16.845454105748797	CAVIN2;SLC6A3
platelet dense tubular network membrane (GO:0031095)	1/9	0.0535895462308214	0.3063421292503794	0	0	20.526859504132233	60.06982757695836	IRAG1
apical dendrite (GO:0097440)	1/10	0.0593652360295357	0.3063421292503794	0	0	18.245179063360883	51.52523363729626	CLU
chylomicron (GO:0042627)	1/10	0.0593652360295357	0.3063421292503794	0	0	18.245179063360883	51.52523363729626	APOE
platelet dense tubular network (GO:0031094)	1/11	0.06510596618845048	0.3063421292503794	0	0	16.419834710743803	44.85470428875659	IRAG1
