Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CXCR chemokine receptor binding (GO:0045236)	3/17	1.414629057862141E-4	0.023624305266297753	0	0	35.76950780312125	317.04206753653824	CXCL10;CXCL2;PF4
CXCR3 chemokine receptor binding (GO:0048248)	2/5	3.64647899802241E-4	0.02880102360375721	0	0	110.41666666666667	874.1221903877367	CXCL10;PF4
protein homodimerization activity (GO:0042803)	12/636	5.173836575525247E-4	0.02880102360375721	0	0	3.366083916083916	25.47023426331245	DPP4;MYOM1;CADM1;SLC11A1;ZBTB16;EPHX2;LPL;ADRB2;APOE;CRYAB;RAP1GAP;JCHAIN
amyloid-beta binding (GO:0001540)	4/80	0.0014578938747662308	0.06086706927149014	0	0	8.83229259589652	57.681604711435845	ADRB2;APOE;CLU;CRYAB
transcription regulatory region nucleic acid binding (GO:0001067)	6/212	0.0019271024600761412	0.06436522216654311	0	0	4.939404084365584	30.879858829499756	EGR1;JUN;GFI1;ARID5A;FOS;KLF4
chemokine activity (GO:0008009)	3/46	0.002776479632509173	0.07727868310483865	0	0	11.628884111784249	68.45425747502678	CXCL10;CXCL2;PF4
chemokine receptor binding (GO:0042379)	3/50	0.0035220951104472163	0.08402712620638358	0	0	10.637046307884857	60.085475656896094	CXCL10;CXCL2;PF4
cytokine activity (GO:0005125)	5/173	0.0041983512437090064	0.08764058221242552	0	0	5.013736263736264	27.440496401128513	CXCL10;INHBA;BMP7;CXCL2;PF4
R-SMAD binding (GO:0070412)	2/19	0.005896764102262185	0.10941773389753168	0	0	19.47156862745098	99.95440671761247	JUN;FOS
low-density lipoprotein particle receptor binding (GO:0050750)	2/23	0.008586893465124612	0.14340112086758103	0	0	15.75952380952381	74.97622219656569	APOE;CLU
lipoprotein particle receptor binding (GO:0070325)	2/28	0.012577610164566676	0.19095099068023952	0	0	12.725641025641025	55.68533106221296	APOE;CLU
ATPase regulator activity (GO:0060590)	2/38	0.022485638801405795	0.22651450736398396	0	0	9.186111111111112	34.86017508612842	DNAJB1;PFN1
tau protein binding (GO:0048156)	2/40	0.02475273700569283	0.22651450736398396	0	0	8.701754385964913	32.18621628344812	APOE;CLU
sequence-specific DNA binding (GO:0043565)	9/707	0.02917232169368497	0.22651450736398396	0	0	2.1885538960874307	7.735520140345487	EGR1;JUN;KLF6;GFI1;ARID5A;FOSB;FOS;ETV3;KLF4
solute:proton antiporter activity (GO:0015299)	1/5	0.030132953261913564	0.22651450736398396	0	0	41.06198347107438	143.80464698625332	SLC11A1
lipoprotein lipase activity (GO:0004465)	1/5	0.030132953261913564	0.22651450736398396	0	0	41.06198347107438	143.80464698625332	LPL
epoxide hydrolase activity (GO:0004301)	1/5	0.030132953261913564	0.22651450736398396	0	0	41.06198347107438	143.80464698625332	EPHX2
sequence-specific double-stranded DNA binding (GO:1990837)	9/712	0.030326174078381608	0.22651450736398396	0	0	2.1724216065156914	7.594230031904137	EGR1;JUN;KLF6;GFI1;ARID5A;FOSB;FOS;ETV3;KLF4
protease binding (GO:0002020)	3/118	0.03562394903809437	0.22651450736398396	0	0	4.332407745706979	14.44744102179004	DPP4;SELL;VWF
immunoglobulin receptor binding (GO:0034987)	1/6	0.036050603307753774	0.22651450736398396	0	0	32.84793388429752	109.14815533611339	JCHAIN
phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)	1/6	0.036050603307753774	0.22651450736398396	0	0	32.84793388429752	109.14815533611339	APOE
double-stranded methylated DNA binding (GO:0010385)	1/6	0.036050603307753774	0.22651450736398396	0	0	32.84793388429752	109.14815533611339	EGR1
urea transmembrane transporter activity (GO:0015204)	1/6	0.036050603307753774	0.22651450736398396	0	0	32.84793388429752	109.14815533611339	SLC14A1
carnitine O-acyltransferase activity (GO:0016406)	1/6	0.036050603307753774	0.22651450736398396	0	0	32.84793388429752	109.14815533611339	CPT1A
cation:cation antiporter activity (GO:0015491)	1/6	0.036050603307753774	0.22651450736398396	0	0	32.84793388429752	109.14815533611339	SLC11A1
manganese ion transmembrane transporter activity (GO:0005384)	1/7	0.04193244265455188	0.22651450736398396	0	0	27.371900826446282	86.81533369125698	SLC11A1
double-stranded DNA binding (GO:0003690)	8/651	0.046002920331887985	0.22651450736398396	0	0	2.099260593162533	6.4637291670499515	EGR1;JUN;KLF6;GFI1;FOSB;FOS;ETV3;KLF4
iron ion transmembrane transporter activity (GO:0005381)	1/8	0.047778685835917385	0.22651450736398396	0	0	23.460448642266822	71.34734495992407	SLC11A1
ether hydrolase activity (GO:0016803)	1/8	0.047778685835917385	0.22651450736398396	0	0	23.460448642266822	71.34734495992407	EPHX2
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	5/333	0.05342649440131772	0.22651450736398396	0	0	2.5471648947258703	7.461788395951264	EGR1;JUN;KLF6;ZBTB16;KLF4
sodium:chloride symporter activity (GO:0015378)	1/9	0.0535895462308214	0.22651450736398396	0	0	20.526859504132233	60.06982757695836	SLC6A3
monoamine transmembrane transporter activity (GO:0008504)	1/9	0.0535895462308214	0.22651450736398396	0	0	20.526859504132233	60.06982757695836	SLC6A3
protein-glutamine gamma-glutamyltransferase activity (GO:0003810)	1/9	0.0535895462308214	0.22651450736398396	0	0	20.526859504132233	60.06982757695836	TGM5
GTPase regulator activity (GO:0030695)	4/233	0.054529987698740116	0.22651450736398396	0	0	2.9085929982976833	8.46111010800941	RGS2;JUN;RGS1;RAP1GAP
GTPase activator activity (GO:0005096)	5/336	0.05511223950067873	0.22651450736398396	0	0	2.5236914813954088	7.3146256351815415	RGS2;JUN;RGS1;EPS8L1;RAP1GAP
nucleoside-triphosphate diphosphatase activity (GO:0047429)	1/10	0.0593652360295357	0.22651450736398396	0	0	18.245179063360883	51.52523363729626	DUT
activin receptor binding (GO:0070697)	1/10	0.0593652360295357	0.22651450736398396	0	0	18.245179063360883	51.52523363729626	INHBA
phospholipase A1 activity (GO:0008970)	1/10	0.0593652360295357	0.22651450736398396	0	0	18.245179063360883	51.52523363729626	LPL
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	1/10	0.0593652360295357	0.22651450736398396	0	0	18.245179063360883	51.52523363729626	DUSP1
protein tyrosine/threonine phosphatase activity (GO:0008330)	1/10	0.0593652360295357	0.22651450736398396	0	0	18.245179063360883	51.52523363729626	DUSP1
cAMP response element binding (GO:0035497)	1/10	0.0593652360295357	0.22651450736398396	0	0	18.245179063360883	51.52523363729626	JUN
cAMP-dependent protein kinase regulator activity (GO:0008603)	1/10	0.0593652360295357	0.22651450736398396	0	0	18.245179063360883	51.52523363729626	CXCL10
adenyl nucleotide binding (GO:0030554)	1/11	0.06510596618845048	0.22651450736398396	0	0	16.419834710743803	44.85470428875659	PFN1
adenyl-nucleotide exchange factor activity (GO:0000774)	1/11	0.06510596618845048	0.22651450736398396	0	0	16.419834710743803	44.85470428875659	PFN1
dipeptidyl-peptidase activity (GO:0008239)	1/11	0.06510596618845048	0.22651450736398396	0	0	16.419834710743803	44.85470428875659	DPP4
FMN binding (GO:0010181)	1/11	0.06510596618845048	0.22651450736398396	0	0	16.419834710743803	44.85470428875659	HAO1
vinculin binding (GO:0017166)	1/11	0.06510596618845048	0.22651450736398396	0	0	16.419834710743803	44.85470428875659	CORO2B
retinoid X receptor binding (GO:0046965)	1/11	0.06510596618845048	0.22651450736398396	0	0	16.419834710743803	44.85470428875659	ARID5A
MAP kinase phosphatase activity (GO:0033549)	1/12	0.07081194648098908	0.236450377253239	0	0	14.926371149511645	39.52096421722127	DUSP1
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282)	1/12	0.07081194648098908	0.236450377253239	0	0	14.926371149511645	39.52096421722127	KCNJ5
ubiquitin binding (GO:0043130)	2/74	0.07506034414114274	0.236450377253239	0	0	4.584722222222222	11.871968103107305	USP5;RNF185
BMP receptor binding (GO:0070700)	1/13	0.07648338541443937	0.236450377253239	0	0	13.681818181818182	35.17160025020979	BMP7
protein phosphatase activator activity (GO:0072542)	1/13	0.07648338541443937	0.236450377253239	0	0	13.681818181818182	35.17160025020979	PPP1R15A
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	1/14	0.08212049030352013	0.236450377253239	0	0	12.628734901462174	31.56637805709565	FOS
phosphatase activator activity (GO:0019211)	1/14	0.08212049030352013	0.236450377253239	0	0	12.628734901462174	31.56637805709565	PPP1R15A
L-glutamate transmembrane transporter activity (GO:0005313)	1/14	0.08212049030352013	0.236450377253239	0	0	12.628734901462174	31.56637805709565	SLC17A8
lipid phosphatase activity (GO:0042577)	1/14	0.08212049030352013	0.236450377253239	0	0	12.628734901462174	31.56637805709565	EPHX2
metal ion:proton antiporter activity (GO:0051139)	1/14	0.08212049030352013	0.236450377253239	0	0	12.628734901462174	31.56637805709565	SLC11A1
acidic amino acid transmembrane transporter activity (GO:0015172)	1/15	0.08772346723700694	0.24016096768164197	0	0	11.726092089728454	28.53621702932384	SLC17A8
peptidoglycan binding (GO:0042834)	1/15	0.08772346723700694	0.24016096768164197	0	0	11.726092089728454	28.53621702932384	JCHAIN
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	1/15	0.08772346723700694	0.24016096768164197	0	0	11.726092089728454	28.53621702932384	KCNJ5
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	1/16	0.09329252108108635	0.24958116921945245	0	0	10.943801652892562	25.958865335590662	BMP7
actin binding (GO:0003779)	3/177	0.09415337521452398	0.24958116921945245	0	0	2.854824688496088	6.745465918857199	EPS8L1;PFN1;CORO2B
metal ion binding (GO:0046872)	6/517	0.09687357989734179	0.2527794975446262	0	0	1.960354949726702	4.576151539403507	DUT;SELL;EPHX2;LPL;CALML4;APOE
RNA polymerase binding (GO:0070063)	1/18	0.1043296729179585	0.26398568753483437	0	0	9.655323286339328	21.82295649315513	ZFP36
retinoic acid receptor binding (GO:0042974)	1/18	0.1043296729179585	0.26398568753483437	0	0	9.655323286339328	21.82295649315513	ARID5A
nucleotidyltransferase activity (GO:0016779)	1/19	0.10979817462010398	0.2709965990680544	0	0	9.118457300275482	20.14368774115404	DNTT
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	3/190	0.11034592057860898	0.2709965990680544	0	0	2.6546083674111354	5.851115519147087	JUN;FOS;KLF4
ATPase activator activity (GO:0001671)	1/20	0.11523356063614762	0.2788986177715457	0	0	8.638103523270987	18.66516440827309	DNAJB1
receptor ligand activity (GO:0048018)	4/307	0.11860324651004503	0.2798085692450914	0	0	2.189964759187783	4.668942275608555	DPP4;CXCL10;INHBA;BMP7
transcription cis-regulatory region binding (GO:0000976)	6/549	0.11959563065726753	0.2798085692450914	0	0	1.841779386549819	3.9112744814438973	EGR1;JUN;GFI1;ARID5A;FOS;KLF4
histone acetyltransferase binding (GO:0035035)	1/21	0.12063602985417113	0.2798085692450914	0	0	8.205785123966942	17.355049137018337	EGR1
mRNA 3'-UTR AU-rich region binding (GO:0035925)	1/22	0.12600577997516366	0.2812087467467276	0	0	7.814639905548996	16.18746000501486	ZFP36
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	1/22	0.12600577997516366	0.2812087467467276	0	0	7.814639905548996	16.18746000501486	DUSP1
endopeptidase activity (GO:0004175)	4/315	0.1269252621051341	0.2812087467467276	0	0	2.132759278434792	4.402349680617986	DPP4;USP5;ADAMTS1;PSMA8
triglyceride lipase activity (GO:0004806)	1/23	0.13134300746254343	0.2812087467467276	0	0	7.459053343350864	15.141453122325439	LPL
protein phosphatase 1 binding (GO:0008157)	1/23	0.13134300746254343	0.2812087467467276	0	0	7.459053343350864	15.141453122325439	PPP1R15A
gamma-tubulin binding (GO:0043015)	1/23	0.13134300746254343	0.2812087467467276	0	0	7.459053343350864	15.141453122325439	DIXDC1
DNA-binding transcription factor binding (GO:0140297)	3/208	0.1343781731836841	0.2817308714412231	0	0	2.419307235089158	4.855784937134415	JUN;FOS;KLF4
lipoprotein particle binding (GO:0071813)	1/24	0.13664790770502439	0.2817308714412231	0	0	7.134387351778656	14.199911300049985	LPL
C-C chemokine binding (GO:0019957)	1/24	0.13664790770502439	0.2817308714412231	0	0	7.134387351778656	14.199911300049985	ZFP36
chemorepellent activity (GO:0045499)	1/25	0.14192067487097373	0.2821518178982454	0	0	6.836776859504132	13.348717975228091	DPP4
actin monomer binding (GO:0003785)	1/25	0.14192067487097373	0.2821518178982454	0	0	6.836776859504132	13.348717975228091	PFN1
inward rectifier potassium channel activity (GO:0005242)	1/25	0.14192067487097373	0.2821518178982454	0	0	6.836776859504132	13.348717975228091	KCNJ5
androgen receptor binding (GO:0050681)	1/27	0.15237058092935843	0.2958824071535216	0	0	6.310235219326128	11.872327013082291	ARID5A
metal ion transmembrane transporter activity (GO:0046873)	1/27	0.15237058092935843	0.2958824071535216	0	0	6.310235219326128	11.872327013082291	SLC11A1
thyroid hormone receptor binding (GO:0046966)	1/28	0.15754810244080794	0.30241992077718305	0	0	6.076216712580349	11.228997078866174	ARID5A
transcription corepressor binding (GO:0001222)	1/29	0.16269425611040614	0.30528023337570587	0	0	5.858913813459268	10.639099466798154	ZBTB16
mitogen-activated protein kinase binding (GO:0051019)	1/29	0.16269425611040614	0.30528023337570587	0	0	5.858913813459268	10.639099466798154	DUSP1
transition metal ion transmembrane transporter activity (GO:0046915)	1/30	0.16780923044079576	0.31137934981792104	0	0	5.656597321174123	10.096615989840982	SLC11A1
Hsp70 protein binding (GO:0030544)	1/31	0.17289321275049702	0.3172875442783846	0	0	5.467768595041322	9.596377552221062	DNAJB1
chemokine binding (GO:0019956)	1/32	0.17794638927403805	0.3195381398791866	0	0	5.291122367368701	9.133921459774644	ZFP36
chemoattractant activity (GO:0042056)	1/32	0.17794638927403805	0.3195381398791866	0	0	5.291122367368701	9.133921459774644	CXCL10
estrogen receptor binding (GO:0030331)	1/35	0.1929229299861709	0.33913820323884775	0	0	4.823529411764706	7.936946394042253	ARID5A
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	1/35	0.1929229299861709	0.33913820323884775	0	0	4.823529411764706	7.936946394042253	RNF185
protein kinase binding (GO:0019901)	5/506	0.19694776578098727	0.34260705088984245	0	0	1.6528481498541379	2.685575332184518	PPP1R15A;ZFP36;DUSP1;CAVIN2;CDK5RAP1
core promoter sequence-specific DNA binding (GO:0001046)	1/37	0.20275662625212773	0.34551384269495233	0	0	4.5550964187327825	7.268790120703895	FOS
phosphotyrosine residue binding (GO:0001784)	1/37	0.20275662625212773	0.34551384269495233	0	0	4.5550964187327825	7.268790120703895	PFN1
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	3/256	0.20568145719045927	0.34695760960410804	0	0	1.955525293121201	3.092519776730577	JUN;GFI1;ZBTB16
magnesium ion binding (GO:0000287)	2/146	0.22379833441612929	0.3737432184749359	0	0	2.2840277777777778	3.419212253266459	DUT;EPHX2
protein phosphorylated amino acid binding (GO:0045309)	1/42	0.2268240236914994	0.3750456629354495	0	0	3.9985889941544044	5.9322298115253025	PFN1
nucleoside-triphosphatase activity (GO:0017111)	3/278	0.24083967744401527	0.38685727356968036	0	0	1.7970664629488158	2.558346597047621	DNM3;CLU;RAP1GAP
ATP hydrolysis activity (GO:0140603)	1/45	0.24091710449848358	0.38685727356968036	0	0	3.7253944402704735	5.302362733777251	CLU
protein kinase C binding (GO:0005080)	1/45	0.24091710449848358	0.38685727356968036	0	0	3.7253944402704735	5.302362733777251	CAVIN2
channel activity (GO:0015267)	1/46	0.24555794525914298	0.3905540653169226	0	0	3.6424242424242426	5.114773456652352	SLC14A1
G protein-coupled receptor activity (GO:0004930)	3/283	0.24897395410690526	0.3922514182627658	0	0	1.7645258103241297	2.4534090206552044	P2RY10;ADGRG7;ADRB2
lipase activity (GO:0016298)	1/49	0.259312292735852	0.40472105501763816	0	0	3.4142561983471076	4.608297319701074	LPL
potassium channel regulator activity (GO:0015459)	1/50	0.26384157776351647	0.40797725450469674	0	0	3.3444088379153314	4.456111874258477	ADRB2
L-amino acid transmembrane transporter activity (GO:0015179)	1/53	0.277265267791134	0.41342231893856585	0	0	3.1509853782581057	4.0420228687052955	SLC17A8
phosphoric ester hydrolase activity (GO:0042578)	1/53	0.277265267791134	0.41342231893856585	0	0	3.1509853782581057	4.0420228687052955	EPHX2
