seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr7,19304931,19305687,757,*,8.46,8.98,7.63,1.35,1.91e-14,4.78e-10
chr3,65955996,65956697,702,*,7.58,8.2,6.5,1.7,3.44e-14,4.78e-10
chrY,90810758,90813216,2459,*,9.34,9.7,8.84,0.86,2.18e-12,2.02e-08
chr3,95662359,95663192,834,*,7.51,8.08,6.57,1.51,4.95e-11,3.44e-07
chr8,27106333,27107505,1173,*,8.37,8.78,7.79,0.99,6.14e-10,3.41e-06
chr7,19307023,19309052,2030,*,10.11,10.35,9.81,0.54,1.21e-09,5.61e-06
chr3,65944211,65946024,1814,*,7.85,8.35,7.08,1.27,1.61e-09,6.37e-06
chr12,80951073,80952744,1672,*,7.58,8.14,6.65,1.5,1.94e-09,6.73e-06
chr12,38777927,38780734,2808,*,9.98,10.23,9.68,0.55,3.6e-09,1.11e-05
chr11,106489947,106490440,494,*,7.37,7.91,6.47,1.45,4.09e-09,1.14e-05
chr14,124800436,124802207,1772,*,7.85,8.32,7.14,1.18,6.28e-09,1.56e-05
chr17,87796444,87798935,2492,*,9.08,9.39,8.67,0.72,6.99e-09,1.56e-05
chr4,95048098,95053507,5410,*,11.79,11.97,11.57,0.4,7.31e-09,1.56e-05
chr19,61225469,61228004,2536,*,10.65,10.86,10.4,0.45,8.73e-09,1.63e-05
chr8,16263793,16264587,795,*,7.73,8.21,7.02,1.19,8.8e-09,1.63e-05
chr5,125384902,125385577,676,*,7.54,8.09,6.65,1.44,1.69e-08,2.94e-05
chr18,37841260,37843198,1939,*,7.79,8.26,7.11,1.15,2.17e-08,3.56e-05
chr13,60933541,60935180,1640,*,7.77,8.3,6.91,1.38,2.33e-08,3.6e-05
chr17,63683895,63684709,815,*,8.15,8.55,7.59,0.95,2.62e-08,3.83e-05
chr19,53140530,53143517,2988,*,10.26,10.47,10,0.47,2.79e-08,3.88e-05
chr19,21777349,21779378,2030,*,9.58,9.84,9.27,0.57,3.65e-08,4.78e-05
chr5,47982645,47985609,2965,*,9.87,10.11,9.58,0.53,3.79e-08,4.78e-05
chr19,18630277,18632401,2125,*,9.67,9.92,9.37,0.55,6.75e-08,8.16e-05
chr5,137150643,137153012,2370,*,8.13,8.52,7.59,0.93,8.35e-08,9.67e-05
chrX,7070674,7072678,2005,*,7.51,8.02,6.72,1.3,1.33e-07,0.000143
chr8,117256139,117258873,2735,*,10.01,10.23,9.75,0.48,1.34e-07,0.000143
chr12,69196401,69198505,2105,*,9.82,10.05,9.54,0.51,1.62e-07,0.000166
chr13,119487455,119489234,1780,*,9.66,9.9,9.36,0.53,1.79e-07,0.000175
chr13,8995045,8996804,1760,*,9.78,10.02,9.51,0.51,1.83e-07,0.000175
chr6,53707672,53708425,754,*,8.28,8.65,7.78,0.87,1.93e-07,0.000179
chr19,15924078,15926108,2031,*,9.54,9.79,9.23,0.56,2.28e-07,2e-04
chr3,18999983,19000896,914,*,8.02,8.42,7.45,0.97,2.3e-07,2e-04
chr10,99261096,99264397,3302,*,10.67,10.86,10.46,0.4,2.45e-07,0.000206
chr11,94563731,94565432,1702,*,8.9,9.22,8.48,0.74,2.69e-07,0.00022
chr12,118848011,118850394,2384,*,8.73,9.05,8.32,0.74,3.42e-07,0.000272
chr19,14596723,14599213,2491,*,10.37,10.57,10.15,0.42,3.64e-07,0.000281
