"","pValue","qValue","EffectSize","X.Y_Neo1.Y_IgG.","significant","GeneName"
"A0A075B5P6","0.988128278807734","0.997872684250135","0.0396678093708468","Y_Neo1-Y_IgG","Non significant","A0A075B5P6"
"S4R1W1","0.344972154736117","0.997872684250135","1.16778939240622","Y_Neo1-Y_IgG","Non significant","S4R1W1"
"A0A0A6YW67","0.515044880567551","0.997872684250135","0.889216374529528","Y_Neo1-Y_IgG","Non significant","A0A0A6YW67"
"A0A0A6YWC8","0.519805282653986","0.997872684250135","0.656881935763265","Y_Neo1-Y_IgG","Non significant","A0A0A6YWC8"
"A0A0B4J1G0","0.994811810963366","0.997872684250135","-0.00952447051919059","Y_Neo1-Y_IgG","Non significant","A0A0B4J1G0"
"P09542","0.663321060097198","0.997872684250135","0.387359060941225","Y_Neo1-Y_IgG","Non significant","P09542"
"A0A0N4SV66","0.565120765929145","0.997872684250135","0.590659936584241","Y_Neo1-Y_IgG","Non significant","A0A0N4SV66"
"Q9QZ47","0.525868938346058","0.997872684250135","0.853528519793575","Y_Neo1-Y_IgG","Non significant","Q9QZ47"
"A0A1B0GSF7","0.341211836492054","0.997872684250135","0.907969118560984","Y_Neo1-Y_IgG","Non significant","A0A1B0GSF7"
"A0A1B0GRU8","0.140758510912497","0.939980897006358","-1.89643784605073","Y_Neo1-Y_IgG","Non significant","A0A1B0GRU8"
"A0A1S6GWJ4","0.987075550147333","0.997872684250135","0.0159450149050349","Y_Neo1-Y_IgG","Non significant","A0A1S6GWJ4"
"A0A1W2P6F6","0.704084891276406","0.997872684250135","0.616770668249829","Y_Neo1-Y_IgG","Non significant","A0A1W2P6F6"
"B2RY56","0.21488115011241","0.939980897006358","-1.50256158907944","Y_Neo1-Y_IgG","Non significant","B2RY56"
"B7ZCU2","0.0602463974240084","0.773162100274775","2.83232623464301","Y_Neo1-Y_IgG","Non significant","B7ZCU2"
"D3YY73","0.37436695903559","0.997872684250135","0.784618026624829","Y_Neo1-Y_IgG","Non significant","D3YY73"
"E9Q557","0.997872684250135","0.997872684250135","-0.00301133484596283","Y_Neo1-Y_IgG","Non significant","E9Q557"
"E9Q6C2","0.933594225180326","0.997872684250135","-0.0940888272179583","Y_Neo1-Y_IgG","Non significant","E9Q6C2"
"G3UW82","0.302617532584143","0.997872684250135","1.70561702945982","Y_Neo1-Y_IgG","Non significant","G3UW82"
"O08692","0.665526126862922","0.997872684250135","0.459457828036899","Y_Neo1-Y_IgG","Non significant","O08692"
"O08917","6.13353931033142e-7","0.0000472282526895519","7.92559151889237","Y_Neo1-Y_IgG","Upregulated","O08917"
"O35744","0.893094800517776","0.997872684250135","-0.135324357929242","Y_Neo1-Y_IgG","Non significant","O35744"
"P01027","0.771294735701862","0.997872684250135","0.467608868694471","Y_Neo1-Y_IgG","Non significant","P01027"
"Q91VB8","0.196550802889498","0.939980897006358","-1.4094412371274","Y_Neo1-Y_IgG","Non significant","Q91VB8"
"P68373","0.893705547442616","0.997872684250135","0.163831086427216","Y_Neo1-Y_IgG","Non significant","P68373"
"P05977","0.615678052601201","0.997872684250135","0.576014017365572","Y_Neo1-Y_IgG","Non significant","P05977"
"P07356","0.929682541557459","0.997872684250135","0.0994396815330461","Y_Neo1-Y_IgG","Non significant","P07356"
"P07901","0.487997760460923","0.997872684250135","0.918328685641189","Y_Neo1-Y_IgG","Non significant","P07901"
"P08905","0.715693144403844","0.997872684250135","0.362707383993434","Y_Neo1-Y_IgG","Non significant","P08905"
"P09411","0.185569893743878","0.939980897006358","1.62279642483199","Y_Neo1-Y_IgG","Non significant","P09411"
"P10126","0.599169321840393","0.997872684250135","0.598168053384383","Y_Neo1-Y_IgG","Non significant","P10126"
"Q8CGP2","0.141341077507315","0.939980897006358","2.00933062933911","Y_Neo1-Y_IgG","Non significant","Q8CGP2"
"P11247","0.227901328441506","0.939980897006358","1.52952818366354","Y_Neo1-Y_IgG","Non significant","P11247"
"P13020","0.746678347436221","0.997872684250135","-0.588819172974961","Y_Neo1-Y_IgG","Non significant","P13020"
"P13542","0.643772215785314","0.997872684250135","0.672642359105066","Y_Neo1-Y_IgG","Non significant","P13542"
"P14106","0.955266195022605","0.997872684250135","0.0571674052412883","Y_Neo1-Y_IgG","Non significant","P14106"
"P14869","0.199170534242427","0.939980897006358","1.33347868108905","Y_Neo1-Y_IgG","Non significant","P14869"
"P15864","0.992652408590999","0.997872684250135","-0.0108401741996573","Y_Neo1-Y_IgG","Non significant","P15864"
"P17182","0.765183257872778","0.997872684250135","0.3525511302263","Y_Neo1-Y_IgG","Non significant","P17182"
"P17742","0.798607255530713","0.997872684250135","-0.37283672390703","Y_Neo1-Y_IgG","Non significant","P17742"
"P20029","0.602449490351087","0.997872684250135","0.649185241824715","Y_Neo1-Y_IgG","Non significant","P20029"
"P24369","0.484688627375969","0.997872684250135","-0.62818996511636","Y_Neo1-Y_IgG","Non significant","P24369"
"P28293","0.232970112632244","0.939980897006358","-1.07922801845954","Y_Neo1-Y_IgG","Non significant","P28293"
"P31725","0.691856356431603","0.997872684250135","0.421623519179431","Y_Neo1-Y_IgG","Non significant","P31725"
"P35979","0.215139442427943","0.939980897006358","1.29818478175313","Y_Neo1-Y_IgG","Non significant","P35979"
"P41105","0.244150882339314","0.939980897006358","1.03409245116351","Y_Neo1-Y_IgG","Non significant","P41105"
"P48962","0.854429752682609","0.997872684250135","0.175606725489162","Y_Neo1-Y_IgG","Non significant","P48962"
"P51437","0.39819971135501","0.997872684250135","-0.940338939383984","Y_Neo1-Y_IgG","Non significant","P51437"
"P51667","0.640065240414704","0.997872684250135","0.398432219129303","Y_Neo1-Y_IgG","Non significant","P51667"
"P52480","0.100450037937325","0.866647796397518","1.63092093920253","Y_Neo1-Y_IgG","Non significant","P52480"
"P58771","0.291501808527257","0.997872684250135","1.82500889252087","Y_Neo1-Y_IgG","Non significant","P58771"
"P62806","0.377579886517434","0.997872684250135","0.856028018452293","Y_Neo1-Y_IgG","Non significant","P62806"
"P63017","0.758783900952509","0.997872684250135","0.325120555054143","Y_Neo1-Y_IgG","Non significant","P63017"
"P68134","0.415523743819169","0.997872684250135","1.14330633971935","Y_Neo1-Y_IgG","Non significant","P68134"
"P97457","0.205111716970016","0.939980897006358","2.03253602552491","Y_Neo1-Y_IgG","Non significant","P97457"
"P98086","0.858595497117204","0.997872684250135","0.16707643627927","Y_Neo1-Y_IgG","Non significant","P98086"
"P99024","0.983924957177573","0.997872684250135","-0.0245607659307361","Y_Neo1-Y_IgG","Non significant","P99024"
"Q01149","0.791989419197876","0.997872684250135","0.271107018909143","Y_Neo1-Y_IgG","Non significant","Q01149"
"Q02105","0.942567041183199","0.997872684250135","-0.0757532245973422","Y_Neo1-Y_IgG","Non significant","Q02105"
"Q02257","0.90257228982982","0.997872684250135","0.148813595634305","Y_Neo1-Y_IgG","Non significant","Q02257"
"Q3THE2","0.649512692884553","0.997872684250135","-0.779864242848613","Y_Neo1-Y_IgG","Non significant","Q3THE2"
"Q3U7K7","0.595237251787952","0.997872684250135","-0.467077705472654","Y_Neo1-Y_IgG","Non significant","Q3U7K7"
"Q3UP87","0.555587104751268","0.997872684250135","0.759092687511492","Y_Neo1-Y_IgG","Non significant","Q3UP87"
"Q5SQX6","0.00719596592416558","0.138522344040187","3.97364078329525","Y_Neo1-Y_IgG","Non significant","Q5SQX6"
"Q5SS83","0.00000167650074861237","0.0000645452788215762","7.71204007205674","Y_Neo1-Y_IgG","Upregulated","Q5SS83"
"Q5SX39","0.410088734389643","0.997872684250135","1.13807625170708","Y_Neo1-Y_IgG","Non significant","Q5SX39"
"Q5SX40","0.432304033249583","0.997872684250135","1.30009819872315","Y_Neo1-Y_IgG","Non significant","Q5SX40"
"Q61136","0.396450629636105","0.997872684250135","-0.745225248396074","Y_Neo1-Y_IgG","Non significant","Q61136"
"Q61838","0.725894130233764","0.997872684250135","-0.484015747341753","Y_Neo1-Y_IgG","Non significant","Q61838"
"Q64523","0.831432162344328","0.997872684250135","0.260544408149194","Y_Neo1-Y_IgG","Non significant","Q64523"
"Q792Z1","0.0754891281339088","0.830380409472997","2.67114735116061","Y_Neo1-Y_IgG","Non significant","Q792Z1"
"Q8BH43","0.101296495682827","0.866647796397518","2.56475963295689","Y_Neo1-Y_IgG","Non significant","Q8BH43"
"Q8K1X4","0.0509487429400823","0.773162100274775","2.82891803845435","Y_Neo1-Y_IgG","Non significant","Q8K1X4"
"Q8VDD5","0.308473386060357","0.997872684250135","1.98787684007226","Y_Neo1-Y_IgG","Non significant","Q8VDD5"
"Q91Z83","0.37110199994757","0.997872684250135","1.51470553477548","Y_Neo1-Y_IgG","Non significant","Q91Z83"
"Q9CXW4","0.93466083558018","0.997872684250135","0.0908059565872326","Y_Neo1-Y_IgG","Non significant","Q9CXW4"
"Q9D883","0.547205482330105","0.997872684250135","0.538034960880134","Y_Neo1-Y_IgG","Non significant","Q9D883"
"Q9JHU9","0.000756493751672633","0.0194166729595976","4.1891952312605","Y_Neo1-Y_IgG","Upregulated","Q9JHU9"
