#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005488	binding	139	10884	1.16e-11	ENSMUSP00000000109,ENSMUSP00000001051,ENSMUSP00000001279,ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000005256,ENSMUSP00000005829,ENSMUSP00000006679,ENSMUSP00000006761,ENSMUSP00000009058,ENSMUSP00000012348,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000017151,ENSMUSP00000017188,ENSMUSP00000018569,ENSMUSP00000019064,ENSMUSP00000019734,ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000021119,ENSMUSP00000021120,ENSMUSP00000021903,ENSMUSP00000022616,ENSMUSP00000022746,ENSMUSP00000023151,ENSMUSP00000023312,ENSMUSP00000023629,ENSMUSP00000023832,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000027009,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000028639,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000031793,ENSMUSP00000031982,ENSMUSP00000032262,ENSMUSP00000032472,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000032961,ENSMUSP00000033634,ENSMUSP00000033952,ENSMUSP00000034215,ENSMUSP00000034745,ENSMUSP00000034932,ENSMUSP00000034941,ENSMUSP00000035121,ENSMUSP00000035900,ENSMUSP00000037328,ENSMUSP00000037854,ENSMUSP00000037966,ENSMUSP00000040271,ENSMUSP00000040331,ENSMUSP00000041204,ENSMUSP00000042211,ENSMUSP00000044517,ENSMUSP00000044624,ENSMUSP00000045281,ENSMUSP00000045369,ENSMUSP00000047065,ENSMUSP00000047597,ENSMUSP00000047730,ENSMUSP00000049474,ENSMUSP00000049967,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000056703,ENSMUSP00000056916,ENSMUSP00000057096,ENSMUSP00000057815,ENSMUSP00000057965,ENSMUSP00000059498,ENSMUSP00000059889,ENSMUSP00000061928,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000065284,ENSMUSP00000068086,ENSMUSP00000069418,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000076886,ENSMUSP00000077232,ENSMUSP00000078022,ENSMUSP00000081011,ENSMUSP00000084882,ENSMUSP00000084918,ENSMUSP00000087119,ENSMUSP00000087947,ENSMUSP00000088833,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000099392,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000100862,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000103939,ENSMUSP00000103958,ENSMUSP00000104732,ENSMUSP00000105053,ENSMUSP00000107182,ENSMUSP00000107863,ENSMUSP00000107873,ENSMUSP00000109144,ENSMUSP00000109833,ENSMUSP00000110417,ENSMUSP00000110696,ENSMUSP00000113040,ENSMUSP00000113062,ENSMUSP00000115228,ENSMUSP00000116191,ENSMUSP00000119609,ENSMUSP00000122072,ENSMUSP00000123924,ENSMUSP00000124578,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000128388,ENSMUSP00000130929,ENSMUSP00000132547,ENSMUSP00000134504,ENSMUSP00000139672	Abat,Abca4,Abcb1a,Abcb1b,Acpp,Acsl4,Alcam,Aldh1a1,Amotl2,Ampd3,Arhgap29,Arhgef28,Asb4,Aspa,Bcl6,Bmpr1a,C4b,Casp12,Cd38,Cd63,Cd9,Chrna7,Clca1,Cldn12,Clec1a,Clec1b,Clu,Cntn1,Cxcl16,Cyb561,Cyp26b1,Ddr1,Dennd5b,Dhx40,Dnm3,Dsg2,Efna1,Egr1,Ehd3,Enpp5,Fap,Fhl1,Fyb,Gadd45g,Gda,Gem,Ghr,Gipc2,Gpr183,Gpx3,Gstm1,Gstm2,Gstm7,Hpgds,Id2,Itgb3,Jam2,Jun,Kcnip3,Kdr,Klrb1b,Klrb1c,Lamp2,Ldhd,Lpl,Lsr,Ly6e,Maf,Matn4,Mef2c,Meis2,Mllt3,Mmp14,Mmrn1,Mt1,Muc13,Myo1e,Nckap1,Ndn,Ndrg1,Neo1,Nrg4,Nt5c3,Ntf3,Nupr1,Ocln,Osmr,Pbx3,Pclo,Pdgfd,Pgr,Phactr1,Phf11d,Pla2g4a,Plcl1,Plek,Plscr1,Plscr2,Plscr4,Prnp,Procr,Pros1,Prtn3,Ptprk,Rab34,Ramp2,Rbpjl,Rgn,Rhoj,Rorb,Rorc,Runx1t1,S100a6,Sbspon,Sdpr,Selp,Sema7a,Serpinb6a,Sfrp1,Slamf1,Stom,Stxbp4,Sult1a1,Tbc1d8,Tdrd9,Tgm2,Thbd,Tnfsf10,Tox,Trim47,Trpc1,Trpc6,Tsc22d1,Vldlr,Vwf,Wwtr1,Zfp36,Zg16,Zswim5
GO:0005515	protein binding	96	6454	4.67e-09	ENSMUSP00000001051,ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000006761,ENSMUSP00000012348,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000017188,ENSMUSP00000019064,ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000021119,ENSMUSP00000021903,ENSMUSP00000022616,ENSMUSP00000022746,ENSMUSP00000023151,ENSMUSP00000023312,ENSMUSP00000027009,ENSMUSP00000028241,ENSMUSP00000028639,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000031982,ENSMUSP00000032472,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000034745,ENSMUSP00000034932,ENSMUSP00000034941,ENSMUSP00000035121,ENSMUSP00000035900,ENSMUSP00000037328,ENSMUSP00000037854,ENSMUSP00000040271,ENSMUSP00000040331,ENSMUSP00000042211,ENSMUSP00000044624,ENSMUSP00000045369,ENSMUSP00000047597,ENSMUSP00000049967,ENSMUSP00000052283,ENSMUSP00000055694,ENSMUSP00000056703,ENSMUSP00000057096,ENSMUSP00000057815,ENSMUSP00000057965,ENSMUSP00000059889,ENSMUSP00000061928,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000065284,ENSMUSP00000069418,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000077232,ENSMUSP00000084918,ENSMUSP00000087119,ENSMUSP00000087947,ENSMUSP00000088833,ENSMUSP00000091318,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000103958,ENSMUSP00000104732,ENSMUSP00000105053,ENSMUSP00000107182,ENSMUSP00000107863,ENSMUSP00000107873,ENSMUSP00000109144,ENSMUSP00000109833,ENSMUSP00000110417,ENSMUSP00000110696,ENSMUSP00000113040,ENSMUSP00000115228,ENSMUSP00000116191,ENSMUSP00000123924,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000128388,ENSMUSP00000130929,ENSMUSP00000132547,ENSMUSP00000134504,ENSMUSP00000139672	Abat,Acpp,Alcam,Aldh1a1,Amotl2,Arhgap29,Arhgef28,Asb4,Aspa,Bcl6,Bmpr1a,C4b,Casp12,Cd38,Cd9,Chrna7,Cldn12,Clu,Cxcl16,Dennd5b,Dnm3,Dsg2,Efna1,Egr1,Fap,Fhl1,Fyb,Gadd45g,Ghr,Gipc2,Gstm1,Gstm2,Gstm7,Hpgds,Id2,Itgb3,Jam2,Jun,Kcnip3,Kdr,Klrb1b,Klrb1c,Lamp2,Lpl,Ly6e,Maf,Mef2c,Meis2,Mllt3,Mmp14,Muc13,Myo1e,Ndn,Ndrg1,Neo1,Nrg4,Ntf3,Ocln,Osmr,Pclo,Pdgfd,Pgr,Phactr1,Pla2g4a,Plcl1,Plek,Plscr1,Plscr2,Plscr4,Prnp,Procr,Prtn3,Ptprk,Rab34,Rorb,Rorc,Runx1t1,S100a6,Sdpr,Selp,Sema7a,Serpinb6a,Sfrp1,Slamf1,Stom,Stxbp4,Sult1a1,Tbc1d8,Tgm2,Tnfsf10,Trpc1,Trpc6,Vldlr,Vwf,Wwtr1,Zfp36
GO:0042802	identical protein binding	41	1798	3.57e-07	ENSMUSP00000001051,ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000006761,ENSMUSP00000012348,ENSMUSP00000015460,ENSMUSP00000021028,ENSMUSP00000021119,ENSMUSP00000021903,ENSMUSP00000023151,ENSMUSP00000023312,ENSMUSP00000028241,ENSMUSP00000030964,ENSMUSP00000031982,ENSMUSP00000032472,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000035121,ENSMUSP00000035900,ENSMUSP00000037328,ENSMUSP00000040271,ENSMUSP00000057965,ENSMUSP00000059889,ENSMUSP00000061928,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000084918,ENSMUSP00000088833,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000104732,ENSMUSP00000107873,ENSMUSP00000109144,ENSMUSP00000110696,ENSMUSP00000113040,ENSMUSP00000134504	Abat,Acpp,Alcam,Aldh1a1,Amotl2,Aspa,Bcl6,Bmpr1a,Cd38,Chrna7,Cldn12,Dnm3,Fap,Gadd45g,Ghr,Gipc2,Gstm1,Gstm2,Gstm7,Hpgds,Itgb3,Jun,Kcnip3,Kdr,Klrb1b,Klrb1c,Maf,Muc13,Pgr,Plek,Prnp,Runx1t1,S100a6,Sfrp1,Slamf1,Stom,Sult1a1,Tnfsf10,Trpc6,Vwf,Wwtr1
GO:0038023	signaling receptor activity	28	1020	3.74e-06	ENSMUSP00000015460,ENSMUSP00000022746,ENSMUSP00000029140,ENSMUSP00000029795,ENSMUSP00000031121,ENSMUSP00000032262,ENSMUSP00000032472,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000040715,ENSMUSP00000042327,ENSMUSP00000047597,ENSMUSP00000048736,ENSMUSP00000052404,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000069457,ENSMUSP00000088833,ENSMUSP00000096877,ENSMUSP00000108019,ENSMUSP00000108686,ENSMUSP00000109144,ENSMUSP00000113062,ENSMUSP00000122072,ENSMUSP00000127329,ENSMUSP00000134504,ENSMUSP00000135299	Bmpr1a,Cd200r4,Chrna7,Clec1b,Cysltr2,Ddr1,Gabra4,Ghr,Gpr183,Gpr64,Il1rapl2,Kdr,Klrb1b,Klrb1c,Lpar6,Neo1,Osmr,Pgr,Prnp,Procr,Ptger4,Ramp2,Rorb,Rorc,Sfrp1,Slamf1,Thbd,Vldlr
GO:0042803	protein homodimerization activity	24	868	2.42e-05	ENSMUSP00000001051,ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000006761,ENSMUSP00000012348,ENSMUSP00000028241,ENSMUSP00000031982,ENSMUSP00000032472,ENSMUSP00000032738,ENSMUSP00000035900,ENSMUSP00000057965,ENSMUSP00000059889,ENSMUSP00000063548,ENSMUSP00000069457,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000104732,ENSMUSP00000107873,ENSMUSP00000110696,ENSMUSP00000113040,ENSMUSP00000134504	Abat,Acpp,Bmpr1a,Chrna7,Fap,Ghr,Gstm1,Gstm2,Gstm7,Hpgds,Jun,Kcnip3,Klrb1b,Klrb1c,Maf,Muc13,Plek,Runx1t1,S100a6,Stom,Sult1a1,Trpc6,Vwf,Wwtr1
GO:0043167	ion binding	71	5302	0.00030	ENSMUSP00000001051,ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000005829,ENSMUSP00000006761,ENSMUSP00000009058,ENSMUSP00000012348,ENSMUSP00000013995,ENSMUSP00000015712,ENSMUSP00000018569,ENSMUSP00000019734,ENSMUSP00000021119,ENSMUSP00000021120,ENSMUSP00000023151,ENSMUSP00000023629,ENSMUSP00000023832,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000031793,ENSMUSP00000031982,ENSMUSP00000032738,ENSMUSP00000033634,ENSMUSP00000033952,ENSMUSP00000034215,ENSMUSP00000034745,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000037854,ENSMUSP00000040271,ENSMUSP00000041204,ENSMUSP00000044624,ENSMUSP00000047597,ENSMUSP00000049474,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000057096,ENSMUSP00000057815,ENSMUSP00000057965,ENSMUSP00000059498,ENSMUSP00000059889,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000064538,ENSMUSP00000068086,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000076886,ENSMUSP00000078022,ENSMUSP00000084882,ENSMUSP00000087119,ENSMUSP00000088833,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000099392,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000103939,ENSMUSP00000103958,ENSMUSP00000105053,ENSMUSP00000109144,ENSMUSP00000110417,ENSMUSP00000113062,ENSMUSP00000119609,ENSMUSP00000123924,ENSMUSP00000124578,ENSMUSP00000127329,ENSMUSP00000139672	Abat,Abca4,Abcb1a,Abcb1b,Acpp,Acsl4,Ampd3,Arhgap29,Arhgef28,Aspa,Bcl6,Bmpr1a,Chrna7,Clca1,Cyb561,Cyp26b1,Ddr1,Dhx40,Dnm3,Dsg2,Egr1,Ehd3,Enpp5,Fhl1,Gda,Gem,Gstm1,Gstm2,Gstm7,Hpgds,Kcnip3,Kdr,Ldhd,Lpl,Matn4,Mmp14,Mmrn1,Mt1,Myo1e,Nt5c3,Pclo,Pgr,Phf11d,Pla2g4a,Plcl1,Plek,Plscr1,Plscr2,Prnp,Pros1,Rab34,Rgn,Rhoj,Rorb,Rorc,Runx1t1,S100a6,Sdpr,Selp,Sfrp1,Sult1a1,Tdrd9,Tgm2,Thbd,Tnfsf10,Trim47,Trpc1,Trpc6,Vldlr,Zfp36,Zswim5
GO:0050839	cell adhesion molecule binding	10	207	0.00082	ENSMUSP00000005256,ENSMUSP00000021028,ENSMUSP00000032492,ENSMUSP00000042211,ENSMUSP00000057096,ENSMUSP00000063656,ENSMUSP00000087119,ENSMUSP00000099793,ENSMUSP00000107873,ENSMUSP00000109144	Cd9,Dsg2,Fap,Itgb3,Kdr,Mmp14,Ndrg1,Neo1,Sema7a,Vwf
GO:0046983	protein dimerization activity	27	1343	0.0010	ENSMUSP00000001051,ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000006761,ENSMUSP00000012348,ENSMUSP00000020974,ENSMUSP00000028241,ENSMUSP00000031982,ENSMUSP00000032472,ENSMUSP00000032738,ENSMUSP00000035900,ENSMUSP00000057965,ENSMUSP00000059889,ENSMUSP00000063548,ENSMUSP00000069457,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000104732,ENSMUSP00000107873,ENSMUSP00000109833,ENSMUSP00000110696,ENSMUSP00000113040,ENSMUSP00000132547,ENSMUSP00000134504	Abat,Acpp,Bmpr1a,Chrna7,Fap,Ghr,Gstm1,Gstm2,Gstm7,Hpgds,Id2,Jam2,Jun,Kcnip3,Klrb1b,Klrb1c,Maf,Mef2c,Muc13,Plek,Runx1t1,S100a6,Stom,Sult1a1,Trpc6,Vwf,Wwtr1
GO:0005509	calcium ion binding	16	594	0.0020	ENSMUSP00000001051,ENSMUSP00000023629,ENSMUSP00000023832,ENSMUSP00000024860,ENSMUSP00000030691,ENSMUSP00000031982,ENSMUSP00000057096,ENSMUSP00000070868,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000099392,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000119609,ENSMUSP00000123924,ENSMUSP00000127329	Dsg2,Ehd3,Hpgds,Kcnip3,Matn4,Mmrn1,Pclo,Pla2g4a,Plscr1,Pros1,Rgn,S100a6,Selp,Tgm2,Thbd,Vldlr
GO:0019899	enzyme binding	36	2175	0.0020	ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000012348,ENSMUSP00000017188,ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000027009,ENSMUSP00000028241,ENSMUSP00000032738,ENSMUSP00000034941,ENSMUSP00000040331,ENSMUSP00000049967,ENSMUSP00000052283,ENSMUSP00000055694,ENSMUSP00000057815,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000088833,ENSMUSP00000091318,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000102711,ENSMUSP00000103958,ENSMUSP00000105053,ENSMUSP00000107182,ENSMUSP00000107873,ENSMUSP00000115228,ENSMUSP00000126279,ENSMUSP00000132547	Abat,Arhgef28,Asb4,Casp12,Chrna7,Clu,Dennd5b,Dnm3,Egr1,Fap,Ghr,Gstm1,Gstm2,Gstm7,Itgb3,Jun,Lamp2,Mef2c,Ndrg1,Pgr,Phactr1,Pla2g4a,Plek,Plscr1,Plscr4,Prnp,Prtn3,Ptprk,Rab34,Sdpr,Serpinb6a,Stom,Tbc1d8,Trpc6,Vwf,Zfp36
