Entry	Gene	Location
P61922	Abat	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
O35600	Abca4	"SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P78363}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P78363}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P78363}. Note=Localized to outer segment disk edges of rods and cones, with around one million copies/photoreceptor. {ECO:0000250|UniProtKB:P78363}."
P21447	Abcb1a	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000269|PubMed:8898203}.
P06795	Abcb1b	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000250|UniProtKB:P08183}.
Q8CE08	Acpp	"SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000305|PubMed:17638863}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:17638863}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17638863}; Single-pass type I membrane protein {ECO:0000255}. Note=Appears to shuttle between the cell membrane and intracellular vesicles. Colocalizes with FLOT1 at cell membrane and in intracellular vesicles (PubMed:17638863). Colocalizes with LAMP2 on the lysosome membrane (By similarity). {ECO:0000250|UniProtKB:P15309, ECO:0000269|PubMed:17638863}."
Q9QUJ7	Acsl4	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O60488}; Single-pass type III membrane protein {ECO:0000250}. Cell membrane {ECO:0000250|UniProtKB:O60488}.
Q8CJ12	Adgrg2	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:12420295}; Multi-pass membrane protein {ECO:0000255}.
Q61490	Alcam	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15345243, ECO:0000269|PubMed:16914752, ECO:0000269|PubMed:23169771, ECO:0000269|PubMed:9209500}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000269|PubMed:15345243}. Cell projection, dendrite {ECO:0000269|PubMed:15345243}. Note=Detected at the immunological synapse, i.e, at the contact zone between antigen-presenting dendritic cells and T-cells. Colocalizes with CD6 and the TCR/CD3 complex at the immunological synapse. {ECO:0000250|UniProtKB:Q13740}."
P24549	Aldh1a1	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P48644}."
Q8K371	Amotl2	SUBCELLULAR LOCATION: Recycling endosome {ECO:0000250}.
