Gene,Freq_group,Log2FC,accessibility,H3K4m3,H3K27m3,H3K36m3,DNA
Selp,12,2.37543282250139,common,nd,nd,common,hypomethylated
Nupr1,11,1.80671957912727,common,old,nd,common,hypomethylated
Mt1,11,2.13725736516364,common,common,young,nd,nd
Clec1a,10,1.54864088751167,common,nd,nd,nd,hypomethylated
Plscr2,10,2.79760878967,common,nd,nd,common,hypomethylated
Fhl1,8,1.193365580525,common,common,nd,common,hypomethylated
Vwf,8,1.3720196447125,common,nd,nd,common,hypomethylated
Cd38,8,1.5739782256125,common,old,nd,nd,nd
Ptprk,8,1.65643626023437,common,common,nd,old,nd
Neo1,8,1.846907987025,common,common,young,old,nd
Tm4sf1,8,2.461514537725,common,nd,nd,old,hypomethylated
Clca3a1,8,2.58378701686354,common,nd,nd,nd,hypomethylated
Mt2,8,2.9032002548125,common,old,young,nd,nd
Zg16,8,3.87083622266563,nd,nd,nd,old,nd
Aldh1a1,7,1.71533918161429,common,nd,nd,nd,hypomethylated
Dnm3,7,1.80933343422857,common,common,nd,old,nd
Gm10419,7,1.98354813518571,common,common,nd,old,nd
Prtn3,6,0.979895923416667,common,common,nd,nd,hypomethylated
Tacstd2,6,1.09797821648333,common,old,nd,nd,nd
Rorc,6,1.18359835543333,common,nd,nd,old,hypomethylated
Fhdc1,6,1.61330493995,common,common,nd,common,hypomethylated
Adgrg2,6,2.01538121961667,common,old,nd,nd,nd
Sult1a1,6,2.15690357833333,common,nd,nd,common,hypomethylated
Ramp2,6,2.58883710848333,common,old,young,nd,nd
Clu,6,2.63933962228333,common,nd,nd,old,hypomethylated
Fap,6,2.70034371558333,common,nd,nd,nd,hypomethylated
Matn4,6,2.78757966473333,common,nd,young,nd,hypermethylated
Osmr,6,4.05973469433333,common,common,young,old,nd
Anxa6,5,-1.67525130146,common,old,nd,nd,nd
Tmem176a,5,0.62512708652,common,nd,nd,common,hypomethylated
Procr,5,0.6324913429,common,old,nd,nd,hypermethylated
Mef2c,5,0.819002683063332,common,common,nd,common,hypomethylated
Trim47,5,1.01404619654,common,common,nd,common,hypomethylated
Stxbp4,5,1.02433264832,common,old,nd,nd,nd
Cyp26b1,5,1.11193032,common,common,young,nd,nd
Thbd,5,1.26763199534,common,old,nd,nd,nd
Abcb1a,5,1.3234723608,common,common,nd,common,hypomethylated
Runx1t1,5,1.47879038146,common,common,young,old,nd
Sfrp1,5,1.5273946156,common,common,young,nd,nd
Il1rapl2,5,1.55971193086,common,old,nd,nd,nd
Abat,5,1.66742544568,common,old,young,old,nd
B3galt1,5,1.76170975426,common,common,nd,old,nd
Cyb561,5,2.03588802656,common,common,nd,nd,hypomethylated
Aspa,5,2.0385039106,common,nd,nd,nd,hypomethylated
Tc2n,5,2.84541720776,common,common,young,common,nd
Gipc2,5,3.77825339008,common,common,nd,old,hypermethylated
Cntn1,5,4.0450292376,common,old,young,nd,nd
Antxr2,4,-0.818575023025,common,common,common,old,nd
Mmrn1,4,0.657143530875,common,old,nd,young,nd
Gstm1,4,0.69522061175,common,nd,nd,old,nd
Evc,4,0.87134036365,common,old,nd,common,nd
Kcnip3,4,0.873604406625,common,nd,nd,nd,hypomethylated
Dhx40,4,0.938130561875,common,common,young,common,nd
Cxcl16,4,0.9465912771,common,common,young,nd,nd
Gpx3,4,0.9470119637,common,old,nd,nd,nd
Acsl4,4,0.94885889925,common,old,nd,nd,nd
Slc14a1,4,0.958906275652082,common,common,nd,nd,hypomethylated
Phactr1,4,0.97646171,common,old,common,common,nd
Pdgfd,4,0.987486748325,common,old,nd,nd,nd
Ampd3,4,1.1392535672,common,common,nd,common,hypomethylated
Cyyr1,4,1.159553309525,common,common,nd,old,nd
Rab34,4,1.181023982075,common,common,young,nd,hypomethylated
S100a6,4,1.239248176425,common,old,nd,common,nd
Ldhd,4,1.260140879025,common,old,nd,old,nd
Id2,4,1.336915291525,common,common,young,nd,nd
Ptger4,4,1.345988493925,common,common,nd,common,hypomethylated
Mmp14,4,1.591801650875,common,common,nd,nd,hypomethylated
Acpp,4,1.62708909915,common,nd,nd,old,nd
Cavin2,4,1.6954916544,common,nd,nd,nd,hypomethylated
Ddr1,4,1.9799750849,common,common,young,nd,hypermethylated
Ntf3,4,4.67409177505,common,old,young,nd,nd
