#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005488	binding	122	10884	3.97e-09	ENSMUSP00000000109,ENSMUSP00000000505,ENSMUSP00000001051,ENSMUSP00000001279,ENSMUSP00000003274,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000006761,ENSMUSP00000008684,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000012348,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000017151,ENSMUSP00000017188,ENSMUSP00000018094,ENSMUSP00000018569,ENSMUSP00000018963,ENSMUSP00000019064,ENSMUSP00000019734,ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000021119,ENSMUSP00000021120,ENSMUSP00000021903,ENSMUSP00000022616,ENSMUSP00000022746,ENSMUSP00000023151,ENSMUSP00000023312,ENSMUSP00000023629,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000027009,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000031264,ENSMUSP00000031982,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000032961,ENSMUSP00000033952,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000034215,ENSMUSP00000034745,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000037328,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000041204,ENSMUSP00000044517,ENSMUSP00000044624,ENSMUSP00000045281,ENSMUSP00000045369,ENSMUSP00000047065,ENSMUSP00000047597,ENSMUSP00000047730,ENSMUSP00000049474,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000056916,ENSMUSP00000057096,ENSMUSP00000057815,ENSMUSP00000057965,ENSMUSP00000059498,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000069418,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000076886,ENSMUSP00000078022,ENSMUSP00000084918,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000087947,ENSMUSP00000091318,ENSMUSP00000093613,ENSMUSP00000096877,ENSMUSP00000099392,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000103935,ENSMUSP00000103939,ENSMUSP00000104511,ENSMUSP00000105053,ENSMUSP00000107182,ENSMUSP00000107873,ENSMUSP00000108675,ENSMUSP00000109833,ENSMUSP00000110417,ENSMUSP00000113040,ENSMUSP00000116006,ENSMUSP00000116191,ENSMUSP00000122072,ENSMUSP00000123924,ENSMUSP00000124578,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000130929,ENSMUSP00000132547,ENSMUSP00000134504,ENSMUSP00000139672	Abat,Abca4,Abcb1a,Abcb1b,Alcam,Aldh1a1,Anxa6,Arhgap29,Arhgef28,Aspa,Bcl6,Bmpr1a,C4b,Casp12,Cd34,Cd38,Cd86,Cd9,Clca1,Clec1a,Clec1b,Clu,Cntn1,Cxcl16,Cyb561,Cyp26b1,Dennd5b,Dhx40,Dnm3,Dsg2,Ebi3,Ect2,Efna1,Egr1,Ehd3,Enpp5,Fap,Fhl1,Flt3,Fyb,Gadd45g,Gem,Ghr,Gipc2,Gpr183,Gstm2,Hnf4a,Hpgds,Id2,Il12rb2,Il15,Itgb3,Jam2,Jun,Kcnip3,Klrb1c,Lamp2,Lgals1,Lpl,Lsp1,Lsr,Matn4,Mcm7,Mef2c,Mgst1,Mmp14,Mmp2,Mt1,Myo1e,Nckap1,Ndn,Ndrg1,Neo1,Nrg4,Nrk,Nupr1,Osmr,Pbx3,Pclo,Pgr,Phf11d,Pla2g4a,Plac8,Plek,Plscr1,Plscr2,Procr,Pros1,Prtn3,Ptprk,Ramp2,Rbpjl,Rhoj,Rnase6,Rorb,Rorc,Runx1t1,S100a6,Satb1,Sbspon,Sdpr,Selp,Serpinb6a,Sfrp1,Slamf1,Stom,Stxbp4,Sult1a1,Tdrd9,Tgm2,Thbd,Tnfsf10,Trim47,Trpc1,Trpc6,Tsc22d1,Vldlr,Vwf,Wwtr1,Zfp36,Zg16,Zswim5
GO:0005515	protein binding	85	6454	1.14e-07	ENSMUSP00000001051,ENSMUSP00000003274,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000006761,ENSMUSP00000008684,ENSMUSP00000010605,ENSMUSP00000012348,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000017188,ENSMUSP00000018094,ENSMUSP00000018963,ENSMUSP00000019064,ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000021119,ENSMUSP00000021903,ENSMUSP00000022616,ENSMUSP00000022746,ENSMUSP00000023151,ENSMUSP00000023312,ENSMUSP00000027009,ENSMUSP00000028241,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000031982,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000034745,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000037328,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000044624,ENSMUSP00000045369,ENSMUSP00000047597,ENSMUSP00000052283,ENSMUSP00000055694,ENSMUSP00000057096,ENSMUSP00000057815,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000069418,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000084918,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000087947,ENSMUSP00000091318,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000105053,ENSMUSP00000107182,ENSMUSP00000107873,ENSMUSP00000109833,ENSMUSP00000110417,ENSMUSP00000113040,ENSMUSP00000116191,ENSMUSP00000123924,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000130929,ENSMUSP00000132547,ENSMUSP00000134504,ENSMUSP00000139672	Abat,Alcam,Aldh1a1,Anxa6,Arhgap29,Arhgef28,Aspa,Bcl6,Bmpr1a,C4b,Casp12,Cd34,Cd38,Cd86,Cd9,Clu,Cxcl16,Dennd5b,Dnm3,Dsg2,Ebi3,Ect2,Efna1,Egr1,Fap,Fhl1,Flt3,Fyb,Gadd45g,Ghr,Gipc2,Gstm2,Hnf4a,Hpgds,Id2,Il12rb2,Il15,Itgb3,Jam2,Jun,Kcnip3,Klrb1c,Lamp2,Lgals1,Lpl,Lsp1,Mef2c,Mgst1,Mmp14,Mmp2,Myo1e,Ndn,Ndrg1,Neo1,Nrg4,Osmr,Pclo,Pgr,Pla2g4a,Plek,Plscr1,Plscr2,Procr,Prtn3,Ptprk,Rorb,Rorc,Runx1t1,S100a6,Sdpr,Selp,Serpinb6a,Sfrp1,Slamf1,Stom,Stxbp4,Sult1a1,Tgm2,Tnfsf10,Trpc1,Trpc6,Vldlr,Vwf,Wwtr1,Zfp36
GO:0042802	identical protein binding	35	1798	1.60e-05	ENSMUSP00000001051,ENSMUSP00000006761,ENSMUSP00000008684,ENSMUSP00000012348,ENSMUSP00000015460,ENSMUSP00000018094,ENSMUSP00000021028,ENSMUSP00000021119,ENSMUSP00000021903,ENSMUSP00000023151,ENSMUSP00000023312,ENSMUSP00000028241,ENSMUSP00000030964,ENSMUSP00000031982,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000037328,ENSMUSP00000040271,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000084918,ENSMUSP00000086795,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000107873,ENSMUSP00000113040,ENSMUSP00000134504	Abat,Alcam,Aldh1a1,Anxa6,Aspa,Bcl6,Bmpr1a,Cd38,Dnm3,Ect2,Fap,Gadd45g,Ghr,Gipc2,Gstm2,Hnf4a,Hpgds,Itgb3,Jun,Kcnip3,Klrb1c,Lgals1,Mgst1,Pgr,Plek,Runx1t1,S100a6,Sfrp1,Slamf1,Stom,Sult1a1,Tnfsf10,Trpc6,Vwf,Wwtr1
GO:0038023	signaling receptor activity	25	1020	1.89e-05	ENSMUSP00000003274,ENSMUSP00000010605,ENSMUSP00000015460,ENSMUSP00000018094,ENSMUSP00000022746,ENSMUSP00000029140,ENSMUSP00000029795,ENSMUSP00000032262,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000039041,ENSMUSP00000040715,ENSMUSP00000042327,ENSMUSP00000047597,ENSMUSP00000052404,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000069457,ENSMUSP00000094082,ENSMUSP00000096877,ENSMUSP00000108019,ENSMUSP00000108686,ENSMUSP00000122072,ENSMUSP00000127329,ENSMUSP00000134504	Bmpr1a,Clec1b,Csf2rb,Cysltr2,Ebi3,Flt3,Ghr,Gpr183,Gpr64,Hnf4a,Il12rb2,Il1rapl2,Klrb1c,Lpar6,Neo1,Osmr,Pgr,Procr,Ramp2,Rorb,Rorc,Sfrp1,Slamf1,Thbd,Vldlr
GO:0042803	protein homodimerization activity	22	868	4.45e-05	ENSMUSP00000001051,ENSMUSP00000006761,ENSMUSP00000008684,ENSMUSP00000012348,ENSMUSP00000018094,ENSMUSP00000028241,ENSMUSP00000031982,ENSMUSP00000035900,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000069457,ENSMUSP00000086795,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000107873,ENSMUSP00000113040,ENSMUSP00000134504	Abat,Anxa6,Bmpr1a,Ect2,Fap,Ghr,Gstm2,Hnf4a,Hpgds,Jun,Kcnip3,Klrb1c,Lgals1,Mgst1,Plek,Runx1t1,S100a6,Stom,Sult1a1,Trpc6,Vwf,Wwtr1
GO:0004896	cytokine receptor activity	7	88	0.00045	ENSMUSP00000003274,ENSMUSP00000010605,ENSMUSP00000022746,ENSMUSP00000039041,ENSMUSP00000069457,ENSMUSP00000094082,ENSMUSP00000108686	Csf2rb,Ebi3,Flt3,Ghr,Il12rb2,Il1rapl2,Osmr
GO:0043167	ion binding	63	5302	0.0011	ENSMUSP00000000505,ENSMUSP00000001051,ENSMUSP00000006761,ENSMUSP00000008684,ENSMUSP00000009058,ENSMUSP00000012348,ENSMUSP00000013995,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000018094,ENSMUSP00000018569,ENSMUSP00000019734,ENSMUSP00000021119,ENSMUSP00000021120,ENSMUSP00000023151,ENSMUSP00000023629,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000031982,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000034215,ENSMUSP00000034745,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000041204,ENSMUSP00000044624,ENSMUSP00000047597,ENSMUSP00000049474,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000057096,ENSMUSP00000057815,ENSMUSP00000057965,ENSMUSP00000059498,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000064538,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000076886,ENSMUSP00000078022,ENSMUSP00000087119,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000099392,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000103939,ENSMUSP00000104511,ENSMUSP00000105053,ENSMUSP00000108675,ENSMUSP00000110417,ENSMUSP00000123924,ENSMUSP00000124578,ENSMUSP00000127329,ENSMUSP00000139672	Abat,Abca4,Abcb1a,Abcb1b,Anxa6,Arhgap29,Arhgef28,Aspa,Bcl6,Bmpr1a,Cd34,Clca1,Cyb561,Cyp26b1,Dhx40,Dnm3,Dsg2,Egr1,Ehd3,Enpp5,Fhl1,Flt3,Gem,Gstm2,Hnf4a,Hpgds,Kcnip3,Lpl,Matn4,Mcm7,Mgst1,Mmp14,Mmp2,Mt1,Myo1e,Nrk,Pclo,Pgr,Phf11d,Pla2g4a,Plek,Plscr1,Plscr2,Pros1,Rhoj,Rorb,Rorc,Runx1t1,S100a6,Sdpr,Selp,Sfrp1,Sult1a1,Tdrd9,Tgm2,Thbd,Tnfsf10,Trim47,Trpc1,Trpc6,Vldlr,Zfp36,Zswim5
GO:0046983	protein dimerization activity	25	1343	0.0011	ENSMUSP00000001051,ENSMUSP00000006761,ENSMUSP00000008684,ENSMUSP00000012348,ENSMUSP00000018094,ENSMUSP00000020974,ENSMUSP00000028241,ENSMUSP00000031982,ENSMUSP00000035900,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000069457,ENSMUSP00000086795,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000101981,ENSMUSP00000102711,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000107873,ENSMUSP00000109833,ENSMUSP00000113040,ENSMUSP00000132547,ENSMUSP00000134504	Abat,Anxa6,Bmpr1a,Ect2,Fap,Ghr,Gstm2,Hnf4a,Hpgds,Id2,Jam2,Jun,Kcnip3,Klrb1c,Lgals1,Mef2c,Mgst1,Plek,Runx1t1,S100a6,Stom,Sult1a1,Trpc6,Vwf,Wwtr1
GO:0030246	carbohydrate binding	10	265	0.0018	ENSMUSP00000000109,ENSMUSP00000016638,ENSMUSP00000032262,ENSMUSP00000047065,ENSMUSP00000047730,ENSMUSP00000056916,ENSMUSP00000069418,ENSMUSP00000086795,ENSMUSP00000123924,ENSMUSP00000134504	C4b,Cd34,Clec1a,Clec1b,Cntn1,Klrb1c,Lgals1,Sbspon,Selp,Zg16
GO:0005509	calcium ion binding	15	594	0.0019	ENSMUSP00000001051,ENSMUSP00000023629,ENSMUSP00000024860,ENSMUSP00000030691,ENSMUSP00000031982,ENSMUSP00000057096,ENSMUSP00000070868,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000099392,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000104511,ENSMUSP00000123924,ENSMUSP00000127329	Anxa6,Dsg2,Ehd3,Hpgds,Kcnip3,Matn4,Pclo,Pla2g4a,Plscr1,Pros1,S100a6,Selp,Tgm2,Thbd,Vldlr
