Gene,Freq_group,Log2FC,epi.regulation,accessibility,H3K4m3,H3K27m3,H3K36m3,DNA,cluster
Selp,12,2.37543282250139,yes,common,nd,nd,common,hypomethylated,2
Nupr1,11,1.80671957912727,yes,common,old,nd,common,hypomethylated,11
Mt1,11,2.13725736516364,yes,common,common,young,nd,nd,6
Clec1a,10,1.54864088751167,yes,common,nd,nd,nd,hypomethylated,2
Plscr2,10,2.79760878967,yes,common,nd,nd,common,hypomethylated,2
Itgb3,9,1.25602826705833,no,common,common,nd,common,nd,4
Enpp5,9,1.5542353749,yes,common,young,nd,common,nd,13
Gstm2,9,2.26624920357778,no,nd,nd,nd,nd,nd,7
Pbx3,8,1.12748953495,yes,common,common,nd,young,nd,16
Fhl1,8,1.193365580525,yes,common,common,nd,common,hypomethylated,2
Vwf,8,1.3720196447125,yes,common,nd,nd,common,hypomethylated,2
Alcam,8,1.4306720014724,no,common,common,nd,common,nd,4
Cd38,8,1.5739782256125,yes,common,old,nd,nd,nd,12
Klhl4,8,1.57853798809167,no,common,nd,nd,nd,nd,4
Ptprk,8,1.65643626023437,yes,common,common,nd,old,nd,3
Gpr183,8,1.74769866073437,no,common,nd,nd,nd,nd,4
Neo1,8,1.846907987025,yes,common,common,young,old,nd,8
Tm4sf1,8,2.461514537725,yes,common,nd,nd,old,hypomethylated,9
Trpc1,8,2.53102115484062,no,common,common,nd,common,nd,4
Clca3a1,8,2.58378701686354,yes,common,nd,nd,nd,hypomethylated,2
Mt2,8,2.9032002548125,yes,common,old,young,nd,nd,1
Sbspon,8,3.37986571552396,no,common,common,nd,nd,nd,4
Zg16,8,3.87083622266563,yes,nd,nd,nd,old,nd,5
Cd37,7,-1.0885369483881,no,common,nd,nd,nd,nd,10
Ebi3,7,-1.03376009978095,no,common,nd,nd,nd,nd,10
Plek,7,1.15485273931429,no,common,common,nd,common,nd,4
Dhrs3,7,1.22819763452857,no,common,common,nd,common,nd,4
Abca4,7,1.44775081972857,yes,common,nd,nd,common,hypermethylated,18
Aldh1a1,7,1.71533918161429,yes,common,nd,nd,nd,hypomethylated,2
Dnm3,7,1.80933343422857,yes,common,common,nd,old,nd,3
Gm10419,7,1.98354813518571,yes,common,common,nd,old,nd,3
Tmem47,7,2.18710283701786,no,common,common,nd,nd,nd,4
Tdrd9,7,2.97937181082143,yes,nd,nd,common,old,nd,3
Wwtr1,7,3.20820407081429,no,common,common,nd,nd,nd,4
Cd86,6,-1.39245798442222,no,common,nd,nd,nd,nd,10
Satb1,6,-1.22767718174167,no,common,common,nd,nd,nd,10
Tgm2,6,0.857772297016667,no,common,common,nd,common,nd,4
Prcp,6,0.963605655361111,no,nd,nd,nd,nd,nd,4
Pros1,6,0.97775143845,no,common,common,nd,common,nd,4
Prtn3,6,0.979895923416667,yes,common,common,nd,nd,hypomethylated,2
Plscr1,6,0.9887057326,no,common,common,nd,common,nd,4
Efna1,6,1.03741291951667,no,common,common,nd,nd,nd,4
Tacstd2,6,1.09797821648333,yes,common,old,nd,nd,nd,12
Rorc,6,1.18359835543333,yes,common,nd,nd,old,hypomethylated,9
Cpne8,6,1.4883742584,no,common,common,nd,common,nd,4
Gadd45g,6,1.54926308948333,no,common,common,nd,nd,nd,4
Fhdc1,6,1.61330493995,yes,common,common,nd,common,hypomethylated,2
Phf11d,6,1.66438299063333,no,common,nd,nd,nd,nd,4
Pgr,6,1.67884267958333,no,common,common,nd,nd,nd,4
Ehd3,6,1.73703505971667,no,common,common,nd,nd,nd,4
Sdpr,6,1.87946004953333,yes,nd,nd,nd,nd,hypomethylated,2
Adgrg2,6,2.01538121961667,yes,common,old,nd,nd,nd,12
Sult1a1,6,2.15690357833333,yes,common,nd,nd,common,hypomethylated,2
Rorb,6,2.49220489891667,no,common,common,nd,nd,nd,4
Ramp2,6,2.58883710848333,yes,common,old,young,nd,nd,1
Clu,6,2.63933962228333,yes,common,nd,nd,old,hypomethylated,9
Fap,6,2.70034371558333,yes,common,nd,nd,nd,hypomethylated,2
Matn4,6,2.78757966473333,yes,common,nd,young,nd,hypermethylated,15
Tmem215,6,2.79923867196667,no,common,common,nd,nd,nd,4
Osmr,6,4.05973469433333,yes,common,common,young,old,nd,8
Mmp2,5,-1.8132299845,yes,common,young,nd,nd,nd,19
Nrk,5,-1.68979280196,no,common,common,nd,nd,nd,10
Anxa6,5,-1.67525130146,yes,common,old,nd,nd,nd,21
Plac8,5,-1.36460223055167,no,common,nd,nd,nd,nd,10
Rassf4,5,-1.3590904223,no,common,common,nd,common,nd,10
Hnf4a,5,-1.3524334351,no,nd,nd,nd,nd,nd,10
Rnase6,5,-1.12163584865333,yes,common,nd,nd,nd,hypermethylated,17
Tm6sf1,5,-1.02617948126,no,common,common,nd,common,nd,10
Lst1,5,-0.93780068632,no,common,nd,nd,nd,nd,10
Arhgap30,5,-0.92911349718,yes,common,common,nd,nd,hypermethylated,17
Mcm7,5,-0.901195504560001,no,nd,nd,nd,nd,nd,10
Cd34,5,-0.853120058776667,no,common,common,nd,nd,nd,10
Il15,5,-0.74639250936,no,common,common,nd,common,nd,10
Tmem176a,5,0.62512708652,yes,common,nd,nd,common,hypomethylated,2
Procr,5,0.6324913429,yes,common,old,nd,nd,hypermethylated,23
Npdc1,5,0.7874249758,no,common,common,nd,common,nd,4
Mef2c,5,0.819002683063332,yes,common,common,nd,common,hypomethylated,2
Tsc22d1,5,0.8221393757,no,common,common,nd,common,nd,4
Lpar6,5,0.8496958697,no,common,nd,nd,nd,nd,4
Abcb1b,5,0.85952637576,no,common,common,nd,common,nd,4
Serpinb6a,5,0.89119365856,no,nd,common,nd,common,nd,4
Ndrg1,5,0.91519357874,no,nd,common,nd,common,nd,7
Slamf1,5,0.9283368353,no,common,nd,nd,nd,nd,4
Arhgap29,5,0.98456224084,no,common,nd,nd,common,nd,4
Trim47,5,1.01404619654,yes,common,common,nd,common,hypomethylated,2
Stxbp4,5,1.02433264832,yes,common,old,nd,nd,nd,12
Cytip,5,1.07130863528,no,common,common,nd,common,nd,4
Casp12,5,1.10022580262,no,common,nd,nd,nd,nd,4
Cyp26b1,5,1.11193032,yes,common,common,young,nd,nd,6
Stom,5,1.12080386472,no,common,common,nd,common,nd,4
Dennd5b,5,1.1336465351,no,common,common,nd,common,nd,4
Lamp2,5,1.13501535352,no,common,common,nd,nd,nd,4
Rhoj,5,1.229004406,no,common,common,nd,nd,nd,4
Thbd,5,1.26763199534,yes,common,old,nd,nd,nd,12
Nrg4,5,1.32210445822,no,common,common,nd,nd,nd,4
Abcb1a,5,1.3234723608,yes,common,common,nd,common,hypomethylated,2
Gem,5,1.32917925382,no,common,common,nd,common,nd,4
Klrb1b,5,1.34498636328,no,nd,nd,nd,nd,nd,4
Ghr,5,1.36335245406,no,common,common,nd,common,nd,4
Pcdhb16,5,1.41022236856,no,common,nd,nd,nd,nd,4
Cysltr2,5,1.47242990115333,no,common,nd,nd,nd,nd,4
Vldlr,5,1.47383536022,no,common,common,nd,common,nd,4
Runx1t1,5,1.47879038146,yes,common,common,young,old,nd,8
Sfrp1,5,1.5273946156,yes,common,common,young,nd,nd,6
Jam2,5,1.5469985248,no,common,common,nd,common,nd,4
Il1rapl2,5,1.55971193086,yes,common,old,nd,nd,nd,12
Abat,5,1.66742544568,yes,common,old,young,old,nd,20
B3galt1,5,1.76170975426,yes,common,common,nd,old,nd,3
Dsg2,5,1.76800266864,no,common,common,nd,nd,nd,4
Lpl,5,1.8587729158,no,common,common,nd,nd,nd,4
Perp,5,1.87011732698,no,common,common,nd,nd,nd,4
Klrb1c,5,1.98539983918,no,common,nd,nd,nd,nd,4
Cyb561,5,2.03588802656,yes,common,common,nd,nd,hypomethylated,2
Aspa,5,2.0385039106,yes,common,nd,nd,nd,hypomethylated,2
Bmpr1a,5,2.12786317324,yes,nd,common,nd,old,nd,3
Tmem56,5,2.1449858656,no,nd,nd,nd,nd,nd,4
Zswim5,5,2.41820894666,no,common,common,nd,nd,nd,4
Muc1,5,2.69361848586,no,common,nd,nd,nd,nd,4
Tc2n,5,2.84541720776,yes,common,common,young,common,nd,6
Gipc2,5,3.77825339008,yes,common,common,nd,old,hypermethylated,14
Cntn1,5,4.0450292376,yes,common,old,young,nd,nd,1
Mab21l2,5,4.47136617834,yes,nd,nd,nd,nd,hypomethylated,2
Lgals1,4,-2.17262298332084,no,common,nd,nd,nd,nd,10
Camk1d,4,-1.6928602739,no,common,common,nd,nd,nd,10
Il12rb2,4,-1.46241574448333,no,common,nd,nd,nd,nd,10
Socs2,4,-1.41710457930417,no,common,common,nd,common,nd,10
Csf2rb,4,-1.38068820549583,no,common,nd,nd,nd,nd,10
Flt3,4,-1.138925473225,no,common,common,nd,nd,nd,10
Plxdc2,4,-1.09936688342083,no,common,common,nd,common,nd,10
Dnmt3b,4,-1.078491112425,no,common,common,nd,common,nd,10
Col4a2,4,-1.0056558719,no,common,nd,nd,common,nd,10
Mgst1,4,-0.953878555725,no,common,common,nd,nd,nd,10
Antxr2,4,-0.818575023025,yes,common,common,common,old,nd,25
Mamdc2,4,-0.814391005220835,no,common,common,nd,nd,nd,10
Ect2,4,-0.784305577564584,no,common,common,nd,common,nd,10
Anxa2,4,-0.763535060397918,no,common,common,nd,common,nd,10
Syk,4,-0.760615032875,no,common,nd,nd,nd,nd,10
Ctss,4,-0.679404946616668,no,common,nd,nd,nd,nd,10
Mlec,4,-0.657709384527085,no,common,common,nd,common,nd,10
Rfc2,4,-0.641827647427084,yes,common,common,nd,common,hypermethylated,17
Mcm5,4,-0.64046258685,no,common,common,nd,common,nd,10
Sell,4,-0.628443906583332,no,common,nd,nd,nd,nd,10
Slc28a2,4,-0.618879944275,no,common,nd,nd,common,nd,10
Lsp1,4,-0.550315365925,yes,common,nd,nd,common,hypermethylated,17
Btg2,4,0.453852273475,yes,common,young,nd,nd,nd,13
Cd63,4,0.4583543864,no,common,common,nd,nd,nd,4
Ly6e,4,0.518046550025,no,common,common,nd,common,nd,4
Trpc6,4,0.54608138915,no,common,common,nd,nd,nd,4
Muc13,4,0.615817314758332,no,common,common,nd,nd,nd,4
Cldn12,4,0.6440931621,no,common,common,nd,nd,nd,4
Mmrn1,4,0.657143530875,yes,common,old,nd,young,nd,22
Gstm7,4,0.678202392275,no,common,nd,nd,nd,nd,4
Gstm1,4,0.69522061175,yes,common,nd,nd,old,nd,3
Ppp1r16b,4,0.70129104195,no,common,common,nd,common,nd,4
Nt5c3,4,0.7140654172,no,common,common,nd,common,nd,4
Tnfsf10,4,0.7578628264,yes,common,young,nd,nd,nd,13
Plscr4,4,0.763986804912499,no,common,common,nd,nd,nd,4
Pla2g4a,4,0.8149587769,no,common,common,nd,common,nd,4
Ndn,4,0.819036996725,no,nd,nd,nd,nd,nd,4
Exoc6b,4,0.82724480645,no,common,common,nd,nd,nd,4
Fyb,4,0.842490481143747,no,common,nd,nd,common,nd,4
Prnp,4,0.843372505475,no,common,common,nd,nd,nd,4
Evc,4,0.87134036365,yes,common,old,nd,common,nd,12
Kcnip3,4,0.873604406625,yes,common,nd,nd,nd,hypomethylated,2
Jun,4,0.9125544178,no,common,common,nd,nd,nd,4
Tox,4,0.916497202375,no,common,common,nd,common,nd,4
Art4,4,0.91878881365,no,common,nd,nd,nd,nd,4
Sema7a,4,0.930530306020833,no,common,common,nd,nd,nd,4
Dhx40,4,0.938130561875,yes,common,common,young,common,nd,6
Arhgef28,4,0.943935548639582,no,common,common,nd,nd,nd,4
