Gene,annotation,Freq_group,Log2FC,seqnames,start,end,width,distanceToTSS
Plscr2,Intron,10,2.79760878967,chr9,92160683,92161157,475,2884
Plscr2,5' UTR,10,2.79760878967,chr9,92162353,92163529,1177,4554
Clca3a1,Distal Intergenic,8,2.58378701686354,chr3,144470573,144471789,1217,-3835
Trpc1,3' UTR,8,2.53102115484062,chr9,95597835,95598625,791,2042
Gstm2,Intron,9,2.26624920357778,chr3,107890194,107890710,517,2966
Osmr,Distal Intergenic,6,4.05973469433333,chr15,6905967,6906571,605,-1517
Dnm3,Intron,7,1.80933343422857,chr1,162137929,162138443,515,2809
Jam2,Distal Intergenic,5,1.5469985248,chr16,84567317,84567937,621,-3074
Ptprk,Intron,8,1.65643626023437,chr10,28433484,28434116,633,-2031
Ptprk,3' UTR,8,1.65643626023437,chr10,28440023,28441195,1173,3876
Mmp14,Exon,4,1.591801650875,chr14,54674186,54674881,696,-1168
Wwtr1,Distal Intergenic,7,3.20820407081429,chr3,57484110,57485065,956,-779
Fap,Distal Intergenic,6,2.70034371558333,chr2,62405243,62405891,649,-824
Vwf,Intron,8,1.3720196447125,chr6,125620608,125621079,472,-2223
S100a6,Promoter,4,1.239248176425,chr3,90521257,90522192,936,190
Il12rb2,Intron,4,-1.46241574448333,chr6,67349860,67350878,1019,2294
B3galt1,Intron,5,1.76170975426,chr2,67577232,67577697,466,-859
Hnf4a,Intron,5,-1.3524334351,chr2,163349409,163349835,427,681
Dsg2,Distal Intergenic,5,1.76800266864,chr18,20687916,20688298,383,-2833
Dsg2,Distal Intergenic,5,1.76800266864,chr18,20689920,20690398,479,-733
Pros1,Exon,6,0.97775143845,chr16,62739368,62740802,1435,-1028
Itgb3,Intron,9,1.25602826705833,chr11,104524958,104525356,399,-2859
Fyb,Intron,4,0.842490481143747,chr15,6667227,6668248,1022,-4919
Myo1e,Distal Intergenic,4,1.1534675446,chr9,70111644,70113231,1588,-1401
Serpinb8,Distal Intergenic,4,0.9895755737,chr1,107512928,107513847,920,-3889
Arhgef28,Intron,4,0.943935548639582,chr13,98308552,98310965,2414,1530
Phactr1,Intron,4,0.97646171,chr13,43281944,43282926,983,2548
Ndrg1,Intron,5,0.91519357874,chr15,66810036,66810419,384,-3718
Abat,Promoter,5,1.66742544568,chr16,8430442,8431534,1093,0
Abcb1b,Intron,5,0.85952637576,chr5,8842613,8843264,652,-4883
Abcb1b,Promoter,5,0.85952637576,chr5,8845924,8847676,1753,-471
Dennd5b,Promoter,5,1.1336465351,chr6,148918900,148919925,1026,-214
Tsc22d1,Intron,5,0.8221393757,chr14,76739888,76740569,682,-1085
Plscr1,Intron,6,0.9887057326,chr9,92135744,92136230,487,3349
Tm4sf1,Distal Intergenic,8,2.461514537725,chr3,57214155,57215562,1408,-4746
Mllt3,Intron,4,1.1080707371,chr4,87946725,87948025,1301,3025
Alcam,Promoter,8,1.4306720014724,chr16,52115732,52118149,2418,0
Alcam,Intron,8,1.4306720014724,chr16,52119008,52119560,553,-1721
Thbd,Distal Intergenic,5,1.26763199534,chr2,148251636,148252134,499,-1528
Oxr1,Intron,4,1.088657234975,chr15,41709868,41710344,477,-3276
Oxr1,Exon,4,1.088657234975,chr15,41715931,41716911,981,2311
Socs2,Exon,4,-1.41710457930417,chr10,95245313,95246619,1307,1977
Gda,Promoter,4,1.58568406214375,chr19,21449928,21450896,969,0
Plscr4,Intron,4,0.763986804912499,chr9,92344394,92345345,952,4947
Plac8,Intron,5,-1.36460223055167,chr5,100716813,100717139,327,2919
Cyp26b1,Distal Intergenic,5,1.11193032,chr6,84572735,84574162,1428,-1845
Tgm2,Exon,6,0.857772297016667,chr2,157974705,157976708,2004,4948
Tmem176a,3' UTR,5,0.62512708652,chr6,48823349,48824428,1080,3826
Mmrn1,Intron,4,0.657143530875,chr6,60904961,60905590,630,3001
Mmrn1,Exon,4,0.657143530875,chr6,60922082,60923019,938,620
Rdh10,Promoter,4,1.261357598525,chr1,16175930,16176685,756,0
Rdh10,Exon,4,1.261357598525,chr1,16177529,16178191,663,1531
Meis2,Exon,4,1.7868595195,chr2,115695308,115696015,708,3333
Meis2,Intron,4,1.7868595195,chr2,115869098,115869380,283,3147
Nt5c3,3' UTR,4,0.7140654172,chr6,56863347,56865212,1866,1636
